QM Energy	FF Energy
     -0.00197443     -0.00195458
      -0.0146435      -0.0149123
     -0.00319096     -0.00318665
     -0.00701076     -0.00698689
     -0.00158819     -0.00143522
     -0.00240291      -0.0022655
     -0.00851363     -0.00848657
     -0.00775786     -0.00783465
     -0.00109252     -0.00106629
     -0.00150851     -0.00141259
     -0.00306009     -0.00289145
     -0.00425801     -0.00426597
      -0.0109669      -0.0113407
      -0.0189717      -0.0187793
    -0.000809382    -0.000758832
     -0.00205175     -0.00189246
     -0.00155522     -0.00146167
     -0.00798456     -0.00807421
     -0.00654589     -0.00651149
     -0.00494598      -0.0049159
     -0.00946507     -0.00961133
     -0.00732485     -0.00742515
      -0.0110532      -0.0112865
     -0.00567463     -0.00582336
     -0.00386593     -0.00380784
     -0.00114113     -0.00105511
     -0.00195865     -0.00182765
     -0.00149331     -0.00143318
     -0.00806336     -0.00822848
     -0.00295678     -0.00293282
      -0.0045632     -0.00432652
     -0.00115625      -0.0010525
     -0.00139044     -0.00132298
     -0.00985245      -0.0100348
      -0.0047026     -0.00468438
     -0.00737806     -0.00723008
     -0.00510118     -0.00527364
     -0.00280622     -0.00280293
     -0.00268978     -0.00273025
     -0.00177705     -0.00177486
    -0.000827491     -0.00078848
     -0.00394111     -0.00396986
     -0.00424126     -0.00419114
     -0.00134439     -0.00125018
     -0.00794201     -0.00804882
     -0.00267801     -0.00272568
     -0.00137562     -0.00130205
     -0.00266948     -0.00266695
     -0.00836974     -0.00860558
     -0.00208142     -0.00200701
    -0.000981951    -0.000954574
     -0.00101477    -0.000916638
     -0.00383727      -0.0037481
     -0.00458037     -0.00465418
     -0.00760066     -0.00785884
     -0.00899455     -0.00909151
     -0.00860446     -0.00843014
      -0.0122754      -0.0125071
     -0.00207648     -0.00202076
     -0.00194848     -0.00192915
     -0.00321118     -0.00307516
     -0.00264809     -0.00255507
     -0.00418926     -0.00398696
     -0.00206448     -0.00197113
     -0.00379077     -0.00378451
     -0.00170056     -0.00168632
     -0.00398723     -0.00411783
    -0.000923712    -0.000911223
     -0.00664351     -0.00672027
     -0.00706843     -0.00709295
      -0.0176658      -0.0185108
     -0.00605124     -0.00577468
     -0.00196074     -0.00189854
     -0.00497275     -0.00511542
     -0.00240353     -0.00226165
     -0.00475196     -0.00481927
     -0.00859369     -0.00854669
     -0.00194514     -0.00194927
     -0.00214992     -0.00203535
     -0.00323494     -0.00331475
     -0.00657968      -0.0065021
     -0.00142413     -0.00143417
     -0.00132347      -0.0013025
     -0.00264827     -0.00259259
     -0.00417518     -0.00424357
     -0.00128767     -0.00127977
      -0.0054281     -0.00526137
