QM Energy	FF Energy
    -0.000342548    -0.000307356
     -0.00217023     -0.00220745
    -0.000647049    -0.000596665
     -0.00113685     -0.00105111
    -0.000402926    -0.000345695
    -0.000579668    -0.000507745
     -0.00161489     -0.00215482
    -0.000656197     -0.00070828
     -9.9491e-05    -8.73923e-05
    -0.000236899    -0.000229689
    -0.000765594    -0.000717859
    -0.000507647    -0.000475908
     -0.00118307     -0.00127752
     -0.00250181     -0.00276325
    -0.000155192    -0.000137747
    -0.000366592    -0.000309118
    -0.000207581    -0.000180839
     -0.00113275     -0.00102869
    -0.000891139    -0.000871241
     -0.00116276     -0.00111266
      -0.0009871     -0.00117226
     -0.00116728     -0.00134492
     -0.00136889     -0.00147594
    -0.000463915    -0.000466726
    -0.000630029    -0.000647646
    -0.000224021    -0.000179547
     -0.00048939    -0.000411507
    -0.000157228    -0.000139506
    -0.000934107     -0.00103305
    -0.000587408    -0.000551909
    -0.000923804    -0.000990647
     -0.00030905     -0.00024389
    -0.000257211    -0.000220516
     -0.00167048     -0.00191521
    -0.000657221    -0.000596193
     -0.00160135     -0.00169678
    -0.000942946    -0.000896236
    -0.000244284    -0.000219814
    -0.000485702    -0.000435432
    -0.000394783    -0.000388111
    -0.000327129     -0.00026589
    -0.000675043    -0.000729795
    -0.000758113    -0.000754958
    -0.000285605    -0.000250396
    -0.000974213    -0.000940437
    -0.000461757    -0.000411414
    -0.000235645    -0.000215091
    -0.000488412    -0.000449386
     -0.00128742     -0.00139731
    -0.000232197    -0.000205942
    -0.000227649    -0.000196393
     -0.00027567    -0.000224461
    -0.000705563    -0.000624213
    -0.000241044      -0.0002904
    -0.000507601    -0.000625444
     -0.00130247     -0.00142307
     -0.00135622     -0.00131313
     -0.00152703      -0.0014057
     -0.00036598    -0.000326609
    -0.000173085      -0.0001629
    -0.000444864    -0.000444089
    -0.000535988    -0.000492257
    -0.000416548    -0.000421945
    -0.000243094    -0.000199683
    -0.000577648     -0.00055719
    -0.000293946    -0.000258317
    -0.000362784    -0.000360467
    -0.000204881    -0.000187768
     -0.00147619     -0.00148508
    -0.000458222    -0.000530005
     -0.00318911     -0.00293526
     -0.00114775     -0.00130278
    -0.000557311    -0.000476566
     -0.00121716     -0.00115909
    -0.000414292    -0.000352469
    -0.000675798    -0.000615521
     -0.00140967     -0.00136712
    -0.000445892    -0.000422266
    -0.000395292    -0.000322861
    -0.000605167    -0.000555947
     -0.00109165     -0.00121097
    -0.000117739    -0.000101977
    -0.000279501    -0.000266745
    -0.000394351    -0.000340844
    -0.000659952    -0.000657232
     -0.00026675    -0.000225135
    -0.000681801    -0.000734035
     -0.00116951     -0.00127438
    -0.000822356    -0.000816277
    -0.000135924    -0.000108352
    -0.000605596    -0.000590364
    -0.000942616    -0.000903927
    -0.000267333    -0.000238079
     -0.00107899     -0.00110124
    -0.000659364    -0.000704427
    -0.000669903    -0.000784588
     -0.00161334     -0.00172762
    -0.000295347    -0.000289198
     -0.00141042     -0.00158798
     -0.00106601       -0.001181
     -0.00262038     -0.00288271
    -0.000443958    -0.000434758
    -0.000264822    -0.000236783
     -0.00022051    -0.000207353
    -0.000584808    -0.000566953
    -0.000456651    -0.000373749
    -0.000152098     -0.00013503
    -0.000409181    -0.000326919
     -0.00143959     -0.00150476
    -0.000543084    -0.000472628
    -0.000309407    -0.000269407
    -0.000732496    -0.000737868
     -0.00016747    -0.000142608
    -0.000132626    -0.000118455
     -0.00125777     -0.00121263
    -0.000422693    -0.000372283
    -0.000938841    -0.000905627
    -0.000271324    -0.000258399
    -0.000452852     -0.00036955
     -0.00124542     -0.00125762
    -0.000189091    -0.000169467
    -0.000383326     -0.00032394
    -0.000287265    -0.000254002
