QM Energy	FF Energy
     -4.0779e-05    -5.75196e-05
     -0.00190422     -0.00213438
    -0.000129784    -0.000164096
     -0.00115343     -0.00112842
     -1.6706e-05    -3.42518e-05
     -6.1319e-05    -8.25867e-05
     -0.00184399     -0.00170579
    -0.000903235    -0.000870048
     -1.8054e-05    -2.08771e-05
     -7.8885e-05    -9.18534e-05
    -0.000183839    -0.000187571
    -0.000211991    -0.000246546
     -0.00111737     -0.00110308
     -0.00339417     -0.00298171
      -1.789e-05    -1.94339e-05
     -2.3628e-05    -3.38045e-05
     -4.1969e-05    -4.73195e-05
     -0.00125652     -0.00113798
     -0.00113641     -0.00104939
     -0.00122506     -0.00124959
     -0.00123772     -0.00118233
    -0.000880594     -0.00091372
     -0.00123347     -0.00111797
    -0.000373778    -0.000422892
    -0.000575605    -0.000578513
      -5.546e-06    -1.32899e-05
     -3.5395e-05    -5.01631e-05
     -2.4599e-05    -2.98977e-05
    -0.000947081    -0.000927928
    -0.000236013     -0.00027965
    -0.000564468    -0.000489468
       7.272e-06    -5.08106e-06
     -1.6101e-05    -2.14579e-05
     -0.00155417     -0.00153753
    -0.000310377    -0.000357938
     -0.00115625     -0.00117352
     -0.00059792    -0.000647732
     -5.1431e-05    -6.72412e-05
     -8.6609e-05    -0.000110216
     -0.00012692    -0.000169761
       1.382e-05    -8.20861e-07
     -0.00060044    -0.000646192
    -0.000883076    -0.000876113
     -1.6376e-05      -2.601e-05
    -0.000508394    -0.000572678
     -7.4684e-05     -9.9313e-05
     -3.9985e-05    -4.85667e-05
    -0.000140786    -0.000177204
     -0.00123851     -0.00116338
     -4.5362e-05     -5.6896e-05
     -2.3138e-05    -2.96924e-05
       9.524e-06     -1.9192e-06
    -0.000166372    -0.000185274
    -0.000279114    -0.000283552
    -0.000737263    -0.000671031
     -0.00126781     -0.00130625
     -0.00184061     -0.00184194
     -0.00168776     -0.00167125
     -7.4142e-05    -9.19795e-05
     -7.8216e-05    -8.55075e-05
    -0.000358929    -0.000346697
