QM Energy	FF Energy
     -0.00197443     -0.00185134
      -0.0146435      -0.0145642
     -0.00319096     -0.00296861
     -0.00701076     -0.00704766
     -0.00158819     -0.00143617
     -0.00240291     -0.00214394
     -0.00851363      -0.0075273
     -0.00775786     -0.00764282
     -0.00109252     -0.00106381
     -0.00150851     -0.00140867
     -0.00306009     -0.00264086
     -0.00425801     -0.00419659
      -0.0109669      -0.0114621
      -0.0189717      -0.0190541
    -0.000809382    -0.000745905
     -0.00205175     -0.00195809
     -0.00155522      -0.0014693
     -0.00798456     -0.00784336
     -0.00654589      -0.0062625
     -0.00494598      -0.0046145
     -0.00946507     -0.00970999
     -0.00732485     -0.00694054
      -0.0110532      -0.0112259
     -0.00567463     -0.00569622
     -0.00386593     -0.00362887
     -0.00114113      -0.0010428
     -0.00195865     -0.00170511
     -0.00149331     -0.00143836
     -0.00806336     -0.00799471
     -0.00295678     -0.00280807
      -0.0045632     -0.00406416
     -0.00115625    -0.000989146
     -0.00139044     -0.00130541
     -0.00985245     -0.00945248
      -0.0047026     -0.00446422
     -0.00737806     -0.00673038
     -0.00510118     -0.00490209
     -0.00280622     -0.00284408
     -0.00268978     -0.00260665
     -0.00177705     -0.00162509
    -0.000827491    -0.000666282
     -0.00394111     -0.00364334
     -0.00424126      -0.0039419
     -0.00134439     -0.00122092
     -0.00794201     -0.00804781
     -0.00267801      -0.0025839
     -0.00137562     -0.00129249
     -0.00266948     -0.00249779
     -0.00836974     -0.00816354
     -0.00208142     -0.00199551
    -0.000981951    -0.000873681
     -0.00101477    -0.000922365
     -0.00383727     -0.00366125
     -0.00458037     -0.00461419
     -0.00760066     -0.00773981
     -0.00899455     -0.00882106
     -0.00860446     -0.00796085
      -0.0122754      -0.0120712
     -0.00207648     -0.00192524
     -0.00194848     -0.00191467
     -0.00321118      -0.0030786
     -0.00264809     -0.00244495
     -0.00418926     -0.00406097
     -0.00206448     -0.00192969
     -0.00379077     -0.00364971
     -0.00170056     -0.00163155
     -0.00398723     -0.00411571
    -0.000923712     -0.00082795
     -0.00664351     -0.00610128
     -0.00706843     -0.00691649
      -0.0176658      -0.0177484
     -0.00605124     -0.00555138
     -0.00196074     -0.00168092
     -0.00497275     -0.00455504
     -0.00240353     -0.00221141
     -0.00475196     -0.00467432
     -0.00859369     -0.00790684
     -0.00194514     -0.00177587
     -0.00214992     -0.00203162
     -0.00323494     -0.00313654
     -0.00657968     -0.00619486
     -0.00142413     -0.00147014
     -0.00132347     -0.00119545
     -0.00264827     -0.00246345
     -0.00417518     -0.00384374
     -0.00128767     -0.00114998
      -0.0054281     -0.00508834
     -0.00899239     -0.00868417
     -0.00687616     -0.00702945
      -0.0012386     -0.00116593
     -0.00279596     -0.00259457
     -0.00669926     -0.00659474
     -0.00126986     -0.00114151
     -0.00860729     -0.00830238
      -0.0031873     -0.00293386
     -0.00788136     -0.00799457
      -0.0106079      -0.0103917
     -0.00285566     -0.00282802
      -0.0136674      -0.0136548
     -0.00443451     -0.00383555
      -0.0174795      -0.0174176
     -0.00187261     -0.00170886
     -0.00142742     -0.00132781
     -0.00103073    -0.000939069
     -0.00325773     -0.00311025
     -0.00246566     -0.00236211
     -0.00104346    -0.000970052
     -0.00222823     -0.00204789
     -0.00972421     -0.00947544
     -0.00243597     -0.00219752
     -0.00172003      -0.0015828
     -0.00684601     -0.00685419
     -0.00161314     -0.00160205
    -0.000939304    -0.000870651
     -0.00804329     -0.00753551
      -0.0024681     -0.00233241
     -0.00755721     -0.00770823
     -0.00172782     -0.00162799
     -0.00153482     -0.00131042
       -0.010058     -0.00987764
      -0.0015535     -0.00154221
      -0.0016757     -0.00151032
     -0.00145905     -0.00133874
     -0.00318642     -0.00317813
     -0.00202286     -0.00169943
     -0.00168153     -0.00157528
    -0.000998878    -0.000889049
     -0.00180214      -0.0017829
      -0.0030864     -0.00292623
     -0.00207628     -0.00206348
     -0.00314513     -0.00276547
     -0.00390269     -0.00353452
     -0.00230084     -0.00217033
     -0.00413144     -0.00400115
     -0.00111923     -0.00102705
     -0.00394065      -0.0036543
     -0.00948552     -0.00918629
    -0.000736846    -0.000653175
       -0.014015      -0.0142701
     -0.00451237     -0.00445982
      -0.0110426      -0.0109427
     -0.00458891     -0.00420286
     -0.00580847     -0.00568858
      -0.0098223     -0.00885622
     -0.00111356    -0.000995542
     -0.00585524      -0.0058458
     -0.00560697     -0.00483916
     -0.00153463     -0.00133322
     -0.00313447     -0.00303339
     -0.00679226     -0.00708629
     -0.00228998     -0.00208392
     -0.00129436     -0.00130839
     -0.00116233     -0.00105705
     -0.00779669     -0.00767563
     -0.00226428     -0.00226093
     -0.00489773      -0.0047598
     -0.00119329     -0.00112001
     -0.00323953     -0.00298193
     -0.00582794     -0.00576069
     -0.00200231     -0.00180799
     -0.00171947     -0.00157074
    -0.000980529    -0.000925201
     -0.00406848     -0.00397796
     -0.00886416     -0.00907888
     -0.00454714     -0.00404368
     -0.00326455     -0.00301899
     -0.00930525     -0.00906478
     -0.00125501     -0.00113468
     -0.00231667     -0.00223788
     -0.00327136     -0.00326188
     -0.00326028     -0.00328963
     -0.00275844     -0.00275207
     -0.00452977     -0.00423148
     -0.00251803     -0.00236556
     -0.00166012     -0.00154807
     -0.00115104      -0.0011142
     -0.00484747     -0.00486636
     -0.00411446     -0.00423286
     -0.00841991     -0.00812733
     -0.00202904     -0.00197825
     -0.00253743     -0.00259191
     -0.00196778     -0.00185445
     -0.00125964     -0.00120298
     -0.00246206     -0.00248629
     -0.00526381     -0.00517566
     -0.00116631     -0.00106659
     -0.00321212     -0.00298858
     -0.00468165     -0.00481527
     -0.00870563     -0.00852055
     -0.00129038     -0.00123959
     -0.00487987     -0.00453737
      -0.0100255       -0.010276
     -0.00189891     -0.00178151
     -0.00272931     -0.00251652
     -0.00436615      -0.0043524
     -0.00162022     -0.00153434
     -0.00577495     -0.00526829
     -0.00733549     -0.00680642
      -0.0152975      -0.0157259
     -0.00345087     -0.00358235
     -0.00356671     -0.00364155
     -0.00219429     -0.00217952
     -0.00145564     -0.00138364
      -0.0026278      -0.0024087
     -0.00304068     -0.00297013
     -0.00446845     -0.00418106
     -0.00344825     -0.00323181
     -0.00633973     -0.00606213
     -0.00134848     -0.00124044
     -0.00227445     -0.00214454
     -0.00510262     -0.00451484
