# Eelst 		 Emultipole 
      0.00023630       0.00064080
     -0.01583301      -0.00244896
      0.00141175       0.00255972
     -0.00789006      -0.00344915
      0.00305957       0.00369089
      0.00339664       0.00407174
     -0.00068220       0.01163026
     -0.00618526      -0.00121522
     -0.00122680      -0.00109372
     -0.00040056      -0.00018112
      0.00352793       0.00482671
      0.00149946       0.00303698
     -0.00764547      -0.00032027
     -0.01570577       0.00605383
     -0.00155319      -0.00148755
      0.00211320       0.00267340
     -0.00089242      -0.00066671
     -0.00266547       0.00208740
     -0.00312812       0.00078824
     -0.00638592      -0.00316325
     -0.00834687      -0.00081495
     -0.00062312       0.00535295
     -0.00340656       0.00475641
     -0.00257777      -0.00048548
     -0.00255897      -0.00046398
      0.00209979       0.00210363
      0.00178302       0.00187271
      0.00006480       0.00027171
     -0.00624009      -0.00103685
     -0.00390051      -0.00321815
      0.00113261       0.00445333
      0.00350445       0.00374465
     -0.00123453      -0.00122210
     -0.00187515       0.00689152
     -0.00390819      -0.00227348
      0.00302459       0.00759538
     -0.00455987      -0.00203632
      0.00054109       0.00108120
     -0.00236211      -0.00198854
     -0.00139504      -0.00111543
      0.00351799       0.00368654
     -0.00316883      -0.00096957
     -0.00084998       0.00089751
     -0.00065754      -0.00073582
      0.00029847       0.00329596
     -0.00010464       0.00043492
     -0.00136496      -0.00124443
     -0.00256009      -0.00202649
     -0.00564388       0.00149637
     -0.00128594      -0.00101456
     -0.00193008      -0.00195116
      0.00342024       0.00377186
     -0.00373574      -0.00300611
     -0.00198242      -0.00025562
     -0.00387724       0.00010749
     -0.00236452       0.00491440
     -0.01204541      -0.00221771
     -0.00758496       0.00114045
     -0.00179795      -0.00146687
     -0.00066322      -0.00028875
     -0.00259195      -0.00143856
     -0.00291293      -0.00217226
     -0.00254824      -0.00045631
     -0.00161748      -0.00110732
     -0.00266267      -0.00131424
     -0.00115171      -0.00097156
     -0.00002771       0.00084125
     -0.00058243      -0.00056925
     -0.00278188       0.00269439
     -0.00360622       0.00083091
     -0.02202406      -0.00499137
      0.00329287       0.00883399
      0.00331101       0.00381907
     -0.00268880       0.00080419
     -0.00076009      -0.00034137
     -0.00185411      -0.00045148
     -0.01023292      -0.00132109
     -0.00291723      -0.00266845
      0.00344463       0.00394842
     -0.00335993      -0.00294033
     -0.00304886       0.00171338
     -0.00028861      -0.00021606
     -0.00044757      -0.00032872
     -0.00210558      -0.00179429
     -0.00421765      -0.00148838
     -0.00128847      -0.00102115
     -0.00554143      -0.00175466
     -0.00743805      -0.00006385
     -0.00213691       0.00020314
     -0.00116476      -0.00099316
     -0.00348590      -0.00232783
      0.00304966       0.00551355
     -0.00113639      -0.00097489
     -0.00784767      -0.00013984
     -0.00276538      -0.00123023
     -0.00295809       0.00082306
     -0.00126651       0.00689078
     -0.00127591      -0.00043447
     -0.01069748       0.00095113
      0.00480079       0.00849480
     -0.01671923       0.00479639
     -0.00138303      -0.00109535
     -0.00054225      -0.00043159
     -0.00124570      -0.00116217
     -0.00345107      -0.00261990
      0.00357971       0.00402035
     -0.00038468      -0.00026933
      0.00199366       0.00201354
     -0.00965833      -0.00177598
      0.00336047       0.00414386
     -0.00191298      -0.00175403
      0.00087593       0.00398453
      0.00109726       0.00134955
     -0.00039372      -0.00033033
     -0.00952893      -0.00216324
     -0.00263207      -0.00228151
      0.00283002       0.00592479
     -0.00179743      -0.00154463
      0.00388620       0.00416112
     -0.00949740      -0.00034230
     -0.00124682      -0.00111433
      0.00264937       0.00279007
     -0.00212976      -0.00210183
      0.00061069       0.00153930
      0.00287342       0.00301306
     -0.00182379      -0.00164225
     -0.00192552      -0.00188679
     -0.00029637       0.00003782
     -0.00328092      -0.00217939
      0.00025547       0.00054273
      0.00365724       0.00522030
      0.00318207       0.00549410
     -0.00132503      -0.00110582
      0.00278596       0.00401492
      0.00032440       0.00042766
      0.00110337       0.00293042
     -0.00743144       0.00052896
     -0.00103933      -0.00099412
     -0.01044202       0.00158234
     -0.00422206      -0.00320550
     -0.00482588       0.00432683
     -0.00449952      -0.00132914
     -0.00423347      -0.00050525
     -0.01444048      -0.00205268
      0.00304885       0.00329997
     -0.00204370       0.00002590
      0.00236710       0.00925494
      0.00238879       0.00275242
     -0.00247835      -0.00194606
     -0.00470460      -0.00142954
     -0.00217471      -0.00126558
      0.00267359       0.00287964
     -0.00088043      -0.00078581
     -0.00088467       0.00438510
     -0.00041308      -0.00014852
     -0.00519517      -0.00339713
     -0.00142792      -0.00125887
     -0.00183204      -0.00049938
     -0.00585141      -0.00349912
      0.00252437       0.00275956
     -0.00248572      -0.00231402
     -0.00127400      -0.00119091
      0.00348120       0.00516774
     -0.00411438       0.00117287
      0.00261626       0.00678575
     -0.00033193       0.00094445
     -0.00483422       0.00313615
      0.00016326       0.00042058
     -0.00309115      -0.00275306
     -0.00279237      -0.00228076
     -0.00049088      -0.00009387
     -0.00185081      -0.00116710
     -0.00628291      -0.00353137
     -0.00344302      -0.00289975
     -0.00020769      -0.00021374
     -0.00167424      -0.00159138
     -0.00431120      -0.00313099
     -0.00268437      -0.00160103
     -0.00103096       0.00573224
      0.00213195       0.00258866
     -0.00055330      -0.00013531
     -0.00045120      -0.00012678
