QM Energy	FF Energy
    -0.000342548    -0.000307488
     -0.00217023     -0.00223594
    -0.000647049    -0.000595026
     -0.00113685       -0.001053
    -0.000402926     -0.00034555
    -0.000579668    -0.000507561
     -0.00161489     -0.00215534
    -0.000656197    -0.000713946
     -9.9491e-05    -8.82423e-05
    -0.000236899    -0.000229317
    -0.000765594    -0.000717836
    -0.000507647    -0.000482109
     -0.00118307     -0.00127557
     -0.00250181     -0.00276599
    -0.000155192    -0.000137851
    -0.000366592    -0.000309349
    -0.000207581    -0.000181067
     -0.00113275     -0.00101674
    -0.000891139    -0.000856039
     -0.00116276     -0.00109759
      -0.0009871     -0.00116312
     -0.00116728     -0.00134676
     -0.00136889     -0.00147994
    -0.000463915    -0.000474822
    -0.000630029      -0.0006477
    -0.000224021    -0.000179733
     -0.00048939    -0.000411305
    -0.000157228    -0.000140265
    -0.000934107     -0.00105212
    -0.000587408    -0.000549605
    -0.000923804    -0.000989973
     -0.00030905    -0.000244177
    -0.000257211    -0.000220564
     -0.00167048     -0.00193204
    -0.000657221    -0.000600393
     -0.00160135     -0.00168399
    -0.000942946    -0.000893726
    -0.000244284    -0.000222577
    -0.000485702    -0.000433823
    -0.000394783    -0.000385588
    -0.000327129    -0.000265853
    -0.000675043    -0.000722857
    -0.000758113     -0.00073729
    -0.000285605    -0.000250253
    -0.000974213     -0.00094857
    -0.000461757    -0.000410006
    -0.000235645    -0.000215192
    -0.000488412     -0.00045027
     -0.00128742     -0.00137619
    -0.000232197    -0.000207403
    -0.000227649    -0.000196252
     -0.00027567    -0.000224443
    -0.000705563    -0.000624673
    -0.000241044    -0.000295827
    -0.000507601    -0.000633993
     -0.00130247     -0.00142715
     -0.00135622     -0.00131686
     -0.00152703     -0.00139655
     -0.00036598    -0.000326673
    -0.000173085     -0.00016541
    -0.000444864    -0.000442917
    -0.000535988    -0.000492305
    -0.000416548    -0.000422625
    -0.000243094    -0.000201584
    -0.000577648    -0.000554846
    -0.000293946    -0.000258426
    -0.000362784    -0.000365785
    -0.000204881     -0.00018737
     -0.00147619     -0.00148864
    -0.000458222    -0.000534801
     -0.00318911     -0.00293464
     -0.00114775     -0.00130506
    -0.000557311    -0.000476482
     -0.00121716     -0.00115518
    -0.000414292    -0.000353549
    -0.000675798    -0.000618552
     -0.00140967     -0.00134235
    -0.000445892      -0.0004204
    -0.000395292    -0.000324178
    -0.000605167     -0.00055346
     -0.00109165     -0.00120543
    -0.000117739    -0.000102848
    -0.000279501    -0.000265822
    -0.000394351    -0.000342492
    -0.000659952    -0.000649684
     -0.00026675    -0.000224435
    -0.000681801    -0.000730844
     -0.00116951     -0.00128704
    -0.000822356    -0.000820336
    -0.000135924    -0.000109025
    -0.000605596    -0.000584345
    -0.000942616    -0.000914088
    -0.000267333    -0.000237172
     -0.00107899      -0.0010985
    -0.000659364    -0.000695774
    -0.000669903    -0.000789241
     -0.00161334     -0.00174012
    -0.000295347    -0.000292592
     -0.00141042     -0.00158394
     -0.00106601     -0.00118114
     -0.00262038     -0.00289962
    -0.000443958    -0.000431641
    -0.000264822    -0.000236422
     -0.00022051    -0.000206864
    -0.000584808    -0.000564166
    -0.000456651    -0.000374236
    -0.000152098    -0.000134898
    -0.000409181    -0.000327889
     -0.00143959     -0.00151099
    -0.000543084    -0.000473173
    -0.000309407    -0.000269889
    -0.000732496    -0.000744907
     -0.00016747    -0.000143787
    -0.000132626     -0.00011842
     -0.00125777     -0.00120683
    -0.000422693    -0.000372515
    -0.000938841    -0.000913169
    -0.000271324    -0.000257799
    -0.000452852    -0.000369541
     -0.00124542     -0.00125719
    -0.000189091    -0.000170086
    -0.000383326    -0.000323721
    -0.000287265    -0.000253475
    -0.000163576    -0.000192431
    -0.000597649    -0.000501872
    -0.000321448    -0.000285423
    -0.000239965    -0.000217151
    -0.000124392    -0.000123905
      -0.0005531     -0.00054508
    -0.000187962    -0.000175688
    -0.000748338    -0.000700455
    -0.000793923    -0.000775652
    -0.000428243    -0.000393094
    -0.000651087    -0.000578416
     -0.00022393    -0.000208324
    -0.000756931    -0.000720241
     -0.00103628     -0.00116742
    -0.000161161    -0.000136469
     -0.00218765     -0.00196647
    -0.000729636    -0.000650311
     -0.00179281     -0.00173464
    -0.000663231    -0.000661627
    -0.000859086    -0.000896728
     -0.00169537     -0.00164038
    -0.000275324    -0.000221244
    -0.000681839    -0.000682689
     -0.00128503     -0.00160859
    -0.000366119    -0.000302422
    -0.000569356    -0.000523827
    -0.000615155    -0.000680195
    -0.000424113    -0.000366529
    -0.000210438    -0.000167872
    -0.000208803    -0.000193061
     -0.00105996     -0.00115396
    -0.000272119    -0.000245816
    -0.000843687    -0.000811663
      -0.0001609    -0.000137049
    -0.000441082     -0.00043354
    -0.000868474    -0.000817855
    -0.000454428    -0.000377583
    -0.000352057    -0.000313585
    -0.000129422    -0.000115995
    -0.000675482    -0.000617216
     -0.00104942     -0.00113142
     -0.00102144     -0.00115049
    -0.000683093    -0.000643247
     -0.00124866     -0.00137522
    -0.000194707    -0.000171922
    -0.000378022    -0.000330545
    -0.000487366    -0.000454813
    -0.000232661    -0.000228929
    -0.000236303    -0.000237212
    -0.000997709     -0.00094409
    -0.000566166    -0.000542373
    -0.000326445    -0.000301299
    -0.000164185     -0.00014113
    -0.000660566    -0.000589402
    -0.000456533    -0.000436306
       -0.001276     -0.00147062
    -0.000344935    -0.000286489
    -0.000167101    -0.000164702
    -0.000257237    -0.000244839
    -0.000172411    -0.000152779
    -0.000244857    -0.000220703
    -0.000674834    -0.000676903
    -0.000233665    -0.000201068
    -0.000536859     -0.00053662
    -0.000370096    -0.000411475
     -0.00144058     -0.00150052
     -0.00017272    -0.000145823
    -0.000651609    -0.000689777
     -0.00148206     -0.00145328
    -0.000371007    -0.000340912
    -0.000613259    -0.000617239
    -0.000484188    -0.000485439
    -0.000272791    -0.000248631
     -0.00124427     -0.00124479
     -0.00102699     -0.00115595
     -0.00211657     -0.00225304
    -0.000319885    -0.000298152
    -0.000250512    -0.000249388
    -0.000219317    -0.000203552
    -0.000258456    -0.000222897
    -0.000437332    -0.000413961
    -0.000409339    -0.000381483
    -0.000843107    -0.000769535
     -0.00064355    -0.000628413
    -0.000829183    -0.000848034
    -0.000235547    -0.000212482
    -0.000428074    -0.000371177
     -0.00117311     -0.00139686
    -0.000813005    -0.000791794
      -0.0004911    -0.000521719
    -0.000391668     -0.00033259
    -0.000139823    -0.000134339
    -0.000320074    -0.000269357
      -0.0012274     -0.00122077
     -6.2192e-05    -5.79619e-05
    -0.000589103    -0.000558076
     -7.5893e-05    -7.00913e-05
    -0.000692327    -0.000642435
    -0.000330651     -0.00028016
     -0.00128453     -0.00129654
    -0.000532406    -0.000580444
     -0.00186437     -0.00207125
    -0.000583468    -0.000499326
    -0.000432219    -0.000370213
    -0.000349705    -0.000296905
    -0.000316789    -0.000291226
    -0.000697013    -0.000702597
    -0.000580128    -0.000507487
    -0.000332439    -0.000405107
    -0.000292536    -0.000253345
    -0.000423582    -0.000373769
    -0.000772927    -0.000881823
    -0.000345659    -0.000298749
    -0.000334226    -0.000297883
    -0.000772884    -0.000803436
    -0.000636942    -0.000617578
    -0.000396725    -0.000379731
    -0.000733916    -0.000667817
    -0.000464016    -0.000463683
     -0.00076493    -0.000734067
    -0.000531646    -0.000508427
     -0.00025803    -0.000230384
    -0.000109995    -0.000111559
    -0.000166112    -0.000132824
    -0.000313916    -0.000343635
    -0.000223326    -0.000188893
    -0.000429194    -0.000365705
    -0.000471962    -0.000529034
    -0.000528494    -0.000511924
    -0.000491486    -0.000489505
    -0.000367976    -0.000422869
     -8.9381e-05    -8.45728e-05
    -0.000720455    -0.000943906
    -0.000245856    -0.000224238
    -0.000979066     -0.00111217
    -0.000265885    -0.000219295
     -0.00149095     -0.00157002
    -0.000563198    -0.000517656
    -0.000541114    -0.000578476
      -0.0013413     -0.00167277
     -0.00213089     -0.00199942
     -0.00088999     -0.00094616
     -0.00133973     -0.00133615
    -0.000577362      -0.0005348
    -0.000267766    -0.000238166
      -0.0027149      -0.0023725
      -0.0010047     -0.00109892
      -0.0015709     -0.00199219
     -0.00030276    -0.000240819
    -0.000676116    -0.000754295
    -0.000906376    -0.000857824
    -0.000206618    -0.000166444
    -0.000720279    -0.000656447
    -0.000559571    -0.000498952
     -0.00028013    -0.000273934
    -0.000283304    -0.000247312
    -0.000283584    -0.000245937
     -0.00152452     -0.00163009
    -0.000248139    -0.000196578
     -0.00152026     -0.00145474
    -0.000536255    -0.000492416
    -0.000674859     -0.00061957
     -0.00101282    -0.000980735
    -0.000215253    -0.000174732
    -0.000249383    -0.000194915
      -0.0016704     -0.00156337
    -0.000246526    -0.000204634
     -0.00152122     -0.00145983
     -0.00206939      -0.0019522
    -0.000640805    -0.000734133
    -0.000252922    -0.000208848
    -0.000918866    -0.000865284
     -0.00025647    -0.000231652
    -0.000240537     -0.00020703
    -0.000295079      -0.0002431
     -0.00109562     -0.00103529
     -0.00143155     -0.00154827
     -0.00125104     -0.00143429
     -0.00183557     -0.00226507
    -0.000227959    -0.000207146
     -0.00032233    -0.000341401
    -0.000188621    -0.000176616
    -0.000136509    -0.000121807
     -0.00169521     -0.00153549
     -0.00145323     -0.00135345
    -0.000608708    -0.000546183
    -0.000261599    -0.000230832
     -0.00197857     -0.00220669
    -0.000316746    -0.000287356
    -0.000167519    -0.000150967
     -0.00128736     -0.00130904
    -0.000838145     -0.00113326
     -0.00014629    -0.000130467
    -0.000810172    -0.000796077
    -0.000508839    -0.000560172
    -0.000258919    -0.000218943
     -0.00105064      -0.0010041
    -0.000221327    -0.000187856
    -0.000987896     -0.00108348
    -0.000668535     -0.00072727
    -0.000250727    -0.000214106
    -0.000440218    -0.000380855
    -0.000231418    -0.000187574
    -0.000490011    -0.000450944
    -0.000218692    -0.000184929
     -0.00100163     -0.00109995
     -0.00186228     -0.00188276
    -0.000183679    -0.000172831
    -0.000213182    -0.000194353
    -0.000835112    -0.000809653
    -0.000190386    -0.000159812
     -0.00129951     -0.00168041
    -0.000512144    -0.000441734
    -0.000250605    -0.000219495
     -0.00221512     -0.00220336
    -0.000181584    -0.000160469
    -0.000168407    -0.000146597
     -0.00151735     -0.00149002
    -0.000228798    -0.000217693
    -0.000791016    -0.000750987
    -0.000848813    -0.000819005
     -0.00230077     -0.00255683
    -0.000475346    -0.000459412
    -0.000248221    -0.000251122
    -0.000487136    -0.000517137
    -0.000165024     -0.00014348
     -0.00159567     -0.00153625
     -0.00075526    -0.000697757
    -0.000293441    -0.000270568
    -0.000439153    -0.000378393
    -0.000120359    -0.000116032
    -0.000467321    -0.000432066
    -0.000725584      -0.0007424
    -0.000529889    -0.000529177
    -0.000188944    -0.000171088
    -0.000918763     -0.00096123
