QM Energy	FF Energy
     -4.0779e-05    -5.75384e-05
     -0.00190422     -0.00213434
    -0.000129784    -0.000164127
     -0.00115343     -0.00112843
     -1.6706e-05    -3.42481e-05
     -6.1319e-05    -8.26015e-05
     -0.00184399     -0.00170578
    -0.000903235    -0.000870048
     -1.8054e-05    -2.08794e-05
     -7.8885e-05    -9.18529e-05
    -0.000183839     -0.00018757
    -0.000211991    -0.000246549
     -0.00111737     -0.00110307
     -0.00339417     -0.00298171
      -1.789e-05    -1.94333e-05
     -2.3628e-05    -3.38111e-05
     -4.1969e-05    -4.73253e-05
     -0.00125652     -0.00113799
     -0.00113641     -0.00104938
     -0.00122506     -0.00124959
     -0.00123772     -0.00118235
    -0.000880594     -0.00091376
     -0.00123347     -0.00111792
    -0.000373778    -0.000422894
    -0.000575605    -0.000578512
      -5.546e-06    -1.32919e-05
     -3.5395e-05    -5.01575e-05
     -2.4599e-05    -2.98933e-05
    -0.000947081    -0.000927955
    -0.000236013    -0.000279647
    -0.000564468    -0.000489445
       7.272e-06    -5.08089e-06
     -1.6101e-05    -2.14554e-05
     -0.00155417     -0.00153751
    -0.000310377    -0.000357872
     -0.00115625     -0.00117351
     -0.00059792    -0.000647731
     -5.1431e-05    -6.72422e-05
     -8.6609e-05    -0.000110206
     -0.00012692    -0.000169762
       1.382e-05    -8.21556e-07
     -0.00060044    -0.000646198
    -0.000883076    -0.000876117
     -1.6376e-05    -2.60058e-05
    -0.000508394    -0.000572704
     -7.4684e-05     -9.9319e-05
     -3.9985e-05    -4.85652e-05
    -0.000140786    -0.000177204
     -0.00123851     -0.00116342
     -4.5362e-05    -5.68927e-05
     -2.3138e-05    -2.96897e-05
       9.524e-06    -1.91744e-06
    -0.000166372    -0.000185276
    -0.000279114    -0.000283553
    -0.000737263    -0.000671036
     -0.00126781     -0.00130625
     -0.00184061     -0.00184192
     -0.00168776     -0.00167125
     -7.4142e-05    -9.19762e-05
     -7.8216e-05    -8.55022e-05
    -0.000358929    -0.000346698
    -0.000182891    -0.000205507
