QM Energy	FF Energy
     -4.0779e-05    -5.69421e-05
     -0.00190422      -0.0021199
    -0.000129784     -0.00016605
     -0.00115343     -0.00112239
     -1.6706e-05     -3.6941e-05
     -6.1319e-05    -8.37613e-05
     -0.00184399     -0.00173678
    -0.000903235    -0.000876454
     -1.8054e-05    -2.10641e-05
     -7.8885e-05    -9.15266e-05
    -0.000183839    -0.000189587
    -0.000211991    -0.000247728
     -0.00111737     -0.00109681
     -0.00339417     -0.00301586
      -1.789e-05    -1.93187e-05
     -2.3628e-05    -3.56044e-05
     -4.1969e-05     -4.6905e-05
     -0.00125652     -0.00114838
     -0.00113641     -0.00105127
     -0.00122506     -0.00124146
     -0.00123772     -0.00117351
    -0.000880594    -0.000913605
     -0.00123347     -0.00113436
    -0.000373778    -0.000425132
    -0.000575605    -0.000577209
      -5.546e-06    -1.32733e-05
     -3.5395e-05    -4.98206e-05
     -2.4599e-05    -2.99525e-05
    -0.000947081    -0.000932841
    -0.000236013    -0.000276546
    -0.000564468     -0.00049502
       7.272e-06    -5.84489e-06
     -1.6101e-05    -2.07191e-05
     -0.00155417     -0.00153767
    -0.000310377    -0.000352072
     -0.00115625     -0.00116343
     -0.00059792    -0.000642739
     -5.1431e-05    -6.81009e-05
     -8.6609e-05     -0.00010789
     -0.00012692    -0.000168427
       1.382e-05    -1.97383e-06
     -0.00060044    -0.000642092
    -0.000883076    -0.000863251
     -1.6376e-05    -2.52798e-05
    -0.000508394    -0.000576414
     -7.4684e-05    -9.78422e-05
     -3.9985e-05    -4.81321e-05
    -0.000140786    -0.000176529
     -0.00123851     -0.00116556
     -4.5362e-05     -5.6561e-05
     -2.3138e-05    -2.86423e-05
       9.524e-06      -3.175e-06
    -0.000166372     -0.00018144
    -0.000279114    -0.000285696
    -0.000737263    -0.000678469
     -0.00126781     -0.00129796
     -0.00184061     -0.00183388
     -0.00168776     -0.00168592
     -7.4142e-05    -9.05413e-05
     -7.8216e-05    -8.63627e-05
    -0.000358929    -0.000344247
    -0.000182891    -0.000202987
    -0.000342846    -0.000310772
      -6.877e-05    -7.40335e-05
    -0.000268619     -0.00029087
     -3.3365e-05      -4.114e-05
    -0.000162997    -0.000181827
     -1.8479e-05    -2.89657e-05
     -0.00111426     -0.00116066
    -0.000841283    -0.000705871
     -0.00300306     -0.00362065
     -0.00078162    -0.000690358
     -2.9952e-05    -6.07468e-05
    -0.000880709    -0.000972236
     -5.3785e-05    -6.30714e-05
    -0.000285228    -0.000311024
     -0.00186557      -0.0018334
    -0.000121602    -0.000156409
     -1.1742e-05    -3.33104e-05
    -0.000149275    -0.000189089
    -0.000859389    -0.000782757
     -1.2619e-05    -1.35669e-05
     -5.2167e-05    -7.43609e-05
     -9.4982e-05    -0.000117124
    -0.000475159    -0.000481078
     -3.4824e-05    -4.51023e-05
    -0.000714817    -0.000644003
     -0.00119501     -0.00119495
    -0.000576284    -0.000563349
     -2.0974e-05    -2.34636e-05
    -0.000312059    -0.000366809
    -0.000421286    -0.000412086
     -3.7578e-05    -5.26527e-05
     -0.00129464     -0.00124976
    -0.000486909    -0.000565967
    -0.000741191    -0.000721431
     -0.00140307     -0.00143265
    -0.000228045    -0.000250609
      -0.0017683     -0.00177972
    -0.000439244    -0.000498559
     -0.00272599     -0.00315805
    -0.000131496    -0.000184296
     -2.7324e-05    -3.85795e-05
     -3.6755e-05    -4.64622e-05
     -0.00030616    -0.000324092
     -3.1596e-05    -4.16176e-05
     -1.7612e-05    -2.05488e-05
     -4.5978e-05    -5.74007e-05
     -0.00179941      -0.0017917
     -5.5061e-05    -8.08097e-05
     -4.1838e-05    -4.85939e-05
    -0.000365584    -0.000418316
     -1.6361e-05    -2.61231e-05
     -1.5021e-05     -1.8338e-05
     -0.00177997     -0.00164045
     -9.8054e-05    -0.000108802
    -0.000372783    -0.000374297
     -8.2124e-05    -9.21232e-05
      -7.867e-06    -2.52907e-05
     -0.00134779     -0.00138166
      -4.723e-05    -4.90923e-05
     -2.6095e-05    -4.47515e-05
     -4.6931e-05    -5.76578e-05
    -0.000174549    -0.000193557
     -4.0878e-05    -6.55244e-05
     -5.6757e-05    -6.94008e-05
     -2.8048e-05    -3.69963e-05
     -5.7344e-05    -6.58998e-05
    -0.000359919    -0.000379099
     -6.4816e-05    -7.91332e-05
    -0.000143985    -0.000179377
    -0.000278515    -0.000278468
     -7.7489e-05    -9.89019e-05
    -0.000139435    -0.000147149
     -2.4205e-05    -3.65509e-05
    -0.000222176    -0.000276494
     -0.00130951     -0.00120502
     -1.1268e-05    -1.53738e-05
     -0.00218568     -0.00172381
    -0.000235741    -0.000241382
     -0.00179225     -0.00185458
    -0.000476113    -0.000472784
    -0.000880167    -0.000838677
       -0.002004     -0.00223871
       7.238e-06    -3.33126e-06
    -0.000566043    -0.000576711
    -0.000983091     -0.00103666
     -1.0434e-05    -2.47068e-05
    -0.000134406     -0.00016741
     -0.00066362    -0.000597262
    -0.000179913    -0.000177238
       8.333e-06     9.30946e-07
     -3.8929e-05     -4.8816e-05
    -0.000836242    -0.000867138
     -7.3957e-05    -7.94002e-05
    -0.000502616    -0.000589899
     -2.8803e-05    -3.24283e-05
    -0.000220392    -0.000221972
    -0.000513261    -0.000526017
      -3.189e-05    -4.40313e-05
     -6.6797e-05    -8.29817e-05
     -1.9385e-05    -2.08615e-05
    -0.000179011    -0.000177019
     -0.00080937    -0.000864658
    -0.000607231    -0.000628975
    -0.000252395    -0.000312111
     -0.00106896     -0.00114782
     -3.3376e-05    -3.92736e-05
     -8.4777e-05    -9.38511e-05
    -0.000169085    -0.000195042
     -6.0094e-05    -7.33225e-05
    -0.000143664    -0.000151271
     -0.00105499     -0.00100413
    -0.000199506    -0.000254337
     -4.1829e-05    -6.16862e-05
     -2.1742e-05    -2.38173e-05
    -0.000268674    -0.000282513
    -0.000256984    -0.000244878
     -0.00114461     -0.00108822
     -1.5737e-05     -2.7058e-05
     -5.4816e-05    -5.90073e-05
     -6.4551e-05     -7.5891e-05
     -3.1883e-05    -3.66948e-05
     -4.5419e-05    -5.39304e-05
    -0.000480887     -0.00049593
     -2.4838e-05    -3.07517e-05
    -0.000275081    -0.000318227
    -0.000202022      -0.0001926
     -0.00162587     -0.00150691
     -1.1835e-05    -1.66798e-05
    -0.000602074    -0.000565873
     -0.00170282     -0.00175469
    -0.000109464    -0.000124349
    -0.000330383    -0.000405596
    -0.000375842    -0.000355792
     -5.6362e-05    -6.84412e-05
     -0.00148967     -0.00151611
     -0.00135931     -0.00130051
     -0.00236816     -0.00206022
     -7.0299e-05    -8.82418e-05
    -0.000141614    -0.000167745
     -5.9059e-05    -7.14226e-05
     -2.1718e-05      -2.855e-05
    -0.000184868    -0.000203287
    -0.000154043    -0.000161499
    -0.000533433    -0.000538144
     -0.00036058    -0.000405596
     -0.00103414     -0.00101149
     -4.0524e-05    -5.09109e-05
     -4.2576e-05    -6.26743e-05
    -0.000723082    -0.000821584
    -0.000162509     -0.00021857
    -0.000467139    -0.000456076
     -1.5692e-05    -3.50116e-05
     -4.3297e-05    -5.66591e-05
     -8.5987e-05    -9.20848e-05
     -0.00195306     -0.00171515
     -1.5823e-05    -2.11679e-05
    -0.000248926    -0.000300027
     -2.3615e-05     -3.0734e-05
    -0.000215268    -0.000251289
     -2.5268e-05    -3.38251e-05
     -0.00115267      -0.0011403
    -0.000629841    -0.000659999
     -0.00217486     -0.00215704
     -4.0579e-05    -6.41064e-05
     -5.4844e-05    -6.70775e-05
      -5.642e-06    -2.01549e-05
    -0.000104418    -0.000117373
    -0.000478376    -0.000536268
    -0.000116233    -0.000130194
    -0.000347938     -0.00033677
     -7.1448e-05    -7.87039e-05
     -5.9272e-05    -8.94303e-05
    -0.000794261    -0.000794518
    -0.000114425    -0.000117662
     -4.2987e-05     -5.8808e-05
    -0.000498595    -0.000483624
    -0.000332144    -0.000346478
    -0.000162609     -0.00018678
    -0.000173787     -0.00016317
    -0.000215718    -0.000259415
     -0.00044456     -0.00051627
    -0.000258426    -0.000296544
     -7.5468e-05    -8.34763e-05
     -4.2425e-05    -4.91497e-05
     -1.8522e-05    -2.15123e-05
     -0.00015167    -0.000160693
     -1.3707e-05    -2.04635e-05
      1.2829e-05    -1.70455e-05
    -0.000382696    -0.000365268
    -0.000292631     -0.00029957
    -0.000350194     -0.00035406
    -0.000575531    -0.000576049
     -4.3621e-05     -5.4431e-05
      -0.0010233     -0.00103782
     -6.0935e-05    -6.80985e-05
     -0.00120605      -0.0012586
       3.391e-06    -6.55209e-06
     -0.00146687     -0.00157374
      -8.738e-06    -6.90839e-05
    -0.000440141    -0.000440112
      -0.0012282     -0.00122345
     -0.00237483     -0.00251045
    -0.000803191     -0.00075574
     -0.00156917     -0.00153014
    -0.000136796    -0.000174392
     -6.0843e-05    -6.86644e-05
     -0.00270563      -0.0031518
    -0.000368257    -0.000470521
     -0.00214263     -0.00165776
       1.069e-05    -2.11022e-06
    -0.000771216    -0.000733284
    -0.000362021    -0.000404863
       1.051e-05     3.05385e-06
    -0.000229033    -0.000231296
     -8.4723e-05    -0.000103906
    -0.000147198    -0.000152496
     -5.3688e-05    -6.49771e-05
     -7.1824e-05    -7.86673e-05
     -0.00189192      -0.0017938
       4.272e-06    -7.17123e-06
     -0.00162395     -0.00155289
     -0.00019317    -0.000201411
    -0.000312061    -0.000327026
    -0.000893409    -0.000908255
       8.852e-06     6.32366e-07
       -9.54e-07    -1.32573e-05
     -0.00189673     -0.00193141
     -2.9809e-05    -3.77608e-05
     -0.00123062     -0.00120636
     -0.00176659     -0.00198678
    -0.000775975    -0.000726129
       2.233e-06    -7.19085e-06
    -0.000549631    -0.000493176
       -4.93e-05    -6.03259e-05
     -4.3439e-05    -5.11987e-05
      1.0632e-05    -3.37006e-06
     -0.00103125    -0.000985702
     -0.00187846     -0.00174979
     -0.00153446     -0.00142242
     -0.00205567     -0.00206836
     -4.2328e-05    -4.99777e-05
    -0.000169025    -0.000192843
     -5.4299e-05    -7.08683e-05
      -9.062e-06    -1.26652e-05
     -0.00234042     -0.00235377
     -0.00178808      -0.0017146
    -0.000187401     -0.00021357
     -2.4866e-05    -2.96404e-05
     -0.00172172     -0.00136246
     -9.2543e-05    -9.73216e-05
     -2.0976e-05    -2.68737e-05
     -0.00175501     -0.00168919
     -0.00125171     -0.00110936
     -1.3782e-05    -1.78808e-05
    -0.000308238    -0.000299781
    -0.000327298    -0.000347701
      -1.488e-06    -1.14908e-05
