QM Energy	FF Energy
     -4.0779e-05     -5.6945e-05
     -0.00190422     -0.00212005
    -0.000129784    -0.000166032
     -0.00115343     -0.00112239
     -1.6706e-05    -3.69356e-05
     -6.1319e-05    -8.37716e-05
     -0.00184399     -0.00173673
    -0.000903235    -0.000876452
     -1.8054e-05    -2.10643e-05
     -7.8885e-05     -9.1527e-05
    -0.000183839    -0.000189625
    -0.000211991    -0.000247725
     -0.00111737      -0.0010968
     -0.00339417     -0.00301589
      -1.789e-05     -1.9319e-05
     -2.3628e-05    -3.56285e-05
     -4.1969e-05    -4.69214e-05
     -0.00125652     -0.00114843
     -0.00113641     -0.00105123
     -0.00122506     -0.00124145
     -0.00123772     -0.00117352
    -0.000880594    -0.000913637
     -0.00123347     -0.00113421
    -0.000373778    -0.000425133
    -0.000575605    -0.000577205
      -5.546e-06     -1.3277e-05
     -3.5395e-05    -4.98322e-05
     -2.4599e-05    -2.99616e-05
    -0.000947081    -0.000932834
    -0.000236013    -0.000276547
    -0.000564468    -0.000495036
       7.272e-06    -5.84373e-06
     -1.6101e-05    -2.07386e-05
     -0.00155417     -0.00153767
    -0.000310377     -0.00035209
     -0.00115625     -0.00116342
     -0.00059792    -0.000642734
     -5.1431e-05    -6.80988e-05
     -8.6609e-05    -0.000107884
     -0.00012692    -0.000168428
       1.382e-05    -1.96125e-06
     -0.00060044    -0.000642093
    -0.000883076    -0.000863232
     -1.6376e-05    -2.52851e-05
    -0.000508394    -0.000576407
     -7.4684e-05    -9.78225e-05
     -3.9985e-05    -4.81283e-05
    -0.000140786    -0.000176531
     -0.00123851     -0.00116549
     -4.5362e-05    -5.65592e-05
     -2.3138e-05    -2.86386e-05
       9.524e-06     -3.1718e-06
    -0.000166372     -0.00018144
    -0.000279114     -0.00028569
    -0.000737263    -0.000678459
     -0.00126781     -0.00129796
     -0.00184061      -0.0018339
     -0.00168776     -0.00168592
     -7.4142e-05     -9.0532e-05
     -7.8216e-05    -8.63644e-05
    -0.000358929    -0.000344247
    -0.000182891    -0.000202985
    -0.000342846    -0.000310784
      -6.877e-05    -7.40404e-05
    -0.000268619    -0.000290877
     -3.3365e-05    -4.11371e-05
    -0.000162997    -0.000181818
     -1.8479e-05    -2.89652e-05
     -0.00111426     -0.00116066
    -0.000841283    -0.000705873
     -0.00300306     -0.00362069
     -0.00078162    -0.000690364
     -2.9952e-05    -6.07466e-05
    -0.000880709     -0.00097223
     -5.3785e-05    -6.30756e-05
    -0.000285228    -0.000311053
     -0.00186557      -0.0018333
    -0.000121602    -0.000156408
     -1.1742e-05    -3.33086e-05
    -0.000149275    -0.000189089
    -0.000859389    -0.000782739
     -1.2619e-05    -1.35671e-05
     -5.2167e-05     -7.4362e-05
     -9.4982e-05    -0.000117103
    -0.000475159    -0.000481112
     -3.4824e-05     -4.5113e-05
    -0.000714817    -0.000644017
     -0.00119501     -0.00119492
    -0.000576284    -0.000563349
     -2.0974e-05     -2.3464e-05
    -0.000312059    -0.000366803
    -0.000421286     -0.00041209
     -3.7578e-05    -5.26489e-05
     -0.00129464     -0.00124951
    -0.000486909    -0.000565968
    -0.000741191    -0.000721416
     -0.00140307     -0.00143264
    -0.000228045    -0.000250611
      -0.0017683     -0.00177971
    -0.000439244    -0.000498574
     -0.00272599     -0.00315805
    -0.000131496    -0.000184292
     -2.7324e-05    -3.85588e-05
     -3.6755e-05    -4.64608e-05
     -0.00030616    -0.000324093
     -3.1596e-05    -4.16173e-05
     -1.7612e-05    -2.05505e-05
     -4.5978e-05    -5.74052e-05
     -0.00179941      -0.0017917
     -5.5061e-05    -8.08133e-05
     -4.1838e-05    -4.85896e-05
    -0.000365584    -0.000418334
     -1.6361e-05    -2.61293e-05
     -1.5021e-05    -1.83307e-05
     -0.00177997     -0.00164029
     -9.8054e-05    -0.000108806
    -0.000372783     -0.00037429
     -8.2124e-05    -9.21229e-05
      -7.867e-06    -2.52984e-05
     -0.00134779     -0.00138166
      -4.723e-05    -4.90958e-05
     -2.6095e-05    -4.47488e-05
     -4.6931e-05    -5.76436e-05
    -0.000174549    -0.000193557
     -4.0878e-05    -6.55219e-05
     -5.6757e-05    -6.94058e-05
     -2.8048e-05    -3.69919e-05
     -5.7344e-05    -6.58932e-05
    -0.000359919    -0.000379101
     -6.4816e-05    -7.91351e-05
    -0.000143985     -0.00017937
    -0.000278515    -0.000278464
     -7.7489e-05    -9.89009e-05
    -0.000139435    -0.000147164
     -2.4205e-05    -3.65461e-05
    -0.000222176    -0.000276499
     -0.00130951       -0.001205
     -1.1268e-05     -1.5375e-05
     -0.00218568     -0.00172378
    -0.000235741    -0.000241388
     -0.00179225     -0.00185457
    -0.000476113    -0.000472781
    -0.000880167    -0.000838672
       -0.002004     -0.00223876
       7.238e-06    -3.33048e-06
    -0.000566043    -0.000576725
    -0.000983091     -0.00103668
     -1.0434e-05    -2.47078e-05
    -0.000134406    -0.000167386
     -0.00066362    -0.000597264
    -0.000179913    -0.000177241
       8.333e-06     9.35149e-07
     -3.8929e-05    -4.88161e-05
    -0.000836242    -0.000867147
     -7.3957e-05    -7.94043e-05
    -0.000502616     -0.00058989
     -2.8803e-05    -3.24298e-05
    -0.000220392    -0.000221978
    -0.000513261    -0.000526016
      -3.189e-05    -4.40309e-05
     -6.6797e-05      -8.298e-05
     -1.9385e-05    -2.08624e-05
    -0.000179011     -0.00017703
     -0.00080937    -0.000864661
    -0.000607231    -0.000628957
    -0.000252395     -0.00031211
     -0.00106896     -0.00114778
     -3.3376e-05    -3.92725e-05
     -8.4777e-05    -9.38493e-05
    -0.000169085    -0.000195035
     -6.0094e-05    -7.33339e-05
    -0.000143664    -0.000151271
     -0.00105499     -0.00100412
    -0.000199506    -0.000254339
     -4.1829e-05     -6.1684e-05
     -2.1742e-05    -2.38171e-05
    -0.000268674    -0.000282517
    -0.000256984    -0.000244852
     -0.00114461     -0.00108824
     -1.5737e-05    -2.70463e-05
     -5.4816e-05    -5.90072e-05
     -6.4551e-05    -7.58971e-05
     -3.1883e-05    -3.66909e-05
     -4.5419e-05    -5.39331e-05
    -0.000480887    -0.000495965
     -2.4838e-05    -3.07696e-05
    -0.000275081    -0.000318225
    -0.000202022     -0.00019261
     -0.00162587     -0.00150688
     -1.1835e-05    -1.66739e-05
    -0.000602074    -0.000565851
     -0.00170282     -0.00175471
    -0.000109464     -0.00012435
    -0.000330383     -0.00040559
    -0.000375842    -0.000355797
     -5.6362e-05    -6.84416e-05
     -0.00148967      -0.0015161
     -0.00135931     -0.00130047
     -0.00236816      -0.0020602
     -7.0299e-05    -8.82323e-05
    -0.000141614    -0.000167744
     -5.9059e-05    -7.14213e-05
     -2.1718e-05    -2.85483e-05
    -0.000184868    -0.000203284
    -0.000154043    -0.000161487
    -0.000533433    -0.000538137
     -0.00036058    -0.000405599
     -0.00103414     -0.00101148
     -4.0524e-05    -5.09105e-05
     -4.2576e-05    -6.27342e-05
    -0.000723082    -0.000821493
    -0.000162509    -0.000218576
    -0.000467139    -0.000456076
     -1.5692e-05    -3.50121e-05
     -4.3297e-05    -5.66528e-05
     -8.5987e-05    -9.20823e-05
     -0.00195306     -0.00171514
     -1.5823e-05    -2.11523e-05
    -0.000248926    -0.000300031
     -2.3615e-05      -3.073e-05
    -0.000215268    -0.000251253
     -2.5268e-05    -3.38254e-05
     -0.00115267     -0.00114028
    -0.000629841    -0.000659993
     -0.00217486     -0.00215707
     -4.0579e-05    -6.40872e-05
     -5.4844e-05    -6.70972e-05
      -5.642e-06    -2.01604e-05
    -0.000104418    -0.000117372
    -0.000478376     -0.00053633
    -0.000116233    -0.000130215
    -0.000347938     -0.00033677
     -7.1448e-05    -7.87047e-05
     -5.9272e-05    -8.94263e-05
    -0.000794261    -0.000794542
    -0.000114425    -0.000117667
     -4.2987e-05    -5.88005e-05
    -0.000498595    -0.000483673
    -0.000332144    -0.000346473
    -0.000162609    -0.000186783
    -0.000173787    -0.000163163
    -0.000215718    -0.000259395
     -0.00044456    -0.000516267
    -0.000258426     -0.00029654
     -7.5468e-05    -8.34784e-05
     -4.2425e-05     -4.9147e-05
     -1.8522e-05    -2.15184e-05
     -0.00015167    -0.000160698
     -1.3707e-05    -2.04412e-05
      1.2829e-05     -1.7045e-05
    -0.000382696     -0.00036526
    -0.000292631    -0.000299567
    -0.000350194     -0.00035404
    -0.000575531    -0.000576042
     -4.3621e-05    -5.44299e-05
      -0.0010233     -0.00103782
     -6.0935e-05    -6.80967e-05
     -0.00120605     -0.00125861
       3.391e-06    -6.54456e-06
     -0.00146687     -0.00157373
      -8.738e-06    -6.90966e-05
    -0.000440141    -0.000440126
      -0.0012282     -0.00122349
     -0.00237483     -0.00251043
    -0.000803191    -0.000755737
     -0.00156917     -0.00153013
    -0.000136796    -0.000174407
     -6.0843e-05    -6.86638e-05
     -0.00270563     -0.00315193
    -0.000368257    -0.000470508
     -0.00214263     -0.00165779
       1.069e-05    -2.10237e-06
    -0.000771216    -0.000733269
    -0.000362021    -0.000404858
       1.051e-05     3.05241e-06
    -0.000229033     -0.00023131
     -8.4723e-05    -0.000103913
    -0.000147198    -0.000152496
     -5.3688e-05    -6.49705e-05
     -7.1824e-05     -7.8668e-05
     -0.00189192     -0.00179379
       4.272e-06    -7.17169e-06
     -0.00162395     -0.00155288
     -0.00019317    -0.000201403
    -0.000312061    -0.000327028
    -0.000893409    -0.000908244
       8.852e-06     6.33861e-07
       -9.54e-07    -1.32507e-05
     -0.00189673     -0.00193139
     -2.9809e-05    -3.77559e-05
     -0.00123062     -0.00120633
     -0.00176659     -0.00198678
    -0.000775975    -0.000726122
       2.233e-06    -7.19061e-06
    -0.000549631    -0.000493009
       -4.93e-05    -6.03273e-05
     -4.3439e-05    -5.11986e-05
      1.0632e-05    -3.36733e-06
     -0.00103125    -0.000985698
     -0.00187846     -0.00174979
     -0.00153446     -0.00142242
     -0.00205567     -0.00206836
     -4.2328e-05     -4.9979e-05
    -0.000169025    -0.000192838
     -5.4299e-05    -7.08657e-05
      -9.062e-06    -1.26555e-05
     -0.00234042     -0.00235374
     -0.00178808      -0.0017146
    -0.000187401    -0.000213574
     -2.4866e-05    -2.96371e-05
     -0.00172172     -0.00136246
     -9.2543e-05    -9.73077e-05
     -2.0976e-05    -2.68763e-05
     -0.00175501     -0.00168915
     -0.00125171     -0.00110935
     -1.3782e-05    -1.78757e-05
    -0.000308238    -0.000299838
    -0.000327298    -0.000347703
      -1.488e-06    -1.14904e-05
    -0.000638164    -0.000762083
     -1.9056e-05    -2.83017e-05
      -0.0011208     -0.00107553
    -0.000856989    -0.000820894
     -1.5245e-05    -2.16155e-05
     -0.00011203    -0.000126582
       3.215e-06    -3.44567e-06
     -0.00016909     -0.00020534
     -4.5106e-05    -4.78231e-05
    -0.000794127     -0.00067291
     -0.00197306     -0.00216872
     -3.1004e-05    -3.80145e-05
     -4.8169e-05    -5.24605e-05
    -0.000284071    -0.000280556
      -2.964e-06    -9.95061e-06
     -0.00142946     -0.00112604
     -2.0107e-05    -5.26449e-05
     -1.2343e-05    -2.24697e-05
     -0.00266787     -0.00237304
     -2.6798e-05    -3.18943e-05
     -2.9271e-05    -3.20552e-05
     -0.00185804     -0.00171506
    -0.000108792    -0.000125333
    -0.000234335     -0.00026237
    -0.000888182    -0.000877961
     -0.00246141     -0.00228007
    -0.000299399    -0.000298099
    -0.000208507    -0.000227097
    -0.000454681    -0.000389489
      -5.337e-06    -9.15164e-06
     -0.00174151     -0.00190776
    -0.000202962    -0.000202147
     -5.4144e-05    -6.57565e-05
     -4.6942e-05    -5.86846e-05
     -8.2451e-05     -9.4469e-05
    -0.000282792    -0.000269379
    -0.000383587    -0.000436097
     -0.00019838    -0.000240031
     -2.4208e-05    -3.13364e-05
     -0.00110237     -0.00105847
      -7.915e-05    -8.88194e-05
     -4.5011e-05     -6.2468e-05
    -0.000114907    -0.000134249
    -0.000103491    -0.000120559
     -2.1631e-05    -2.69401e-05
     -3.6418e-05    -3.84721e-05
     -4.2486e-05    -4.85198e-05
    -0.000746613    -0.000694829
    -0.000341424    -0.000339943
     -5.4177e-05      -6.385e-05
    -0.000257355    -0.000268331
     -1.3065e-05    -1.85145e-05
    -0.000520756    -0.000543141
     -0.00108683     -0.00106701
       -2.77e-06    -5.37391e-05
     -1.1093e-05    -1.26364e-05
     -5.1941e-05    -7.77609e-05
      -1.989e-05    -3.17275e-05
     -0.00126625     -0.00127837
     -3.7335e-05    -8.51894e-05
      -0.0011104      -0.0010147
     -1.1798e-05    -5.06373e-05
     -0.00104448    -0.000966478
     -8.1542e-05    -9.01855e-05
    -0.000269342    -0.000293997
       5.292e-06    -9.50368e-06
     -0.00062454    -0.000719733
     -8.8135e-05    -9.62234e-05
    -0.000600747    -0.000559544
    -0.000168713    -0.000169368
    -0.000537428    -0.000532278
    -0.000610673    -0.000653103
     -3.3903e-05    -4.04301e-05
     -0.00134659     -0.00135279
     -3.2625e-05    -4.59127e-05
    -0.000385497    -0.000475708
