# Eelst 		 Emultipole 
      0.00023630       0.00068694
     -0.01583301      -0.00174790
      0.00141175       0.00247916
     -0.00789006      -0.00339015
      0.00305957       0.00332914
      0.00339664       0.00393375
     -0.00068220       0.01048476
     -0.00618526      -0.00127836
     -0.00122680      -0.00112198
     -0.00040056      -0.00016618
      0.00352793       0.00472844
      0.00149946       0.00286281
     -0.00764547      -0.00019951
     -0.01570577       0.00541273
     -0.00155319      -0.00145962
      0.00211320       0.00241380
     -0.00089242      -0.00061400
     -0.00266547       0.00195783
     -0.00312812       0.00077978
     -0.00638592      -0.00301662
     -0.00834687      -0.00049196
     -0.00062312       0.00520080
     -0.00340656       0.00430028
     -0.00257777      -0.00063872
     -0.00255897      -0.00041802
      0.00209979       0.00206673
      0.00178302       0.00203487
      0.00006480       0.00028312
     -0.00624009      -0.00104332
     -0.00390051      -0.00311942
      0.00113261       0.00429886
      0.00350445       0.00350306
     -0.00123453      -0.00105825
     -0.00187515       0.00650706
     -0.00390819      -0.00192389
      0.00302459       0.00749825
     -0.00455987      -0.00191201
      0.00054109       0.00102004
     -0.00236211      -0.00180652
     -0.00139504      -0.00099940
      0.00351799       0.00346397
     -0.00316883      -0.00084818
     -0.00084998       0.00101012
     -0.00065754      -0.00055166
      0.00029847       0.00306304
     -0.00010464       0.00048067
     -0.00136496      -0.00117997
     -0.00256009      -0.00198006
     -0.00564388       0.00152764
     -0.00128594      -0.00100264
     -0.00193008      -0.00178916
      0.00342024       0.00344976
     -0.00373574      -0.00273228
     -0.00198242      -0.00022438
     -0.00387724       0.00001053
     -0.00236452       0.00496693
     -0.01204541      -0.00211901
     -0.00758496       0.00092033
     -0.00179795      -0.00130140
     -0.00066322      -0.00035162
     -0.00259195      -0.00135468
     -0.00291293      -0.00203027
     -0.00254824      -0.00038795
     -0.00161748      -0.00103388
     -0.00266267      -0.00106747
     -0.00115171      -0.00090733
     -0.00002771       0.00085369
     -0.00058243      -0.00048829
     -0.00278188       0.00261976
     -0.00360622       0.00075715
     -0.02202406      -0.00484831
      0.00329287       0.00790349
      0.00331101       0.00366037
     -0.00268880       0.00075973
     -0.00076009      -0.00016252
     -0.00185411      -0.00045437
     -0.01023292      -0.00088205
     -0.00291723      -0.00253509
      0.00344463       0.00364113
     -0.00335993      -0.00267484
     -0.00304886       0.00204789
     -0.00028861      -0.00019772
     -0.00044757      -0.00025631
     -0.00210558      -0.00151153
     -0.00421765      -0.00138424
     -0.00128847      -0.00095118
     -0.00554143      -0.00160732
     -0.00743805       0.00035708
     -0.00213691       0.00042221
     -0.00116476      -0.00093788
     -0.00348590      -0.00224562
      0.00304966       0.00558499
     -0.00113639      -0.00089213
     -0.00784767       0.00023642
     -0.00276538      -0.00116175
     -0.00295809       0.00081843
     -0.00126651       0.00662891
     -0.00127591      -0.00050312
     -0.01069748       0.00093431
      0.00480079       0.00786870
     -0.01671923       0.00573337
     -0.00138303      -0.00096745
     -0.00054225      -0.00030247
     -0.00124570      -0.00111858
     -0.00345107      -0.00238848
      0.00357971       0.00383059
     -0.00038468      -0.00025261
      0.00199366       0.00212293
     -0.00965833      -0.00179743
      0.00336047       0.00391298
     -0.00191298      -0.00160157
      0.00087593       0.00355342
      0.00109726       0.00127467
     -0.00039372      -0.00030440
     -0.00952893      -0.00185250
     -0.00263207      -0.00204050
      0.00283002       0.00541837
     -0.00179743      -0.00146228
      0.00388620       0.00398160
     -0.00949740       0.00013258
     -0.00124682      -0.00105617
      0.00264937       0.00274117
     -0.00212976      -0.00187731
      0.00061069       0.00153816
      0.00287342       0.00311645
     -0.00182379      -0.00147935
     -0.00192552      -0.00180091
     -0.00029637      -0.00003068
     -0.00328092      -0.00204257
      0.00025547       0.00050469
      0.00365724       0.00488757
      0.00318207       0.00500970
     -0.00132503      -0.00084536
      0.00278596       0.00383055
      0.00032440       0.00044393
      0.00110337       0.00285894
     -0.00743144       0.00054681
     -0.00103933      -0.00092877
     -0.01044202       0.00104484
     -0.00422206      -0.00291262
     -0.00482588       0.00395141
     -0.00449952      -0.00120844
     -0.00423347      -0.00071568
     -0.01444048      -0.00173721
      0.00304885       0.00307898
     -0.00204370      -0.00002752
      0.00236710       0.00843494
      0.00238879       0.00259709
     -0.00247835      -0.00173360
     -0.00470460      -0.00152974
     -0.00217471      -0.00132017
      0.00267359       0.00266625
     -0.00088043      -0.00071773
     -0.00088467       0.00418212
     -0.00041308      -0.00010591
     -0.00519517      -0.00326970
     -0.00142792      -0.00124419
     -0.00183204      -0.00041696
     -0.00585141      -0.00334704
      0.00252437       0.00274487
     -0.00248572      -0.00217002
     -0.00127400      -0.00118071
      0.00348120       0.00461405
     -0.00411438       0.00151585
      0.00261626       0.00613825
     -0.00033193       0.00101842
     -0.00483422       0.00320682
      0.00016326       0.00034121
     -0.00309115      -0.00270408
     -0.00279237      -0.00214769
     -0.00049088      -0.00010368
     -0.00185081      -0.00122998
     -0.00628291      -0.00344117
     -0.00344302      -0.00273098
     -0.00020769      -0.00003447
     -0.00167424      -0.00152777
     -0.00431120      -0.00311062
     -0.00268437      -0.00145468
     -0.00103096       0.00566899
      0.00213195       0.00234228
     -0.00055330      -0.00014820
     -0.00045120      -0.00010543
     -0.00121257      -0.00102431
      0.00110267       0.00154691
     -0.00345626      -0.00068795
     -0.00185123      -0.00167573
     -0.00253496      -0.00097403
     -0.00045711       0.00081554
     -0.00674083      -0.00082380
