QM Energy	FF Energy
      -4.038e-06    -9.19006e-06
        -9.8e-08    -2.43505e-07
    -0.000251315       -0.000241
     -1.7212e-05    -3.46183e-05
       -3.43e-06    -7.89038e-06
    -0.000412194    -0.000321508
      -2.262e-06    -5.31378e-06
      -1.373e-06    -3.30484e-06
        -2.8e-07    -7.10415e-07
     -2.5423e-05    -4.81931e-05
     -1.7516e-05    -3.51232e-05
      -1.625e-06    -3.88078e-06
       -4.31e-07    -1.08357e-06
       -1.53e-07    -3.84777e-07
     -1.9558e-05    -3.86758e-05
       -5.48e-07    -1.36623e-06
    -0.000111935    -0.000144905
    -0.000419199    -0.000324548
      -2.964e-06    -6.87258e-06
     -1.1108e-05    -2.34849e-05
     -4.0505e-05    -7.02193e-05
      -3.126e-06    -7.22793e-06
      -9.696e-06    -2.07192e-05
      -1.994e-06    -4.71471e-06
     -5.9578e-05    -9.37396e-05
     -2.4963e-05    -4.75599e-05
       -8.41e-07    -2.06215e-06
      -1.277e-05     -2.6626e-05
     -1.3506e-05    -2.80123e-05
      -2.948e-06    -6.83231e-06
    -0.000323439    -0.000279631
     -1.2399e-05     -2.5836e-05
       -6.49e-07    -1.61066e-06
     -9.8473e-05    -0.000133065
      -1.272e-06    -3.07247e-06
       -5.65e-07    -1.40758e-06
    -0.000119457    -0.000151211
       -1.66e-07    -4.19555e-07
     -8.9877e-05    -0.000125035
       -6.63e-07    -1.64386e-06
     -3.3214e-05    -6.00558e-05
       -8.51e-07    -2.09297e-06
       -3.78e-07    -9.54619e-07
     -2.3551e-05    -4.52572e-05
      -2.221e-05    -4.30316e-05
      -1.289e-06    -3.10972e-06
       -4.09e-07     -1.0282e-06
       -1.95e-07    -4.91028e-07
      -5.868e-06    -1.30444e-05
       -2.34e-07    -5.93722e-07
       -8.57e-07    -2.10543e-06
       -3.65e-07    -9.21589e-07
      -3.297e-06     -7.6009e-06
     -3.4823e-05    -6.24027e-05
       -6.41e-07     -1.5932e-06
      -1.515e-06    -3.62869e-06
      -4.882e-06    -1.09919e-05
      -2.566e-06    -5.97815e-06
      -5.488e-06     -1.2263e-05
      -9.251e-06    -1.98841e-05
       -4.33e-07    -1.08814e-06
      -2.139e-06    -5.04531e-06
     -4.0843e-05    -7.06795e-05
      -2.011e-06    -4.75381e-06
     -1.1887e-05    -2.49646e-05
       -6.96e-07    -1.72488e-06
      -3.018e-06    -6.98829e-06
    -0.000421135    -0.000325463
        -8.9e-08    -2.20986e-07
       -2.41e-07    -6.11659e-07
        -8.2e-07    -2.01515e-06
    -0.000218865    -0.000221744
      -6.917e-06    -1.51937e-05
       -8.02e-07    -1.97576e-06
    -0.000357962     -0.00029655
        -7.5e-08    -1.86773e-07
       -7.45e-07    -1.84158e-06
    -0.000129697    -0.000159539
       -6.14e-07    -1.52358e-06
       -2.09e-07    -5.28948e-07
      -7.939e-05    -0.000114869
      -2.183e-06    -5.14191e-06
      -3.225e-06    -7.44669e-06
      -8.151e-06    -1.76801e-05
      -6.325e-06    -1.40014e-05
      -1.292e-06    -3.11725e-06
          -9e-08    -2.20902e-07
       -1.03e-07    -2.55033e-07
     -2.8994e-05    -5.35888e-05
     -1.8702e-05    -3.70351e-05
     -1.0251e-05     -2.1835e-05
      -7.345e-06    -1.60847e-05
        -1.8e-07    -4.54998e-07
       -8.23e-07    -2.02126e-06
      -1.657e-06    -3.95029e-06
       -9.33e-07    -2.28296e-06
     -1.0487e-05    -2.22853e-05
      -2.171e-06    -5.11076e-06
      -4.953e-06    -1.11345e-05
     -1.9852e-05    -3.89531e-05
       -1.56e-07    -3.95099e-07
       -1.31e-07    -3.27468e-07
      -1.707e-06    -4.05652e-06
      -4.939e-06    -1.11044e-05
      -9.585e-06     -2.0529e-05
        -1.6e-07    -4.01668e-07
       -3.81e-07    -9.59798e-07
       -4.94e-07    -1.23685e-06
       -4.21e-07    -1.06055e-06
       -4.78e-07    -1.19782e-06
     -4.7102e-05    -7.86531e-05
       -1.34e-07    -3.36868e-07
      -2.844e-06    -6.58295e-06
       -1.87e-07    -4.71086e-07
      -9.305e-06    -1.99808e-05
      -1.147e-05    -2.41772e-05
       -1.06e-07    -2.63492e-07
      -6.399e-06    -1.41534e-05
      -3.414e-06    -7.85575e-06
       -2.36e-07     -5.9838e-07
       -2.82e-07    -7.13512e-07
       -3.53e-07    -8.91682e-07
        -2.4e-07    -6.08723e-07
     -1.0558e-05    -2.24262e-05
     -1.9648e-05    -3.87955e-05
     -1.5675e-05    -3.19391e-05
      -1.924e-06    -4.55607e-06
    -0.000157585    -0.000180892
      -4.523e-05    -7.64364e-05
      -2.121e-06    -4.99862e-06
       -6.19e-07    -1.53915e-06
      -4.181e-05     -7.1779e-05
      -9.628e-06    -2.06282e-05
       -3.86e-07    -9.68016e-07
       -3.33e-07    -8.39777e-07
       -2.09e-07    -5.28629e-07
     -3.0504e-05    -5.59217e-05
      -1.352e-06    -3.24684e-06
       -1.21e-07    -3.03971e-07
      -1.858e-06    -4.41021e-06
    -0.000308289    -0.000271915
       -4.19e-07    -1.05463e-06
       -1.06e-07    -2.62432e-07
       -6.63e-07    -1.64325e-06
    -0.000149047     -0.00017456
     -8.3926e-05    -0.000119275
       -2.19e-07    -5.53933e-07
      -4.974e-06    -1.11807e-05
      -2.397e-06     -5.6149e-06
     -1.8257e-05    -3.64576e-05
       -1.09e-07    -2.70958e-07
      -1.132e-06    -2.74767e-06
       -1.42e-07    -3.57425e-07
        -7.9e-08    -1.96212e-07
       -1.14e-07    -2.84549e-07
      -4.088e-06    -9.28267e-06
       -6.24e-07    -1.55114e-06
       -3.05e-07    -7.71695e-07
        -9.5e-08    -2.35537e-07
     -1.4248e-05    -2.92638e-05
     -1.0106e-05     -2.1545e-05
       -4.54e-07    -1.14041e-06
      -2.643e-06    -6.16176e-06
       -1.29e-07    -3.23297e-07
      -1.025e-06    -2.49893e-06
       -9.47e-07    -2.31598e-06
        -1.8e-07     -4.5366e-07
      -6.109e-06    -1.35588e-05
        -8.8e-08    -2.17308e-07
     -6.3266e-05    -9.78842e-05
      -1.214e-06    -2.93511e-06
      -1.274e-06    -3.07822e-06
       -2.04e-07     -5.1707e-07
     -4.2078e-05    -7.23294e-05
      -1.167e-06     -2.8294e-06
    -0.000185826    -0.000200523
       -1.01e-07    -2.50645e-07
       -3.52e-07    -8.87531e-07
      -2.839e-06    -6.57876e-06
      -5.592e-06    -1.24854e-05
      -8.978e-06    -1.93388e-05
      -1.111e-06    -2.69932e-06
        -9.5e-07    -2.32229e-06
      -4.279e-06    -9.71344e-06
        -2.8e-07    -7.04299e-07
        -1.6e-07    -4.04612e-07
    -0.000162067    -0.000184101
     -3.6527e-05    -6.47317e-05
        -9.4e-08    -2.35098e-07
     -3.1533e-05    -5.74409e-05
      -9.318e-06    -1.99877e-05
       -1.05e-07    -2.62158e-07
      -1.026e-06    -2.49977e-06
     -6.5992e-05    -0.000100857
     -3.8335e-05    -6.72486e-05
       -6.25e-07    -1.55399e-06
      -1.795e-06    -4.26568e-06
      -2.244e-06    -5.27721e-06
      -7.968e-06    -1.73077e-05
     -1.8138e-05    -3.61436e-05
       -2.01e-07    -5.08367e-07
      -3.733e-06    -8.54012e-06
        -7.7e-08    -1.88106e-07
        -9.2e-08     -2.2885e-07
       -9.75e-07    -2.37634e-06
      -3.663e-06    -8.37714e-06
    -0.000134478    -0.000163404
       -1.86e-07    -4.71469e-07
       -3.67e-07     -9.2522e-07
      -1.574e-06     -3.7619e-06
      -1.236e-05    -2.58712e-05
     -2.1009e-05    -4.09443e-05
    -0.000204079    -0.000212489
      -1.775e-06    -4.21451e-06
      -1.823e-06     -4.3302e-06
      -6.729e-06    -1.47999e-05
    -0.000139178    -0.000166813
     -2.1058e-05    -4.11662e-05
       -1.07e-07    -2.68164e-07
      -4.208e-06    -9.56023e-06
       -3.72e-07    -9.37721e-07
      -5.645e-06    -1.25844e-05
      -1.016e-06    -2.46962e-06
      -8.524e-06    -1.84435e-05
     -1.2289e-05    -2.57244e-05
       -1.15e-07    -2.86862e-07
       -2.47e-07    -6.25252e-07
        -1.7e-07    -4.27248e-07
    -0.000113492    -0.000146225
       -2.28e-07    -5.75859e-07
      -5.612e-06    -1.25242e-05
     -0.00011143    -0.000144345
       -6.84e-07    -1.69458e-06
      -4.258e-06    -9.66566e-06
      -1.111e-05    -2.34573e-05
        -8.3e-08    -2.06364e-07
    -0.000438078    -0.000332765
      -1.865e-06    -4.42856e-06
      -3.674e-06     -8.4053e-06
       -1.97e-07    -4.97579e-07
     -1.6502e-05    -3.33485e-05
      -6.834e-06    -1.50449e-05
     -2.4282e-05    -4.64865e-05
     -2.2843e-05    -4.41289e-05
       -8.57e-07    -2.10331e-06
     -1.0771e-05    -2.28471e-05
     -5.4664e-05    -8.78451e-05
     -2.3535e-05    -4.52658e-05
      -4.165e-06    -9.47321e-06
    -0.000113759    -0.000146402
       -5.15e-07    -1.28576e-06
    -0.000390708    -0.000311783
      -1.238e-06     -2.9905e-06
    -0.000122457    -0.000153691
        -9.5e-08    -2.38983e-07
       -4.27e-07    -1.07419e-06
      -2.915e-06    -6.76598e-06
        -1.4e-07    -3.50971e-07
       -8.45e-07    -2.07743e-06
       -2.21e-07    -5.59118e-07
      -5.786e-06    -1.28878e-05
       -4.46e-07    -1.11975e-06
     -1.7883e-05    -3.58315e-05
    -0.000112534    -0.000145415
      -8.091e-06    -1.75848e-05
     -1.0894e-05     -2.3078e-05
        -5.7e-07    -1.42212e-06
       -1.81e-07    -4.54923e-07
    -0.000348686    -0.000292063
      -2.518e-06     -5.8778e-06
       -4.86e-07    -1.21639e-06
       -1.16e-07    -2.88899e-07
      -1.981e-06    -4.68213e-06
        -8.4e-08    -2.08808e-07
    -0.000134076    -0.000163032
        -9.2e-08    -2.28689e-07
      -3.093e-06    -7.15117e-06
     -1.6418e-05    -3.32546e-05
        -7.9e-08    -1.94413e-07
      -1.799e-05    -3.60099e-05
     -4.0009e-05    -6.96013e-05
        -7.8e-08    -1.89852e-07
     -8.4859e-05    -0.000120236
       -5.16e-07    -1.29017e-06
      -1.337e-06    -3.21466e-06
       -7.29e-07    -1.79778e-06
      -1.197e-06    -2.89721e-06
      -9.634e-05    -0.000131032
      -3.206e-06    -7.40084e-06
      -1.366e-06    -3.28819e-06
      -2.367e-06    -5.54934e-06
    -0.000230484    -0.000228723
      -8.567e-06     -1.8499e-05
      -3.957e-06    -9.01927e-06
      -1.036e-06    -2.52195e-06
     -1.7296e-05    -3.48007e-05
      -2.539e-06     -5.9161e-06
    -0.000147556    -0.000173392
      -1.144e-06    -2.76816e-06
      -6.018e-06    -1.33635e-05
      -1.559e-06    -3.72855e-06
     -3.6006e-05    -6.40627e-05
       -1.89e-07    -4.76638e-07
      -9.597e-06    -2.05344e-05
       -2.38e-07    -6.01964e-07
        -7.7e-08    -1.88175e-07
      -3.742e-06    -8.56558e-06
     -1.9608e-05    -3.87986e-05
      -8.278e-06    -1.79208e-05
      -2.098e-06    -4.92704e-06
       -1.88e-07    -4.74182e-07
     -3.5935e-05    -6.39616e-05
     -5.5638e-05    -8.91466e-05
     -1.0208e-05    -2.16663e-05
      -1.498e-06    -3.59155e-06
      -1.792e-06    -4.26121e-06
      -1.269e-06    -3.06586e-06
     -4.9768e-05     -8.2137e-05
      -4.292e-06    -9.71497e-06
    -0.000123284     -0.00015433
    -0.000320183    -0.000277993
     -4.2594e-05    -7.30287e-05
      -1.574e-06    -3.76301e-06
       -8.69e-07    -2.13361e-06
      -2.068e-06    -4.88273e-06
      -1.068e-06    -2.59725e-06
      -4.718e-05     -7.8929e-05
    -0.000101854    -0.000136035
     -3.7453e-05    -6.60943e-05
      -1.315e-06    -3.16821e-06
        -9.7e-08    -2.38497e-07
       -5.45e-07     -1.3599e-06
       -5.56e-07    -1.38562e-06
