QM Energy	FF Energy
      -4.038e-06     -9.1901e-06
        -9.8e-08    -2.43508e-07
    -0.000251315       -0.000241
     -1.7212e-05    -3.46185e-05
       -3.43e-06    -7.89041e-06
    -0.000412194    -0.000321509
      -2.262e-06    -5.31383e-06
      -1.373e-06    -3.30484e-06
        -2.8e-07    -7.10421e-07
     -2.5423e-05    -4.81932e-05
     -1.7516e-05    -3.51233e-05
      -1.625e-06    -3.88079e-06
       -4.31e-07    -1.08357e-06
       -1.53e-07    -3.84778e-07
     -1.9558e-05    -3.86759e-05
       -5.48e-07    -1.36624e-06
    -0.000111935    -0.000144905
    -0.000419199    -0.000324549
      -2.964e-06    -6.87259e-06
     -1.1108e-05     -2.3485e-05
     -4.0505e-05    -7.02196e-05
      -3.126e-06    -7.22797e-06
      -9.696e-06    -2.07193e-05
      -1.994e-06    -4.71471e-06
     -5.9578e-05    -9.37396e-05
     -2.4963e-05      -4.756e-05
       -8.41e-07    -2.06216e-06
      -1.277e-05     -2.6626e-05
     -1.3506e-05    -2.80124e-05
      -2.948e-06    -6.83232e-06
    -0.000323439    -0.000279632
     -1.2399e-05    -2.58361e-05
       -6.49e-07    -1.61067e-06
     -9.8473e-05    -0.000133066
      -1.272e-06    -3.07248e-06
       -5.65e-07    -1.40759e-06
    -0.000119457    -0.000151211
       -1.66e-07    -4.19556e-07
     -8.9877e-05    -0.000125035
       -6.63e-07    -1.64386e-06
     -3.3214e-05    -6.00559e-05
       -8.51e-07    -2.09297e-06
       -3.78e-07    -9.54622e-07
     -2.3551e-05    -4.52572e-05
      -2.221e-05    -4.30318e-05
      -1.289e-06    -3.10974e-06
       -4.09e-07    -1.02821e-06
       -1.95e-07    -4.91033e-07
      -5.868e-06    -1.30445e-05
       -2.34e-07    -5.93725e-07
       -8.57e-07    -2.10544e-06
       -3.65e-07    -9.21592e-07
      -3.297e-06    -7.60094e-06
     -3.4823e-05    -6.24027e-05
       -6.41e-07     -1.5932e-06
      -1.515e-06    -3.62871e-06
      -4.882e-06    -1.09919e-05
      -2.566e-06    -5.97817e-06
      -5.488e-06     -1.2263e-05
      -9.251e-06    -1.98841e-05
       -4.33e-07    -1.08814e-06
      -2.139e-06    -5.04531e-06
     -4.0843e-05    -7.06799e-05
      -2.011e-06     -4.7538e-06
     -1.1887e-05    -2.49647e-05
       -6.96e-07     -1.7249e-06
      -3.018e-06    -6.98827e-06
    -0.000421135    -0.000325464
        -8.9e-08    -2.20987e-07
       -2.41e-07    -6.11659e-07
        -8.2e-07    -2.01516e-06
    -0.000218865    -0.000221744
      -6.917e-06    -1.51938e-05
       -8.02e-07    -1.97578e-06
