# Eelst 		 Emultipole 
     -0.00016098       0.00000244
     -0.00000422       0.00000193
     -0.00475777       0.00000319
     -0.00063352       0.00000269
     -0.00013734       0.00000241
     -0.00643689       0.00000328
     -0.00009107       0.00000235
     -0.00005555       0.00000227
     -0.00001151       0.00000206
     -0.00089168       0.00000276
     -0.00064288       0.00000270
     -0.00006567       0.00000230
     -0.00001757       0.00000212
     -0.00000638       0.00000199
     -0.00071025       0.00000272
     -0.00002225       0.00000215
     -0.00279569       0.00000304
     -0.00650101       0.00000328
     -0.00011901       0.00000239
     -0.00042452       0.00000261
     -0.00131615       0.00000285
     -0.00012542       0.00000240
     -0.00037306       0.00000259
     -0.00008042       0.00000233
     -0.00177628       0.00000292
     -0.00087945       0.00000276
     -0.00003402       0.00000220
     -0.00048316       0.00000264
     -0.00050914       0.00000265
     -0.00011833       0.00000239
     -0.00556111       0.00000323
     -0.00046837       0.00000263
     -0.00002636       0.00000217
     -0.00255754       0.00000301
     -0.00005148       0.00000226
     -0.00002295       0.00000215
     -0.00292227       0.00000305
     -0.00000692       0.00000200
     -0.00239701       0.00000300
     -0.00002691       0.00000217
     -0.00111936       0.00000281
     -0.00003456       0.00000221
     -0.00001546       0.00000210
     -0.00083545       0.00000275
     -0.00079316       0.00000274
     -0.00005214       0.00000226
     -0.00001665       0.00000211
     -0.00000804       0.00000202
     -0.00023125       0.00000250
     -0.00000965       0.00000204
     -0.00003476       0.00000221
     -0.00001492       0.00000210
     -0.00013217       0.00000241
     -0.00116468       0.00000282
     -0.00002607       0.00000217
     -0.00006125       0.00000229
     -0.00019377       0.00000247
     -0.00010293       0.00000237
     -0.00021695       0.00000249
     -0.00035749       0.00000258
     -0.00001764       0.00000212
     -0.00008632       0.00000234
     -0.00132518       0.00000285
     -0.00008112       0.00000233
     -0.00045210       0.00000262
     -0.00002828       0.00000218
     -0.00012112       0.00000239
     -0.00651960       0.00000328
     -0.00000387       0.00000192
     -0.00000993       0.00000204
     -0.00003324       0.00000220
     -0.00436046       0.00000316
     -0.00027078       0.00000253
     -0.00003254       0.00000220
     -0.00591334       0.00000325
     -0.00000334       0.00000190
     -0.00003026       0.00000219
     -0.00309039       0.00000306
     -0.00002489       0.00000216
     -0.00000863       0.00000203
     -0.00219439       0.00000298
     -0.00008802       0.00000234
     -0.00012937       0.00000240
     -0.00031670       0.00000256
     -0.00024888       0.00000251
     -0.00005227       0.00000226
     -0.00000386       0.00000192
     -0.00000439       0.00000194
     -0.00099504       0.00000279
     -0.00067934       0.00000271
     -0.00039376       0.00000260
     -0.00028718       0.00000254
     -0.00000747       0.00000201
     -0.00003332       0.00000220
     -0.00006688       0.00000230
     -0.00003781       0.00000222
     -0.00040214       0.00000260
     -0.00008748       0.00000234
     -0.00019637       0.00000247
     -0.00071579       0.00000272
     -0.00000655       0.00000199
     -0.00000550       0.00000197
     -0.00006876       0.00000230
     -0.00019578       0.00000247
     -0.00036951       0.00000259
     -0.00000664       0.00000199
     -0.00001553       0.00000210
     -0.00002010       0.00000213
     -0.00001718       0.00000211
     -0.00001945       0.00000213
     -0.00148021       0.00000288
     -0.00000565       0.00000197
     -0.00011385       0.00000238
     -0.00000772       0.00000201
     -0.00035929       0.00000258
     -0.00043740       0.00000262
     -0.00000451       0.00000194
     -0.00025165       0.00000251
     -0.00013677       0.00000241
     -0.00000972       0.00000204
     -0.00001155       0.00000206
     -0.00001442       0.00000209
     -0.00000989       0.00000204
     -0.00040471       0.00000260
     -0.00071252       0.00000272
     -0.00058297       0.00000267
     -0.00007763       0.00000232
     -0.00352459       0.00000310
     -0.00143720       0.00000287
     -0.00008547       0.00000234
     -0.00002515       0.00000216
     -0.00134649       0.00000286
     -0.00037135       0.00000259
     -0.00001568       0.00000210
     -0.00001359       0.00000208
     -0.00000862       0.00000203
     -0.00103971       0.00000280
     -0.00005452       0.00000227
     -0.00000514       0.00000196
     -0.00007503       0.00000232
     -0.00539987       0.00000322
     -0.00001710       0.00000211
     -0.00000450       0.00000194
     -0.00002691       0.00000217
     -0.00339501       0.00000309
     -0.00228226       0.00000299
     -0.00000903       0.00000203
     -0.00019723       0.00000247
     -0.00009646       0.00000236
     -0.00066826       0.00000270
     -0.00000464       0.00000195
     -0.00004585       0.00000225
     -0.00000596       0.00000198
     -0.00000348       0.00000191
     -0.00000484       0.00000195
     -0.00016258       0.00000244
     -0.00002536       0.00000216
     -0.00001249       0.00000207
     -0.00000409       0.00000193
     -0.00053258       0.00000266
     -0.00038838       0.00000259
     -0.00001851       0.00000212
     -0.00010627       0.00000237
     -0.00000543       0.00000197
     -0.00004153       0.00000223
     -0.00003839       0.00000222
     -0.00000745       0.00000201
     -0.00024072       0.00000251
     -0.00000381       0.00000192
     -0.00185787       0.00000293
     -0.00004910       0.00000226
     -0.00005161       0.00000226
     -0.00000844       0.00000202
     -0.00135722       0.00000286
     -0.00004727       0.00000225
     -0.00392484       0.00000313
     -0.00000433       0.00000194
     -0.00001436       0.00000209
     -0.00011371       0.00000238
     -0.00022107       0.00000249
     -0.00034738       0.00000257
     -0.00004501       0.00000224
     -0.00003850       0.00000222
     -0.00017042       0.00000245
     -0.00001141       0.00000206
     -0.00000669       0.00000199
     -0.00359002       0.00000311
     -0.00120981       0.00000283
     -0.00000408       0.00000193
     -0.00106888       0.00000280
     -0.00035947       0.00000258
     -0.00000449       0.00000194
     -0.00004155       0.00000223
     -0.00191672       0.00000294
     -0.00125864       0.00000284
     -0.00002540       0.00000216
     -0.00007249       0.00000231
     -0.00009044       0.00000235
     -0.00030983       0.00000255
     -0.00066230       0.00000270
     -0.00000830       0.00000202
     -0.00014914       0.00000243
     -0.00000336       0.00000190
     -0.00000398       0.00000193
     -0.00003940       0.00000222
