QM Energy	FF Energy
     -1.9359e-05    -2.17133e-05
       -3.33e-07    -5.08466e-07
    -0.000576094    -0.000573672
     -8.1548e-05    -8.22088e-05
     -1.6411e-05    -1.86244e-05
    -0.000722997    -0.000765428
     -1.0695e-05    -1.25038e-05
      -6.389e-06    -7.73614e-06
      -1.167e-06    -1.59953e-06
    -0.000116407    -0.000114521
     -8.2833e-05    -8.34101e-05
      -7.607e-06    -9.10231e-06
      -1.877e-06     -2.4783e-06
       -5.75e-07    -8.36624e-07
     -9.1905e-05    -9.18661e-05
      -2.428e-06    -3.14554e-06
    -0.000362144    -0.000344807
    -0.000727919     -0.00077267
     -1.4131e-05    -1.62061e-05
     -5.3571e-05    -5.57132e-05
    -0.000173576     -0.00016696
     -1.4925e-05    -1.70503e-05
     -4.6762e-05     -4.9133e-05
      -9.395e-06    -1.10814e-05
    -0.000234338    -0.000222964
     -0.00011477    -0.000113014
       -3.82e-06    -4.79144e-06
     -6.1382e-05    -6.31875e-05
     -6.4853e-05    -6.64866e-05
     -1.4042e-05    -1.61104e-05
    -0.000650514    -0.000665683
     -5.9411e-05    -6.13078e-05
      -2.912e-06    -3.72322e-06
    -0.000333272    -0.000316611
      -5.903e-06    -7.18517e-06
       -2.51e-06    -3.24325e-06
    -0.000377322    -0.000359825
       -6.36e-07    -9.17791e-07
    -0.000313428    -0.000297488
      -2.978e-06    -3.80171e-06
     -0.00014717    -0.000142762
      -3.883e-06    -4.86439e-06
      -1.629e-06    -2.17429e-06
    -0.000108824    -0.000107532
    -0.000103089    -0.000102234
       -5.98e-06    -7.27348e-06
       -1.77e-06    -2.34773e-06
       -7.64e-07    -1.08489e-06
     -2.8301e-05     -3.0877e-05
       -9.51e-07    -1.32551e-06
      -3.908e-06    -4.89389e-06
      -1.566e-06    -2.09646e-06
      -1.576e-05    -1.79366e-05
    -0.000153268    -0.000148349
      -2.877e-06    -3.68195e-06
      -7.072e-06    -8.50428e-06
     -2.3505e-05    -2.59965e-05
     -1.2151e-05    -1.40814e-05
     -2.6467e-05    -2.90187e-05
     -4.4719e-05    -4.71459e-05
      -1.886e-06    -2.48908e-06
     -1.0111e-05    -1.18663e-05
    -0.000174771    -0.000168056
       -9.48e-06    -1.11742e-05
     -5.7242e-05    -5.92341e-05
       -3.14e-06    -3.99334e-06
     -1.4389e-05    -1.64809e-05
     -0.00072939    -0.000774846
       -2.96e-07    -4.56483e-07
       -9.84e-07     -1.3676e-06
      -3.725e-06    -4.68018e-06
    -0.000536395    -0.000527809
     -3.3395e-05    -3.59887e-05
      -3.645e-06    -4.58694e-06
    -0.000680844    -0.000705983
        -2.4e-07    -3.77791e-07
      -3.375e-06    -4.26942e-06
    -0.000397143    -0.000379658
      -2.739e-06    -3.51736e-06
       -8.33e-07    -1.17367e-06
    -0.000288023     -0.00027328
     -1.0321e-05    -1.20956e-05
     -1.5414e-05    -1.75701e-05
     -3.9365e-05    -4.19027e-05
     -3.0561e-05    -3.31528e-05
      -5.996e-06    -7.29136e-06
       -2.96e-07    -4.56285e-07
       -3.52e-07    -5.35114e-07
    -0.000130382    -0.000127366
     -8.7709e-05    -8.79608e-05
       -4.95e-05    -5.17875e-05
     -3.5525e-05    -3.81077e-05
          -7e-07     -1.0006e-06
      -3.737e-06    -4.69463e-06
      -7.755e-06    -9.26725e-06
       -4.27e-06    -5.31429e-06
     -5.0609e-05    -5.28589e-05
     -1.0253e-05    -1.20217e-05
     -2.3836e-05    -2.63357e-05
     -9.2616e-05    -9.25261e-05
       -5.93e-07    -8.60703e-07
       -4.75e-07    -7.03162e-07
      -7.982e-06    -9.51934e-06
     -2.3767e-05    -2.62642e-05
     -4.6296e-05    -4.86803e-05
       -6.05e-07    -8.76023e-07
      -1.639e-06    -2.18649e-06
      -2.175e-06    -2.84001e-06
      -1.832e-06      -2.424e-06
      -2.098e-06    -2.74787e-06
    -0.000195447    -0.000187041
