QM Energy	FF Energy
    -0.000232642    -0.000162213
     -0.00112238    -0.000666581
     -1.6412e-05     -6.4051e-06
     -0.00140972     -0.00094886
    -0.000581451     -0.00030163
    -0.000713402    -0.000977092
     -0.00313398      -0.0029585
     -0.00105068     -0.00106195
      -8.189e-06    -4.36884e-06
    -0.000500272    -0.000338968
     -4.9975e-05    -2.25431e-05
     -4.3331e-05    -3.61517e-05
     -0.00149155     -0.00122945
      -8.249e-06    -3.87861e-06
     -1.6848e-05     -6.3066e-06
    -0.000165306     -0.00017191
     -0.00177208     -0.00250185
    -0.000137243    -0.000211562
     -0.00134136     -0.00109351
    -0.000429359    -0.000141932
     -0.00201873     -0.00167014
    -0.000860359     -0.00062398
     -5.4243e-05    -1.78316e-05
      -6.966e-06    -1.56759e-06
     -1.3327e-05    -7.41509e-06
     -0.00110773    -0.000637473
     -0.00137368     -0.00131329
     -9.3047e-05    -4.78086e-05
    -0.000891203    -0.000352418
    -0.000169302    -8.51084e-05
     -0.00015423    -0.000116866
    -0.000502621    -0.000177061
    -0.000832847     -0.00101382
      -5.221e-06    -8.71465e-06
    -0.000935498    -0.000536944
      -0.0015228    -0.000975808
     -0.00146805     -0.00116983
    -0.000204661      -9.924e-05
     -6.8656e-05    -5.05377e-05
     -2.5687e-05    -5.20474e-05
     -0.00138869      -0.0010678
     -1.3271e-05    -1.15753e-05
     -0.00120375    -0.000683077
      -0.0002657    -0.000332988
     -1.7048e-05    -1.16368e-05
     -4.0155e-05    -1.89242e-05
     -0.00038847     -0.00144388
     -6.1871e-05    -3.80075e-05
    -0.000479346    -0.000247771
    -0.000232991    -0.000360102
     -5.6644e-05    -3.50378e-05
     -0.00200557     -0.00172746
     -0.00158258     -0.00097439
    -0.000218643    -0.000345949
    -0.000827607    -0.000374961
    -0.000988641    -0.000655185
    -0.000278952    -0.000314153
     -0.00142348    -0.000693582
     -6.0252e-05    -4.31732e-05
    -0.000317647    -0.000222114
     -8.2029e-05     -8.3376e-05
    -0.000292079    -8.56562e-05
     -3.6541e-05    -5.96541e-05
      -1.194e-05    -5.23816e-06
     -0.00181043     -0.00115842
     -9.6662e-05    -6.63819e-05
     -0.00011395    -0.000170269
     -4.9491e-05    -3.10875e-05
     -0.00103617    -0.000727792
     -2.1754e-05    -1.40864e-05
     -0.00118424     -0.00111198
     -0.00021259    -0.000273687
    -0.000173038     -0.00010804
    -0.000210073    -0.000151635
    -0.000414578    -0.000474642
     -1.1776e-05    -1.63374e-05
     -6.4834e-05    -4.22526e-05
    -0.000430021    -0.000254088
    -0.000301063    -0.000384181
     -1.4666e-05     -3.0843e-05
     -4.5419e-05    -1.99505e-05
    -0.000753338    -0.000629887
     -6.8864e-05    -3.45375e-05
    -0.000835664    -0.000406947
    -0.000641873    -0.000937264
    -0.000319444    -0.000270731
     -2.2826e-05    -1.40218e-05
    -0.000105059    -6.95756e-05
     -0.00189201     -0.00136943
    -0.000705637     -0.00109747
     -0.00021286    -0.000305455
     -0.00243798     -0.00155941
     -3.2922e-05    -4.23191e-05
     -1.7161e-05    -1.01882e-05
    -0.000557028    -0.000554602
     -2.8353e-05    -1.38323e-05
    -0.000569916    -0.000301589
    -0.000136383    -0.000167511
     -1.8097e-05    -4.67014e-06
    -0.000121362    -7.31963e-05
     -3.2354e-05    -6.59521e-05
     -1.3236e-05    -1.50094e-05
     -0.00114158     -0.00141263
     -0.00183737     -0.00167642
    -0.000180438     -0.00022423
      -6.651e-06    -2.21922e-06
     -7.8476e-05    -6.78491e-05
    -0.000218582    -0.000191805
    -0.000131528    -0.000205387
     -3.7039e-05    -1.07639e-05
      -2.606e-05    -2.28374e-05
     -0.00197609     -0.00133118
    -0.000257018    -0.000147271
     -2.0482e-05    -5.34934e-06
     -6.0624e-05    -4.33305e-05
     -5.1506e-05    -4.85903e-05
     -0.00182055     -0.00113877
     -0.00150857     -0.00115032
      -7.427e-06    -4.03314e-06
    -0.000998816    -0.000634413
     -1.6459e-05    -1.12944e-05
     -7.7066e-05    -9.60912e-05
     -5.9344e-05    -4.75762e-05
    -0.000105583    -2.91353e-05
     -1.9849e-05    -1.22053e-05
     -2.7263e-05    -5.08542e-05
     -1.9915e-05    -4.08758e-05
    -0.000128909    -0.000215313
     -5.8399e-05    -0.000124249
     -0.00014651    -0.000181529
    -0.000239476    -0.000119895
      -0.0015675     -0.00134721
    -0.000435458    -0.000675289
    -0.000964445    -0.000909333
     -0.00213035     -0.00249387
    -0.000119357    -8.73103e-05
     -1.2281e-05    -1.72246e-05
     -1.5108e-05    -1.18624e-05
     -0.00106686    -0.000883386
     -2.9137e-05    -2.07316e-05
     -8.5821e-05    -0.000105732
     -0.00238914     -0.00154091
     -0.00104893    -0.000871096
     -1.8101e-05    -1.63644e-05
    -0.000117581    -0.000132766
     -4.3153e-05    -7.11811e-05
     -0.00054892     -0.00142572
    -0.000861431    -0.000946147
     -0.00196554    -0.000958426
      -8.313e-05    -0.000120417
     -3.0597e-05    -2.67984e-05
    -0.000876922    -0.000922661
     -4.6694e-05    -3.59462e-05
     -1.7811e-05    -1.34072e-05
     -0.00105962    -0.000515434
     -0.00187291       -0.001576
    -0.000174456     -9.4451e-05
    -0.000714391    -0.000256864
     -0.00109583    -0.000685432
     -0.00237571      -0.0015056
     -0.00138983     -0.00121297
     -0.00010529    -0.000128321
     -1.5975e-05    -1.65568e-05
     -6.3697e-05    -4.31559e-05
     -3.7378e-05    -4.28271e-05
    -0.000111763    -3.99669e-05
    -0.000755428     -0.00099553
    -0.000247518    -0.000144402
      -0.0022198     -0.00136644
    -0.000337903    -0.000279765
    -0.000412864     -0.00014118
    -0.000260754    -0.000164385
    -0.000210913    -0.000157597
     -0.00054876    -0.000281181
    -0.000741092    -0.000319934
    -0.000122613    -4.82139e-05
     -4.1767e-05    -2.87897e-05
     -0.00196666     -0.00240893
     -0.00173712     -0.00113674
      -6.449e-06    -1.91894e-06
      -2.871e-05     -1.8309e-05
     -0.00183805     -0.00132462
     -3.2901e-05    -1.98613e-05
    -0.000992804    -0.000538218
     -7.2061e-05    -2.05453e-05
    -0.000183078    -0.000318615
     -0.00214871     -0.00218428
