QM Energy	FF Energy
     -0.00284796     -0.00279203
     -0.00871308     -0.00846489
    -0.000999078    -0.000988443
      -0.0110024      -0.0110048
     -0.00714953     -0.00703292
     -0.00614235     -0.00592625
      -0.0153633      -0.0141835
     -0.00824196     -0.00793643
    -0.000751524    -0.000723835
     -0.00368787     -0.00354893
      -0.0017568     -0.00171958
     -0.00146446     -0.00139518
     -0.00930777     -0.00909229
    -0.000673997    -0.000645184
     -0.00100932    -0.000997914
     -0.00324241     -0.00311893
      -0.0164042      -0.0160595
     -0.00261807     -0.00254909
      -0.0109278      -0.0105041
     -0.00464918     -0.00472472
      -0.0115465       -0.011137
     -0.00575016     -0.00565139
     -0.00168393     -0.00166837
     -0.00101146     -0.00101733
     -0.00109445     -0.00110375
     -0.00724944     -0.00705783
     -0.00846476     -0.00864792
     -0.00185201     -0.00180317
     -0.00678113     -0.00673684
     -0.00274573     -0.00264184
     -0.00317678     -0.00311013
     -0.00513554      -0.0052203
     -0.00574375     -0.00548289
    -0.000732411    -0.000700016
     -0.00759919      -0.0077405
     -0.00821884     -0.00841498
     -0.00838284     -0.00811698
     -0.00265984     -0.00261026
     -0.00185802     -0.00177492
     -0.00105283     -0.00099804
     -0.00935505     -0.00923155
    -0.000803309    -0.000753545
      -0.0113667      -0.0112162
     -0.00404864     -0.00393416
    -0.000922759       -0.000877
     -0.00128563     -0.00123993
       -0.012256      -0.0127897
     -0.00176363     -0.00169336
     -0.00491246     -0.00486703
     -0.00255529     -0.00242576
     -0.00138249     -0.00131517
     -0.00773921     -0.00746148
     -0.00741599     -0.00722036
     -0.00278055     -0.00268909
     -0.00555238     -0.00558931
     -0.00810987     -0.00795517
     -0.00261521     -0.00249519
        -0.00801     -0.00813373
     -0.00187008     -0.00183798
     -0.00427077     -0.00411071
     -0.00192817     -0.00188502
     -0.00418492     -0.00420443
     -0.00107274    -0.000989799
     -0.00083806    -0.000820263
     -0.00797722     -0.00797981
     -0.00169136     -0.00164788
     -0.00259589     -0.00255143
     -0.00108078     -0.00100089
     -0.00682957     -0.00664275
     -0.00133891     -0.00132204
     -0.00718009     -0.00687631
     -0.00337305      -0.0032224
     -0.00243582     -0.00233859
     -0.00264831     -0.00253497
     -0.00352455      -0.0033197
    -0.000629509    -0.000571995
     -0.00164594     -0.00155837
     -0.00386206     -0.00373511
     -0.00260971     -0.00246863
    -0.000774406    -0.000700662
     -0.00139313     -0.00136137
     -0.00369843      -0.0035365
     -0.00188857     -0.00185214
     -0.00734117     -0.00742691
     -0.00358427     -0.00328293
     -0.00562493     -0.00552423
     -0.00126808     -0.00124116
     -0.00260073     -0.00253892
