QM Energy	FF Energy
    -0.000232642    -9.74671e-05
     -0.00112238    -0.000766615
     -1.6412e-05    -4.26705e-06
     -0.00140972     -0.00114692
    -0.000581451    -0.000378447
    -0.000713402    -0.000807639
     -0.00313398     -0.00332156
     -0.00105068    -0.000960074
      -8.189e-06    -2.91333e-06
    -0.000500272    -0.000294927
     -4.9975e-05    -2.13775e-05
     -4.3331e-05    -2.67894e-05
     -0.00149155     -0.00112873
      -8.249e-06    -1.56346e-06
     -1.6848e-05    -4.43996e-06
    -0.000165306    -0.000128009
     -0.00177208     -0.00270782
    -0.000137243    -0.000171305
     -0.00134136     -0.00124449
    -0.000429359    -0.000193428
     -0.00201873     -0.00174497
    -0.000860359    -0.000570391
     -5.4243e-05    -1.78646e-05
      -6.966e-06    -2.03253e-06
     -1.3327e-05    -8.70843e-06
     -0.00110773    -0.000660815
     -0.00137368    -0.000885997
     -9.3047e-05    -3.26503e-05
    -0.000891203    -0.000391105
    -0.000169302    -7.43684e-05
     -0.00015423    -0.000101758
    -0.000502621    -0.000241847
    -0.000832847    -0.000709493
      -5.221e-06    -6.34695e-06
    -0.000935498     -0.00059196
      -0.0015228    -0.000780721
     -0.00146805     -0.00112398
    -0.000204661    -7.46696e-05
     -6.8656e-05    -4.27877e-05
     -2.5687e-05    -3.15573e-05
     -0.00138869     -0.00105475
     -1.3271e-05    -3.06923e-06
     -0.00120375    -0.000896451
      -0.0002657    -0.000245615
     -1.7048e-05    -1.02687e-05
     -4.0155e-05    -1.25586e-05
     -0.00038847     -0.00144209
     -6.1871e-05    -3.02451e-05
    -0.000479346    -0.000270147
    -0.000232991    -0.000266132
     -5.6644e-05    -3.07613e-05
     -0.00200557     -0.00150566
     -0.00158258     -0.00108417
    -0.000218643    -0.000283591
    -0.000827607    -0.000333249
    -0.000988641     -0.00066476
    -0.000278952    -0.000219669
     -0.00142348     -0.00065553
     -6.0252e-05    -3.99358e-05
    -0.000317647    -0.000190173
     -8.2029e-05    -6.22877e-05
    -0.000292079    -0.000136017
     -3.6541e-05    -3.75342e-05
      -1.194e-05    -2.84099e-06
     -0.00181043    -0.000805597
     -9.6662e-05    -5.57035e-05
     -0.00011395    -0.000137177
     -4.9491e-05    -2.71766e-05
     -0.00103617    -0.000624663
     -2.1754e-05    -1.19793e-05
     -0.00118424     -0.00121909
     -0.00021259      -0.0001853
    -0.000173038    -0.000106912
    -0.000210073    -0.000123922
    -0.000414578    -0.000209544
     -1.1776e-05    -1.09762e-05
     -6.4834e-05    -3.86406e-05
    -0.000430021    -0.000250006
    -0.000301063    -0.000258603
     -1.4666e-05     -1.6314e-05
     -4.5419e-05    -1.62008e-05
    -0.000753338    -0.000504299
     -6.8864e-05    -3.21365e-05
    -0.000835664    -0.000498589
    -0.000641873    -0.000857745
    -0.000319444    -0.000248375
     -2.2826e-05    -1.19935e-05
    -0.000105059    -6.38677e-05
     -0.00189201     -0.00154336
    -0.000705637     -0.00177016
     -0.00021286    -0.000198896
     -0.00243798     -0.00175092
     -3.2922e-05    -3.00747e-05
     -1.7161e-05    -1.07398e-05
    -0.000557028    -0.000489165
     -2.8353e-05    -9.92179e-06
    -0.000569916    -0.000225037
    -0.000136383     -0.00011816
     -1.8097e-05    -4.79936e-06
    -0.000121362    -6.19336e-05
     -3.2354e-05    -4.18768e-05
     -1.3236e-05     -1.0572e-05
     -0.00114158     -0.00125859
     -0.00183737     -0.00139809
    -0.000180438    -0.000155434
      -6.651e-06     -1.8374e-06
     -7.8476e-05    -5.31717e-05
    -0.000218582     -9.2528e-05
    -0.000131528    -0.000124417
     -3.7039e-05     -1.5824e-05
      -2.606e-05    -8.34782e-06
     -0.00197609      -0.0015101
    -0.000257018    -0.000142841
     -2.0482e-05     -6.8844e-06
     -6.0624e-05    -3.76263e-05
     -5.1506e-05    -3.41279e-05
     -0.00182055     -0.00113541
     -0.00150857     -0.00109168
      -7.427e-06    -2.19861e-06
    -0.000998816    -0.000578017
     -1.6459e-05    -1.00588e-05
     -7.7066e-05    -7.54112e-05
     -5.9344e-05    -3.63149e-05
    -0.000105583    -3.81632e-05
     -1.9849e-05    -1.02583e-05
     -2.7263e-05    -2.57735e-05
     -1.9915e-05    -2.15126e-05
    -0.000128909    -0.000134995
     -5.8399e-05    -8.71375e-05
     -0.00014651    -0.000122221
    -0.000239476    -9.40849e-05
      -0.0015675     -0.00113498
    -0.000435458    -0.000538101
    -0.000964445    -0.000707863
     -0.00213035     -0.00169627
    -0.000119357    -7.22659e-05
     -1.2281e-05     -1.3582e-05
     -1.5108e-05     -9.0944e-06
     -0.00106686    -0.000790384
     -2.9137e-05    -9.17027e-06
     -8.5821e-05    -7.50495e-05
     -0.00238914     -0.00193617
     -0.00104893    -0.000773152
     -1.8101e-05    -1.37483e-05
    -0.000117581    -9.07884e-05
     -4.3153e-05    -3.90385e-05
     -0.00054892     -0.00166921
    -0.000861431    -0.000698978
     -0.00196554    -0.000880206
      -8.313e-05    -7.96851e-05
     -3.0597e-05    -2.13729e-05
    -0.000876922     -0.00100205
     -4.6694e-05    -2.83676e-05
     -1.7811e-05    -1.21132e-05
     -0.00105962    -0.000547561
     -0.00187291     -0.00143612
    -0.000174456     -9.3522e-05
    -0.000714391    -0.000401057
     -0.00109583    -0.000727151
     -0.00237571     -0.00177944
     -0.00138983     -0.00097157
     -0.00010529    -8.79421e-05
     -1.5975e-05    -1.36958e-05
     -6.3697e-05    -3.75865e-05
     -3.7378e-05    -2.92292e-05
    -0.000111763    -4.23256e-05
    -0.000755428     -0.00101199
    -0.000247518    -0.000138828
      -0.0022198     -0.00107505
    -0.000337903    -0.000225232
    -0.000412864    -0.000186169
    -0.000260754    -0.000164955
    -0.000210913    -0.000126192
     -0.00054876    -0.000226802
    -0.000741092    -0.000288331
    -0.000122613    -4.39305e-05
     -4.1767e-05    -2.60459e-05
     -0.00196666     -0.00174661
     -0.00173712    -0.000852417
      -6.449e-06    -1.46312e-06
      -2.871e-05    -1.54908e-05
     -0.00183805      -0.0012322
     -3.2901e-05    -1.76224e-05
    -0.000992804    -0.000545211
     -7.2061e-05    -2.64929e-05
    -0.000183078    -0.000254755
     -0.00214871     -0.00180403
     -0.00155089     -0.00117794
    -0.000259587    -0.000156781
    -0.000174284    -0.000151566
     -1.7235e-05    -1.06207e-05
    -0.000109397    -9.50748e-05
     -3.5339e-05    -1.77811e-05
     -0.00127915    -0.000985118
    -0.000829212    -0.000478002
     -3.6864e-05    -1.23505e-05
     -5.5962e-05    -5.21983e-05
      -0.0011303    -0.000785891
     -0.00214502     -0.00107045
     -0.00265644     -0.00143809
     -0.00125514    -0.000916877
    -0.000230439    -0.000129921
     -0.00106955    -0.000694366
     -1.6551e-05    -4.47683e-06
    -0.000872518     -0.00110102
     -2.5155e-05    -2.19973e-05
    -0.000188767    -0.000142552
    -0.000118099    -6.12055e-05
     -5.0859e-05    -3.19969e-05
    -0.000127076    -0.000122759
    -0.000314292    -0.000220605
     -2.6313e-05    -1.63317e-05
     -0.00111592    -0.000566209
      -1.319e-05    -7.33995e-06
     -1.8976e-05     -9.8221e-06
    -0.000182963    -0.000103735
     -6.0348e-05    -2.59442e-05
     -0.00141164     -0.00150105
    -0.000669443    -0.000567787
    -0.000889858    -0.000699578
      -1.623e-05    -7.38892e-06
    -0.000713973    -0.000872904
     -0.00042981     -0.00023861
     -6.3207e-05    -4.20486e-05
    -0.000611426     -0.00026464
     -4.4965e-05    -3.00779e-05
