QM Energy	FF Energy
     -0.00284796     -0.00211816
     -0.00871308     -0.00819773
    -0.000999078    -0.000729123
      -0.0110024     -0.00916327
     -0.00714953     -0.00637008
     -0.00614235     -0.00681718
      -0.0153633      -0.0154093
     -0.00824196     -0.00865969
    -0.000751524    -0.000628539
     -0.00368787     -0.00321778
      -0.0017568     -0.00145165
     -0.00146446     -0.00137543
     -0.00930777     -0.00816888
    -0.000673997    -0.000534646
     -0.00100932    -0.000736892
     -0.00324241     -0.00290314
      -0.0164042      -0.0137327
     -0.00261807     -0.00268753
      -0.0109278      -0.0108719
     -0.00464918     -0.00349248
      -0.0115465      -0.0101233
     -0.00575016     -0.00511133
     -0.00168393     -0.00124414
     -0.00101146    -0.000864963
     -0.00109445    -0.000910852
     -0.00724944     -0.00658139
     -0.00846476     -0.00644249
     -0.00185201     -0.00137746
     -0.00678113     -0.00555894
     -0.00274573     -0.00228691
     -0.00317678     -0.00270691
     -0.00513554     -0.00387663
     -0.00574375     -0.00540673
    -0.000732411    -0.000661874
     -0.00759919     -0.00596414
     -0.00821884     -0.00626748
     -0.00838284     -0.00762647
     -0.00265984     -0.00198851
     -0.00185802     -0.00165621
     -0.00105283     -0.00110722
     -0.00935505     -0.00800203
    -0.000803309    -0.000610376
      -0.0113667      -0.0102993
     -0.00404864      -0.0043008
    -0.000922759    -0.000830136
     -0.00128563    -0.000997587
       -0.012256     -0.00918106
     -0.00176363     -0.00146774
     -0.00491246     -0.00413502
     -0.00255529     -0.00283339
     -0.00138249     -0.00129214
     -0.00773921      -0.0070655
     -0.00741599     -0.00683811
     -0.00278055     -0.00308867
     -0.00555238     -0.00426835
     -0.00810987     -0.00714781
     -0.00261521     -0.00238507
        -0.00801     -0.00627398
     -0.00187008     -0.00179028
     -0.00427077     -0.00372738
     -0.00192817     -0.00163226
     -0.00418492     -0.00329423
     -0.00107274    -0.000973602
     -0.00083806     -0.00065181
     -0.00797722     -0.00623496
     -0.00169136     -0.00145355
     -0.00259589     -0.00262687
     -0.00108078    -0.000924034
     -0.00682957     -0.00598858
     -0.00133891     -0.00115053
     -0.00718009     -0.00751609
     -0.00337305     -0.00311323
     -0.00243582     -0.00224559
     -0.00264831     -0.00226421
