# Eelst 		 Emultipole 
     -0.00024464       0.00172022
     -0.00575651       0.00123314
      0.00063515       0.00108612
     -0.01239488      -0.00026910
     -0.00457307      -0.00108306
     -0.00275346       0.00142527
     -0.01662325       0.00070387
     -0.00513009       0.00046273
      0.00008319       0.00042269
     -0.00292122      -0.00111905
     -0.00017374       0.00072685
     -0.00011865       0.00028189
     -0.00942177      -0.00229202
      0.00018986       0.00065428
      0.00062083       0.00106808
     -0.00101398      -0.00036698
     -0.02463887      -0.00060939
      0.00042113       0.00127435
     -0.00695737      -0.00004391
     -0.00256905       0.00084258
     -0.01414233      -0.00020411
     -0.00430065      -0.00092013
      0.00069156       0.00138607
      0.00071635       0.00098780
     -0.00028895      -0.00053469
     -0.00660272      -0.00131754
     -0.00965129       0.00258867
      0.00007147       0.00125927
     -0.00500025       0.00160685
     -0.00079886       0.00072909
     -0.00138969      -0.00107345
     -0.00323704       0.00066907
     -0.00316176      -0.00118933
     -0.00006695      -0.00031990
     -0.00690879       0.00073710
     -0.00994558       0.00214912
     -0.00925119      -0.00188332
     -0.00045504       0.00145198
     -0.00061208      -0.00032552
     -0.00024285      -0.00031314
     -0.00884180      -0.00006597
      0.00035378       0.00103411
     -0.00880067       0.00173189
     -0.00137837      -0.00019360
     -0.00071432      -0.00090767
      0.00010536       0.00098121
     -0.02112452       0.00290683
     -0.00024021       0.00054931
     -0.00239957       0.00071387
      0.00029471       0.00165805
     -0.00056192      -0.00014730
     -0.00845809      -0.00080946
     -0.00750644      -0.00008725
     -0.00089875      -0.00033319
     -0.00408823       0.00174495
     -0.00731142      -0.00252104
     -0.00128633      -0.00119996
     -0.00831227       0.00213308
     -0.00074277      -0.00046959
     -0.00164010       0.00025278
     -0.00046061      -0.00068198
     -0.00178596       0.00036410
     -0.00030661      -0.00072107
      0.00027509       0.00084655
     -0.00914845       0.00224629
     -0.00077282      -0.00034266
      0.00030392       0.00096255
     -0.00093054      -0.00090813
     -0.00486557       0.00059817
      0.00051980       0.00097574
     -0.00531826      -0.00112317
     -0.00105354      -0.00084723
     -0.00217998      -0.00175743
     -0.00193847      -0.00170597
     -0.00070862       0.00196227
     -0.00033811      -0.00055913
     -0.00057946      -0.00022875
     -0.00320263      -0.00172628
     -0.00119100      -0.00096498
      0.00018120       0.00020962
      0.00026728       0.00071114
     -0.00350484      -0.00165092
     -0.00012261       0.00053889
     -0.00617135       0.00059426
     -0.00036497       0.00196257
     -0.00040693       0.00250924
      0.00007056       0.00042804
     -0.00069154      -0.00003860
     -0.01263728       0.00023854
     -0.02662945      -0.00082472
     -0.00073078      -0.00108587
     -0.01362346      -0.00165745
     -0.00013050      -0.00053972
     -0.00015305      -0.00032192
     -0.00188031       0.00095125
      0.00019152       0.00063654
     -0.00220294       0.00187759
     -0.00042396      -0.00010382
      0.00078534       0.00118852
     -0.00061281       0.00049714
      0.00021762       0.00012953
     -0.00038973      -0.00061092
     -0.00321755       0.00128787
     -0.00889434      -0.00186021
     -0.00068732      -0.00030092
      0.00037132       0.00048044
     -0.00030665       0.00012798
     -0.00037292       0.00161885
      0.00034462       0.00177357
      0.00021593       0.00055915
      0.00031615       0.00112674
     -0.01080577      -0.00063125
     -0.00183926      -0.00093411
      0.00037139       0.00070222
     -0.00070794      -0.00065268
     -0.00068541      -0.00060559
     -0.01051923      -0.00210049
     -0.00864357      -0.00232662
      0.00011961       0.00055921
     -0.00502789       0.00050812
     -0.00074544      -0.00095031
     -0.00067517      -0.00075982
     -0.00077964      -0.00076167
      0.00065798       0.00169215
     -0.00006424       0.00023693
      0.00040485       0.00097778
      0.00002890       0.00009994
      0.00003006       0.00083981
