QM Energy	FF Energy
    -0.000232642    -0.000109579
     -0.00112238    -0.000781551
     -1.6412e-05     -5.7511e-06
     -0.00140972     -0.00113519
    -0.000581451     -0.00037332
    -0.000713402    -0.000835702
     -0.00313398     -0.00340844
     -0.00105068    -0.000978283
      -8.189e-06    -3.62258e-06
    -0.000500272     -0.00028841
     -4.9975e-05    -2.27261e-05
     -4.3331e-05    -2.75105e-05
     -0.00149155      -0.0011011
      -8.249e-06    -2.84543e-06
     -1.6848e-05    -5.83098e-06
    -0.000165306    -0.000120963
     -0.00177208     -0.00267064
    -0.000137243    -0.000173557
     -0.00134136     -0.00125903
    -0.000429359      -0.0001879
     -0.00201873     -0.00177184
    -0.000860359    -0.000574038
     -5.4243e-05    -1.95945e-05
      -6.966e-06    -2.37276e-06
     -1.3327e-05    -7.55375e-06
     -0.00110773    -0.000645141
     -0.00137368     -0.00092568
     -9.3047e-05    -3.76165e-05
    -0.000891203    -0.000402716
    -0.000169302     -7.8252e-05
     -0.00015423    -9.35787e-05
    -0.000502621     -0.00023355
    -0.000832847    -0.000658113
      -5.221e-06    -5.15822e-06
    -0.000935498    -0.000577385
      -0.0015228    -0.000806757
     -0.00146805     -0.00111037
    -0.000204661    -8.20463e-05
     -6.8656e-05    -4.21043e-05
     -2.5687e-05    -3.18356e-05
     -0.00138869     -0.00105433
     -1.3271e-05    -6.24712e-06
     -0.00120375    -0.000885298
      -0.0002657    -0.000250518
     -1.7048e-05    -9.37599e-06
     -4.0155e-05    -1.55962e-05
     -0.00038847     -0.00144757
     -6.1871e-05    -3.20542e-05
    -0.000479346    -0.000275213
    -0.000232991    -0.000275505
     -5.6644e-05    -3.20079e-05
     -0.00200557     -0.00152263
     -0.00158258     -0.00111542
    -0.000218643    -0.000285636
    -0.000827607    -0.000347477
    -0.000988641      -0.0006617
    -0.000278952    -0.000208009
     -0.00142348    -0.000677952
     -6.0252e-05    -4.09186e-05
    -0.000317647    -0.000189048
     -8.2029e-05    -5.91505e-05
    -0.000292079    -0.000130812
     -3.6541e-05    -3.35793e-05
      -1.194e-05    -4.35452e-06
     -0.00181043    -0.000854994
     -9.6662e-05    -5.64823e-05
     -0.00011395    -0.000138792
     -4.9491e-05    -2.67939e-05
     -0.00103617    -0.000637013
     -2.1754e-05    -1.28965e-05
     -0.00118424     -0.00121765
     -0.00021259    -0.000169296
    -0.000173038    -0.000108172
    -0.000210073    -0.000112909
    -0.000414578    -0.000242086
     -1.1776e-05    -9.49296e-06
     -6.4834e-05    -3.89443e-05
    -0.000430021     -0.00024517
    -0.000301063    -0.000244165
     -1.4666e-05    -1.67719e-05
     -4.5419e-05    -1.73384e-05
    -0.000753338    -0.000494797
     -6.8864e-05    -3.28397e-05
    -0.000835664    -0.000489955
    -0.000641873    -0.000874373
    -0.000319444    -0.000251831
     -2.2826e-05    -1.25393e-05
    -0.000105059    -6.20794e-05
     -0.00189201     -0.00156985
    -0.000705637     -0.00170442
     -0.00021286    -0.000184465
     -0.00243798     -0.00174775
     -3.2922e-05    -2.72252e-05
     -1.7161e-05    -9.64425e-06
    -0.000557028    -0.000503846
     -2.8353e-05    -1.14494e-05
    -0.000569916    -0.000241149
    -0.000136383    -0.000114402
     -1.8097e-05    -5.77921e-06
