QM Energy	FF Energy
    -0.000244643    -0.000500663
     -0.00575651     -0.00628998
     0.000635149     0.000665461
      -0.0123949      -0.0116912
     -0.00457307     -0.00529768
     -0.00275346     -0.00267318
      -0.0166233      -0.0162302
     -0.00513009     -0.00566727
      8.3194e-05      0.00013556
     -0.00292122      -0.0027551
    -0.000173737    -0.000108166
    -0.000118653    -0.000140507
     -0.00942177     -0.00962282
     0.000189865     0.000281125
     0.000620834     0.000659212
     -0.00101398     -0.00180009
      -0.0246389      -0.0234203
     0.000421135     0.000386122
     -0.00695737     -0.00891133
     -0.00256905     -0.00194394
      -0.0141423      -0.0147041
     -0.00430065     -0.00421808
     0.000691562      0.00076246
     0.000716349     0.000738921
    -0.000288945    -0.000309489
     -0.00660272     -0.00670069
     -0.00965129      -0.0106417
      7.1466e-05     0.000139506
     -0.00500025      -0.0052599
     -0.00079886     -0.00101707
     -0.00138969      -0.0016537
     -0.00323704     -0.00260535
     -0.00316176      -0.0050149
     -6.6948e-05    -0.000168107
     -0.00690879     -0.00676674
     -0.00994558     -0.00982986
     -0.00925119     -0.00849955
    -0.000455039    -0.000376211
    -0.000612085    -0.000702182
    -0.000242849    -0.000288542
      -0.0088418     -0.00886666
     0.000353778     0.000412667
     -0.00880067     -0.00911562
     -0.00137837     -0.00176369
    -0.000714324    -0.000780203
     0.000105359     0.000223815
      -0.0211245      -0.0175593
    -0.000240212    -0.000283403
     -0.00239957     -0.00244761
     0.000294712     0.000420042
    -0.000561916    -0.000583418
     -0.00845809     -0.00855701
     -0.00750644     -0.00692355
    -0.000898754     -0.00103676
     -0.00408823     -0.00397017
     -0.00731142     -0.00769535
     -0.00128633     -0.00161447
     -0.00831227      -0.0082159
    -0.000742766    -0.000895467
      -0.0016401     -0.00276495
    -0.000460611     -0.00061993
     -0.00178596     -0.00147228
    -0.000306614    -0.000514029
     0.000275095     0.000371353
     -0.00914845      -0.0104784
    -0.000772816    -0.000747497
     0.000303924     0.000233409
    -0.000930537    -0.000935079
     -0.00486557     -0.00652322
     0.000519801     0.000547882
     -0.00531826     -0.00548513
