QM Energy	FF Energy
    -0.000232642     -0.00016221
     -0.00112238    -0.000666571
     -1.6412e-05    -6.40607e-06
     -0.00140972    -0.000948863
    -0.000581451    -0.000301635
    -0.000713402    -0.000977079
     -0.00313398     -0.00295852
     -0.00105068     -0.00106202
      -8.189e-06    -4.36342e-06
    -0.000500272    -0.000338967
     -4.9975e-05    -2.25354e-05
     -4.3331e-05    -3.61541e-05
     -0.00149155     -0.00122944
      -8.249e-06    -3.87913e-06
     -1.6848e-05    -6.30681e-06
    -0.000165306    -0.000171912
     -0.00177208     -0.00250185
    -0.000137243    -0.000211562
     -0.00134136     -0.00109352
    -0.000429359    -0.000141918
     -0.00201873     -0.00167013
    -0.000860359    -0.000623979
     -5.4243e-05    -1.78266e-05
      -6.966e-06    -1.56459e-06
     -1.3327e-05    -7.41214e-06
     -0.00110773    -0.000637437
     -0.00137368     -0.00131327
     -9.3047e-05    -4.78086e-05
    -0.000891203     -0.00035245
    -0.000169302    -8.51103e-05
     -0.00015423    -0.000116872
    -0.000502621    -0.000177061
    -0.000832847     -0.00101383
      -5.221e-06    -8.71427e-06
    -0.000935498    -0.000536961
      -0.0015228    -0.000975803
     -0.00146805     -0.00116983
    -0.000204661    -9.92359e-05
     -6.8656e-05    -5.05303e-05
     -2.5687e-05    -5.20474e-05
     -0.00138869      -0.0010678
     -1.3271e-05    -1.15749e-05
     -0.00120375     -0.00068298
      -0.0002657    -0.000332907
     -1.7048e-05    -1.16335e-05
     -4.0155e-05     -1.8924e-05
     -0.00038847     -0.00144385
     -6.1871e-05    -3.80014e-05
    -0.000479346    -0.000247775
    -0.000232991    -0.000360087
     -5.6644e-05    -3.50389e-05
     -0.00200557     -0.00172745
     -0.00158258    -0.000974383
    -0.000218643    -0.000345964
    -0.000827607    -0.000374989
    -0.000988641    -0.000655186
    -0.000278952    -0.000314155
     -0.00142348    -0.000693582
     -6.0252e-05    -4.31777e-05
    -0.000317647    -0.000222113
     -8.2029e-05    -8.33763e-05
    -0.000292079    -8.56316e-05
     -3.6541e-05    -5.96547e-05
      -1.194e-05    -5.23607e-06
     -0.00181043      -0.0011584
     -9.6662e-05    -6.63811e-05
     -0.00011395    -0.000170244
     -4.9491e-05     -3.1091e-05
     -0.00103617    -0.000727786
     -2.1754e-05    -1.41175e-05
     -0.00118424     -0.00111197
     -0.00021259    -0.000273688
    -0.000173038     -0.00010804
    -0.000210073    -0.000151637
    -0.000414578    -0.000474643
     -1.1776e-05    -1.63372e-05
     -6.4834e-05    -4.22405e-05
    -0.000430021    -0.000254085
    -0.000301063    -0.000384183
     -1.4666e-05    -3.08443e-05
     -4.5419e-05    -1.99497e-05
    -0.000753338    -0.000629887
     -6.8864e-05    -3.45469e-05
    -0.000835664    -0.000406952
    -0.000641873    -0.000937263
    -0.000319444    -0.000270741
     -2.2826e-05    -1.40272e-05
    -0.000105059    -6.95807e-05
     -0.00189201     -0.00136943
    -0.000705637     -0.00109751
     -0.00021286    -0.000305457
     -0.00243798      -0.0015594
     -3.2922e-05      -4.232e-05
     -1.7161e-05    -1.01898e-05
    -0.000557028     -0.00055459
     -2.8353e-05    -1.38318e-05
    -0.000569916    -0.000301588
    -0.000136383     -0.00016751
     -1.8097e-05    -4.67128e-06
    -0.000121362    -7.31886e-05
     -3.2354e-05    -6.59523e-05
     -1.3236e-05    -1.50092e-05
     -0.00114158     -0.00141262
     -0.00183737     -0.00167642
    -0.000180438    -0.000224233
      -6.651e-06    -2.21996e-06
     -7.8476e-05    -6.78492e-05
    -0.000218582    -0.000191805
    -0.000131528    -0.000205393
     -3.7039e-05    -1.07801e-05
      -2.606e-05    -2.28374e-05
     -0.00197609     -0.00133118
    -0.000257018    -0.000147271
     -2.0482e-05    -5.34426e-06
     -6.0624e-05    -4.33353e-05
     -5.1506e-05    -4.85903e-05
     -0.00182055     -0.00113872
     -0.00150857     -0.00115031
      -7.427e-06    -4.03184e-06
    -0.000998816    -0.000634417
     -1.6459e-05    -1.12953e-05
     -7.7066e-05    -9.60892e-05
     -5.9344e-05    -4.75751e-05
    -0.000105583     -2.9133e-05
     -1.9849e-05    -1.22023e-05
     -2.7263e-05    -5.08232e-05
     -1.9915e-05    -4.08799e-05
    -0.000128909    -0.000215338
     -5.8399e-05    -0.000124249
     -0.00014651     -0.00018153
    -0.000239476    -0.000119895
      -0.0015675     -0.00134721
    -0.000435458    -0.000675295
    -0.000964445    -0.000909333
     -0.00213035      -0.0024939
    -0.000119357     -8.7325e-05
     -1.2281e-05    -1.72256e-05
     -1.5108e-05    -1.18614e-05
     -0.00106686    -0.000883421
     -2.9137e-05    -2.07325e-05
     -8.5821e-05    -0.000105733
     -0.00238914     -0.00154092
     -0.00104893    -0.000871086
     -1.8101e-05    -1.63656e-05
    -0.000117581    -0.000132766
     -4.3153e-05    -7.11825e-05
     -0.00054892     -0.00142571
    -0.000861431    -0.000946149
     -0.00196554    -0.000958433
      -8.313e-05     -0.00012042
     -3.0597e-05    -2.68055e-05
    -0.000876922    -0.000922667
     -4.6694e-05    -3.59459e-05
     -1.7811e-05    -1.34069e-05
     -0.00105962    -0.000515402
     -0.00187291       -0.001576
    -0.000174456    -9.44554e-05
    -0.000714391    -0.000256869
     -0.00109583    -0.000685433
     -0.00237571      -0.0015056
     -0.00138983     -0.00121297
     -0.00010529    -0.000128319
     -1.5975e-05    -1.65647e-05
     -6.3697e-05    -4.31543e-05
     -3.7378e-05     -4.2827e-05
    -0.000111763    -3.99657e-05
    -0.000755428     -0.00099554
    -0.000247518    -0.000144401
      -0.0022198     -0.00136639
    -0.000337903    -0.000279766
    -0.000412864    -0.000141158
    -0.000260754    -0.000164399
    -0.000210913    -0.000157597
     -0.00054876    -0.000281184
    -0.000741092    -0.000319905
    -0.000122613    -4.82191e-05
     -4.1767e-05     -2.8799e-05
     -0.00196666     -0.00240894
     -0.00173712     -0.00113674
      -6.449e-06    -1.91606e-06
      -2.871e-05    -1.83009e-05
     -0.00183805     -0.00132462
     -3.2901e-05    -1.98518e-05
    -0.000992804     -0.00053821
     -7.2061e-05    -2.05494e-05
    -0.000183078    -0.000318623
     -0.00214871     -0.00218429
     -0.00155089    -0.000872873
    -0.000259587    -0.000158637
    -0.000174284    -0.000227612
     -1.7235e-05    -1.23411e-05
    -0.000109397    -0.000142026
     -3.5339e-05    -1.86759e-05
     -0.00127915     -0.00120774
    -0.000829212    -0.000400833
     -3.6864e-05    -1.09358e-05
     -5.5962e-05    -8.18226e-05
      -0.0011303    -0.000753022
     -0.00214502      -0.0012252
     -0.00265644     -0.00174106
     -0.00125514    -0.000741375
    -0.000230439    -0.000138318
     -0.00106955     -0.00080321
     -1.6551e-05    -5.39942e-06
    -0.000872518     -0.00119735
     -2.5155e-05    -3.18728e-05
    -0.000188767    -0.000197913
    -0.000118099    -5.48315e-05
     -5.0859e-05    -4.18574e-05
    -0.000127076     -0.00019656
    -0.000314292    -0.000296071
     -2.6313e-05     -2.1477e-05
     -0.00111592     -0.00112436
      -1.319e-05    -7.88629e-06
     -1.8976e-05    -1.17396e-05
    -0.000182963     -0.00010711
     -6.0348e-05    -1.85465e-05
     -0.00141164     -0.00165186
    -0.000669443    -0.000811105
    -0.000889858    -0.000734254
      -1.623e-05    -4.51335e-06
    -0.000713973    -0.000911073
     -0.00042981     -0.00026817
     -6.3207e-05    -5.63295e-05
    -0.000611426     -0.00028506
     -4.4965e-05    -4.35811e-05
     -1.8697e-05    -1.52186e-05
     -8.4106e-05    -4.84609e-05
    -0.000127292    -0.000109525
     -0.00021228    -0.000267598
    -0.000458445    -0.000192132
     -1.4014e-05    -2.71867e-06
    -0.000402614    -0.000399819
     -0.00095901    -0.000481911
    -0.000562626    -0.000581857
     -0.00157792     -0.00202801
    -0.000228801    -0.000207788
    -0.000835321    -0.000452594
    -0.000988722    -0.000778828
    -0.000514173    -0.000400215
    -0.000715946    -0.000478789
     -2.9686e-05    -2.07535e-05
     -0.00121223    -0.000633511
    -0.000885751    -0.000395511
    -0.000870902    -0.000561769
     -1.9274e-05     -1.1896e-05
    -0.000538874    -0.000438382
    -0.000280999    -9.41158e-05
    -0.000129188    -8.23611e-05
       -4.63e-05    -6.99575e-05
    -0.000407096    -0.000557003
      -1.358e-05    -9.63228e-06
    -0.000991609    -0.000437072
     -2.5341e-05    -1.30742e-05
    -0.000266366    -0.000122316
    -0.000177557     -7.0564e-05
    -0.000184993     -0.00132097
    -0.000233999    -8.47856e-05
    -0.000205249    -0.000135644
     -8.5254e-05    -5.98639e-05
      -6.215e-06    -2.23661e-06
     -4.6896e-05    -1.41973e-05
     -0.00215308     -0.00172107
    -0.000636383     -0.00041772
     -9.8301e-05    -5.68241e-05
    -0.000191475    -9.61445e-05
     -0.00154453     -0.00132178
    -0.000722999     -0.00101977
     -7.9699e-05    -5.62689e-05
     -1.4619e-05    -6.65215e-06
     -0.00020422    -0.000128895
     -5.8852e-05    -2.62633e-05
      -0.0010275    -0.000508054
    -0.000732481    -0.000320564
    -0.000294709    -0.000326218
     -3.4772e-05    -2.32437e-05
     -3.8066e-05    -1.28197e-05
     -8.8024e-05     -6.9645e-05
     -4.4164e-05    -4.14542e-05
    -0.000634138    -0.000301302
    -0.000122712    -0.000103977
     -4.0276e-05    -4.57745e-05
     -0.00179758     -0.00195401
     -0.00042228    -0.000181603
      -8.423e-05    -7.27906e-05
     -5.0322e-05    -2.05252e-05
     0.000266344     -0.00120442
    -0.000618658     -0.00201081
     -2.7678e-05    -1.51764e-05
      -9.033e-06    -2.50361e-06
    -0.000668495    -0.000369982
     -4.9351e-05    -2.14773e-05
    -0.000405638    -0.000264798
    -0.000604644    -0.000369821
    -0.000329076     -0.00021073
    -0.000162444    -9.99069e-05
     -1.5002e-05    -1.00592e-05
     -0.00125421     -0.00157418
     -0.00102344    -0.000707832
     -0.00126105     -0.00106293
    -0.000761074    -0.000400384
     -0.00104961    -0.000643557
    -0.000294869    -0.000379114
     -3.5916e-05    -3.50645e-05
     -0.00129449     -0.00150508
    -0.000317797    -0.000242509
     -1.4341e-05    -3.12329e-06
     -0.00025977    -8.51847e-05
     -8.3416e-05     -5.4265e-05
    -0.000475007    -0.000306568
     -0.00016279    -0.000883948
    -0.000654138    -0.000880186
    -0.000277046    -0.000336344
      -8.222e-06    -1.29317e-06
     -2.5693e-05    -1.20094e-05
     -7.5406e-05    -8.58154e-05
    -0.000739572     -0.00039189
     -0.00191111     -0.00180034
    -0.000160109     -0.00014937
     -3.0914e-05     -3.1603e-05
     -0.00035266     -0.00018124
     -8.7899e-05     -0.00011059
    -0.000292035    -0.000150189
     -0.00114916     -0.00140878
    -0.000188658    -0.000143804
     -2.5861e-05    -4.03484e-05
     -4.3096e-05    -6.43474e-05
      -8.702e-05    -9.36671e-05
     -0.00115894    -0.000801195
     -4.8314e-05    -4.03008e-05
     -0.00090586     -0.00102173
     -4.0505e-05    -1.18906e-05
     -1.1465e-05    -1.29374e-05
      -0.0001637    -9.30917e-05
     -4.3452e-05    -2.35841e-05
     -4.2843e-05    -1.44965e-05
     -2.5283e-05    -1.64805e-05
     -0.00091646    -0.000393207
    -0.000322744    -0.000184642
    -0.000150787    -6.88331e-05
    -0.000886772    -0.000532326
    -0.000826136     -0.00045772
    -0.000140062    -0.000128426
     -4.5371e-05    -3.00778e-05
     -2.4187e-05    -3.86842e-05
      -4.641e-05    -2.48217e-05
     -3.5722e-05    -2.60195e-05
     -0.00206378     -0.00185448
      -0.0025371     -0.00189216
     -3.8007e-05    -6.72284e-05
    -0.000205606    -0.000249473
    -0.000145518    -0.000133071
    -0.000140798    -4.76658e-05
     -0.00048697     -0.00029808
    -0.000211864    -0.000126411
     -3.5042e-05     -2.3862e-05
     -0.00283522     -0.00187343
     -1.2394e-05    -1.59439e-05
    -0.000599058    -0.000424976
     -0.00132438    -0.000646632
     -5.1516e-05    -3.14718e-05
    -0.000274833    -0.000173611
     -4.5867e-05    -3.11728e-05
     -0.00100781    -0.000565256
    -0.000437814    -0.000126497
     -2.6859e-05     -5.0508e-05
    -0.000280111    -0.000153563
     0.000546616     -0.00124544
     -0.00158034     -0.00149982
     -8.7072e-05    -0.000122433
    -0.000330189    -0.000152205
      -5.195e-05    -1.62807e-05
    -0.000936744    -0.000636511
     -1.5091e-05    -2.17871e-05
     -0.00166968     -0.00141202
    -0.000182165    -0.000122712
     -0.00203542     -0.00223921
      -5.996e-06    -2.99948e-06
    -0.000871606    -0.000783489
     -2.7329e-05    -3.37228e-05
     -0.00078599     -0.00115037
     -4.1683e-05    -1.82022e-05
      0.00015826     -0.00238492
     -0.00145844     -0.00105589
    -0.000923889    -0.000468656
     -7.4978e-05    -4.77021e-05
     -0.00129713     -0.00116213
    -0.000186637    -0.000101912
     -0.00196799     -0.00117962
     -6.1372e-05    -4.01971e-05
    -0.000134109    -0.000173675
     -0.00271121     -0.00189334
     -1.3743e-05    -1.62227e-05
    -0.000201912    -0.000318732
     -0.00118904    -0.000710656
    -0.000666422    -0.000437524
     -0.00225654     -0.00245319
     -1.7338e-05    -1.24335e-05
     -1.4087e-05    -7.39971e-06
     -0.00092218    -0.000704974
     -3.4204e-05    -1.34904e-05
    -0.000226533    -0.000234029
     -3.3211e-05     -1.3957e-05
    -0.000737189    -0.000537714
     -3.9954e-05    -3.58188e-05
     -0.00128876    -0.000755276
    -0.000803013    -0.000609565
     -0.00174058     -0.00155106
     -0.00215811     -0.00179886
     -0.00096727    -0.000576701
     -0.00103478    -0.000673754
     -2.9495e-05    -3.67705e-05
    -0.000161165     -5.3155e-05
     -0.00245192     -0.00224852
    -0.000588306     -0.00042393
     -4.5863e-05    -1.62382e-05
    -0.000424588    -0.000518764
     -2.1711e-05    -1.10362e-05
     -3.6736e-05    -1.89668e-05
     -8.8903e-05    -5.98851e-05
     -6.8258e-05    -2.22173e-05
     -1.2726e-05    -1.82857e-05
     -3.1289e-05    -2.01499e-05
      -6.329e-06    -7.84648e-06
     -2.3979e-05    -1.84146e-05
    -0.000454163    -0.000711956
     -0.00011769    -8.06102e-05
    -0.000174241    -9.59375e-05
    -0.000684021    -0.000366764
     -3.1763e-05    -3.58774e-05
      -9.675e-06    -7.75967e-06
     -0.00125431    -0.000959895
     -1.3414e-05    -1.17586e-05
    -0.000733939    -0.000553594
    -0.000402545    -0.000611203
     -0.00055012    -0.000313736
     -2.2698e-05    -1.68644e-05
    -0.000136709    -0.000172727
      -8.797e-06    -2.02776e-05
     -4.9391e-05    -1.88738e-05
     -3.7728e-05    -6.18515e-05
     -0.00178115     -0.00119423
    -0.000674171    -0.000620812
    -0.000133827    -0.000127023
     -5.1955e-05    -3.16453e-05
      -3.944e-06    -5.75004e-06
    -0.000478708    -0.000475696
     0.000174388     -0.00208216
    -0.000310648    -0.000224588
       -7.58e-05    -6.73122e-05
    -0.000227047    -0.000311933
     -3.1932e-05    -4.56173e-05
       -4.46e-06    -1.43789e-06
      -3.822e-05    -4.34803e-05
     -3.2912e-05    -2.33516e-05
    -0.000134475    -7.36218e-05
     -6.3706e-05    -3.95028e-05
    -0.000976326    -0.000649342
     -2.0023e-05    -1.61066e-05
    -0.000131175    -8.72851e-05
     -0.00310506     -0.00295655
    -0.000486566    -0.000299024
    -0.000316358    -0.000437551
    -0.000364456    -0.000158687
     -1.6558e-05     -7.8963e-06
    -0.000146526    -0.000166475
      -7.676e-06    -3.67806e-06
     -1.3188e-05    -4.45274e-06
      -0.0021883       -0.001993
    -0.000758691    -0.000678885
     -6.8412e-05    -4.40078e-05
    -0.000366567    -0.000549513
    -0.000976382    -0.000506855
     -0.00226774     -0.00187749
     -0.00128564      -0.0010371
    -0.000320164    -0.000246707
       -5.37e-06    -1.20926e-06
     -1.6615e-05    -1.08548e-05
    -0.000677227    -0.000631141
    -0.000395594    -0.000316672
     -3.9902e-05    -3.06855e-05
    -0.000394883    -0.000312707
      -5.581e-06    -1.77367e-06
    -0.000133044     -0.00022803
     -0.00152503     -0.00128456
     -2.9932e-05    -2.97781e-05
    -0.000335208    -0.000222834
    -0.000596067    -0.000648744
    -0.000377452    -0.000173119
      -7.394e-06    -1.63614e-06
    -0.000487281    -0.000159173
    -0.000257423    -0.000368122
    -0.000128683    -9.14149e-05
    -0.000479827    -0.000293588
     -3.0231e-05    -2.92892e-05
     -1.4971e-05    -1.49817e-05
     -1.6287e-05    -2.03043e-05
    -0.000207682    -0.000189498
    -0.000134582    -4.37477e-05
     -0.00025744    -9.36327e-05
     -7.5982e-05    -2.65599e-05
    -0.000726564    -0.000482345
     -5.7901e-05    -4.34847e-05
    -0.000152704    -0.000108575
     -1.4005e-05    -3.14541e-05
     -1.8418e-05    -8.49105e-06
     -5.1726e-05    -3.36305e-05
     -3.1419e-05    -3.91859e-05
     -8.7777e-05    -4.77364e-05
     -2.7216e-05    -1.01912e-05
       -0.001533     -0.00135509
    -0.000710445     -0.00126656
     -0.00102447     -0.00101514
      -3.016e-05    -9.61176e-06
     -2.0962e-05    -1.42272e-05
     -3.9531e-05    -4.19155e-05
     -9.4787e-05    -0.000159631
    -0.000418821    -0.000401012
     -0.00119345    -0.000950363
    -0.000855267    -0.000617556
      -3.728e-05    -7.65047e-05
     -8.1743e-05    -2.82061e-05
    -0.000210722    -0.000200453
     -4.1653e-05    -4.02919e-05
     -0.00107868    -0.000684727
       -8.56e-06    -1.49165e-05
     -1.8472e-05    -1.08546e-05
     -7.5813e-05    -3.44452e-05
      -1.854e-05    -1.10673e-05
    -0.000921056    -0.000823309
      -2.182e-05    -2.46997e-05
     -9.4642e-05    -3.32768e-05
     -5.2923e-05    -6.03899e-05
     -0.00220499     -0.00168597
    -0.000906758    -0.000791967
    -0.000123343    -8.79398e-05
     -1.2013e-05    -7.91307e-06
    -0.000103389    -6.97454e-05
     -0.00227455     -0.00163184
    -0.000334021    -0.000236383
     -1.1667e-05    -1.55845e-05
     -0.00149727    -0.000838398
     -5.1031e-05    -2.68466e-05
    -0.000494499    -0.000466663
      -0.0024316     -0.00259416
    -0.000631406    -0.000432242
     -6.0325e-05     -2.0345e-05
      -9.272e-06    -9.42659e-06
      0.00138302     -0.00189486
     -2.0222e-05    -4.18891e-05
    -0.000418288    -0.000159454
     -0.00076515    -0.000753654
     -0.00200231     -0.00177723
     -6.1919e-05     -1.5188e-05
    -0.000259237    -0.000109838
     -0.00202596     -0.00163766
    -0.000203544    -0.000188765
     -0.00128119    -0.000645094
     -1.3878e-05    -1.55826e-05
     -1.6894e-05    -4.69094e-06
    -0.000207715    -0.000250876
    -0.000254518    -0.000216135
     -0.00128335    -0.000799795
    -0.000338134    -0.000473055
     -5.9192e-05    -1.64167e-05
     -0.00012931     -7.2448e-05
    -0.000488923    -0.000357361
      -8.014e-05    -7.97425e-05
    -0.000173323    -0.000103616
     -9.2217e-05    -7.84776e-05
     -1.5975e-05    -1.16378e-05
     -3.9986e-05    -3.79793e-05
     -1.1726e-05    -5.30751e-06
     -6.1042e-05    -1.93111e-05
     -0.00020415    -0.000302092
     -0.00152304     -0.00100648
     -5.2202e-05    -2.55515e-05
