QM Energy	FF Energy
     -0.00284796     -0.00277132
     -0.00871308     -0.00881149
    -0.000999078    -0.000964058
      -0.0110024      -0.0110128
     -0.00714953     -0.00720871
     -0.00614235      -0.0063731
      -0.0153633      -0.0150173
     -0.00824196     -0.00847636
    -0.000751524    -0.000744183
     -0.00368787     -0.00362621
      -0.0017568     -0.00174215
     -0.00146446     -0.00146195
     -0.00930777     -0.00927666
    -0.000673997    -0.000655847
     -0.00100932    -0.000973387
     -0.00324241     -0.00326793
      -0.0164042      -0.0161761
     -0.00261807     -0.00268241
      -0.0109278      -0.0110734
     -0.00464918      -0.0045957
      -0.0115465      -0.0114317
     -0.00575016     -0.00575486
     -0.00168393     -0.00162699
     -0.00101146     -0.00102279
     -0.00109445      -0.0011052
     -0.00724944     -0.00728667
     -0.00846476      -0.0085465
     -0.00185201     -0.00178677
     -0.00678113     -0.00678707
     -0.00274573     -0.00271361
     -0.00317678     -0.00317492
     -0.00513554     -0.00509015
     -0.00574375     -0.00580083
    -0.000732411    -0.000737022
     -0.00759919     -0.00764871
     -0.00821884     -0.00829001
     -0.00838284     -0.00835119
     -0.00265984      -0.0025837
     -0.00185802     -0.00183668
     -0.00105283      -0.0010738
     -0.00935505     -0.00933867
    -0.000803309    -0.000764738
      -0.0113667      -0.0115117
     -0.00404864     -0.00422085
    -0.000922759    -0.000911905
     -0.00128563     -0.00124713
       -0.012256      -0.0124029
     -0.00176363     -0.00173813
     -0.00491246     -0.00489761
     -0.00255529     -0.00260946
     -0.00138249     -0.00137566
     -0.00773921     -0.00766604
     -0.00741599     -0.00740766
     -0.00278055     -0.00288535
     -0.00555238     -0.00552841
     -0.00810987     -0.00811569
     -0.00261521     -0.00259984
        -0.00801     -0.00805939
     -0.00187008     -0.00191674
     -0.00427077     -0.00428086
     -0.00192817     -0.00191287
     -0.00418492     -0.00414119
     -0.00107274     -0.00104947
     -0.00083806    -0.000819869
     -0.00797722     -0.00800772
     -0.00169136     -0.00167385
     -0.00259589     -0.00267434
     -0.00108078     -0.00103007
     -0.00682957     -0.00685853
     -0.00133891      -0.0013381
     -0.00718009     -0.00726856
     -0.00337305     -0.00341284
     -0.00243582     -0.00242183
     -0.00264831     -0.00260665
     -0.00352455     -0.00348398
    -0.000629509    -0.000602359
     -0.00164594     -0.00162884
     -0.00386206     -0.00384284
     -0.00260971     -0.00260067
    -0.000774406    -0.000756646
     -0.00139313     -0.00133145
     -0.00369843     -0.00363056
     -0.00188857     -0.00184643
     -0.00734117     -0.00733965
     -0.00358427     -0.00352335
     -0.00562493     -0.00569223
     -0.00126808      -0.0012837
     -0.00260073     -0.00258765
      -0.0123171      -0.0122597
      -0.0169196       -0.016934
     -0.00216363     -0.00214277
      -0.0108139      -0.0107375
      -0.0014198     -0.00141754
     -0.00116483     -0.00116542
     -0.00508608     -0.00523942
      -0.0011328     -0.00109436
     -0.00438583     -0.00433281
     -0.00263156      -0.0026267
     -0.00111429     -0.00108108
     -0.00250607     -0.00248794
    -0.000918731    -0.000895654
     -0.00063484    -0.000604014
     -0.00643722     -0.00654693
     -0.00743059     -0.00731993
     -0.00270898     -0.00271115
     -0.00071083    -0.000691752
     -0.00209369     -0.00207095
     -0.00254822     -0.00248027
     -0.00241488     -0.00249053
     -0.00167469      -0.0016597
     -0.00103891    -0.000989699
      -0.0092573     -0.00922925
     -0.00259594     -0.00254815
     -0.00114989     -0.00112882
     -0.00154225     -0.00152675
     -0.00103241    -0.000979076
     -0.00913345      -0.0091382
     -0.00843827     -0.00839929
    -0.000713458    -0.000703438
     -0.00746284     -0.00750119
    -0.000882146    -0.000867216
     -0.00186762     -0.00187858
     -0.00120666     -0.00114587
      -0.0024846     -0.00242089
