QM Energy	FF Energy
     -0.00284796     -0.00274845
     -0.00871308     -0.00890192
    -0.000999078     -0.00092285
      -0.0110024      -0.0109337
     -0.00714953     -0.00732174
     -0.00614235      -0.0063318
      -0.0153633      -0.0154372
     -0.00824196     -0.00839402
    -0.000751524    -0.000781496
     -0.00368787      -0.0034518
      -0.0017568     -0.00176381
     -0.00146446     -0.00144357
     -0.00930777     -0.00926284
    -0.000673997    -0.000677942
     -0.00100932    -0.000932865
     -0.00324241     -0.00340439
      -0.0164042      -0.0162672
     -0.00261807     -0.00269801
      -0.0109278      -0.0115598
     -0.00464918     -0.00440858
      -0.0115465      -0.0114764
     -0.00575016     -0.00571628
     -0.00168393     -0.00155954
     -0.00101146     -0.00101619
     -0.00109445     -0.00109247
     -0.00724944     -0.00696876
     -0.00846476     -0.00839953
     -0.00185201     -0.00176645
     -0.00678113     -0.00683588
     -0.00274573     -0.00284363
     -0.00317678     -0.00317215
     -0.00513554     -0.00490699
     -0.00574375     -0.00606177
    -0.000732411    -0.000782849
     -0.00759919     -0.00753373
     -0.00821884     -0.00811477
     -0.00838284     -0.00817998
     -0.00265984     -0.00255399
     -0.00185802     -0.00179804
     -0.00105283      -0.0010713
     -0.00935505     -0.00931859
    -0.000803309    -0.000788353
      -0.0113667      -0.0117155
     -0.00404864     -0.00415597
    -0.000922759    -0.000894304
     -0.00128563     -0.00126576
       -0.012256      -0.0117996
     -0.00176363     -0.00181398
     -0.00491246     -0.00485233
     -0.00255529     -0.00254044
     -0.00138249     -0.00137157
     -0.00773921     -0.00778903
     -0.00741599     -0.00736918
     -0.00278055     -0.00291691
     -0.00555238     -0.00545505
     -0.00810987     -0.00808618
     -0.00261521     -0.00263519
        -0.00801     -0.00796628
     -0.00187008     -0.00194372
     -0.00427077     -0.00451601
     -0.00192817     -0.00189963
     -0.00418492     -0.00404199
     -0.00107274     -0.00108819
     -0.00083806    -0.000818846
     -0.00797722     -0.00810716
     -0.00169136      -0.0016321
     -0.00259589     -0.00269943
     -0.00108078    -0.000993643
     -0.00682957     -0.00717514
     -0.00133891      -0.0013205
     -0.00718009     -0.00742147
     -0.00337305     -0.00357405
     -0.00243582     -0.00240682
     -0.00264831      -0.0024797
     -0.00352455     -0.00382547
    -0.000629509     -0.00061539
     -0.00164594     -0.00160357
     -0.00386206      -0.0036941
     -0.00260971     -0.00268094
    -0.000774406     -0.00075004
     -0.00139313     -0.00128612
     -0.00369843     -0.00356196
     -0.00188857     -0.00183077
     -0.00734117     -0.00717296
     -0.00358427     -0.00356632
     -0.00562493     -0.00571577
     -0.00126808     -0.00129362
     -0.00260073     -0.00259937
      -0.0123171      -0.0123867
      -0.0169196      -0.0169999
     -0.00216363     -0.00222407
      -0.0108139      -0.0104174
      -0.0014198     -0.00143836
     -0.00116483     -0.00115229
     -0.00508608     -0.00524421
      -0.0011328     -0.00111008
     -0.00438583     -0.00428025
     -0.00263156     -0.00273291
     -0.00111429     -0.00103769
     -0.00250607     -0.00262576
    -0.000918731    -0.000884323
     -0.00063484    -0.000600382
     -0.00643722     -0.00647627
     -0.00743059     -0.00711065
     -0.00270898     -0.00281878
     -0.00071083    -0.000661388
     -0.00209369     -0.00212994
     -0.00254822     -0.00260519
     -0.00241488     -0.00235288
     -0.00167469     -0.00163299
     -0.00103891     -0.00101962
      -0.0092573     -0.00906407
     -0.00259594      -0.0024942
     -0.00114989     -0.00107695
     -0.00154225     -0.00149114
     -0.00103241    -0.000957628
     -0.00913345     -0.00864589
     -0.00843827     -0.00841299
    -0.000713458    -0.000719754
     -0.00746284      -0.0079308
    -0.000882146    -0.000847985
     -0.00186762     -0.00185467
     -0.00120666     -0.00109889
      -0.0024846      -0.0023523
     -0.00102436     -0.00102971
     -0.00127951     -0.00128229
    -0.000964248    -0.000956633
     -0.00237523     -0.00230925
     -0.00149148     -0.00152119
     -0.00178561     -0.00174814
     -0.00302228     -0.00282632
     -0.00690973     -0.00710458
      -0.0043708     -0.00455231
     -0.00491739     -0.00493659
      -0.0119044       -0.011979
      -0.0020628     -0.00191811
     -0.00075896     -0.00075181
    -0.000834178    -0.000841945
     -0.00729649     -0.00710651
     -0.00111487     -0.00106701
     -0.00222769     -0.00231109
      -0.0131408      -0.0133135
     -0.00704626     -0.00686313
     -0.00112851     -0.00113082
     -0.00155645      -0.0015033
     -0.00176219     -0.00178385
      -0.0135609      -0.0134234
     -0.00578801     -0.00591134
     -0.00923279     -0.00945067
     -0.00205163     -0.00218307
    -0.000965881    -0.000893991
     -0.00765394     -0.00789057
     -0.00107395     -0.00100294
     -0.00107785     -0.00107039
     -0.00742859      -0.0075441
     -0.00797274     -0.00770094
     -0.00323283     -0.00323475
     -0.00694127     -0.00677742
     -0.00706428     -0.00705461
     -0.00849697     -0.00836539
     -0.00650477     -0.00633265
     -0.00216793     -0.00226803
     -0.00117897     -0.00120722
     -0.00200419     -0.00200222
    -0.000994871    -0.000959293
     -0.00221198     -0.00206733
      -0.0067375     -0.00689084
     -0.00264689     -0.00260637
     -0.00950418      -0.0097213
     -0.00404177     -0.00416317
     -0.00448243     -0.00424793
     -0.00293535     -0.00293333
     -0.00204082     -0.00192929
      -0.0043629     -0.00416133
     -0.00514538     -0.00521261
     -0.00223732     -0.00213092
     -0.00172849     -0.00172135
     -0.00743793     -0.00781458
     -0.00842665     -0.00841684
     -0.00072441    -0.000686521
     -0.00117173     -0.00117224
     -0.00882451     -0.00908859
     -0.00115805      -0.0010932
     -0.00716272     -0.00714169
     -0.00191639     -0.00178023
     -0.00193221     -0.00193611
     -0.00803791     -0.00783663
      -0.0121977      -0.0126356
      -0.0030223     -0.00299654
      -0.0025111     -0.00263288
    -0.000914164    -0.000916824
      -0.0019238     -0.00195426
     -0.00159332     -0.00159257
     -0.00830186     -0.00871083
     -0.00698427     -0.00691926
     -0.00159161     -0.00149684
     -0.00187595     -0.00188665
     -0.00735032     -0.00730385
      -0.0100358      -0.0101575
      -0.0113252       -0.011662
      -0.0105217      -0.0105649
     -0.00261602     -0.00256375
     -0.00464422     -0.00451227
     -0.00102485    -0.000990524
     -0.00448178     -0.00441517
     -0.00117234     -0.00121204
     -0.00244473     -0.00239039
     -0.00259827     -0.00250039
