QM Energy	FF Energy
    -0.000232642    -0.000109578
     -0.00112238    -0.000781571
     -1.6412e-05    -5.75108e-06
     -0.00140972      -0.0011352
    -0.000581451    -0.000373329
    -0.000713402    -0.000835727
     -0.00313398     -0.00340845
     -0.00105068    -0.000978234
      -8.189e-06    -3.62394e-06
    -0.000500272    -0.000288407
     -4.9975e-05     -2.2708e-05
     -4.3331e-05    -2.75105e-05
     -0.00149155     -0.00110111
      -8.249e-06    -2.84631e-06
     -1.6848e-05    -5.83163e-06
    -0.000165306    -0.000120963
     -0.00177208     -0.00267064
    -0.000137243    -0.000173551
     -0.00134136       -0.001259
    -0.000429359    -0.000187872
     -0.00201873     -0.00177184
    -0.000860359    -0.000574036
     -5.4243e-05    -1.95935e-05
      -6.966e-06    -2.37272e-06
     -1.3327e-05    -7.55341e-06
     -0.00110773    -0.000645214
     -0.00137368    -0.000925685
     -9.3047e-05    -3.76191e-05
    -0.000891203    -0.000402771
    -0.000169302    -7.82527e-05
     -0.00015423     -9.3579e-05
    -0.000502621    -0.000233535
    -0.000832847     -0.00065811
      -5.221e-06    -5.16116e-06
    -0.000935498    -0.000577361
      -0.0015228    -0.000806754
     -0.00146805     -0.00111037
    -0.000204661    -8.20485e-05
     -6.8656e-05    -4.21069e-05
     -2.5687e-05    -3.18435e-05
     -0.00138869     -0.00105433
     -1.3271e-05    -6.24775e-06
     -0.00120375    -0.000885337
      -0.0002657    -0.000250508
     -1.7048e-05    -9.38029e-06
     -4.0155e-05    -1.55987e-05
     -0.00038847     -0.00144757
     -6.1871e-05    -3.20489e-05
    -0.000479346    -0.000275217
    -0.000232991    -0.000275508
     -5.6644e-05    -3.20069e-05
     -0.00200557     -0.00152261
     -0.00158258     -0.00111542
    -0.000218643    -0.000285591
    -0.000827607    -0.000347471
    -0.000988641    -0.000661697
    -0.000278952    -0.000208009
     -0.00142348    -0.000677922
     -6.0252e-05    -4.09236e-05
    -0.000317647    -0.000189055
     -8.2029e-05    -5.91505e-05
    -0.000292079    -0.000130831
     -3.6541e-05    -3.35796e-05
      -1.194e-05    -4.35398e-06
     -0.00181043    -0.000854999
     -9.6662e-05    -5.64821e-05
     -0.00011395    -0.000138813
     -4.9491e-05    -2.67925e-05
     -0.00103617    -0.000637017
     -2.1754e-05    -1.28974e-05
     -0.00118424     -0.00121766
     -0.00021259    -0.000169296
    -0.000173038    -0.000108173
    -0.000210073    -0.000112915
    -0.000414578    -0.000242084
     -1.1776e-05     -9.4922e-06
     -6.4834e-05    -3.89411e-05
    -0.000430021     -0.00024517
    -0.000301063    -0.000244165
     -1.4666e-05    -1.67759e-05
     -4.5419e-05     -1.7338e-05
    -0.000753338    -0.000494797
     -6.8864e-05    -3.28121e-05
    -0.000835664    -0.000490007
    -0.000641873    -0.000874369
    -0.000319444     -0.00025179
     -2.2826e-05    -1.25429e-05
    -0.000105059    -6.20887e-05
     -0.00189201     -0.00156986
    -0.000705637     -0.00170437
     -0.00021286    -0.000184463
     -0.00243798     -0.00174774
     -3.2922e-05    -2.72278e-05
     -1.7161e-05    -9.64412e-06
    -0.000557028    -0.000503817
     -2.8353e-05    -1.14591e-05
    -0.000569916    -0.000241147
    -0.000136383    -0.000114399
     -1.8097e-05    -5.78013e-06
    -0.000121362    -6.38343e-05
     -3.2354e-05    -4.15789e-05
     -1.3236e-05    -9.37028e-06
     -0.00114158     -0.00130006
     -0.00183737     -0.00134836
    -0.000180438    -0.000150341
      -6.651e-06    -2.17988e-06
     -7.8476e-05    -5.23962e-05
    -0.000218582    -0.000108742
    -0.000131528    -0.000135138
     -3.7039e-05    -1.53151e-05
      -2.606e-05    -1.27462e-05
     -0.00197609     -0.00153497
    -0.000257018    -0.000144749
     -2.0482e-05     -7.1398e-06
     -6.0624e-05    -3.66441e-05
     -5.1506e-05    -3.27217e-05
