QM Energy	FF Energy
    -0.000232642    -0.000109577
     -0.00112238    -0.000781503
     -1.6412e-05    -5.74928e-06
     -0.00140972      -0.0011352
    -0.000581451    -0.000373327
    -0.000713402    -0.000835738
     -0.00313398     -0.00340844
     -0.00105068    -0.000978256
      -8.189e-06    -3.61956e-06
    -0.000500272    -0.000288408
     -4.9975e-05    -2.27153e-05
     -4.3331e-05    -2.75105e-05
     -0.00149155     -0.00110111
      -8.249e-06    -2.84891e-06
     -1.6848e-05    -5.83084e-06
    -0.000165306    -0.000120966
     -0.00177208     -0.00267064
    -0.000137243    -0.000173544
     -0.00134136     -0.00125902
    -0.000429359    -0.000187905
     -0.00201873     -0.00177184
    -0.000860359    -0.000574037
     -5.4243e-05    -1.95906e-05
      -6.966e-06    -2.37301e-06
     -1.3327e-05    -7.55472e-06
     -0.00110773    -0.000645142
     -0.00137368    -0.000925686
     -9.3047e-05    -3.76177e-05
    -0.000891203    -0.000402762
    -0.000169302    -7.82501e-05
     -0.00015423    -9.35811e-05
    -0.000502621    -0.000233551
    -0.000832847    -0.000658114
      -5.221e-06    -5.16254e-06
    -0.000935498    -0.000577368
      -0.0015228    -0.000806759
     -0.00146805     -0.00111037
    -0.000204661    -8.20507e-05
     -6.8656e-05    -4.21055e-05
     -2.5687e-05    -3.18384e-05
     -0.00138869     -0.00105432
     -1.3271e-05    -6.24766e-06
     -0.00120375    -0.000885421
      -0.0002657    -0.000250521
     -1.7048e-05    -9.38292e-06
     -4.0155e-05    -1.55979e-05
     -0.00038847     -0.00144759
     -6.1871e-05    -3.20542e-05
    -0.000479346    -0.000275176
    -0.000232991    -0.000275507
     -5.6644e-05    -3.20059e-05
     -0.00200557     -0.00152263
     -0.00158258     -0.00111542
    -0.000218643    -0.000285633
    -0.000827607    -0.000347426
    -0.000988641    -0.000661702
    -0.000278952     -0.00020801
     -0.00142348    -0.000677953
     -6.0252e-05    -4.09199e-05
    -0.000317647    -0.000189056
     -8.2029e-05    -5.91475e-05
    -0.000292079    -0.000130829
     -3.6541e-05    -3.35799e-05
      -1.194e-05    -4.35579e-06
     -0.00181043    -0.000854982
     -9.6662e-05     -5.6482e-05
     -0.00011395    -0.000138792
     -4.9491e-05    -2.67937e-05
     -0.00103617    -0.000637018
     -2.1754e-05    -1.28693e-05
     -0.00118424     -0.00121763
     -0.00021259    -0.000169296
    -0.000173038    -0.000108172
    -0.000210073    -0.000112918
    -0.000414578    -0.000242085
     -1.1776e-05    -9.49289e-06
     -6.4834e-05    -3.89406e-05
    -0.000430021     -0.00024516
    -0.000301063    -0.000244166
     -1.4666e-05    -1.67754e-05
     -4.5419e-05    -1.73326e-05
    -0.000753338    -0.000494797
     -6.8864e-05    -3.28159e-05
    -0.000835664    -0.000490009
    -0.000641873    -0.000874391
    -0.000319444    -0.000251827
     -2.2826e-05    -1.25417e-05
    -0.000105059    -6.20903e-05
     -0.00189201     -0.00156986
    -0.000705637     -0.00170446
     -0.00021286    -0.000184464
     -0.00243798     -0.00174776
     -3.2922e-05    -2.72271e-05
     -1.7161e-05    -9.63732e-06
    -0.000557028    -0.000503864
     -2.8353e-05    -1.14465e-05
    -0.000569916    -0.000241149
    -0.000136383    -0.000114402
     -1.8097e-05    -5.77988e-06
    -0.000121362    -6.38298e-05
     -3.2354e-05    -4.15769e-05
     -1.3236e-05    -9.37047e-06
     -0.00114158     -0.00130006
     -0.00183737     -0.00134837
    -0.000180438    -0.000150341
      -6.651e-06    -2.17976e-06
     -7.8476e-05    -5.23978e-05
    -0.000218582    -0.000108741
    -0.000131528     -0.00013511
     -3.7039e-05    -1.53171e-05
