QM Energy	FF Energy
     -0.00012567     -0.00033478
    -0.000754697     -0.00109324
     -6.0354e-05    -7.46349e-05
     -0.00141283     -0.00200501
    -0.000460705    -0.000776529
    -0.000544869    -0.000537315
     -0.00301394     -0.00266053
    -0.000729526    -0.000795251
     -3.0688e-05    -4.30321e-05
    -0.000278383    -0.000373301
     -7.8927e-05    -0.000121284
     -9.5131e-05    -0.000100062
     -0.00101853     -0.00137378
     -3.0039e-05     -4.2725e-05
     -6.1268e-05    -7.56669e-05
    -0.000138124    -0.000250046
      -0.0042473     -0.00386824
     -0.00023866    -0.000241404
     -0.00115304     -0.00147082
    -0.000254705    -0.000603169
     -0.00191458     -0.00204489
    -0.000567066    -0.000729789
    -0.000100588    -0.000145069
     -6.5206e-05    -6.56095e-05
     -5.8517e-05    -6.47489e-05
    -0.000479307    -0.000777625
     -0.00129934     -0.00201355
     -8.6281e-05    -0.000167538
    -0.000465348     -0.00101625
    -0.000121581    -0.000251868
    -0.000147196    -0.000241436
    -0.000295637     -0.00071137
    -0.000511065    -0.000692527
     -2.8343e-05    -3.66872e-05
    -0.000730198     -0.00139589
      -0.0011568     -0.00184064
    -0.000910797     -0.00114959
    -0.000127401    -0.000289054
     -9.2852e-05    -0.000119546
     -6.9477e-05    -6.94286e-05
     -0.00103386     -0.00150884
     -3.3741e-05    -5.63426e-05
     -0.00108682     -0.00177738
    -0.000241312     -0.00027312
     -5.4838e-05    -5.56456e-05
     -5.8073e-05    -9.68333e-05
     -0.00385303     -0.00336089
     -7.5505e-05    -0.000129002
    -0.000350457    -0.000564586
    -0.000255173    -0.000230569
    -0.000101935    -0.000100297
     -0.00148031     -0.00143225
     -0.00102584     -0.00116846
    -0.000253589    -0.000250954
    -0.000395858     -0.00090695
    -0.000685227      -0.0010409
    -0.000221553    -0.000263331
    -0.000918235     -0.00161297
    -0.000127084    -0.000128368
    -0.000206228    -0.000437021
    -0.000120515    -0.000144629
    -0.000232978    -0.000445065
     -5.7544e-05      -7.412e-05
     -4.1555e-05    -5.59827e-05
     -0.00117664     -0.00185858
    -0.000130619    -0.000131618
    -0.000216373     -0.00022105
     -8.7385e-05    -8.41899e-05
     -0.00062818      -0.0010517
     -8.5261e-05    -9.27181e-05
    -0.000896101      -0.0010106
    -0.000161427    -0.000267191
    -0.000230869    -0.000228843
    -0.000144151    -0.000203806
    -0.000169822    -0.000520692
     -3.4727e-05      -4.069e-05
     -9.6818e-05    -0.000110375
    -0.000266935    -0.000359218
    -0.000227788    -0.000274451
     -5.7898e-05    -5.81043e-05
     -6.9451e-05    -0.000109645
    -0.000494855    -0.000514908
     -9.3163e-05    -0.000145526
    -0.000595398     -0.00114062
    -0.000571131    -0.000484964
    -0.000398375    -0.000600157
     -7.2737e-05    -7.64695e-05
    -0.000119058    -0.000188508
     -0.00171911     -0.00210697
     -0.00402154     -0.00367653
    -0.000180746    -0.000221011
     -0.00172773     -0.00168061
     -6.9143e-05    -8.85831e-05
     -6.1936e-05    -6.86973e-05
    -0.000498685    -0.000520292
     -5.0556e-05    -7.88601e-05
    -0.000259358    -0.000654052
