QM Energy	FF Energy
    -0.000739915    -0.000694591
    -0.000785148    -0.000722744
     -0.00555185     -0.00539962
     -0.00161118      -0.0015436
     -0.00479176     -0.00474802
     -0.00170979     -0.00161883
    -0.000879709    -0.000833245
     -0.00799469     -0.00812543
     -0.00141001     -0.00136042
     -0.00230583     -0.00233252
    -0.000890031    -0.000834578
     -0.00291313     -0.00284214
     -0.00258989     -0.00245881
     -0.00243086     -0.00234111
     -0.00589855     -0.00589698
     -0.00140821     -0.00137574
     -0.00046028    -0.000436523
     -0.00433478     -0.00419482
     -0.00106428     -0.00102057
    -0.000382378    -0.000368404
    -0.000334288    -0.000339113
     -0.00653909     -0.00648325
    -0.000400713    -0.000399245
    -0.000562017    -0.000550008
     -0.00386873     -0.00384379
     -0.00274497     -0.00269798
    -0.000570183    -0.000551919
     -0.00170728     -0.00157358
    -0.000673311     -0.00065909
    -0.000862327    -0.000818347
     -0.00153988      -0.0014663
     -0.00696525      -0.0070093
     -0.00890307     -0.00920936
     -0.00121189      -0.0011188
     -0.00224386     -0.00217491
     -0.00243134      -0.0024598
     -0.00182313     -0.00179357
     -0.00313901     -0.00317663
     -0.00168119     -0.00159806
      -0.0017575     -0.00178464
     -0.00384892     -0.00386702
    -0.000674541    -0.000653115
     -0.00363034      -0.0035686
    -0.000746637    -0.000700356
     -0.00419991     -0.00408889
    -0.000441734    -0.000446953
     -0.00348106      -0.0033366
    -0.000580387    -0.000574847
     -0.00209646     -0.00209697
     -0.00233229      -0.0022155
     -0.00312796      -0.0030586
     -0.00150381     -0.00142151
     -0.00162563      -0.0016221
    -0.000509141    -0.000490161
    -0.000906146    -0.000854779
    -0.000753316    -0.000714159
     -0.00895311     -0.00932856
     -0.00096262    -0.000952289
     -0.00162152     -0.00155685
     -0.00237842     -0.00228754
       -0.003913     -0.00392146
     -0.00283133      -0.0027729
     -0.00191307     -0.00180571
     -0.00415465     -0.00423089
     -0.00550967      -0.0055006
     -0.00336327     -0.00328034
     -0.00228734      -0.0022304
     -0.00190308     -0.00186932
     -0.00101259     -0.00097801
     -0.00818123     -0.00832006
     -0.00733098     -0.00750227
     -0.00127984     -0.00117597
     -0.00414715     -0.00409297
     -0.00593849     -0.00588089
      -0.0010658     -0.00100391
      -0.0043878     -0.00429708
     -0.00109495     -0.00103706
      -0.0015336     -0.00153704
    -0.000387501    -0.000383206
     -0.00231596     -0.00222157
     -0.00349914     -0.00343142
    -0.000400271    -0.000401179
    -0.000538491    -0.000526221
