QM Energy	FF Energy
      -4.099e-06    -4.93706e-06
      -7.788e-06    -8.79418e-06
     -0.00120634     -0.00109224
     -8.7364e-05    -9.30749e-05
    -0.000458233    -0.000435822
     -8.1813e-05    -8.17217e-05
      -4.227e-06    -6.19568e-06
      -0.0013741     -0.00144447
     -2.9748e-05    -3.57744e-05
    -0.000188512    -0.000244349
     -1.1249e-05    -1.24733e-05
    -0.000350655    -0.000310145
     -9.0833e-05    -8.48004e-05
     -9.7291e-05    -0.000100542
    -0.000709468    -0.000651363
     -3.5203e-05    -4.16281e-05
       -2.85e-07    -6.85317e-07
    -0.000248705     -0.00020893
     -1.0566e-05    -1.51259e-05
      -1.756e-06    -2.02967e-06
      -1.505e-06    -2.04147e-06
    -0.000616722    -0.000495201
      -2.067e-06    -2.58522e-06
      -5.176e-06    -5.78206e-06
    -0.000292874    -0.000295766
    -0.000241857    -0.000239709
      -6.301e-06    -8.33722e-06
     -1.1633e-05    -1.93366e-05
      -6.671e-06    -8.59404e-06
      -5.818e-06     -7.7938e-06
     -2.3284e-05    -2.88604e-05
     -0.00145286     -0.00142125
     -0.00086592    -0.000963701
     -1.3304e-05    -1.53287e-05
     -5.1105e-05    -6.87325e-05
    -0.000213118    -0.000268939
     -6.2586e-05    -7.24239e-05
    -0.000371219    -0.000449089
     -1.4018e-05    -1.97411e-05
     -9.6516e-05    -0.000140653
    -0.000313905    -0.000334376
       -3.72e-06    -5.89217e-06
    -0.000253775    -0.000252331
      -3.137e-06    -4.01317e-06
    -0.000395142    -0.000365048
      -2.383e-06    -3.52074e-06
     -7.8234e-05     -7.2929e-05
      -6.291e-06    -8.82119e-06
     -0.00013901    -0.000150261
    -0.000101742    -9.92949e-05
     -0.00012714    -0.000140007
     -6.2532e-05    -6.07806e-05
     -5.2966e-05    -6.28408e-05
       -2.18e-06    -3.00397e-06
     -1.0419e-05    -1.22393e-05
      -6.877e-06    -8.10715e-06
    -0.000772366     -0.00115541
     -2.4191e-05    -3.32435e-05
     -7.5078e-05    -7.36367e-05
     -8.0999e-05    -8.71762e-05
    -0.000457549    -0.000427027
    -0.000121751    -0.000135187
     -1.6418e-05     -1.9525e-05
    -0.000473495    -0.000471007
    -0.000285463    -0.000283064
     -0.00014413    -0.000149378
    -0.000112835    -0.000116755
    -0.000125943    -0.000138502
     -1.2386e-05    -1.65267e-05
    -0.000735404    -0.000656211
     -0.00129035     -0.00135469
      -8.744e-06    -1.23485e-05
    -0.000311431     -0.00030095
    -0.000397892    -0.000364587
      -7.112e-06    -9.35682e-06
    -0.000316668    -0.000280108
     -2.6428e-05    -2.69526e-05
     -4.0784e-05    -5.28576e-05
      -2.002e-06    -2.77946e-06
     -6.8161e-05    -7.38236e-05
    -0.000216349      -0.0002151
      -2.296e-06    -3.17072e-06
      -3.678e-06    -4.58173e-06
    -0.000108062    -0.000105939
     -3.0046e-05    -4.40741e-05
     -2.1146e-05    -2.21271e-05
     -1.1749e-05    -1.39651e-05
       -2.75e-06    -3.76121e-06
      -1.188e-06    -2.29815e-06
     -0.00021235    -0.000221723
      -4.668e-06    -5.62747e-06
    -0.000243878    -0.000241407
    -0.000244588    -0.000234302
     -8.5805e-05    -9.09872e-05
    -0.000260676    -0.000285634
     -2.6711e-05    -2.88623e-05
     -1.1358e-05    -1.54293e-05
     -0.00143159     -0.00150932
       -1.46e-06    -2.04819e-06
      -3.011e-06    -3.56916e-06
      -5.858e-06    -6.48644e-06
      -2.203e-06    -2.71071e-06
      -7.491e-06    -8.31985e-06
      -2.742e-06    -3.53581e-06
    -0.000224063    -0.000214304
     -2.6498e-05      -3.244e-05
     -1.0134e-05    -1.19001e-05
     -3.5201e-05    -4.14185e-05
      -1.788e-06    -2.47963e-06
      -5.974e-06    -8.99411e-06
       -8.03e-06    -9.17894e-06
     -1.4502e-05    -1.86593e-05
    -0.000730216    -0.000783564
    -0.000164347    -0.000163207
      -1.513e-06    -2.07093e-06
      -5.052e-06    -8.11039e-06
    -0.000241902    -0.000241439
      -1.948e-06    -2.26804e-06
     -0.00112936     -0.00100747
      -5.947e-05    -6.75874e-05
    -0.000171563    -0.000161434
    -0.000588298    -0.000552183
      -2.459e-06    -3.11696e-06
      -4.163e-06    -6.59553e-06
     -0.00111516     -0.00120248
      -8.313e-06    -8.57379e-06
    -0.000118983     -0.00017693
    -0.000326262    -0.000300714
     -8.1476e-05    -8.24257e-05
      -6.046e-06    -8.15509e-06
    -0.000471774      -0.0004775
    -0.000191611     -0.00017905
     -0.00102439    -0.000949222
      -1.537e-06    -2.08887e-06
     -5.0776e-05    -5.52431e-05
      -1.719e-06    -1.94273e-06
     -1.1112e-05    -1.21788e-05
     -3.0367e-05    -3.15997e-05
    -0.000387091    -0.000357087
      -6.166e-06    -7.57883e-06
       -5.14e-06    -6.01093e-06
    -0.000549602    -0.000538779
     -8.0771e-05    -8.12362e-05
    -0.000491789    -0.000511373
    -0.000826092     -0.00087001
