QM Energy	FF Energy
    -0.000739915    -0.000860559
    -0.000785148    -0.000859685
     -0.00555185     -0.00591735
     -0.00161118     -0.00158941
     -0.00479176     -0.00550859
     -0.00170979     -0.00178245
    -0.000879709     -0.00106886
     -0.00799469     -0.00914005
     -0.00141001     -0.00157851
     -0.00230583      -0.0022725
    -0.000890031    -0.000982399
     -0.00291313     -0.00295853
     -0.00258989     -0.00301626
     -0.00243086     -0.00278833
     -0.00589855     -0.00688129
     -0.00140821     -0.00155203
     -0.00046028    -0.000582965
     -0.00433478     -0.00513472
     -0.00106428     -0.00121161
    -0.000382378    -0.000405611
    -0.000334288    -0.000333271
     -0.00653909         -0.0078
    -0.000400713    -0.000426109
    -0.000562017    -0.000585644
     -0.00386873     -0.00443501
     -0.00274497     -0.00292211
    -0.000570183    -0.000530915
     -0.00170728     -0.00203932
    -0.000673311    -0.000730505
    -0.000862327     -0.00102057
     -0.00153988     -0.00178627
     -0.00696525     -0.00765758
     -0.00890307      -0.0107893
     -0.00121189     -0.00140303
     -0.00224386     -0.00260059
     -0.00243134     -0.00241386
     -0.00182313     -0.00202829
     -0.00313901     -0.00317314
     -0.00168119     -0.00211348
      -0.0017575     -0.00170495
     -0.00384892     -0.00429825
    -0.000674541    -0.000759051
     -0.00363034     -0.00415249
    -0.000746637    -0.000885342
     -0.00419991     -0.00479806
    -0.000441734    -0.000484492
     -0.00348106      -0.0044222
    -0.000580387    -0.000556566
     -0.00209646     -0.00218493
     -0.00233229     -0.00263679
     -0.00312796     -0.00371307
     -0.00150381     -0.00156137
     -0.00162563     -0.00178186
    -0.000509141    -0.000576756
    -0.000906146     -0.00102025
    -0.000753316    -0.000843264
     -0.00895311      -0.0105202
     -0.00096262    -0.000905423
     -0.00162152     -0.00168775
     -0.00237842     -0.00275634
       -0.003913      -0.0042301
     -0.00283133     -0.00329865
     -0.00191307     -0.00244245
     -0.00415465     -0.00458763
     -0.00550967     -0.00688239
     -0.00336327     -0.00404266
     -0.00228734     -0.00252428
     -0.00190308     -0.00190245
     -0.00101259     -0.00113491
     -0.00818123     -0.00991327
     -0.00733098     -0.00821849
     -0.00127984     -0.00151387
     -0.00414715     -0.00487393
     -0.00593849     -0.00726608
      -0.0010658     -0.00125719
      -0.0043878      -0.0051587
     -0.00109495     -0.00115318
      -0.0015336     -0.00171325
    -0.000387501    -0.000387379
     -0.00231596     -0.00269824
     -0.00349914     -0.00406307
    -0.000400271    -0.000400962
    -0.000538491    -0.000580222
      -0.0017343     -0.00171599
     -0.00180659      -0.0020753
    -0.000968778    -0.000986103
    -0.000793464    -0.000841167
    -0.000559481     -0.00063342
    -0.000653846    -0.000814922
     -0.00293791     -0.00324612
    -0.000498271    -0.000473188
     -0.00380524     -0.00448623
     -0.00267414     -0.00281103
     -0.00217997     -0.00245853
      -0.0025799      -0.0025728
      -0.0011926     -0.00129635
    -0.000884291     -0.00097539
     -0.00855626     -0.00988605
    -0.000406088    -0.000451866
    -0.000442748    -0.000460893
    -0.000622557    -0.000661742
    -0.000402071    -0.000424175
    -0.000814095     -0.00091611
    -0.000460699    -0.000497998
     -0.00290677     -0.00319572
     -0.00129585     -0.00144464
    -0.000722719    -0.000749203
     -0.00177998     -0.00209259
    -0.000546844    -0.000649117
    -0.000846481    -0.000972793
     -0.00106184      -0.0012511
     -0.00159466     -0.00198252
      -0.0042514     -0.00433124
     -0.00315188      -0.0036436
     -0.00035997    -0.000392172
    -0.000789277    -0.000893471
     -0.00281339     -0.00302473
    -0.000435039    -0.000464964
     -0.00562078     -0.00611533
     -0.00250814     -0.00304623
     -0.00227432     -0.00237344
     -0.00505073     -0.00578765
     -0.00065067    -0.000766355
    -0.000727698     -0.00082592
     -0.00653111     -0.00735126
    -0.000603986    -0.000589729
     -0.00194067      -0.0018952
     -0.00391448     -0.00449408
     -0.00158554     -0.00159474
    -0.000627407    -0.000677171
     -0.00514736     -0.00603698
     -0.00361873     -0.00427785
     -0.00707441     -0.00820179
    -0.000378446    -0.000415517
     -0.00210604      -0.0025013
    -0.000386263    -0.000399837
    -0.000804416    -0.000859893
     -0.00150344     -0.00171287
      -0.0047322     -0.00559692
    -0.000670092    -0.000734344
    -0.000522293    -0.000513118
     -0.00516187     -0.00590841
     -0.00195186     -0.00215876
     -0.00683832     -0.00844207
     -0.00552916     -0.00621018
      -0.0015315     -0.00180462
    -0.000430123    -0.000488979
     -0.00335421     -0.00357258
     -0.00254333     -0.00310913
    -0.000383054    -0.000385504
     -0.00425035     -0.00480752
    -0.000565603    -0.000682023
     -0.00112159     -0.00124304
     -0.00563307     -0.00647855
     -0.00195753     -0.00212614
     -0.00344295     -0.00387558
     -0.00158631     -0.00169427
    -0.000581176    -0.000683556
     -0.00041473    -0.000464878
    -0.000590902    -0.000651065
     -0.00777554     -0.00926857
    -0.000350221    -0.000399947
    -0.000896576       -0.001123
     -0.00215475     -0.00240456
     -0.00253036     -0.00267076
     -0.00129643     -0.00153236
     -0.00344955     -0.00365646
     -0.00109624     -0.00112313
     -0.00572993     -0.00622812
     -0.00131368     -0.00149305
     -0.00683849     -0.00809364
    -0.000319835    -0.000287883
    -0.000428935    -0.000410156
     -0.00192014     -0.00189783
     -0.00124719     -0.00126466
      -0.0026914     -0.00272293
     -0.00136173     -0.00138973
    -0.000743805    -0.000780595
     -0.00439405     -0.00537803
     -0.00385871     -0.00456184
     -0.00742427      -0.0086039
     -0.00354096     -0.00398018
     -0.00466142     -0.00510853
     -0.00538178     -0.00644815
     -0.00310187     -0.00368214
     -0.00561037     -0.00595079
     -0.00118432     -0.00123961
     -0.00283138     -0.00310408
     -0.00470448     -0.00539741
       -0.000536    -0.000570676
     -0.00891687      -0.0107741
     -0.00545014     -0.00594781
    -0.000754924    -0.000719949
     -0.00340702     -0.00388558
     -0.00177812     -0.00189028
     -0.00357321     -0.00430498
     -0.00188114     -0.00188264
     -0.00036588    -0.000405452
    -0.000996681     -0.00105213
     -0.00189404     -0.00223504
     -0.00276895     -0.00279758
    -0.000847027    -0.000996442
     -0.00430946     -0.00462286
    -0.000758236    -0.000825701
     -0.00545913      -0.0058417
     -0.00487805     -0.00618966
     -0.00291693     -0.00322824
    -0.000485184    -0.000453525
     -0.00748943     -0.00879004
     -0.00488704     -0.00570075
    -0.000499523    -0.000466809
     -0.00411452     -0.00486116
     -0.00101443    -0.000986917
     -0.00775432     -0.00882012
     -0.00358212     -0.00436835
    -0.000382269    -0.000390487
     -0.00232396     -0.00234695
     -0.00103294    -0.000968411
     -0.00177802     -0.00201616
     -0.00665098      -0.0079863
    -0.000795103    -0.000937861
     -0.00452787     -0.00537541
     -0.00689344     -0.00807154
      -0.0040292      -0.0045525
    -0.000712707     -0.00081191
    -0.000676072     -0.00066567
     -0.00623868     -0.00718169
     -0.00185352     -0.00224429
     -0.00313162     -0.00324653
     -0.00259863     -0.00297893
     -0.00281698     -0.00292871
    -0.000485675    -0.000587485
     -0.00452164     -0.00480368
     -0.00146296     -0.00172678
     -0.00107187     -0.00121345
     -0.00164886     -0.00190462
    -0.000521842    -0.000625655
     -0.00373466     -0.00412706
     -0.00510129     -0.00596905
    -0.000769484    -0.000884294
     -0.00145906     -0.00176051
      -0.0016581     -0.00191154
    -0.000467251    -0.000528286
     -0.00471603     -0.00511721
     -0.00398497     -0.00461315
    -0.000644057    -0.000725544
     -0.00200221     -0.00221966
     -0.00373504     -0.00410923
      -0.0066642      -0.0078064
     -0.00865068      -0.0102025
     -0.00108156     -0.00113193
    -0.000643872    -0.000779398
     -0.00554122     -0.00630429
     -0.00543096     -0.00677257
     -0.00086053    -0.000855944
     -0.00430287     -0.00501899
     -0.00174781     -0.00192863
     -0.00154557     -0.00171427
    -0.000869269    -0.000921609
     -0.00452608     -0.00510319
    -0.000952874     -0.00111599
     -0.00125107       -0.001364
     -0.00127361     -0.00137523
    -0.000425052    -0.000465445
    -0.000854424    -0.000968841
    -0.000453529    -0.000437476
     -0.00134862     -0.00133648
    -0.000741344    -0.000847141
    -0.000919537      -0.0010627
      -0.0003923    -0.000396195
     -0.00120384     -0.00134729
     -0.00294975     -0.00356008
     -0.00144882     -0.00161226
    -0.000714609    -0.000696066
     -0.00688782     -0.00811747
     -0.00108509      -0.0012008
    -0.000440478    -0.000509823
     -0.00310719      -0.0037922
     -0.00188385     -0.00199488
    -0.000543978    -0.000644588
    -0.000397554    -0.000474707
     -0.00209645     -0.00234287
     -0.00900096      -0.0110451
     -0.00828015      -0.0102722
     -0.00462357     -0.00536027
     -0.00215474     -0.00235686
     -0.00188416     -0.00209853
     -0.00254539     -0.00291124
     -0.00228502      -0.0025817
     -0.00233296      -0.0025908
     -0.00251716     -0.00282903
     -0.00724946     -0.00846743
    -0.000985313     -0.00116762
     -0.00240554     -0.00279789
    -0.000834457    -0.000868137
    -0.000422949     -0.00046098
     -0.00126593      -0.0014186
     -0.00170862      -0.0020616
     -0.00579742     -0.00674263
     -0.00330126     -0.00334733
     -0.00318104     -0.00382163
     -0.00120667     -0.00117593
    -0.000411122    -0.000479294
    -0.000417475    -0.000497838
    -0.000420194    -0.000422187
     -0.00536342     -0.00578431
    -0.000386772    -0.000359449
     -0.00360437     -0.00402883
     -0.00907631      -0.0114031
     -0.00103008     -0.00100869
     -0.00245503      -0.0027332
     -0.00644589     -0.00702733
    -0.000495696    -0.000596014
      -0.0016097     -0.00182041
     -0.00382672     -0.00431017
     -0.00689223     -0.00784635
     -0.00696715     -0.00841282
     -0.00405555     -0.00464562
     -0.00277804     -0.00282819
     -0.00383258     -0.00485827
     -0.00181597      -0.0017641
    -0.000729622    -0.000798279
     -0.00410296     -0.00453004
    -0.000788212     -0.00074831
    -0.000970358     -0.00107273
     -0.00102393     -0.00114053
     -0.00209437     -0.00228117
     -0.00171728     -0.00169784
     -0.00724543     -0.00830013
     -0.00716539     -0.00832519
     -0.00317835     -0.00373876
     -0.00896878      -0.0109716
    -0.000761319    -0.000799088
     -0.00096631     -0.00109246
    -0.000866703    -0.000931317
     -0.00415488     -0.00494452
     -0.00111555     -0.00122581
    -0.000301226    -0.000269488
     -0.00122736     -0.00127344
    -0.000468841     -0.00056812
     -0.00103327    -0.000972005
    -0.000677402    -0.000803641
     -0.00165543     -0.00203399
    -0.000647543    -0.000747869
    -0.000476616    -0.000554069
    -0.000489842    -0.000573154
    -0.000596852    -0.000696732
     -0.00279982      -0.0033285
    -0.000400537    -0.000413107
     -0.00424034     -0.00486536
    -0.000685977    -0.000635238
    -0.000951209    -0.000903452
    -0.000740827    -0.000713921
     -0.00119302     -0.00144383
     -0.00111731     -0.00115652
     -0.00284083     -0.00293202
    -0.000303349     -0.00027386
    -0.000445227    -0.000490716
     -0.00328436     -0.00359597
    -0.000754007    -0.000823451
    -0.000583436    -0.000691262
     -0.00294394     -0.00357908
    -0.000532444    -0.000503028
     -0.00043007    -0.000489316
    -0.000559284    -0.000722111
    -0.000363579    -0.000410737
     -0.00734635     -0.00850476
     -0.00321453     -0.00382353
    -0.000673257     -0.00062552
    -0.000804846    -0.000861251
    -0.000567599    -0.000671365
     -0.00585549     -0.00736514
      -0.0081615     -0.00942581
      -0.0035115     -0.00403072
     -0.00218319     -0.00239774
     -0.00177379     -0.00198871
     -0.00346925     -0.00402092
     -0.00444539     -0.00458162
     -0.00703925     -0.00800306
    -0.000340238    -0.000374641
     -0.00240408     -0.00285756
     -0.00335717     -0.00377375
     -0.00193819     -0.00189329
    -0.000589198    -0.000706263
     -0.00441839      -0.0052725
    -0.000360318    -0.000396945
     -0.00199936     -0.00224843
     -0.00416336     -0.00436964
     -0.00509244     -0.00529127
     -0.00411195     -0.00440418
     -0.00141142     -0.00173245
     -0.00639081     -0.00692944
    -0.000462291    -0.000567017
     -0.00493669     -0.00571392
    -0.000558434    -0.000660171
     -0.00309609     -0.00345298
    -0.000398467    -0.000392373
     -0.00435333     -0.00484133
     -0.00164672     -0.00183765
     -0.00184293      -0.0020732
     -0.00215946     -0.00214631
     -0.00305403     -0.00348199
     -0.00102433     -0.00120566
     -0.00436993     -0.00510776
     -0.00926245      -0.0111549
     -0.00136881     -0.00136589
    -0.000630359    -0.000694012
     -0.00061151    -0.000710137
     -0.00511434     -0.00581116
    -0.000629208    -0.000666384
     -0.00264611     -0.00270941
     -0.00570312     -0.00660157
    -0.000324464    -0.000311711
      -0.0025559     -0.00274651
     -0.00249027     -0.00313528
    -0.000461761    -0.000452462
     -0.00294191     -0.00332045
    -0.000384302     -0.00037271
    -0.000646729    -0.000632179
      -0.0017492     -0.00188007
     -0.00173311     -0.00201078
    -0.000835023    -0.000944523
      -0.0040444     -0.00495462
     -0.00142518      -0.0014889
     -0.00104885     -0.00110125
     -0.00158869     -0.00194386
     -0.00759421     -0.00864966
     -0.00127556     -0.00140652
     -0.00529348     -0.00570791
      -0.0048556     -0.00556101
    -0.000956616     -0.00109648
     -0.00447835     -0.00525165
     -0.00163343     -0.00187463
      -0.0113704      -0.0139822
    -0.000866063    -0.000952699
     -0.00166805     -0.00172493
     -0.00359122     -0.00375528
     -0.00323706     -0.00357515
    -0.000594186    -0.000655025
     -0.00231627     -0.00276774
     -0.00634399     -0.00721432
    -0.000447846    -0.000409477
    -0.000533846    -0.000581929
    -0.000873921     -0.00104891
    -0.000550741    -0.000494306
     -0.00343927      -0.0038483
     -0.00206908     -0.00229177
      -0.0067631     -0.00780134
     -0.00456482     -0.00489324
     -0.00629693     -0.00732068
    -0.000445706    -0.000454594
    -0.000924991     -0.00105992
     -0.00160754     -0.00183529
    -0.000621784    -0.000674548
     -0.00597882     -0.00690537
     -0.00197285     -0.00192082
     -0.00357154     -0.00407324
     -0.00603481     -0.00697577
     -0.00043014    -0.000454873
    -0.000737929    -0.000807464
     -0.00050182    -0.000543976
     -0.00051532    -0.000627332
     -0.00241486     -0.00257473
     -0.00190943     -0.00203733
     -0.00274346       -0.003239
     -0.00338202     -0.00352569
    -0.000491454    -0.000531845
     -0.00124445     -0.00145382
      -0.0031309     -0.00392071
    -0.000882067     -0.00102061
     -0.00651752     -0.00789424
      -0.0031784     -0.00336575
     -0.00568987     -0.00668817
     -0.00662581      -0.0077491
     -0.00366887     -0.00410329
     -0.00261485     -0.00309566
    -0.000394741    -0.000442413
    -0.000584856    -0.000664899
    -0.000788696    -0.000841187
     -0.00572682     -0.00678818
     -0.00113204     -0.00112176
    -0.000570421    -0.000597118
     -0.00299505     -0.00345256
     -0.00108813      -0.0010431
      -0.0044825      -0.0046701
    -0.000689703    -0.000827646
     -0.00268622     -0.00319704
     -0.00718089     -0.00844468
     -0.00425728     -0.00486503
    -0.000942461    -0.000875002
     -0.00599113     -0.00692431
     -0.00696877     -0.00837468
     -0.00389939     -0.00466825
     -0.00117071     -0.00127823
     -0.00436267     -0.00476649
    -0.000724937    -0.000816044
    -0.000402264    -0.000419405
     -0.00311546     -0.00342295
    -0.000403217    -0.000416196
    -0.000543433    -0.000674256
