QM Energy	FF Energy
    -0.000739915    -0.000715753
    -0.000785148    -0.000740901
     -0.00555185     -0.00565699
     -0.00161118     -0.00153776
     -0.00479176      -0.0048574
     -0.00170979     -0.00164096
    -0.000879709    -0.000869125
     -0.00799469     -0.00808964
     -0.00141001     -0.00137498
     -0.00230583     -0.00223179
    -0.000890031    -0.000849058
     -0.00291313     -0.00287251
     -0.00258989     -0.00252072
     -0.00243086     -0.00240476
     -0.00589855     -0.00596403
     -0.00140821     -0.00136581
     -0.00046028    -0.000465701
     -0.00433478     -0.00426274
     -0.00106428      -0.0010312
    -0.000382378    -0.000358506
    -0.000334288    -0.000297641
     -0.00653909     -0.00651993
    -0.000400713    -0.000375261
    -0.000562017    -0.000526683
     -0.00386873     -0.00390563
     -0.00274497     -0.00270396
    -0.000570183    -0.000508401
     -0.00170728     -0.00163576
    -0.000673311    -0.000637301
    -0.000862327     -0.00084738
     -0.00153988     -0.00150047
     -0.00696525     -0.00703268
     -0.00890307     -0.00895767
     -0.00121189     -0.00115967
     -0.00224386     -0.00219811
     -0.00243134     -0.00236017
     -0.00182313     -0.00178431
     -0.00313901     -0.00309068
     -0.00168119     -0.00167123
      -0.0017575     -0.00166646
     -0.00384892     -0.00382438
    -0.000674541     -0.00064965
     -0.00363034     -0.00365964
    -0.000746637    -0.000726183
     -0.00419991     -0.00415365
    -0.000441734    -0.000413447
     -0.00348106     -0.00347419
    -0.000580387     -0.00051849
     -0.00209646     -0.00202497
     -0.00233229     -0.00226492
     -0.00312796     -0.00309548
     -0.00150381     -0.00143756
     -0.00162563     -0.00157171
    -0.000509141    -0.000490731
    -0.000906146    -0.000870609
    -0.000753316    -0.000724071
     -0.00895311     -0.00904446
     -0.00096262    -0.000879168
     -0.00162152     -0.00155723
     -0.00237842     -0.00235472
       -0.003913     -0.00387367
     -0.00283133     -0.00278306
     -0.00191307     -0.00190754
     -0.00415465     -0.00413151
     -0.00550967     -0.00551545
     -0.00336327     -0.00332767
     -0.00228734     -0.00223975
     -0.00190308     -0.00183056
     -0.00101259    -0.000980631
     -0.00818123     -0.00823034
     -0.00733098     -0.00737763
     -0.00127984     -0.00122578
     -0.00414715      -0.0041123
     -0.00593849     -0.00590224
      -0.0010658     -0.00103336
      -0.0043878     -0.00437772
     -0.00109495     -0.00103956
      -0.0015336       -0.001489
    -0.000387501    -0.000347343
     -0.00231596     -0.00228209
     -0.00349914     -0.00347851
    -0.000400271    -0.000358824
    -0.000538491    -0.000510737
      -0.0017343     -0.00166714
     -0.00180659     -0.00175898
    -0.000968778    -0.000905246
    -0.000793464    -0.000747002
    -0.000559481    -0.000539357
    -0.000653846    -0.000653559
     -0.00293791      -0.0029008
    -0.000498271     -0.00044695
     -0.00380524     -0.00375345
     -0.00267414     -0.00263259
     -0.00217997     -0.00215144
      -0.0025799     -0.00253675
      -0.0011926     -0.00114373
    -0.000884291    -0.000846837
     -0.00855626     -0.00866767
    -0.000406088    -0.000389544
    -0.000442748    -0.000410733
    -0.000622557    -0.000585898
    -0.000402071    -0.000374838
    -0.000814095    -0.000778177
    -0.000460699    -0.000434559
     -0.00290677     -0.00287101
     -0.00129585      -0.0012603
    -0.000722719    -0.000674141
     -0.00177998     -0.00175295
    -0.000546844    -0.000538248
    -0.000846481    -0.000821484
     -0.00106184     -0.00102723
     -0.00159466     -0.00157533
      -0.0042514     -0.00424445
     -0.00315188     -0.00315403
     -0.00035997     -0.00033763
    -0.000789277    -0.000761364
     -0.00281339     -0.00277189
    -0.000435039    -0.000406101
     -0.00562078     -0.00570749
     -0.00250814     -0.00248478
     -0.00227432     -0.00221987
     -0.00505073     -0.00509621
     -0.00065067    -0.000631985
    -0.000727698     -0.00070305
     -0.00653111     -0.00656659
    -0.000603986    -0.000553997
     -0.00194067     -0.00184934
     -0.00391448     -0.00387847
     -0.00158554     -0.00151477
    -0.000627407     -0.00058873
     -0.00514736     -0.00515193
     -0.00361873     -0.00359647
     -0.00707441     -0.00723651
    -0.000378446    -0.000358968
     -0.00210604     -0.00206552
    -0.000386263    -0.000357158
    -0.000804416    -0.000763534
     -0.00150344     -0.00144471
      -0.0047322     -0.00471322
    -0.000670092    -0.000639408
    -0.000522293    -0.000474727
     -0.00516187     -0.00521971
     -0.00195186     -0.00189776
     -0.00683832     -0.00685502
     -0.00552916     -0.00553691
      -0.0015315     -0.00150022
    -0.000430123     -0.00041719
     -0.00335421     -0.00330941
     -0.00254333     -0.00251976
    -0.000383054    -0.000351098
     -0.00425035     -0.00426609
    -0.000565603    -0.000546899
     -0.00112159     -0.00108591
     -0.00563307     -0.00573839
     -0.00195753     -0.00188405
     -0.00344295     -0.00339209
     -0.00158631     -0.00152321
    -0.000581176    -0.000567225
     -0.00041473    -0.000398655
    -0.000590902    -0.000558707
     -0.00777554     -0.00778228
    -0.000350221     -0.00034023
    -0.000896576    -0.000894076
