# Eelst 		 Emultipole 
     -0.00005413       0.00000757
      0.00045167       0.00052949
     -0.00525198       0.00157113
      0.00007842       0.00064975
     -0.00460042      -0.00135510
      0.00008896       0.00065900
     -0.00005710       0.00001319
     -0.01123009      -0.00046127
     -0.00083860      -0.00059889
     -0.00048851       0.00070634
      0.00008119       0.00018391
     -0.00182536       0.00005042
     -0.00025047       0.00054416
     -0.00123601      -0.00043591
     -0.00528054      -0.00009896
     -0.00087272      -0.00062754
      0.00010999       0.00012313
     -0.00116554       0.00087727
     -0.00062942      -0.00050161
     -0.00004365      -0.00003064
     -0.00009599      -0.00009094
     -0.00389293       0.00086953
     -0.00033226      -0.00032762
     -0.00037516      -0.00034519
     -0.00336107      -0.00137366
     -0.00116074       0.00035207
      0.00020681       0.00026852
      0.00116537       0.00134563
     -0.00030355      -0.00026420
     -0.00016645      -0.00009399
     -0.00065230      -0.00037270
     -0.00959259      -0.00013981
     -0.01072460      -0.00106598
      0.00060697       0.00074972
     -0.00141635      -0.00078417
     -0.00063275       0.00069313
     -0.00116550      -0.00074473
     -0.00137961       0.00084168
      0.00005788       0.00029822
      0.00004690       0.00073296
     -0.00384265      -0.00140731
     -0.00047509      -0.00042836
     -0.00298815      -0.00125476
     -0.00001340       0.00004109
     -0.00097099       0.00186926
     -0.00035963      -0.00036046
      0.00006288       0.00100963
      0.00008798       0.00014380
     -0.00083092       0.00002644
      0.00003050       0.00083774
     -0.00143260      -0.00012989
     -0.00002087       0.00042003
     -0.00112190      -0.00078794
     -0.00027054      -0.00024691
      0.00009444       0.00020311
     -0.00013540      -0.00007236
     -0.01376619      -0.00347267
      0.00017461       0.00036737
     -0.00039816       0.00009952
     -0.00123376      -0.00050695
     -0.00392229      -0.00098666
     -0.00121775      -0.00002550
      0.00039654       0.00064859
     -0.00407176      -0.00107807
     -0.00248074       0.00071258
     -0.00096807       0.00045195
     -0.00136628      -0.00051533
     -0.00030766       0.00047721
     -0.00065057      -0.00054360
     -0.00838766      -0.00124310
     -0.01051780      -0.00131588
      0.00088079       0.00099475
     -0.00165447       0.00090911
     -0.00171190       0.00198813
     -0.00021651      -0.00009561
     -0.00254576      -0.00007519
     -0.00007721       0.00012890
     -0.00102783      -0.00078194
      0.00000949       0.00002642
     -0.00108841      -0.00043321
     -0.00200746      -0.00020423
     -0.00005900      -0.00004617
     -0.00037581      -0.00035084
     -0.00011738       0.00054914
     -0.00119675      -0.00078813
      0.00036793       0.00054049
     -0.00053198      -0.00047171
     -0.00028947      -0.00026051
      0.00003545       0.00006921
     -0.00229979      -0.00093739
      0.00006858       0.00010809
     -0.00085999       0.00122327
     -0.00104623       0.00044519
     -0.00123339      -0.00058536
     -0.00067006       0.00086143
     -0.00019323       0.00001540
     -0.00064669      -0.00058336
     -0.01204541      -0.00043634
     -0.00030894      -0.00029967
     -0.00030558      -0.00029691
      0.00010029       0.00015254
     -0.00032012      -0.00031700
      0.00011044       0.00018955
     -0.00030316      -0.00029450
     -0.00159759      -0.00007439
     -0.00077434      -0.00058675
     -0.00020327      -0.00013684
     -0.00063000      -0.00025798
     -0.00007677      -0.00005047
     -0.00036761      -0.00028429
     -0.00001580       0.00009829
      0.00027975       0.00049106
     -0.00323649       0.00082932
     -0.00211700      -0.00081530
     -0.00027514      -0.00027633
     -0.00049526      -0.00042462
     -0.00152548      -0.00001680
      0.00024003       0.00026377
     -0.00521340       0.00149022
     -0.00068310       0.00001569
     -0.00060057       0.00047482
     -0.00439572      -0.00025882
     -0.00002385       0.00002065
     -0.00047001      -0.00041536
     -0.00813082      -0.00069377
     -0.00016609      -0.00011664
     -0.00010294       0.00073121
     -0.00136201       0.00101668
     -0.00020572       0.00031512
     -0.00040017      -0.00037699
     -0.00430776      -0.00025564
     -0.00173530      -0.00009325
     -0.00859786      -0.00160768
     -0.00030525      -0.00030338
     -0.00025001       0.00027505
      0.00019144       0.00021211
     -0.00023376      -0.00014091
      0.00028898       0.00057106
     -0.00222208       0.00087379
     -0.00024765      -0.00020488
     -0.00002001       0.00001779
     -0.00535276      -0.00133366
     -0.00040691       0.00020691
     -0.00517346       0.00025541
     -0.00611566      -0.00085418
     -0.00035322      -0.00006787
     -0.00022802      -0.00021507
     -0.00222259       0.00007045
     -0.00060589       0.00009063
     -0.00023225      -0.00022592
     -0.00345656      -0.00044006
      0.00059972       0.00060628
     -0.00061227      -0.00047023
     -0.00601362      -0.00146684
      0.00038799       0.00106228
     -0.00066734       0.00131368
     -0.00006920       0.00036681
      0.00002156       0.00005303
     -0.00025445      -0.00024819
      0.00032840       0.00036932
     -0.00558644       0.00213304
     -0.00019088      -0.00018539
      0.00014645       0.00020858
     -0.00149635      -0.00088440
     -0.00048417       0.00083284
     -0.00024674      -0.00006486
     -0.00223806       0.00024477
     -0.00056331      -0.00037642
     -0.00493392       0.00202632
     -0.00009218       0.00014454
     -0.00795999      -0.00203470
      0.00023862       0.00026366
      0.00015770       0.00018826
     -0.00009587       0.00073089
      0.00001868       0.00031030
     -0.00131812       0.00027708
     -0.00035815      -0.00001082
     -0.00018355      -0.00011641
     -0.00082962       0.00103064
     -0.00122429       0.00095257
     -0.01002203      -0.00096196
     -0.00100696       0.00118538
     -0.00440311      -0.00022018
     -0.00424593      -0.00060077
     -0.00115594       0.00012817
     -0.00586286       0.00099347
     -0.00022240       0.00000410
     -0.00180984      -0.00040267
     -0.00468887      -0.00168049
     -0.00029172      -0.00027619
     -0.00939880       0.00084514
     -0.00559988       0.00041118
     -0.00013287      -0.00003884
     -0.00280983      -0.00129337
     -0.00052800       0.00002362
      0.00013088       0.00132393
      0.00011315       0.00090238
     -0.00013773      -0.00013099
     -0.00018816      -0.00003438
      0.00088589       0.00123233
     -0.00129846       0.00043220
     -0.00032849      -0.00025006
     -0.00319792       0.00075443
     -0.00001908       0.00005890
     -0.00512535       0.00141175
     -0.00052919       0.00136498
     -0.00193692      -0.00043276
      0.00032628       0.00037624
     -0.01023055      -0.00298921
     -0.00439189      -0.00122293
      0.00007477       0.00011465
     -0.00215611      -0.00025920
     -0.00004952       0.00014421
