QM Energy	FF Energy
      -4.099e-06    -4.93775e-06
      -7.788e-06    -8.78734e-06
     -0.00120634     -0.00109224
     -8.7364e-05    -9.30771e-05
    -0.000458233    -0.000435833
     -8.1813e-05    -8.17179e-05
      -4.227e-06     -6.1942e-06
      -0.0013741     -0.00144444
     -2.9748e-05    -3.57954e-05
    -0.000188512    -0.000244347
     -1.1249e-05    -1.24718e-05
    -0.000350655    -0.000310147
     -9.0833e-05    -8.47996e-05
     -9.7291e-05    -0.000100541
    -0.000709468    -0.000651365
     -3.5203e-05    -4.16035e-05
       -2.85e-07    -6.84413e-07
    -0.000248705    -0.000208925
     -1.0566e-05     -1.5126e-05
      -1.756e-06     -2.0304e-06
      -1.505e-06    -2.03961e-06
    -0.000616722      -0.0004952
      -2.067e-06    -2.58379e-06
      -5.176e-06    -5.78129e-06
    -0.000292874    -0.000295758
    -0.000241857    -0.000239709
      -6.301e-06    -8.34173e-06
     -1.1633e-05    -1.93235e-05
      -6.671e-06    -8.59179e-06
      -5.818e-06    -7.79352e-06
     -2.3284e-05    -2.88606e-05
     -0.00145286     -0.00142126
     -0.00086592    -0.000963693
     -1.3304e-05    -1.53231e-05
     -5.1105e-05    -6.87325e-05
    -0.000213118    -0.000268939
     -6.2586e-05    -7.24224e-05
    -0.000371219    -0.000449089
     -1.4018e-05     -1.9731e-05
     -9.6516e-05    -0.000140654
    -0.000313905    -0.000334392
       -3.72e-06    -5.89173e-06
    -0.000253775    -0.000252339
      -3.137e-06    -4.01282e-06
    -0.000395142    -0.000365058
      -2.383e-06    -3.50805e-06
     -7.8234e-05    -7.29438e-05
      -6.291e-06    -8.82121e-06
     -0.00013901    -0.000150261
    -0.000101742    -9.92975e-05
     -0.00012714    -0.000140032
     -6.2532e-05     -6.0779e-05
     -5.2966e-05    -6.28556e-05
       -2.18e-06    -3.00486e-06
     -1.0419e-05    -1.22458e-05
      -6.877e-06    -8.10622e-06
    -0.000772366     -0.00115539
     -2.4191e-05    -3.32437e-05
     -7.5078e-05     -7.3638e-05
     -8.0999e-05    -8.72094e-05
    -0.000457549     -0.00042703
    -0.000121751    -0.000135185
     -1.6418e-05    -1.95154e-05
    -0.000473495    -0.000471035
    -0.000285463    -0.000283078
     -0.00014413    -0.000149331
    -0.000112835     -0.00011678
    -0.000125943    -0.000138503
     -1.2386e-05     -1.6531e-05
    -0.000735404    -0.000656197
     -0.00129035     -0.00135469
      -8.744e-06    -1.23531e-05
    -0.000311431    -0.000300896
    -0.000397892    -0.000364617
      -7.112e-06    -9.35679e-06
    -0.000316668    -0.000280105
     -2.6428e-05    -2.69512e-05
     -4.0784e-05    -5.28344e-05
      -2.002e-06    -2.77864e-06
     -6.8161e-05    -7.38253e-05
    -0.000216349    -0.000215101
      -2.296e-06    -3.17002e-06
      -3.678e-06     -4.5816e-06
    -0.000108062    -0.000105941
     -3.0046e-05    -4.40745e-05
     -2.1146e-05    -2.21287e-05
     -1.1749e-05    -1.39611e-05
       -2.75e-06    -3.76328e-06
      -1.188e-06    -2.29541e-06
     -0.00021235    -0.000221724
      -4.668e-06    -5.62594e-06
    -0.000243878    -0.000241399
    -0.000244588    -0.000234299
     -8.5805e-05    -9.09837e-05
    -0.000260676    -0.000285634
     -2.6711e-05    -2.88597e-05
     -1.1358e-05    -1.54309e-05
     -0.00143159     -0.00150934
       -1.46e-06    -2.04882e-06
      -3.011e-06    -3.57226e-06
      -5.858e-06    -6.48839e-06
      -2.203e-06    -2.71109e-06
      -7.491e-06    -8.32158e-06
      -2.742e-06    -3.53656e-06
    -0.000224063    -0.000214296
     -2.6498e-05    -3.24304e-05
     -1.0134e-05    -1.19006e-05
     -3.5201e-05    -4.14063e-05
      -1.788e-06    -2.47978e-06
      -5.974e-06    -8.99505e-06
       -8.03e-06    -9.17629e-06
     -1.4502e-05     -1.8632e-05
    -0.000730216    -0.000783566
    -0.000164347    -0.000163174
      -1.513e-06    -2.06932e-06
      -5.052e-06     -8.1105e-06
    -0.000241902    -0.000241443
      -1.948e-06    -2.26686e-06
     -0.00112936     -0.00100747
      -5.947e-05     -6.7429e-05
    -0.000171563    -0.000161433
    -0.000588298    -0.000552177
      -2.459e-06    -3.11741e-06
      -4.163e-06     -6.5947e-06
     -0.00111516     -0.00120249
      -8.313e-06    -8.57188e-06
    -0.000118983     -0.00017693
    -0.000326262    -0.000300706
     -8.1476e-05    -8.24357e-05
      -6.046e-06    -8.15817e-06
    -0.000471774    -0.000477502
    -0.000191611    -0.000179053
     -0.00102439    -0.000949217
      -1.537e-06    -2.08233e-06
     -5.0776e-05    -5.52391e-05
      -1.719e-06    -1.94355e-06
     -1.1112e-05    -1.21757e-05
     -3.0367e-05    -3.16016e-05
    -0.000387091     -0.00035704
      -6.166e-06    -7.58765e-06
       -5.14e-06    -6.01155e-06
    -0.000549602    -0.000538799
     -8.0771e-05    -8.12314e-05
    -0.000491789    -0.000511442
    -0.000826092    -0.000870008
     -2.3885e-05    -3.02917e-05
      -1.597e-06    -2.15393e-06
    -0.000387014    -0.000407147
     -5.6498e-05    -6.58983e-05
      -2.328e-06    -2.58132e-06
    -0.000434053    -0.000412821
       -2.03e-07    -8.94688e-07
     -1.9797e-05    -2.39748e-05
    -0.000688417    -0.000656646
     -8.9651e-05    -8.68681e-05
    -0.000280835    -0.000260119
     -5.9715e-05    -6.13473e-05
      -2.238e-06    -2.83104e-06
        -1.7e-06    -2.28632e-06
      -3.633e-06    -4.21571e-06
    -0.000943934    -0.000882548
       -9.31e-07    -1.26456e-06
      -3.007e-06      -4.958e-06
     -8.9742e-05    -0.000101138
    -0.000208084    -0.000197788
     -1.4797e-05    -1.81174e-05
     -0.00041957    -0.000447928
     -3.1313e-05    -3.19615e-05
     -0.00117978     -0.00105177
      -2.436e-05    -2.76124e-05
    -0.000591371    -0.000643261
       -8.07e-07    -1.63786e-06
      -2.665e-06    -3.70072e-06
    -0.000131449    -0.000146229
     -4.1491e-05    -4.67049e-05
    -0.000283187    -0.000291606
     -5.3768e-05     -5.3392e-05
     -1.0051e-05    -1.24973e-05
    -0.000190715    -0.000168491
    -0.000247294    -0.000249393
    -0.000951238     -0.00111788
    -0.000314624     -0.00028971
    -0.000688834    -0.000677056
    -0.000424457    -0.000386906
    -0.000132119    -0.000139623
     -0.00116926     -0.00122058
     -3.2594e-05    -3.66277e-05
     -0.00020895    -0.000203508
    -0.000463316    -0.000484932
       -4.36e-06    -5.93849e-06
     -0.00109966      -0.0011054
    -0.000979064    -0.000998657
     -1.5337e-05    -1.62659e-05
    -0.000225638    -0.000234646
     -8.2385e-05    -8.91078e-05
    -0.000120351    -0.000113002
    -0.000125099    -0.000122084
      -1.312e-06    -1.65435e-06
     -2.0647e-05    -2.19552e-05
     -3.1374e-05    -3.82616e-05
    -0.000314595    -0.000294236
      -3.891e-06    -6.72172e-06
    -0.000671672    -0.000640731
      -8.585e-06    -9.62513e-06
     -0.00114344     -0.00103833
    -0.000175727    -0.000141569
    -0.000200597    -0.000199355
      -3.812e-06    -4.93521e-06
    -0.000611621    -0.000814224
    -0.000425309     -0.00038794
      -4.236e-06    -6.32467e-06
    -0.000221592    -0.000191877
     -2.7854e-05    -3.50025e-05
     -0.00113978      -0.0012945
      -0.0001344    -0.000141478
      -2.164e-06    -2.53329e-06
    -0.000196429    -0.000216162
     -2.9493e-05    -3.87192e-05
      -3.565e-05    -4.93889e-05
    -0.000355335    -0.000396335
      -3.872e-06     -4.9993e-06
    -0.000248469    -0.000222229
    -0.000902984    -0.000806008
    -0.000343551    -0.000353192
      -5.241e-06    -6.56666e-06
      -9.157e-06     -1.0501e-05
    -0.000823397    -0.000789928
     -2.9186e-05    -3.41541e-05
    -0.000380321    -0.000361952
    -0.000117635    -0.000122422
    -0.000286179    -0.000253972
       -1.65e-07    -5.23974e-07
    -0.000804156    -0.000716187
     -1.5301e-05    -2.23854e-05
      -1.316e-05    -1.44318e-05
     -3.3047e-05    -3.81453e-05
       -2.21e-07    -7.82819e-07
     -0.00037502    -0.000359496
    -0.000497792    -0.000448303
      -4.571e-06    -7.08133e-06
     -1.3857e-05    -1.97769e-05
      -3.149e-05     -3.5241e-05
      -1.793e-06    -2.20118e-06
    -0.000696529    -0.000646963
    -0.000258787    -0.000261678
      -4.387e-06    -5.48944e-06
     -7.6112e-05    -8.29163e-05
    -0.000419221    -0.000373306
    -0.000852018     -0.00077091
     -0.00126333     -0.00133423
     -2.6863e-05    -2.89558e-05
      -1.732e-06    -2.67258e-06
    -0.000771131    -0.000749463
    -0.000291516    -0.000269629
     -1.9034e-05    -1.89825e-05
    -0.000289759    -0.000287961
     -6.1446e-05     -6.5376e-05
     -4.0953e-05    -4.85324e-05
     -1.4779e-05    -1.74591e-05
    -0.000544045    -0.000506507
      -6.278e-06    -8.01491e-06
     -2.9496e-05    -3.09231e-05
     -3.3115e-05    -3.79537e-05
      -2.046e-06    -2.57424e-06
      -7.849e-06    -9.40284e-06
      -3.415e-06    -4.42419e-06
     -5.5101e-05    -6.02153e-05
      -5.576e-06    -7.20517e-06
      -7.548e-06    -9.67577e-06
      -2.088e-06    -2.50205e-06
     -1.9548e-05     -2.4494e-05
     -9.5374e-05    -9.75326e-05
     -3.6104e-05    -3.83226e-05
     -1.3128e-05    -1.32028e-05
    -0.000854833    -0.000760325
     -1.8514e-05    -2.16846e-05
      -1.094e-06    -1.67563e-06
     -8.2732e-05    -0.000102297
     -9.7162e-05    -0.000104546
       -6.88e-07    -1.28507e-06
       -7.72e-07    -1.12268e-06
     -8.2586e-05    -9.01163e-05
    -0.000881557    -0.000908047
    -0.000752277     -0.00063768
      -0.0003899    -0.000394691
    -0.000111384    -0.000109374
      -6.814e-05    -7.70509e-05
    -0.000108887    -0.000110764
     -6.5853e-05    -9.00451e-05
     -0.00012445    -0.000120524
    -0.000125126    -0.000137787
     -0.00104555      -0.0010006
      -6.456e-06    -7.88745e-06
       -6.94e-05    -7.23925e-05
     -1.4202e-05    -1.52099e-05
      -2.157e-06    -2.99481e-06
     -2.3757e-05    -2.88714e-05
     -2.3912e-05    -3.04129e-05
    -0.000616521    -0.000582999
    -0.000444075    -0.000471953
    -0.000125376    -0.000130955
     -4.5135e-05    -4.75067e-05
      -1.128e-06    -1.52462e-06
       -8.05e-07    -1.26358e-06
      -2.674e-06    -3.67649e-06
     -0.00101715     -0.00101379
      -1.955e-06    -2.76114e-06
    -0.000341771    -0.000318578
    -0.000669983    -0.000481534
     -3.0634e-05    -3.25481e-05
    -0.000106889    -0.000123181
     -0.00129861     -0.00120969
        -2.9e-07    -7.60931e-07
     -3.9359e-05    -4.47279e-05
    -0.000271699    -0.000307117
     -0.00113135     -0.00120149
    -0.000351879     -0.00041422
    -0.000375467    -0.000348433
    -0.000308804    -0.000291766
    -0.000104595    -0.000100988
    -0.000106193    -0.000149536
      -7.957e-06    -1.09745e-05
    -0.000524014    -0.000465143
     -1.6971e-05    -1.84084e-05
     -1.4324e-05    -1.95666e-05
