QM Energy	FF Energy
      -4.099e-06    -4.97043e-06
      -7.788e-06    -9.07664e-06
     -0.00120634     -0.00110599
     -8.7364e-05    -9.50075e-05
    -0.000458233    -0.000422645
     -8.1813e-05    -8.25713e-05
      -4.227e-06     -6.5202e-06
      -0.0013741     -0.00143273
     -2.9748e-05    -3.43922e-05
    -0.000188512    -0.000251538
     -1.1249e-05    -1.24666e-05
    -0.000350655    -0.000311573
     -9.0833e-05    -8.61075e-05
     -9.7291e-05    -9.90622e-05
    -0.000709468    -0.000648038
     -3.5203e-05    -3.96633e-05
       -2.85e-07    -8.91199e-07
    -0.000248705    -0.000213133
     -1.0566e-05    -1.46375e-05
      -1.756e-06    -1.97978e-06
      -1.505e-06    -1.93994e-06
    -0.000616722    -0.000502342
      -2.067e-06    -2.36405e-06
      -5.176e-06    -5.60276e-06
    -0.000292874     -0.00028273
    -0.000241857    -0.000240035
      -6.301e-06      -8.719e-06
     -1.1633e-05    -2.12513e-05
      -6.671e-06    -8.02526e-06
      -5.818e-06    -7.86562e-06
     -2.3284e-05    -2.86308e-05
     -0.00145286     -0.00141526
     -0.00086592    -0.000970441
     -1.3304e-05    -1.60532e-05
     -5.1105e-05    -6.81395e-05
    -0.000213118    -0.000276106
     -6.2586e-05    -6.89328e-05
    -0.000371219    -0.000460104
     -1.4018e-05    -2.15418e-05
     -9.6516e-05    -0.000146003
    -0.000313905    -0.000327478
       -3.72e-06     -5.6711e-06
    -0.000253775    -0.000241878
      -3.137e-06    -4.16312e-06
    -0.000395142    -0.000370279
      -2.383e-06    -3.01411e-06
     -7.8234e-05    -8.01774e-05
      -6.291e-06    -8.98648e-06
     -0.00013901    -0.000149759
    -0.000101742    -0.000100552
     -0.00012714    -0.000141361
     -6.2532e-05    -6.13135e-05
     -5.2966e-05    -5.96489e-05
       -2.18e-06    -2.79579e-06
     -1.0419e-05    -1.24877e-05
      -6.877e-06    -7.89398e-06
    -0.000772366      -0.0011362
     -2.4191e-05    -3.44322e-05
     -7.5078e-05    -7.35997e-05
     -8.0999e-05    -8.60836e-05
    -0.000457549    -0.000422448
    -0.000121751    -0.000136321
     -1.6418e-05    -2.22785e-05
    -0.000473495    -0.000459697
    -0.000285463    -0.000294781
     -0.00014413    -0.000152582
    -0.000112835    -0.000115097
    -0.000125943    -0.000140596
     -1.2386e-05    -1.56962e-05
    -0.000735404    -0.000663578
     -0.00129035      -0.0013276
      -8.744e-06    -1.34249e-05
    -0.000311431    -0.000304816
    -0.000397892    -0.000377978
      -7.112e-06     -9.5574e-06
    -0.000316668    -0.000280194
     -2.6428e-05    -2.70671e-05
     -4.0784e-05    -4.92284e-05
      -2.002e-06    -2.71619e-06
     -6.8161e-05    -7.32776e-05
    -0.000216349    -0.000214777
      -2.296e-06     -3.0565e-06
      -3.678e-06    -4.38966e-06
    -0.000108062    -0.000107707
     -3.0046e-05     -4.3405e-05
     -2.1146e-05    -2.25609e-05
     -1.1749e-05    -1.31844e-05
       -2.75e-06    -3.52317e-06
