QM Energy	FF Energy
      -4.099e-06    -4.96878e-06
      -7.788e-06    -9.07164e-06
     -0.00120634     -0.00110599
     -8.7364e-05    -9.50034e-05
    -0.000458233    -0.000422635
     -8.1813e-05    -8.25663e-05
      -4.227e-06    -6.51902e-06
      -0.0013741     -0.00143273
     -2.9748e-05    -3.43766e-05
    -0.000188512    -0.000251537
     -1.1249e-05    -1.24677e-05
    -0.000350655    -0.000311572
     -9.0833e-05    -8.61091e-05
     -9.7291e-05    -9.90632e-05
    -0.000709468    -0.000648042
     -3.5203e-05    -3.96677e-05
       -2.85e-07    -8.86451e-07
    -0.000248705    -0.000213131
     -1.0566e-05    -1.46357e-05
      -1.756e-06    -1.97842e-06
      -1.505e-06     -1.9393e-06
    -0.000616722    -0.000502341
      -2.067e-06    -2.36525e-06
      -5.176e-06    -5.60361e-06
    -0.000292874    -0.000282714
    -0.000241857    -0.000240034
      -6.301e-06    -8.71886e-06
     -1.1633e-05     -2.1227e-05
      -6.671e-06    -8.02483e-06
      -5.818e-06      -7.866e-06
     -2.3284e-05    -2.86316e-05
     -0.00145286     -0.00141527
     -0.00086592     -0.00097043
     -1.3304e-05    -1.60478e-05
     -5.1105e-05    -6.81386e-05
    -0.000213118    -0.000276108
     -6.2586e-05     -6.8928e-05
    -0.000371219    -0.000460108
     -1.4018e-05    -2.15389e-05
     -9.6516e-05    -0.000146002
    -0.000313905    -0.000327474
       -3.72e-06    -5.67089e-06
    -0.000253775    -0.000241889
      -3.137e-06    -4.16373e-06
    -0.000395142     -0.00037028
      -2.383e-06    -3.01406e-06
     -7.8234e-05    -8.01886e-05
      -6.291e-06    -8.98614e-06
     -0.00013901    -0.000149759
    -0.000101742    -0.000100553
     -0.00012714    -0.000141363
     -6.2532e-05    -6.13129e-05
     -5.2966e-05    -5.96371e-05
       -2.18e-06     -2.7968e-06
     -1.0419e-05    -1.24868e-05
      -6.877e-06    -7.90089e-06
    -0.000772366      -0.0011362
     -2.4191e-05    -3.44344e-05
     -7.5078e-05    -7.35939e-05
     -8.0999e-05    -8.60772e-05
    -0.000457549    -0.000422449
    -0.000121751    -0.000136323
     -1.6418e-05     -2.2273e-05
    -0.000473495    -0.000459747
    -0.000285463    -0.000294817
     -0.00014413    -0.000152579
    -0.000112835    -0.000115105
    -0.000125943    -0.000140597
     -1.2386e-05    -1.56949e-05
    -0.000735404    -0.000663564
     -0.00129035      -0.0013276
      -8.744e-06    -1.34303e-05
    -0.000311431    -0.000304809
    -0.000397892    -0.000377934
      -7.112e-06    -9.55726e-06
    -0.000316668     -0.00028019
     -2.6428e-05     -2.7063e-05
     -4.0784e-05    -4.92193e-05
      -2.002e-06    -2.71575e-06
     -6.8161e-05    -7.32769e-05
    -0.000216349    -0.000214774
      -2.296e-06    -3.05673e-06
      -3.678e-06    -4.38923e-06
    -0.000108062     -0.00010771
     -3.0046e-05    -4.34058e-05
     -2.1146e-05    -2.25593e-05
     -1.1749e-05    -1.31868e-05
       -2.75e-06    -3.52296e-06
      -1.188e-06    -2.59407e-06
     -0.00021235    -0.000214784
      -4.668e-06    -5.76493e-06
    -0.000243878    -0.000245889
    -0.000244588    -0.000235401
     -8.5805e-05    -8.85395e-05
    -0.000260676    -0.000292532
     -2.6711e-05     -2.8566e-05
     -1.1358e-05    -1.41684e-05
     -0.00143159     -0.00149671
       -1.46e-06    -1.89055e-06
      -3.011e-06    -3.32757e-06
      -5.858e-06    -6.52303e-06
      -2.203e-06    -2.48476e-06
      -7.491e-06    -8.35364e-06
      -2.742e-06    -3.22594e-06
    -0.000224063    -0.000213103
     -2.6498e-05    -3.06069e-05
     -1.0134e-05    -1.15513e-05
     -3.5201e-05    -4.14153e-05
