QM Energy	FF Energy
    -0.000816898     -0.00073967
     -0.00109572    -0.000980703
    -0.000134148    -0.000146613
    -0.000728484    -0.000704213
     -0.00104598    -0.000985789
    -0.000798454    -0.000746358
    -0.000612661    -0.000613845
     -0.00143132     -0.00134127
    -0.000970835    -0.000893226
     -8.1473e-05    -0.000115098
     -0.00150457     -0.00136932
    -0.000374197    -0.000411978
     -0.00193142     -0.00186752
     -9.2307e-05    -0.000104613
    -0.000953019    -0.000987299
    -0.000570111    -0.000591622
     -1.3874e-05    -1.87244e-05
    -0.000924498    -0.000775284
     -7.7981e-05    -8.31323e-05
     -4.2614e-05    -5.48416e-05
     -8.2017e-05    -0.000108044
    -0.000228295     -0.00025135
    -0.000110036    -0.000135941
    -0.000491601    -0.000528959
    -0.000775652    -0.000749923
     -1.5937e-05     -2.2828e-05
     -7.9898e-05    -9.60864e-05
     -0.00188705     -0.00189371
    -0.000238678    -0.000252153
    -0.000102158    -0.000140345
     -3.2292e-05    -3.91516e-05
      -0.0018854     -0.00193857
    -0.000179556    -0.000204304
     -5.9789e-05    -7.09288e-05
     -0.00010446    -0.000138834
     -1.0266e-05    -1.44183e-05
     -1.1383e-05    -1.47599e-05
     -0.00104032      -0.0011363
     -0.00142103     -0.00145529
    -0.000452881    -0.000476729
     -0.00154703     -0.00193988
    -0.000215318    -0.000285588
    -0.000727733    -0.000716702
      -8.343e-06    -1.27203e-05
     -0.00227099     -0.00258497
    -0.000105319    -0.000144397
    -0.000220557    -0.000266253
     -2.5003e-05    -3.40231e-05
      -8.075e-05     -8.2755e-05
     -4.4339e-05    -5.80604e-05
    -0.000376927    -0.000412868
    -0.000151562    -0.000178202
     -3.8903e-05    -4.55608e-05
     -9.9407e-05    -0.000119644
    -0.000433496    -0.000449553
     -6.8866e-05    -8.70355e-05
     -3.8698e-05    -5.88376e-05
     -7.1831e-05    -8.55147e-05
      -2.435e-05    -2.71753e-05
      -0.0010941     -0.00105197
     -3.6986e-05    -4.46336e-05
     -3.1942e-05    -4.18118e-05
     -3.3895e-05    -4.21981e-05
      -1.699e-06    -7.96896e-06
     -0.00010375    -0.000119438
    -0.000135522    -0.000146179
    -0.000938009    -0.000836699
     -0.00073976    -0.000690253
     -0.00050966     -0.00059037
     -4.1485e-05    -6.06288e-05
    -0.000253417    -0.000248493
    -0.000837456    -0.000916077
     -2.0764e-05    -2.68195e-05
    -0.000453976    -0.000530536
     -0.00194411     -0.00178069
     -1.6443e-05    -1.84332e-05
    -0.000291599    -0.000290453
    -0.000468489    -0.000465081
     -4.3433e-05    -5.48456e-05
     -2.1828e-05     -3.2622e-05
    -0.000951634    -0.000962645
    -0.000299558    -0.000306971
    -0.000197055    -0.000225657
     -0.00122211     -0.00114014
    -0.000282408    -0.000312081
    -0.000180547    -0.000178295
    -0.000544621    -0.000617191
     -4.5473e-05    -5.00851e-05
    -0.000128094    -0.000157159
    -0.000118787    -0.000124407
     -0.00106328    -0.000959921
     -1.4154e-05    -2.13863e-05
     -4.2231e-05    -4.99283e-05
     -7.2638e-05    -8.44268e-05
     -3.5133e-05     -4.4408e-05
     -0.00014014    -0.000178475
     -5.1929e-05    -6.87686e-05
    -0.000212487    -0.000243975
    -0.000991561     -0.00101442
     -0.00145328     -0.00141557
     -5.5487e-05    -8.05687e-05
     -0.00136889     -0.00128825
    -0.000137414    -0.000162272
    -0.000133082    -0.000177345
    -0.000305001    -0.000325099
     -0.00186683     -0.00198132
    -0.000442967    -0.000484307
     -4.2175e-05    -5.81399e-05
     -0.00109206     -0.00108872
     -9.1362e-05    -0.000109448
    -0.000251837    -0.000289419
     -5.6854e-05    -7.52104e-05
    -0.000568653    -0.000590714
     -2.0602e-05    -2.57581e-05
     -0.00199717     -0.00180735
    -0.000263892    -0.000280836
       -7.29e-06    -1.60844e-05
    -0.000445324    -0.000513173
    -0.000182432    -0.000213564
    -0.000229977     -0.00024455
     -3.6393e-05     -3.6549e-05
    -0.000887725    -0.000879494
    -0.000201027    -0.000237495
