QM Energy	FF Energy
     -0.00574268     -0.00555797
     -0.00605618      -0.0059618
     -0.00331113     -0.00326512
     -0.00489061     -0.00485169
     -0.00519033     -0.00467533
     -0.00802344     -0.00806347
     -0.00458517     -0.00428622
     -0.00748848     -0.00699364
     -0.00565457     -0.00527445
     -0.00205686     -0.00205094
      -0.0105956      -0.0106388
     -0.00485504     -0.00492468
     -0.00863824     -0.00846337
     -0.00232626     -0.00232839
     -0.00692883     -0.00685967
      -0.0056487     -0.00561645
     -0.00105338      -0.0010467
     -0.00687053     -0.00680875
     -0.00163592     -0.00155473
     -0.00225432     -0.00220049
     -0.00214925     -0.00212514
     -0.00341869      -0.0034074
     -0.00337001     -0.00340835
      -0.0050098     -0.00502867
     -0.00549552      -0.0054236
     -0.00115978      -0.0011565
     -0.00182394     -0.00179602
      -0.0121937      -0.0117402
      -0.0026887     -0.00241273
     -0.00137175     -0.00126178
     -0.00137989     -0.00133872
      -0.0123957      -0.0122424
     -0.00292212     -0.00288256
     -0.00154857     -0.00147485
     -0.00273615     -0.00276807
    -0.000997312    -0.000973029
    -0.000941323    -0.000925495
     -0.00938366     -0.00932421
      -0.0091253     -0.00909219
      -0.0037488     -0.00358534
      -0.0135284      -0.0139398
     -0.00412359     -0.00431245
     -0.00447336     -0.00412674
    -0.000923578    -0.000907144
       -0.015327      -0.0156785
     -0.00231109     -0.00232802
      -0.0023214     -0.00223558
     -0.00126165     -0.00122992
     -0.00206272     -0.00199097
     -0.00104918    -0.000945039
     -0.00358043     -0.00356665
     -0.00271142     -0.00262492
     -0.00160885     -0.00156178
     -0.00183081     -0.00179461
     -0.00583755     -0.00585992
     -0.00136079     -0.00127218
      -0.0019255     -0.00197879
     -0.00314892     -0.00317023
     -0.00157168     -0.00157076
     -0.00925216     -0.00912734
     -0.00131619     -0.00122443
     -0.00161612     -0.00160593
     -0.00158284     -0.00154531
     -0.00145532     -0.00147003
     -0.00228276     -0.00225524
     -0.00347599     -0.00350286
     -0.00555424     -0.00533084
      -0.0052101     -0.00503358
     -0.00583441     -0.00600911
     -0.00162683     -0.00162869
     -0.00376611     -0.00374555
     -0.00583374     -0.00568552
     -0.00103263    -0.000984417
     -0.00274504     -0.00252867
      -0.0105585      -0.0103005
    -0.000898744    -0.000840367
     -0.00387615     -0.00386736
     -0.00410767     -0.00398635
     -0.00127138     -0.00120321
     -0.00113696     -0.00113061
     -0.00779102     -0.00768849
     -0.00408451     -0.00403813
     -0.00268356     -0.00268675
     -0.00844004      -0.0083922
     -0.00379934     -0.00369082
