QM Energy	FF Energy
    -0.000816898     -0.00069408
     -0.00109572    -0.000867402
    -0.000134148    -0.000129174
    -0.000728484    -0.000628743
     -0.00104598    -0.000991452
    -0.000798454    -0.000734876
    -0.000612661    -0.000610898
     -0.00143132     -0.00129653
    -0.000970835    -0.000880226
     -8.1473e-05    -0.000111602
     -0.00150457     -0.00141716
    -0.000374197    -0.000404371
     -0.00193142     -0.00179755
     -9.2307e-05    -9.63279e-05
    -0.000953019     -0.00102209
    -0.000570111    -0.000569971
     -1.3874e-05    -1.68769e-05
    -0.000924498    -0.000715976
     -7.7981e-05    -7.30357e-05
     -4.2614e-05      -5.091e-05
     -8.2017e-05    -0.000102879
    -0.000228295    -0.000229475
    -0.000110036    -0.000133312
    -0.000491601    -0.000505473
    -0.000775652    -0.000665409
     -1.5937e-05    -2.07938e-05
     -7.9898e-05    -8.08748e-05
     -0.00188705     -0.00177985
    -0.000238678    -0.000245043
    -0.000102158    -0.000136436
     -3.2292e-05    -3.64257e-05
      -0.0018854     -0.00200065
    -0.000179556    -0.000199335
     -5.9789e-05    -6.66247e-05
     -0.00010446    -0.000133787
     -1.0266e-05    -1.27364e-05
     -1.1383e-05    -1.28639e-05
     -0.00104032     -0.00116532
     -0.00142103     -0.00138534
    -0.000452881     -0.00045616
     -0.00154703     -0.00187085
    -0.000215318    -0.000286035
    -0.000727733    -0.000703579
      -8.343e-06    -1.07193e-05
     -0.00227099     -0.00273285
    -0.000105319    -0.000141875
    -0.000220557    -0.000258434
     -2.5003e-05    -3.09638e-05
      -8.075e-05    -6.92742e-05
     -4.4339e-05    -5.53588e-05
    -0.000376927    -0.000408472
    -0.000151562    -0.000170814
     -3.8903e-05    -4.19406e-05
     -9.9407e-05    -0.000102663
    -0.000433496    -0.000435449
     -6.8866e-05    -8.22746e-05
     -3.8698e-05    -5.48473e-05
     -7.1831e-05    -8.15714e-05
      -2.435e-05    -2.49471e-05
      -0.0010941     -0.00100427
     -3.6986e-05    -4.11571e-05
     -3.1942e-05    -3.83566e-05
     -3.3895e-05    -3.74289e-05
      -1.699e-06    -7.42161e-06
     -0.00010375    -0.000101831
    -0.000135522    -0.000134375
    -0.000938009    -0.000775353
     -0.00073976    -0.000664901
     -0.00050966    -0.000556525
     -4.1485e-05    -5.63643e-05
    -0.000253417    -0.000230798
    -0.000837456    -0.000917248
     -2.0764e-05    -2.27331e-05
    -0.000453976    -0.000531539
     -0.00194411     -0.00183721
     -1.6443e-05     -1.5224e-05
    -0.000291599    -0.000281825
    -0.000468489    -0.000441717
     -4.3433e-05    -5.23686e-05
     -2.1828e-05    -3.04963e-05
    -0.000951634    -0.000926819
    -0.000299558    -0.000276904
    -0.000197055    -0.000212775
     -0.00122211     -0.00106159
    -0.000282408    -0.000295479
    -0.000180547    -0.000148087
    -0.000544621    -0.000649668
     -4.5473e-05    -4.31003e-05
    -0.000128094    -0.000150726
    -0.000118787     -0.00011104
     -0.00106328    -0.000859867
     -1.4154e-05    -1.90915e-05
     -4.2231e-05    -4.63286e-05
     -7.2638e-05    -8.05719e-05
     -3.5133e-05    -4.11097e-05
     -0.00014014    -0.000171249
     -5.1929e-05     -6.3845e-05
    -0.000212487    -0.000238753
    -0.000991561    -0.000876905
     -0.00145328     -0.00156202
     -5.5487e-05     -7.5766e-05
     -0.00136889       -0.001351
    -0.000137414     -0.00015433
    -0.000133082    -0.000177606
    -0.000305001    -0.000296994
     -0.00186683     -0.00190679
    -0.000442967    -0.000507533
     -4.2175e-05    -5.28927e-05
     -0.00109206     -0.00109347
     -9.1362e-05     -0.00010215
    -0.000251837    -0.000291799
     -5.6854e-05    -6.92059e-05
    -0.000568653    -0.000594236
     -2.0602e-05    -2.35678e-05
     -0.00199717     -0.00185027
    -0.000263892    -0.000264136
       -7.29e-06    -1.48712e-05
    -0.000445324    -0.000527683
    -0.000182432    -0.000203237
    -0.000229977    -0.000229982
     -3.6393e-05    -3.18219e-05
    -0.000887725    -0.000870625
    -0.000201027     -0.00022299
    -0.000431162    -0.000404532
    -0.000757149    -0.000824605
     -5.2493e-05    -4.32082e-05
      -1.673e-05    -2.28548e-05
    -0.000102011    -0.000110035
      -6.233e-05    -7.16951e-05
    -0.000104266    -0.000115961
     -6.1912e-05    -8.33145e-05
    -0.000439932    -0.000478931
     -6.7795e-05    -6.60222e-05
    -0.000104663    -0.000123193
     -6.7579e-05    -7.28916e-05
     -2.5644e-05    -2.93601e-05
    -0.000147472    -0.000169325
    -0.000108103    -0.000121351
      -1.136e-05    -1.58093e-05
     -2.6881e-05    -2.82198e-05
     -1.8239e-05    -2.11964e-05
      -1.567e-05    -1.92565e-05
    -0.000111965    -0.000134729
    -0.000207466    -0.000209348
    -0.000223386    -0.000222844
    -0.000108721    -0.000117501
    -0.000185514     -0.00019673
    -0.000244209    -0.000227451
    -0.000606453     -0.00053137
     -8.3248e-05    -8.94556e-05
     -6.8686e-05    -9.69939e-05
      -4.163e-05    -5.81596e-05
    -0.000199123    -0.000210923
    -0.000217421    -0.000201893
    -0.000658463    -0.000689407
     -8.0899e-05    -0.000101923
    -0.000199593    -0.000208452
    -0.000133476    -0.000135034
     -2.0788e-05    -2.32976e-05
    -0.000125044    -0.000138273
