QM Energy	FF Energy
    -0.000231033    -0.000380427
    -0.000669931    -0.000696201
    -0.000279498    -0.000205414
    -0.000613292    -0.000557925
    -0.000521999     -0.00048427
    -0.000796421    -0.000788414
    -0.000300129    -0.000300929
    -0.000613098    -0.000672926
    -0.000425806    -0.000447238
    -0.000190269    -0.000167998
    -0.000947379     -0.00103633
    -0.000285675    -0.000320351
     -0.00132228      -0.0011894
    -0.000207226    -0.000169347
    -0.000641888    -0.000641598
    -0.000407083    -0.000468268
     -2.9402e-05    -2.97708e-05
    -0.000244017    -0.000392251
    -0.000183474    -0.000132818
    -0.000351119    -0.000213149
     -0.00014415    -0.000127722
     -7.2242e-05    -0.000149189
    -0.000219527    -0.000196891
    -0.000463829    -0.000462581
    -0.000645694    -0.000585777
     -3.3431e-05    -3.39065e-05
    -0.000249568    -0.000177992
     -0.00095087    -0.000934595
    -0.000137538    -0.000127531
     -9.3151e-05    -8.78864e-05
     -6.9083e-05    -6.20747e-05
      -0.0011572     -0.00130751
    -0.000111457    -0.000122818
     -4.1501e-05    -4.72356e-05
    -0.000234903    -0.000205284
     -7.8066e-05     -5.5225e-05
     -8.4011e-05    -5.77881e-05
    -0.000955133    -0.000877581
     -0.00092634    -0.000963838
    -0.000193668    -0.000263167
     -0.00135886     -0.00142776
    -0.000196161    -0.000235679
    -0.000353712    -0.000366518
     -8.9463e-05     -6.0175e-05
     -0.00174267     -0.00181052
    -0.000183737    -0.000160889
    -0.000147425    -0.000159445
    -0.000101273    -7.79445e-05
    -0.000184904    -0.000133957
      -5.128e-05    -4.35191e-05
    -0.000237404    -0.000276928
     -8.9071e-05     -0.00010302
    -0.000120114    -8.80176e-05
    -0.000221827    -0.000173795
    -0.000234419    -0.000308722
      -5.865e-05    -5.89569e-05
     -8.9278e-05    -8.85457e-05
    -0.000230182    -0.000183513
     -8.6124e-05    -6.96754e-05
    -0.000332251    -0.000500969
     -2.9697e-05    -3.25704e-05
     -9.3667e-05    -7.67962e-05
    -0.000112476    -9.10763e-05
     -0.00011862    -7.23098e-05
    -0.000248677    -0.000188714
    -0.000236263     -0.00021033
    -0.000569514     -0.00060295
    -0.000283657    -0.000370702
