# Eelst 		 Emultipole 
     -0.00360875       0.00035071
     -0.00632807      -0.00097301
     -0.00130464      -0.00045137
     -0.00454879      -0.00079034
     -0.00288784      -0.00018262
     -0.00060367       0.00326353
     -0.00190389      -0.00014888
     -0.00620802       0.00068418
     -0.00376640      -0.00028362
     -0.00152336      -0.00076141
     -0.00837363       0.00082039
     -0.00058101       0.00123410
     -0.01031725      -0.00078140
     -0.00049476       0.00017936
     -0.00259308       0.00094656
     -0.00388829      -0.00081273
     -0.00046501      -0.00032131
     -0.00402190       0.00035116
     -0.00112354      -0.00052777
      0.00306704       0.00219511
     -0.00084348      -0.00048783
     -0.00105410       0.00022133
      0.00028266       0.00086178
     -0.00402947      -0.00104837
     -0.00483789      -0.00032370
     -0.00041707      -0.00037935
     -0.00058865       0.00013482
     -0.01133356       0.00044578
     -0.00051931       0.00023918
     -0.00025416      -0.00019325
     -0.00056988      -0.00019264
     -0.01345680      -0.00128811
     -0.00073300      -0.00019677
     -0.00039064      -0.00020481
     -0.00180322      -0.00095425
     -0.00009571      -0.00011062
     -0.00042319      -0.00035053
     -0.00183171       0.00256332
     -0.00789676      -0.00096773
     -0.00144036       0.00033775
     -0.01227367       0.00160439
     -0.00122401      -0.00036966
     -0.00233646      -0.00000077
     -0.00007626      -0.00007717
     -0.01328062       0.00215948
     -0.00088018      -0.00070214
     -0.00104578      -0.00039869
     -0.00057654      -0.00052575
     -0.00046059       0.00025129
     -0.00006872      -0.00005563
     -0.00085655       0.00055952
     -0.00066754      -0.00022471
     -0.00059206      -0.00025064
     -0.00131012      -0.00073145
     -0.00270207      -0.00014294
     -0.00028281      -0.00002946
     -0.00045181      -0.00026307
      0.00082242       0.00105872
     -0.00051476      -0.00047311
     -0.00515188       0.00031620
     -0.00011510       0.00003970
     -0.00073868      -0.00054775
     -0.00034826      -0.00016070
      0.00153524       0.00111475
     -0.00138415      -0.00064582
     -0.00089467       0.00037445
     -0.00526754      -0.00046614
     -0.00290492       0.00063227
     -0.00341573      -0.00039724
      0.00056835       0.00073485
     -0.00196582      -0.00042848
     -0.00353285      -0.00044324
     -0.00043967      -0.00022469
     -0.00025057       0.00061462
     -0.01027420      -0.00055772
     -0.00062432      -0.00025787
     -0.00224472      -0.00013516
     -0.00208200       0.00003149
     -0.00050843      -0.00038252
     -0.00032158      -0.00030556
     -0.00484611      -0.00014859
     -0.00187751      -0.00005499
     -0.00097633      -0.00003101
     -0.00617906       0.00043060
     -0.00111730       0.00007668
     -0.00161154      -0.00030254
     -0.00054530       0.00155010
     -0.00067783      -0.00037866
     -0.00096591      -0.00034551
     -0.00117706       0.00000749
     -0.00628197      -0.00055119
     -0.00001545       0.00000278
     -0.00041306      -0.00020191
     -0.00055143      -0.00027914
     -0.00040704      -0.00017584
     -0.00104173      -0.00037799
     -0.00080982      -0.00055966
     -0.00053030      -0.00008550
     -0.00597502      -0.00120009
     -0.00516861       0.00271025
     -0.00030008      -0.00016245
     -0.00684210      -0.00010184
     -0.00098265      -0.00036809
      0.00001591       0.00053307
     -0.00259329      -0.00038440
     -0.01192705       0.00018258
      0.00037444       0.00218386
      0.00006314       0.00048067
     -0.00480621       0.00080621
     -0.00045405       0.00010410
     -0.00256654      -0.00115797
     -0.00024063       0.00006237
     -0.00195008      -0.00046331
      0.00014268       0.00024414
     -0.00918652       0.00031108
     -0.00178186      -0.00044281
      0.00057562       0.00057762
     -0.00173902       0.00016831
     -0.00067068       0.00008543
     -0.00086217       0.00017633
      0.00194238       0.00160933
     -0.00432686       0.00032777
     -0.00077697       0.00018655
     -0.00198659      -0.00017934
     -0.00473313      -0.00072836
     -0.00092559      -0.00031395
     -0.00029337      -0.00011430
     -0.00100159      -0.00043412
     -0.00044696      -0.00025074
     -0.00090454      -0.00007612
     -0.00023584       0.00011383
     -0.00306045      -0.00029024
     -0.00072677      -0.00047353
     -0.00040836       0.00012430
     -0.00017321       0.00026768
     -0.00022111      -0.00012515
     -0.00053474       0.00009555
     -0.00059072       0.00042222
      0.00004058       0.00032526
     -0.00039423      -0.00006176
     -0.00039683      -0.00019137
     -0.00047126      -0.00040775
     -0.00087026      -0.00051328
     -0.00087213       0.00005352
     -0.00219757      -0.00074024
     -0.00060039      -0.00001177
     -0.00082134      -0.00010711
     -0.00236780      -0.00074242
     -0.00055963       0.00286193
     -0.00096280      -0.00019561
      0.00068270       0.00084970
     -0.00030449      -0.00021008
     -0.00057786       0.00067969
     -0.00175189      -0.00022040
     -0.00465741       0.00028535
     -0.00007263       0.00021885
     -0.00058593      -0.00004908
     -0.00064956       0.00016960
     -0.00028845      -0.00006953
     -0.00084499      -0.00017974
     -0.00020132      -0.00025701
     -0.00118450      -0.00075738
     -0.00580862      -0.00006600
     -0.00075009      -0.00056519
     -0.00071245      -0.00048676
      0.00049320       0.00165172
     -0.00031058      -0.00025213
     -0.00032196       0.00015427
     -0.00242160      -0.00057791
     -0.00247172      -0.00028560
      0.00017674       0.00339996
     -0.00279033      -0.00023965
     -0.00079241       0.00012862
     -0.00136998      -0.00033661
     -0.00519571      -0.00072951
      0.00087532       0.00251805
     -0.00021839       0.00016886
     -0.00022903      -0.00018573
     -0.00286488      -0.00060136
     -0.00139591       0.00025252
     -0.00035887       0.00021102
     -0.00705689      -0.00097788
     -0.00306941      -0.00039794
     -0.00422687       0.00046514
     -0.00123784       0.00046463
     -0.00248039      -0.00024324
     -0.00506222       0.00020839
     -0.00337897      -0.00020414
     -0.00161891      -0.00039508
     -0.00280583      -0.00089356
     -0.00007530      -0.00002095
     -0.00112908       0.00051518
     -0.00125466      -0.00055010
     -0.00272846      -0.00107648
     -0.00031021       0.00018001
      0.00004098       0.00030605
     -0.00178733       0.00013596
     -0.00084648       0.00002479
     -0.00352207       0.00020239
     -0.00044923      -0.00002233
      0.00013385       0.00024080
     -0.00052646      -0.00014985
     -0.00305088      -0.00017366
     -0.00035382       0.00269676
     -0.00036658      -0.00013051
     -0.00070778      -0.00032740
     -0.00129126      -0.00003905
      0.00079858       0.00249247
     -0.00033469      -0.00014323
     -0.02428459      -0.00069567
     -0.00204224      -0.00021987
     -0.00330172       0.00047206
     -0.00019410      -0.00021878
     -0.00222822      -0.00062453
     -0.00489999      -0.00056424
     -0.01123664      -0.00048270
     -0.00092958      -0.00040159
     -0.00041874      -0.00037444
     -0.00145741       0.00002120
     -0.00284847       0.00034383
      0.00029559       0.00049513
     -0.00021942      -0.00002995
     -0.00041504      -0.00017781
     -0.00072707       0.00000038
     -0.00261072      -0.00022814
     -0.00047019      -0.00046505
     -0.00317239      -0.00074230
     -0.00051641      -0.00018607
     -0.00122700      -0.00012312
     -0.00958688      -0.00044472
      0.00007402       0.00040955
     -0.00084264       0.00023020
     -0.00016290       0.00008902
     -0.00007228       0.00019288
     -0.00233535      -0.00046638
     -0.00968727      -0.00147306
     -0.00114530      -0.00044493
      0.00002809       0.00023222
     -0.00856599       0.00080455
     -0.00090211      -0.00045355
     -0.00073930      -0.00029389
     -0.00040306      -0.00009721
     -0.00514329       0.00143276
     -0.00385112      -0.00015008
     -0.00043290      -0.00012254
      0.00002306       0.00007800
     -0.00082924       0.00007115
      0.00045098       0.00043727
     -0.00065000      -0.00055157
     -0.00247348      -0.00059021
     -0.00076600      -0.00028161
     -0.00824588       0.00160778
     -0.00235724       0.00016307
     -0.00029707      -0.00030974
     -0.00034934       0.00024165
     -0.00026277       0.00016442
     -0.00167059      -0.00018385
     -0.00040350      -0.00033676
     -0.00045292       0.00152706
     -0.00066860      -0.00031589
     -0.00196548       0.00241360
     -0.00022354      -0.00003223
     -0.00226942       0.00037408
     -0.00399178      -0.00072681
     -0.00122080      -0.00031831
     -0.00313185      -0.00024384
     -0.00113458       0.00020598
     -0.00274762       0.00036947
     -0.00804843      -0.00036088
     -0.00075146       0.00008952
     -0.00045902      -0.00015718
     -0.00020794      -0.00011748
     -0.00025007       0.00014737
     -0.00018108      -0.00009293
     -0.00287847       0.00042552
     -0.00029526       0.00266526
     -0.00050114      -0.00045833
     -0.00191993      -0.00009069
     -0.00088946      -0.00012004
     -0.00287269      -0.00014185
     -0.00091354      -0.00016067
     -0.00130265       0.00039722
     -0.00017077      -0.00004579
     -0.00113683       0.00019786
     -0.00288686      -0.00058148
     -0.00039499       0.00011546
     -0.00058480       0.00015147
     -0.00213206      -0.00031661
     -0.00847463      -0.00084865
      0.00044116       0.00047445
     -0.00130087      -0.00056978
     -0.00506491      -0.00084110
     -0.00202811      -0.00100647
     -0.00162332      -0.00016143
     -0.00068105      -0.00032356
     -0.00292297      -0.00029455
     -0.00115222      -0.00060394
     -0.00046220      -0.00049427
     -0.00040050      -0.00030622
     -0.00020463      -0.00022736
     -0.00020437       0.00011821
     -0.00364424      -0.00103730
     -0.00940011       0.00174647
      0.00037521       0.00033796
     -0.00958256      -0.00041711
     -0.00146423       0.00006243
     -0.00453824       0.00021999
     -0.00017906       0.00010520
     -0.00251693       0.00065285
     -0.00083070       0.00055576
     -0.00049080      -0.00034386
     -0.00061555       0.00003595
     -0.00375952      -0.00043623
     -0.00658641       0.00027065
     -0.00681573      -0.00008840
     -0.00406209      -0.00039493
     -0.00123583      -0.00005600
     -0.00510871      -0.00092412
     -0.00035351      -0.00018318
     -0.00055763      -0.00012530
     -0.00470768      -0.00026872
     -0.00468137       0.00024027
     -0.00054915      -0.00036454
     -0.00053628      -0.00034214
     -0.00254350      -0.00039072
     -0.00425305      -0.00026313
     -0.01469917       0.00350441
     -0.00056624      -0.00042880
      0.00020043       0.00032590
     -0.00303208       0.00054410
     -0.00014141       0.00009962
     -0.00101604      -0.00063758
      0.00023117       0.00057744
     -0.00222426      -0.00033659
      0.00003407       0.00048811
     -0.00178196      -0.00054836
     -0.00480646      -0.00083412
     -0.00127666       0.00003987
     -0.00205106       0.00039751
     -0.00062802      -0.00030322
     -0.00622505      -0.00028036
     -0.00292339      -0.00077837
     -0.01225988      -0.00021221
     -0.00109441      -0.00006187
     -0.00044073      -0.00042436
     -0.00132542       0.00061592
     -0.00050682      -0.00000797
     -0.00134972      -0.00083434
      0.00073748       0.00058445
     -0.00205587       0.00003342
     -0.00017682       0.00012670
      0.00020485       0.00030719
     -0.00037390      -0.00035249
     -0.00118934      -0.00038610
      0.00009154       0.00031616
     -0.00016678      -0.00007254
     -0.01985569      -0.00110492
     -0.00086242       0.00013681
     -0.00254128      -0.00012427
     -0.00737643       0.00038480
      0.00024712       0.00030877
     -0.00262312      -0.00061933
      0.00009209       0.00036505
     -0.00027906       0.00009132
     -0.00446592      -0.00036676
     -0.00030254      -0.00019622
     -0.00061732      -0.00047262
     -0.00007399       0.00006115
     -0.00574549       0.00239716
     -0.00374054      -0.00047491
     -0.00573341       0.00047943
     -0.00010329       0.00011421
     -0.00422430       0.00038210
     -0.00722860       0.00008340
     -0.00109018      -0.00034135
     -0.00407966       0.00021676
     -0.00066046       0.00031904
     -0.00080979      -0.00006651
      0.00235294       0.00212295
     -0.00550088       0.00516587
     -0.00111905       0.00002529
     -0.00108513      -0.00043273
      0.00004476       0.00025109
     -0.00042256       0.00009594
     -0.00125714      -0.00057224
     -0.01374271       0.00119763
     -0.00366908       0.00022053
     -0.00289770      -0.00020072
     -0.00022997      -0.00000434
      0.00018649       0.00026941
     -0.00179503      -0.00075824
     -0.00192355       0.00001807
     -0.00283335       0.00026313
     -0.00146158      -0.00069138
      0.00041750       0.00048228
     -0.01094524       0.00084980
     -0.00036022      -0.00005212
      0.00010912       0.00428201
     -0.00104949       0.00021332
     -0.00057710      -0.00029199
     -0.01067151       0.00181772
     -0.00010110       0.00006599
     -0.00225686      -0.00104791
     -0.00373175       0.00026675
     -0.00110636       0.00201224
     -0.00239853      -0.00028515
     -0.00515154       0.00008861
     -0.00239476       0.00013711
     -0.00032947       0.00009434
     -0.00034189      -0.00012223
     -0.00644711      -0.00024935
     -0.00069374       0.00085189
      0.00063329       0.00073171
     -0.00285332      -0.00019278
     -0.00116584      -0.00000029
     -0.00468300       0.00012513
      0.00001390       0.00173152
     -0.00052807      -0.00014517
     -0.00155498       0.00011463
     -0.00449006      -0.00079606
     -0.00955610      -0.00010675
     -0.00077492      -0.00024939
     -0.00939090      -0.00088556
     -0.00047296       0.00008166
     -0.00154317      -0.00059802
     -0.00208171       0.00002176
     -0.00176298      -0.00039137
      0.00153113       0.00123998
     -0.00531926       0.00161126
     -0.00023960       0.00018140
     -0.00080391      -0.00067771
     -0.00124768      -0.00000401
     -0.00078891       0.00016178
     -0.00442751      -0.00035337
     -0.00068209       0.00150990
     -0.00726321      -0.00034908
     -0.00021317      -0.00007968
     -0.00020040       0.00017203
     -0.00637844      -0.00077865
     -0.00085641      -0.00005524
     -0.00040126      -0.00009068
     -0.00207234       0.00001529
     -0.00004919       0.00008890
     -0.00274259      -0.00088297
     -0.00141911       0.00016783
     -0.00162449      -0.00048041
     -0.00469538       0.00008316
     -0.00040438      -0.00004443
     -0.00154446       0.00010657
     -0.00145406      -0.00078575
     -0.00102830       0.00024523
     -0.00058156      -0.00043886
     -0.00036311       0.00007372
      0.00219945       0.00247813
     -0.00369047       0.00021032
     -0.00042620      -0.00030637
     -0.00260978      -0.00039895
     -0.00251986       0.00007257
     -0.00084398      -0.00005050
      0.00006773       0.00016746
     -0.00155377       0.00024240
     -0.00294188       0.00024261
     -0.01450844      -0.00150532
     -0.00025229      -0.00031436
     -0.00052403      -0.00013394
     -0.00094070      -0.00037898
     -0.00010172      -0.00004851
     -0.00074623      -0.00022265
     -0.00018054       0.00018136
     -0.00690165       0.00066263
     -0.00263831      -0.00017792
     -0.00580364       0.00001996
     -0.00038478       0.00007883
      0.00001487       0.00002910
     -0.00323604       0.00004373
     -0.00399901      -0.00068300
     -0.00188804      -0.00018772
     -0.00120547       0.00002849
     -0.00412819      -0.00078702
     -0.00381657       0.00044026
     -0.00362418       0.00015638
     -0.00101897      -0.00036559
     -0.00316287      -0.00018972
     -0.00039497      -0.00017072
     -0.00175681      -0.00001831
     -0.00075278       0.00012277
     -0.00025649      -0.00021293
     -0.00025102      -0.00026008
     -0.00053325      -0.00020906
     -0.00040236      -0.00007815
     -0.00061365      -0.00035581
      0.00111894       0.00092967
     -0.00567021       0.00199356
     -0.00012175       0.00002269
     -0.00715595       0.00042407
     -0.00081867       0.00020777
     -0.00046086      -0.00017635
     -0.00917820       0.00441581
     -0.00708710      -0.00151472
     -0.00290756       0.00029786
     -0.00175914       0.00005842
     -0.00012883       0.00016402
     -0.00115414      -0.00083938
     -0.00041967      -0.00035733
     -0.00322604       0.00085767
     -0.00149568      -0.00005492
     -0.00004183       0.00026456
     -0.00839000       0.00063300
     -0.00113481       0.00008785
     -0.00021020      -0.00027083
     -0.00513208      -0.00133080
     -0.00044389       0.00019180
     -0.00095563       0.00024471
     -0.00038063      -0.00006003
     -0.00037465       0.00001923
     -0.00067271      -0.00027249
     -0.00065061      -0.00052116
     -0.00368627      -0.00032006
      0.00107787       0.00088138
     -0.00135522      -0.00063127
     -0.00043758      -0.00046505
      0.00218020       0.00185984
     -0.01413010      -0.00012534
     -0.00340340      -0.00028748
     -0.00127019       0.00112339
     -0.00711626       0.00033329
      0.00007040       0.00018970
     -0.00016947       0.00015470
     -0.00220952      -0.00073311
     -0.00151632      -0.00037228
     -0.00086427      -0.00039803
     -0.00134385      -0.00022306
     -0.00062992      -0.00005405
     -0.00073237      -0.00003170
     -0.00242974      -0.00064035
     -0.00009457       0.00024476
     -0.00041192      -0.00010030
     -0.00096143       0.00023053
     -0.00417976      -0.00050878
     -0.00026378      -0.00024712
     -0.00942864       0.00310102
     -0.00075179       0.00034508
     -0.00039061      -0.00016598
     -0.00203375       0.00025371
     -0.00067968      -0.00011730
     -0.00117859      -0.00073782
     -0.00073274      -0.00051315
     -0.00212800      -0.00108008
     -0.00480634      -0.00055797
     -0.00018280      -0.00020270
     -0.00030713       0.00030471
     -0.00078072       0.00020174
      0.00024344       0.00105636
     -0.00463534       0.00040290
      0.00075469       0.00072965
     -0.00301134      -0.00038265
     -0.00457940      -0.00026546
     -0.00031596       0.00023659
      0.00025320       0.00032433
     -0.00290974      -0.00012261
     -0.00186651      -0.00027479
     -0.00247867       0.00359387
      0.00008050       0.00022227
     -0.00678739      -0.00009641
      0.00094280       0.00293221
     -0.00067894      -0.00012261
     -0.00471603      -0.00053327
     -0.00047087      -0.00025578
     -0.00961875      -0.00076519
     -0.01214989      -0.00095402
     -0.00209417       0.00037884
     -0.00132573       0.00018004
     -0.00754141       0.00183089
     -0.00070306      -0.00038286
     -0.00292449      -0.00012185
     -0.00057599      -0.00039848
     -0.00259322       0.00032514
     -0.00002147       0.00023980
     -0.00098357      -0.00008937
     -0.00049323       0.00015701
     -0.00050201      -0.00023731
     -0.00581339       0.00004925
      0.00046812       0.00050017
     -0.00077460      -0.00015472
     -0.00031097      -0.00007987
     -0.00758406       0.00118265
     -0.00116117       0.00023099
     -0.00168827      -0.00031229
      0.00179435       0.00134657
     -0.01163278      -0.00020862
     -0.00073940       0.00005557
     -0.00151082      -0.00046007
     -0.00056822       0.00016645
     -0.00978959       0.00011128
     -0.01284143      -0.00033540
      0.00001380       0.00003532
      0.00021773       0.00050007
     -0.00105810      -0.00049993
     -0.00051572      -0.00019692
     -0.00007228       0.00000763
     -0.00278007       0.00034081
      0.00080897       0.00072514
     -0.00338494      -0.00023142
     -0.00026261       0.00004777
     -0.00112889      -0.00033022
     -0.01042504      -0.00137414
     -0.00977560      -0.00081088
     -0.00665470       0.00012063
      0.00056070       0.00055552
     -0.00094047      -0.00018151
     -0.00041272      -0.00036839
     -0.00080309       0.00018073
