QM Energy	FF Energy
    -0.000816898    -0.000697663
     -0.00109572    -0.000876875
    -0.000134148    -0.000132307
    -0.000728484    -0.000649555
     -0.00104598    -0.000976177
    -0.000798454    -0.000699896
    -0.000612661    -0.000599393
     -0.00143132     -0.00130071
    -0.000970835     -0.00087305
     -8.1473e-05    -0.000115113
     -0.00150457     -0.00143213
    -0.000374197    -0.000402733
     -0.00193142      -0.0018515
     -9.2307e-05    -9.72853e-05
    -0.000953019     -0.00101931
    -0.000570111    -0.000566024
     -1.3874e-05    -1.71576e-05
    -0.000924498    -0.000721308
     -7.7981e-05    -7.58807e-05
     -4.2614e-05    -4.25948e-05
     -8.2017e-05    -0.000101897
    -0.000228295    -0.000231194
    -0.000110036    -0.000131132
    -0.000491601    -0.000515458
    -0.000775652    -0.000709685
     -1.5937e-05    -2.08237e-05
     -7.9898e-05    -8.37098e-05
     -0.00188705     -0.00179719
    -0.000238678    -0.000241233
    -0.000102158    -0.000134221
     -3.2292e-05    -3.68613e-05
      -0.0018854       -0.001998
    -0.000179556    -0.000195507
     -5.9789e-05    -6.58665e-05
     -0.00010446     -0.00013637
     -1.0266e-05    -1.28543e-05
     -1.1383e-05    -1.27811e-05
     -0.00104032     -0.00113845
     -0.00142103     -0.00138468
    -0.000452881    -0.000454478
     -0.00154703     -0.00194591
    -0.000215318    -0.000280844
    -0.000727733     -0.00069766
      -8.343e-06    -1.09776e-05
     -0.00227099     -0.00281683
    -0.000105319    -0.000139493
    -0.000220557    -0.000256467
     -2.5003e-05    -3.09534e-05
      -8.075e-05    -7.24523e-05
     -4.4339e-05    -5.43569e-05
    -0.000376927    -0.000408546
    -0.000151562     -0.00016801
     -3.8903e-05    -4.29096e-05
     -9.9407e-05     -0.00010515
    -0.000433496    -0.000434114
     -6.8866e-05    -8.17105e-05
     -3.8698e-05    -5.39202e-05
     -7.1831e-05    -7.90071e-05
      -2.435e-05    -2.38607e-05
      -0.0010941     -0.00100359
     -3.6986e-05     -4.0836e-05
     -3.1942e-05    -3.88836e-05
     -3.3895e-05    -3.73159e-05
      -1.699e-06    -6.39682e-06
     -0.00010375    -0.000102864
    -0.000135522      -0.0001373
    -0.000938009    -0.000791858
     -0.00073976    -0.000667844
     -0.00050966    -0.000569897
     -4.1485e-05    -5.60757e-05
    -0.000253417    -0.000230627
    -0.000837456    -0.000903728
     -2.0764e-05    -2.32103e-05
    -0.000453976    -0.000520298
     -0.00194411     -0.00184256
     -1.6443e-05    -1.66981e-05
    -0.000291599    -0.000286046
    -0.000468489    -0.000440247
     -4.3433e-05    -5.24116e-05
     -2.1828e-05    -3.01545e-05
    -0.000951634    -0.000931785
    -0.000299558     -0.00027908
    -0.000197055    -0.000212341
     -0.00122211     -0.00107032
    -0.000282408    -0.000294413
    -0.000180547    -0.000156584
    -0.000544621    -0.000637979
     -4.5473e-05    -4.36486e-05
    -0.000128094    -0.000148569
    -0.000118787     -0.00011791
     -0.00106328     -0.00090027
     -1.4154e-05    -1.90416e-05
     -4.2231e-05    -4.62304e-05
     -7.2638e-05    -8.05743e-05
     -3.5133e-05    -4.08456e-05
     -0.00014014    -0.000167667
     -5.1929e-05    -6.20153e-05
    -0.000212487    -0.000233943
    -0.000991561    -0.000929873
     -0.00145328     -0.00153076
     -5.5487e-05    -7.50211e-05
     -0.00136889     -0.00136582
    -0.000137414    -0.000152919
    -0.000133082    -0.000177689
    -0.000305001    -0.000301807
     -0.00186683     -0.00190882
    -0.000442967    -0.000495056
     -4.2175e-05     -5.3722e-05
     -0.00109206     -0.00108766
     -9.1362e-05    -0.000101573
    -0.000251837    -0.000295216
     -5.6854e-05    -6.91107e-05
    -0.000568653    -0.000586311
     -2.0602e-05    -2.33497e-05
     -0.00199717     -0.00191797
    -0.000263892    -0.000261933
       -7.29e-06    -1.45961e-05
    -0.000445324    -0.000534115
    -0.000182432    -0.000201759
    -0.000229977    -0.000229377
     -3.6393e-05    -2.58607e-05
    -0.000887725    -0.000889386
    -0.000201027    -0.000223174
    -0.000431162    -0.000402719
    -0.000757149    -0.000846911
     -5.2493e-05    -4.58872e-05
      -1.673e-05    -2.27989e-05
    -0.000102011    -0.000108904
      -6.233e-05    -7.04997e-05
    -0.000104266    -0.000117067
     -6.1912e-05     -8.3234e-05
    -0.000439932    -0.000482872
     -6.7795e-05    -6.45553e-05
    -0.000104663    -0.000123111
     -6.7579e-05    -7.33144e-05
     -2.5644e-05    -2.93234e-05
    -0.000147472    -0.000168578
    -0.000108103    -0.000123081
      -1.136e-05    -1.63073e-05
     -2.6881e-05    -2.89512e-05
     -1.8239e-05    -2.16602e-05
      -1.567e-05    -1.92299e-05
    -0.000111965    -0.000132888
    -0.000207466    -0.000208291
    -0.000223386    -0.000226905
    -0.000108721    -0.000117372
    -0.000185514    -0.000194555
    -0.000244209    -0.000236117
    -0.000606453    -0.000497946
     -8.3248e-05    -8.99253e-05
     -6.8686e-05    -9.63146e-05
      -4.163e-05    -5.80846e-05
    -0.000199123    -0.000212718
    -0.000217421    -0.000202877
    -0.000658463    -0.000713343
     -8.0899e-05    -0.000100079
    -0.000199593    -0.000205526
    -0.000133476    -0.000134484
     -2.0788e-05    -2.33314e-05
    -0.000125044     -0.00013718
      -1.711e-05    -2.16589e-05
    -0.000101049    -0.000110019
     -0.00149003     -0.00139219
      -5.799e-05    -6.09729e-05
     -4.5709e-05    -4.85964e-05
    -0.000294714    -0.000347757
     -2.5029e-05    -2.87639e-05
    -0.000111789    -0.000123809
    -0.000841283    -0.000847428
    -0.000391019    -0.000462781
    -0.000731486    -0.000697742
    -0.000523055    -0.000584655
    -0.000188986     -0.00018517
    -0.000262725    -0.000280899
    -0.000874002    -0.000739179
    -0.000366502    -0.000268069
     -3.5469e-05    -4.29195e-05
      -9.746e-06    -1.52129e-05
    -0.000406788    -0.000358854
    -0.000534402    -0.000562529
     -0.00012446    -0.000131149
     -0.00109673     -0.00104283
    -0.000382706     -0.00038411
     -0.00084563    -0.000852962
    -0.000439771    -0.000445208
    -0.000281833    -0.000275793
     -0.00109701     -0.00109112
    -0.000881872    -0.000899174
     -0.00018865    -0.000182042
    -0.000379477    -0.000346322
      -9.385e-06     -1.2989e-05
    -0.000122352     -0.00014125
     -0.00014554    -0.000134954
    -0.000424219    -0.000455105
      -7.806e-05    -8.96904e-05
      -8.293e-06    -1.23491e-05
    -0.000408108    -0.000380275
     -6.2015e-05    -7.32766e-05
    -0.000828631    -0.000743567
     -6.3762e-05    -7.40675e-05
     -1.7692e-05    -2.18954e-05
     -7.4548e-05    -8.71739e-05
    -0.000563163    -0.000580191
    -0.000548698    -0.000394819
     -2.3149e-05    -2.70651e-05
     -3.1689e-05    -2.93433e-05
    -0.000214025    -0.000223878
    -0.000397841    -0.000387442
     -6.5891e-05    -7.06397e-05
     -0.00328028      -0.0037877
     -0.00108597     -0.00113581
    -0.000790499    -0.000805004
     -1.3169e-05    -1.90449e-05
    -0.000281919    -0.000336902
    -0.000970208    -0.000971141
     -0.00193056     -0.00171021
     -8.2554e-05    -7.99124e-05
     -1.7612e-05    -2.07749e-05
    -0.000339936    -0.000333478
    -0.000426282    -0.000454625
     -3.6412e-05    -4.83029e-05
     -3.7457e-05    -4.71104e-05
     -1.4781e-05    -1.93616e-05
    -0.000216333    -0.000246211
    -0.000452847    -0.000490732
      -7.857e-06    -9.21106e-06
    -0.000525322    -0.000514325
     -5.6257e-05    -5.55964e-05
    -0.000128121    -0.000133052
     -0.00204231     -0.00208073
      -5.769e-05    -6.68374e-05
     -0.00019571    -0.000194966
     -3.0833e-05    -3.55525e-05
      -1.685e-05    -2.23934e-05
    -0.000652055    -0.000647927
     -0.00147545     -0.00148311
    -0.000137564    -0.000152311
     -3.4937e-05    -4.96688e-05
     -0.00196715     -0.00181988
     -1.3534e-05    -1.89891e-05
     -3.4472e-05    -3.33677e-05
     -6.5298e-05    -7.67381e-05
     -0.00132305     -0.00137898
    -0.000694835    -0.000699299
     -8.5509e-05    -9.36667e-05
     -1.0281e-05    -1.48741e-05
    -0.000281326     -0.00029891
     -1.2168e-05    -1.59482e-05
      -2.724e-05    -2.87794e-05
    -0.000438215    -0.000515875
     -2.1978e-05    -2.28819e-05
     -0.00145954     -0.00171684
    -0.000440955    -0.000432977
      -8.522e-06    -1.07361e-05
    -0.000106304    -0.000128461
     -3.9373e-05    -4.20099e-05
    -0.000284948    -0.000276218
     -1.7005e-05    -1.96205e-05
    -0.000218977     -0.00021603
     -2.2636e-05    -2.16841e-05
    -0.000803184    -0.000847792
     -4.2605e-05    -4.62671e-05
     -0.00024528    -0.000282671
    -0.000753071    -0.000785297
    -0.000255669    -0.000289343
      -0.0011128     -0.00104706
     -0.00025349    -0.000256506
    -0.000797878     -0.00078258
     -0.00162519     -0.00163174
     -5.0479e-05    -5.26872e-05
     -1.3087e-05    -1.53106e-05
     -1.6245e-05     -2.3242e-05
     -6.2836e-05    -6.36616e-05
