QM Energy	FF Energy
    -0.000231033    -0.000353967
    -0.000669931    -0.000843472
    -0.000279498    -0.000271796
    -0.000613292    -0.000699146
    -0.000521999    -0.000476225
    -0.000796421    -0.000989191
    -0.000300129    -0.000300876
    -0.000613098    -0.000637915
    -0.000425806     -0.00044094
    -0.000190269    -0.000202439
    -0.000947379     -0.00103727
    -0.000285675    -0.000336207
     -0.00132228     -0.00117343
    -0.000207226    -0.000214959
    -0.000641888    -0.000677943
    -0.000407083     -0.00051317
     -2.9402e-05    -3.09894e-05
    -0.000244017    -0.000384371
    -0.000183474     -0.00017937
    -0.000351119    -0.000309642
     -0.00014415    -0.000149201
     -7.2242e-05    -0.000133973
    -0.000219527    -0.000216441
    -0.000463829    -0.000471551
    -0.000645694    -0.000719069
     -3.3431e-05     -3.5311e-05
    -0.000249568    -0.000248997
     -0.00095087    -0.000931696
    -0.000137538    -0.000130871
     -9.3151e-05    -9.52124e-05
     -6.9083e-05    -6.99785e-05
      -0.0011572     -0.00122705
    -0.000111457    -0.000121378
     -4.1501e-05    -4.58426e-05
    -0.000234903    -0.000242752
     -7.8066e-05    -7.28285e-05
     -8.4011e-05    -7.51857e-05
    -0.000955133    -0.000957998
     -0.00092634     -0.00104631
    -0.000193668    -0.000241951
     -0.00135886     -0.00158184
    -0.000196161    -0.000221791
    -0.000353712    -0.000341865
     -8.9463e-05    -8.37547e-05
     -0.00174267     -0.00181479
    -0.000183737    -0.000188035
    -0.000147425    -0.000160908
    -0.000101273    -9.67967e-05
    -0.000184904    -0.000171297
      -5.128e-05    -4.76477e-05
    -0.000237404    -0.000278178
     -8.9071e-05    -0.000102744
    -0.000120114     -0.00011178
    -0.000221827     -0.00023031
    -0.000234419    -0.000311356
      -5.865e-05    -5.85264e-05
     -8.9278e-05    -9.43061e-05
    -0.000230182    -0.000216442
     -8.6124e-05    -7.97587e-05
    -0.000332251    -0.000486075
     -2.9697e-05    -3.15209e-05
     -9.3667e-05      -8.937e-05
    -0.000112476    -0.000106395
     -0.00011862    -9.01867e-05
    -0.000248677    -0.000251726
    -0.000236263    -0.000240242
    -0.000569514    -0.000647212
    -0.000283657    -0.000356638
     -0.00059101    -0.000633743
      -6.552e-05    -7.15811e-05
    -0.000259351    -0.000278054
    -0.000646329    -0.000678681
    -0.000105085     -0.00010063
    -0.000329745    -0.000331714
     -0.00116011    -0.000978179
     -9.5654e-05    -8.59169e-05
    -0.000240381    -0.000249035
    -0.000169507    -0.000233478
     -6.2421e-05    -6.32841e-05
     -3.9348e-05    -4.01026e-05
    -0.000631945    -0.000666471
    -0.000319485    -0.000368061
    -0.000119131    -0.000141424
    -0.000465904    -0.000584859
    -0.000110648    -0.000161692
    -0.000303548    -0.000303101
    -0.000689242    -0.000703549
    -0.000147208    -0.000141039
    -0.000141319    -0.000146411
     -0.00022117    -0.000222653
    -0.000753663    -0.000754053
    -0.000102251    -9.62368e-05
     -3.0643e-05    -3.96212e-05
     -6.6694e-05    -7.46186e-05
     -5.5055e-05    -5.73439e-05
    -0.000163095    -0.000178921
    -0.000135797    -0.000134674
    -0.000150711    -0.000147481
    -0.000857395    -0.000876178
     -0.00116657      -0.0014177
     -5.2537e-05    -6.12616e-05
     -0.00113516     -0.00104458
    -0.000101317    -0.000127396
    -0.000214959    -0.000237969
    -0.000347373    -0.000368244
     -0.00102196    -0.000970309
    -0.000623212    -0.000690896
     -9.7688e-05    -9.61817e-05
     -0.00057618    -0.000675665
     -6.9411e-05    -9.06042e-05
    -0.000277178    -0.000320183
     -4.9764e-05    -5.22362e-05
    -0.000322649    -0.000359024
     -2.0004e-05    -2.07885e-05
      -0.0011762     -0.00121476
    -0.000236744    -0.000281811
     -9.2376e-05    -7.89862e-05
    -0.000406415    -0.000464593
    -0.000142885     -0.00016235
     -8.4864e-05     -0.00011865
    -0.000312409    -0.000263511
    -0.000551996    -0.000637989
    -0.000100838    -0.000127211
    -0.000162262    -0.000213975
    -0.000735476    -0.000756465
    -0.000140213     -0.00012104
       -2.96e-05    -3.36102e-05
    -0.000139612    -0.000149318
     -5.7424e-05    -6.48566e-05
    -0.000132163    -0.000141632
      -7.067e-05    -8.16646e-05
    -0.000348948     -0.00041224
    -0.000141866    -0.000137906
     -6.8729e-05    -7.89746e-05
    -0.000239568    -0.000230761
     -3.1594e-05    -3.39105e-05
    -0.000105626    -0.000106403
    -0.000147255    -0.000163086
    -0.000100979     -9.1545e-05
    -0.000110322    -0.000102891
     -9.7129e-05     -9.5169e-05
       -7.18e-05    -6.76922e-05
    -0.000135875    -0.000145748
     -8.2707e-05    -0.000111499
    -0.000297021    -0.000302639
     -4.6383e-05     -7.9181e-05
      -8.523e-05    -0.000115294
    -0.000332427     -0.00032989
    -0.000747957    -0.000917744
     -9.5164e-05     -0.00010144
    -0.000195613    -0.000192973
     -5.3596e-05    -5.72682e-05
     -0.00018325    -0.000206078
    -0.000332412    -0.000369795
    -0.000914943     -0.00103639
     -7.4661e-05    -8.81698e-05
    -0.000114951    -0.000111252
     -5.0761e-05    -7.85814e-05
     -4.0864e-05    -4.18325e-05
     -7.4834e-05    -0.000104726
     -2.6527e-05     -2.5569e-05
    -0.000142502    -0.000151343
    -0.000734568    -0.000718176
    -0.000122731    -0.000123305
    -0.000150635    -0.000145686
    -0.000441029    -0.000432389
     -7.9656e-05    -7.20628e-05
     -6.9269e-05     -7.9846e-05
    -0.000483626    -0.000473528
    -0.000463656    -0.000485089
    -0.000706647    -0.000856238
    -0.000473142    -0.000461623
     -7.4029e-05    -0.000104462
    -0.000160701    -0.000194464
    -0.000568649    -0.000719328
    -0.000534275    -0.000590816
     -7.4921e-05    -7.69763e-05
     -2.6749e-05    -2.77408e-05
    -0.000304276    -0.000342395
    -0.000289313     -0.00031549
     -6.9795e-05    -7.30511e-05
    -0.000738072    -0.000923983
    -0.000351782    -0.000389666
    -0.000471536     -0.00058126
     -0.00022838    -0.000247446
    -0.000305529    -0.000318917
    -0.000430668    -0.000566169
    -0.000443417    -0.000488472
    -0.000308134    -0.000322207
    -0.000416874    -0.000471254
     -1.9228e-05    -2.19977e-05
    -0.000363981    -0.000356549
    -0.000178071     -0.00019311
    -0.000372357    -0.000426888
    -0.000127602    -0.000126619
     -5.6714e-05    -5.33788e-05
    -0.000136775    -0.000210978
    -0.000167393    -0.000164533
     -0.00023069      -0.0003775
     -3.3266e-05    -5.75818e-05
    -0.000125329    -0.000115418
     -7.0575e-05    -7.61409e-05
    -0.000383272    -0.000442961
    -0.000669931    -0.000821896
     -4.3545e-05    -4.49533e-05
    -0.000129388     -0.00011377
     -8.0207e-05    -0.000142324
    -0.000582756    -0.000637808
     -5.2614e-05    -5.41528e-05
     -0.00299579     -0.00212764
    -0.000795111    -0.000742286
    -0.000550557    -0.000540939
     -3.1508e-05    -3.03225e-05
    -0.000296746    -0.000301831
    -0.000685785     -0.00067118
      -0.0011393     -0.00117904
    -0.000170001    -0.000164763
     -6.7128e-05    -6.28664e-05
    -0.000220634     -0.00025277
     -0.00065372    -0.000652031
     -5.6737e-05     -6.7457e-05
      -4.103e-05     -4.2211e-05
     -5.5701e-05    -5.26682e-05
    -0.000132549    -0.000153397
    -0.000340476    -0.000366312
     -5.4352e-05    -4.89597e-05
    -0.000445235    -0.000522393
    -0.000138577    -0.000136491
    -0.000177311    -0.000179845
     -0.00134431     -0.00130568
     -6.1938e-05     -7.0645e-05
     -6.6157e-05    -0.000112454
     -3.4432e-05    -3.85394e-05
     -4.6549e-05    -4.74585e-05
    -0.000322217    -0.000351575
    -0.000771613     -0.00085766
    -0.000149499    -0.000163511
     -4.9948e-05    -5.69041e-05
     -0.00110848    -0.000892063
     -8.2981e-05    -7.66047e-05
    -0.000128325    -0.000115805
     -5.8406e-05    -6.16631e-05
    -0.000980509    -0.000952548
    -0.000350143    -0.000444902
     -5.1375e-05    -6.35208e-05
     -2.1301e-05    -2.39459e-05
    -0.000142009     -0.00017165
     -3.3309e-05    -3.19148e-05
     -0.00012687    -0.000119234
    -0.000384001    -0.000441783
    -0.000119908    -0.000112966
     -0.00130813     -0.00144434
     -0.00010209    -0.000220472
     -5.1935e-05    -4.61183e-05
     -7.5129e-05    -9.45751e-05
    -0.000132616    -0.000131107
    -0.000226252    -0.000260163
     -8.4957e-05    -7.68446e-05
    -0.000502793    -0.000535696
     -8.0165e-05    -6.76424e-05
    -0.000765771    -0.000895726
    -0.000115384    -0.000112866
    -0.000454496    -0.000456784
    -0.000397437    -0.000463533
    -0.000233677    -0.000241122
    -0.000581383    -0.000518759
     -8.6307e-05    -0.000145129
    -0.000420708    -0.000419049
     -0.00106072     -0.00104549
    -0.000165792    -0.000158482
     -9.4462e-05    -9.49195e-05
     -4.0216e-05    -4.30717e-05
     -2.5025e-05    -4.56327e-05
     -3.1134e-05    -3.63559e-05
    -0.000254967    -0.000354231
     -0.00067083    -0.000816063
    -0.000106121     -9.8086e-05
    -0.000182396    -0.000242543
    -0.000117485    -0.000129806
    -0.000359866    -0.000400196
    -0.000205676    -0.000206133
    -0.000327021    -0.000335887
      -3.397e-05    -3.47748e-05
     -8.0416e-05    -0.000142868
    -0.000415289    -0.000428895
      -3.294e-05    -5.24765e-05
    -0.000239868    -0.000242236
    -0.000297636    -0.000350024
    -0.000819319    -0.000821428
     -4.2348e-05    -4.36348e-05
    -0.000157062    -0.000178313
    -0.000893314    -0.000965164
    -0.000300402    -0.000328429
    -0.000251078    -0.000267588
    -0.000101736    -0.000116589
    -0.000486949    -0.000523083
    -0.000199671    -0.000214883
     -7.3185e-05    -7.35112e-05
     -7.4697e-05     -7.5632e-05
