# Eelst 		 Emultipole 
     -0.00360875       0.00023488
     -0.00632807      -0.00094882
     -0.00130464      -0.00056035
     -0.00454879      -0.00133519
     -0.00288784       0.00017704
     -0.00060367       0.00502826
     -0.00190389       0.00017644
     -0.00620802       0.00057277
     -0.00376640      -0.00001816
     -0.00152336      -0.00121531
     -0.00837363       0.00069541
     -0.00058101       0.00152316
     -0.01031725      -0.00174047
     -0.00049476       0.00009361
     -0.00259308       0.00109462
     -0.00388829      -0.00082116
     -0.00046501      -0.00040682
     -0.00402190       0.00022675
     -0.00112354      -0.00072782
      0.00306704       0.00350573
     -0.00084348      -0.00039739
     -0.00105410       0.00009398
      0.00028266       0.00117230
     -0.00402947      -0.00147641
     -0.00483789      -0.00150024
     -0.00041707      -0.00036014
     -0.00058865      -0.00015764
     -0.01133356       0.00015100
     -0.00051931       0.00033125
     -0.00025416      -0.00000489
     -0.00056988      -0.00037093
     -0.01345680      -0.00095632
     -0.00073300       0.00005708
     -0.00039064      -0.00010965
     -0.00180322      -0.00129619
     -0.00009571      -0.00004924
     -0.00042319      -0.00036030
     -0.00183171       0.00374141
     -0.00789676      -0.00096513
     -0.00144036       0.00031948
     -0.01227367       0.00047421
     -0.00122401      -0.00012331
     -0.00233646       0.00012178
     -0.00007626      -0.00005742
     -0.01328062       0.00130291
     -0.00088018      -0.00034352
     -0.00104578      -0.00030670
     -0.00057654      -0.00042723
     -0.00046059       0.00007031
     -0.00006872       0.00008007
     -0.00085655       0.00059804
     -0.00066754       0.00000129
     -0.00059206      -0.00044616
     -0.00131012      -0.00087382
     -0.00270207      -0.00020541
     -0.00028281      -0.00004396
     -0.00045181      -0.00021774
      0.00082242       0.00154769
     -0.00051476      -0.00023663
     -0.00515188       0.00034673
     -0.00011510       0.00006057
     -0.00073868      -0.00057585
     -0.00034826      -0.00012903
      0.00153524       0.00155738
     -0.00138415      -0.00077443
     -0.00089467       0.00012141
     -0.00526754      -0.00080318
     -0.00290492       0.00046862
     -0.00341573      -0.00083628
      0.00056835       0.00085495
     -0.00196582      -0.00047629
     -0.00353285      -0.00019859
     -0.00043967      -0.00031385
     -0.00025057       0.00089428
     -0.01027420      -0.00100304
     -0.00062432      -0.00054024
     -0.00224472      -0.00060831
     -0.00208200      -0.00003822
     -0.00050843      -0.00033795
     -0.00032158      -0.00023479
     -0.00484611      -0.00040188
     -0.00187751      -0.00006973
     -0.00097633      -0.00012058
     -0.00617906       0.00017512
     -0.00111730       0.00021679
     -0.00161154      -0.00076982
     -0.00054530       0.00227839
     -0.00067783      -0.00042031
     -0.00096591      -0.00033664
     -0.00117706      -0.00055297
     -0.00628197      -0.00155925
     -0.00001545       0.00005364
     -0.00041306      -0.00020168
     -0.00055143      -0.00024673
     -0.00040704      -0.00021517
     -0.00104173      -0.00015775
     -0.00080982      -0.00037352
     -0.00053030       0.00016682
     -0.00597502      -0.00240992
     -0.00516861       0.00389160
     -0.00030008      -0.00006078
     -0.00684210      -0.00073689
     -0.00098265      -0.00029612
      0.00001591       0.00062036
     -0.00259329      -0.00060091
     -0.01192705       0.00017035
      0.00037444       0.00333464
      0.00006314       0.00035097
     -0.00480621       0.00090898
     -0.00045405       0.00003866
     -0.00256654      -0.00140753
     -0.00024063      -0.00004406
     -0.00195008      -0.00010266
      0.00014268       0.00026131
     -0.00918652      -0.00071971
     -0.00178186      -0.00022379
      0.00057562       0.00065339
     -0.00173902      -0.00013551
     -0.00067068      -0.00000268
     -0.00086217       0.00021408
      0.00194238       0.00231898
     -0.00432686      -0.00037417
     -0.00077697       0.00013657
     -0.00198659      -0.00001463
     -0.00473313      -0.00149828
     -0.00092559      -0.00062531
     -0.00029337      -0.00016155
     -0.00100159      -0.00034153
     -0.00044696      -0.00009185
     -0.00090454      -0.00038855
     -0.00023584       0.00003732
     -0.00306045      -0.00084904
     -0.00072677      -0.00025404
     -0.00040836       0.00006934
     -0.00017321       0.00025596
     -0.00022111      -0.00009530
     -0.00053474      -0.00003878
     -0.00059072       0.00013887
      0.00004058       0.00020084
     -0.00039423      -0.00018505
     -0.00039683      -0.00030893
     -0.00047126      -0.00037138
     -0.00087026      -0.00032477
     -0.00087213       0.00012361
     -0.00219757      -0.00087452
     -0.00060039       0.00004812
     -0.00082134       0.00004159
     -0.00236780      -0.00126067
     -0.00055963       0.00436945
     -0.00096280      -0.00044973
      0.00068270       0.00109195
     -0.00030449      -0.00018821
     -0.00057786       0.00055990
     -0.00175189      -0.00038240
     -0.00465741      -0.00078358
     -0.00007263       0.00033657
     -0.00058593       0.00013503
     -0.00064956       0.00008859
     -0.00028845      -0.00017162
     -0.00084499      -0.00005913
     -0.00020132      -0.00014224
     -0.00118450      -0.00050332
     -0.00580862      -0.00014041
     -0.00075009      -0.00037805
     -0.00071245      -0.00045894
      0.00049320       0.00230809
     -0.00031058      -0.00015718
     -0.00032196       0.00020228
     -0.00242160      -0.00008770
     -0.00247172      -0.00061356
      0.00017674       0.00506001
     -0.00279033      -0.00038815
     -0.00079241       0.00012254
     -0.00136998      -0.00021800
     -0.00519571      -0.00093340
      0.00087532       0.00363194
     -0.00021839       0.00002050
     -0.00022903      -0.00014219
     -0.00286488      -0.00040614
     -0.00139591       0.00050807
     -0.00035887       0.00016682
     -0.00705689      -0.00092298
     -0.00306941      -0.00053956
     -0.00422687       0.00026371
     -0.00123784       0.00035714
     -0.00248039      -0.00095853
     -0.00506222       0.00008742
     -0.00337897       0.00002875
     -0.00161891      -0.00067771
     -0.00280583      -0.00064597
     -0.00007530      -0.00000100
     -0.00112908       0.00013389
     -0.00125466      -0.00020619
     -0.00272846      -0.00055025
     -0.00031021       0.00002794
      0.00004098       0.00013245
     -0.00178733       0.00010678
     -0.00084648      -0.00046439
     -0.00352207       0.00022591
     -0.00044923      -0.00004960
      0.00013385       0.00027497
     -0.00052646      -0.00020939
     -0.00305088      -0.00056997
     -0.00035382       0.00388006
     -0.00036658      -0.00026387
     -0.00070778      -0.00054856
     -0.00129126       0.00001660
      0.00079858       0.00391358
     -0.00033469      -0.00004015
     -0.02428459      -0.00063144
     -0.00204224       0.00042555
     -0.00330172       0.00033058
     -0.00019410      -0.00015750
     -0.00222822      -0.00083327
     -0.00489999      -0.00085531
     -0.01123664      -0.00103249
     -0.00092958      -0.00041852
     -0.00041874      -0.00021529
     -0.00145741      -0.00019512
     -0.00284847      -0.00016355
      0.00029559       0.00055064
     -0.00021942      -0.00008403
     -0.00041504      -0.00032366
     -0.00072707       0.00007915
     -0.00261072      -0.00028076
     -0.00047019      -0.00038797
     -0.00317239      -0.00026307
     -0.00051641      -0.00015879
     -0.00122700      -0.00059844
     -0.00958688      -0.00148177
      0.00007402       0.00041749
     -0.00084264       0.00013564
     -0.00016290       0.00003244
     -0.00007228       0.00002356
     -0.00233535      -0.00007736
     -0.00968727      -0.00094774
     -0.00114530      -0.00026246
      0.00002809       0.00021394
     -0.00856599       0.00066332
     -0.00090211      -0.00080341
     -0.00073930      -0.00056172
     -0.00040306      -0.00014424
     -0.00514329       0.00125612
     -0.00385112      -0.00012491
     -0.00043290      -0.00002014
      0.00002306       0.00007922
     -0.00082924       0.00025520
      0.00045098       0.00052969
     -0.00065000      -0.00039753
     -0.00247348      -0.00061702
     -0.00076600      -0.00060168
     -0.00824588       0.00185746
     -0.00235724       0.00024462
     -0.00029707      -0.00019153
     -0.00034934       0.00010840
     -0.00026277      -0.00003670
     -0.00167059      -0.00008083
     -0.00040350      -0.00026543
     -0.00045292       0.00175677
     -0.00066860      -0.00052296
     -0.00196548       0.00305981
     -0.00022354       0.00005737
     -0.00226942      -0.00020869
     -0.00399178      -0.00057351
     -0.00122080      -0.00018599
     -0.00313185       0.00018419
     -0.00113458       0.00015699
     -0.00274762       0.00008276
     -0.00804843      -0.00116846
     -0.00075146      -0.00034111
     -0.00045902      -0.00038966
     -0.00020794      -0.00014445
     -0.00025007       0.00014677
     -0.00018108      -0.00004130
     -0.00287847       0.00048708
     -0.00029526       0.00384798
     -0.00050114      -0.00038077
     -0.00191993      -0.00022123
     -0.00088946      -0.00025514
     -0.00287269      -0.00018336
     -0.00091354      -0.00056620
     -0.00130265       0.00028321
     -0.00017077      -0.00004154
     -0.00113683       0.00004009
     -0.00288686      -0.00094543
     -0.00039499       0.00004518
     -0.00058480       0.00018883
     -0.00213206      -0.00011035
     -0.00847463      -0.00067989
      0.00044116       0.00061542
     -0.00130087      -0.00031463
     -0.00506491      -0.00030047
     -0.00202811      -0.00080002
     -0.00162332      -0.00010779
     -0.00068105      -0.00010030
     -0.00292297      -0.00059887
     -0.00115222      -0.00029302
     -0.00046220      -0.00032680
     -0.00040050      -0.00013140
     -0.00020463      -0.00006832
     -0.00020437       0.00015362
     -0.00364424      -0.00116600
     -0.00940011       0.00278563
      0.00037521       0.00044410
     -0.00958256      -0.00016819
     -0.00146423       0.00025749
     -0.00453824      -0.00007272
     -0.00017906      -0.00002706
     -0.00251693       0.00095695
     -0.00083070       0.00029622
     -0.00049080      -0.00008650
     -0.00061555       0.00019007
     -0.00375952      -0.00015142
     -0.00658641      -0.00006201
     -0.00681573      -0.00011245
     -0.00406209      -0.00040163
     -0.00123583      -0.00018569
     -0.00510871      -0.00052860
     -0.00035351      -0.00003458
     -0.00055763      -0.00024073
     -0.00470768      -0.00141120
     -0.00468137       0.00016438
     -0.00054915      -0.00045187
     -0.00053628      -0.00015073
     -0.00254350      -0.00002882
     -0.00425305      -0.00079602
     -0.01469917       0.00470182
     -0.00056624      -0.00046809
      0.00020043       0.00032604
     -0.00303208       0.00007905
     -0.00014141       0.00006016
     -0.00101604      -0.00045602
      0.00023117       0.00067768
     -0.00222426       0.00000637
      0.00003407       0.00067329
     -0.00178196      -0.00049429
     -0.00480646      -0.00027536
     -0.00127666      -0.00042293
     -0.00205106       0.00020116
     -0.00062802      -0.00018786
     -0.00622505      -0.00077012
     -0.00292339      -0.00140845
     -0.01225988      -0.00095058
     -0.00109441      -0.00000770
     -0.00044073      -0.00021939
     -0.00132542       0.00058701
     -0.00050682      -0.00020073
     -0.00134972      -0.00090016
      0.00073748       0.00083146
     -0.00205587      -0.00017147
     -0.00017682       0.00003508
      0.00020485       0.00042677
     -0.00037390      -0.00027881
     -0.00118934      -0.00017887
      0.00009154       0.00025498
     -0.00016678       0.00002664
     -0.01985569      -0.00003864
     -0.00086242       0.00002464
     -0.00254128       0.00011281
     -0.00737643       0.00014045
      0.00024712       0.00034420
     -0.00262312      -0.00023256
      0.00009209       0.00039570
     -0.00027906       0.00006713
     -0.00446592      -0.00101384
     -0.00030254      -0.00015819
     -0.00061732      -0.00051106
     -0.00007399      -0.00002201
     -0.00574549       0.00324055
