QM Energy	FF Energy
    -0.000816898    -0.000739666
     -0.00109572    -0.000980689
    -0.000134148    -0.000146507
    -0.000728484    -0.000704232
     -0.00104598    -0.000985788
    -0.000798454    -0.000746375
    -0.000612661    -0.000613853
     -0.00143132     -0.00134128
    -0.000970835    -0.000893217
     -8.1473e-05    -0.000115105
     -0.00150457     -0.00136937
    -0.000374197    -0.000411975
     -0.00193142     -0.00186754
     -9.2307e-05    -0.000104609
    -0.000953019    -0.000987303
    -0.000570111    -0.000591616
     -1.3874e-05    -1.87206e-05
    -0.000924498    -0.000775297
     -7.7981e-05    -8.31348e-05
     -4.2614e-05    -5.48484e-05
     -8.2017e-05     -0.00010809
    -0.000228295    -0.000251359
    -0.000110036    -0.000135936
    -0.000491601    -0.000528991
    -0.000775652    -0.000749968
     -1.5937e-05    -2.28297e-05
     -7.9898e-05    -9.60981e-05
     -0.00188705     -0.00189373
    -0.000238678    -0.000252158
    -0.000102158    -0.000140354
     -3.2292e-05    -3.92019e-05
      -0.0018854     -0.00193848
    -0.000179556    -0.000204342
     -5.9789e-05    -7.09405e-05
     -0.00010446     -0.00013884
     -1.0266e-05    -1.43918e-05
     -1.1383e-05    -1.47613e-05
     -0.00104032      -0.0011363
     -0.00142103     -0.00145532
    -0.000452881    -0.000476728
     -0.00154703     -0.00193986
    -0.000215318    -0.000285577
    -0.000727733    -0.000716709
      -8.343e-06    -1.27372e-05
     -0.00227099     -0.00258472
    -0.000105319    -0.000144462
    -0.000220557    -0.000266258
     -2.5003e-05    -3.40159e-05
      -8.075e-05    -8.27569e-05
     -4.4339e-05    -5.80488e-05
    -0.000376927    -0.000412864
    -0.000151562    -0.000178187
     -3.8903e-05    -4.55429e-05
     -9.9407e-05     -0.00011964
    -0.000433496    -0.000449553
     -6.8866e-05    -8.70428e-05
     -3.8698e-05    -5.88398e-05
     -7.1831e-05    -8.55133e-05
      -2.435e-05     -2.7128e-05
      -0.0010941     -0.00105199
     -3.6986e-05    -4.46359e-05
     -3.1942e-05    -4.18095e-05
     -3.3895e-05    -4.21959e-05
      -1.699e-06    -7.94572e-06
     -0.00010375    -0.000119407
    -0.000135522    -0.000146169
    -0.000938009    -0.000836705
     -0.00073976    -0.000690242
     -0.00050966    -0.000590349
     -4.1485e-05    -6.06317e-05
    -0.000253417     -0.00024849
    -0.000837456    -0.000916079
     -2.0764e-05    -2.68219e-05
    -0.000453976    -0.000530505
     -0.00194411     -0.00178071
     -1.6443e-05    -1.84442e-05
    -0.000291599    -0.000290444
    -0.000468489    -0.000465102
     -4.3433e-05    -5.48655e-05
     -2.1828e-05    -3.26164e-05
    -0.000951634    -0.000962658
    -0.000299558    -0.000306968
    -0.000197055    -0.000225669
     -0.00122211     -0.00114015
    -0.000282408    -0.000312077
    -0.000180547    -0.000178297
    -0.000544621    -0.000617337
     -4.5473e-05    -5.00846e-05
    -0.000128094     -0.00015715
    -0.000118787    -0.000124402
     -0.00106328    -0.000959893
     -1.4154e-05    -2.13912e-05
     -4.2231e-05    -4.99322e-05
     -7.2638e-05    -8.44233e-05
     -3.5133e-05    -4.44409e-05
     -0.00014014    -0.000178472
     -5.1929e-05    -6.86669e-05
    -0.000212487    -0.000243969
    -0.000991561     -0.00101447
     -0.00145328     -0.00141553
     -5.5487e-05    -8.05668e-05
     -0.00136889     -0.00128828
    -0.000137414    -0.000162254
    -0.000133082    -0.000177347
    -0.000305001    -0.000325071
     -0.00186683     -0.00198135
    -0.000442967    -0.000484355
     -4.2175e-05    -5.81304e-05
     -0.00109206     -0.00108854
     -9.1362e-05    -0.000109438
    -0.000251837     -0.00028941
     -5.6854e-05    -7.51989e-05
    -0.000568653    -0.000590713
     -2.0602e-05    -2.57673e-05
     -0.00199717     -0.00180735
    -0.000263892    -0.000280821
       -7.29e-06    -1.60906e-05
    -0.000445324    -0.000513177
    -0.000182432    -0.000213566
    -0.000229977     -0.00024457
     -3.6393e-05    -3.65533e-05
    -0.000887725    -0.000879528
    -0.000201027    -0.000237499
    -0.000431162    -0.000421311
    -0.000757149    -0.000850287
     -5.2493e-05    -5.13387e-05
      -1.673e-05    -2.54085e-05
    -0.000102011    -0.000115552
      -6.233e-05    -7.59904e-05
    -0.000104266    -0.000120716
     -6.1912e-05    -8.72126e-05
    -0.000439932    -0.000475711
     -6.7795e-05    -7.27698e-05
    -0.000104663    -0.000132022
     -6.7579e-05    -8.20838e-05
     -2.5644e-05    -3.21712e-05
    -0.000147472    -0.000177528
    -0.000108103    -0.000128012
      -1.136e-05    -1.81382e-05
     -2.6881e-05    -3.27884e-05
     -1.8239e-05     -2.4597e-05
      -1.567e-05    -2.07024e-05
    -0.000111965    -0.000137193
    -0.000207466    -0.000221761
    -0.000223386    -0.000243222
    -0.000108721    -0.000127951
    -0.000185514    -0.000207503
    -0.000244209    -0.000260218
    -0.000606453    -0.000549469
     -8.3248e-05    -9.50495e-05
     -6.8686e-05    -9.80097e-05
      -4.163e-05    -6.11391e-05
    -0.000199123    -0.000218932
    -0.000217421    -0.000230017
    -0.000658463    -0.000765276
     -8.0899e-05     -0.00010741
    -0.000199593    -0.000215371
    -0.000133476    -0.000145267
     -2.0788e-05    -2.55778e-05
    -0.000125044    -0.000147876
      -1.711e-05    -2.34799e-05
    -0.000101049    -0.000116662
     -0.00149003     -0.00140575
      -5.799e-05    -6.47165e-05
     -4.5709e-05    -5.60638e-05
    -0.000294714    -0.000342708
     -2.5029e-05    -3.18855e-05
    -0.000111789    -0.000132716
    -0.000841283    -0.000849587
    -0.000391019    -0.000470727
    -0.000731486    -0.000739465
    -0.000523055    -0.000594576
    -0.000188986     -0.00019851
    -0.000262725    -0.000292357
    -0.000874002    -0.000815694
    -0.000366502    -0.000315364
     -3.5469e-05    -4.67062e-05
      -9.746e-06    -1.70047e-05
    -0.000406788     -0.00038267
    -0.000534402    -0.000576486
     -0.00012446    -0.000139126
     -0.00109673     -0.00111512
    -0.000382706    -0.000406304
     -0.00084563    -0.000864071
    -0.000439771    -0.000457872
    -0.000281833    -0.000282019
     -0.00109701      -0.0011351
    -0.000881872    -0.000914549
     -0.00018865    -0.000201958
    -0.000379477    -0.000392867
      -9.385e-06    -1.49625e-05
    -0.000122352    -0.000153313
     -0.00014554    -0.000147296
    -0.000424219    -0.000458996
      -7.806e-05    -9.46147e-05
      -8.293e-06    -1.38448e-05
    -0.000408108    -0.000395297
     -6.2015e-05    -7.70979e-05
    -0.000828631    -0.000786405
     -6.3762e-05    -8.24046e-05
     -1.7692e-05    -2.50302e-05
     -7.4548e-05    -9.22716e-05
    -0.000563163    -0.000574608
    -0.000548698    -0.000462728
     -2.3149e-05      -2.941e-05
     -3.1689e-05    -3.31349e-05
    -0.000214025    -0.000241654
    -0.000397841    -0.000396071
     -6.5891e-05    -7.61165e-05
     -0.00328028     -0.00363143
     -0.00108597     -0.00113555
    -0.000790499    -0.000764871
     -1.3169e-05    -2.07803e-05
    -0.000281919    -0.000335547
    -0.000970208    -0.000975449
     -0.00193056     -0.00180822
     -8.2554e-05    -8.87918e-05
     -1.7612e-05    -2.31869e-05
    -0.000339936    -0.000357207
    -0.000426282    -0.000475285
     -3.6412e-05    -5.17268e-05
     -3.7457e-05    -5.16072e-05
     -1.4781e-05    -2.10785e-05
    -0.000216333    -0.000257475
    -0.000452847    -0.000497628
      -7.857e-06    -1.05199e-05
    -0.000525322    -0.000544907
     -5.6257e-05    -6.29905e-05
    -0.000128121    -0.000136314
     -0.00204231     -0.00194064
      -5.769e-05    -7.17462e-05
     -0.00019571    -0.000213187
     -3.0833e-05    -3.91642e-05
      -1.685e-05    -2.42124e-05
    -0.000652055    -0.000659943
     -0.00147545     -0.00141601
    -0.000137564    -0.000159341
     -3.4937e-05     -5.3355e-05
     -0.00196715     -0.00186393
     -1.3534e-05    -2.04595e-05
     -3.4472e-05    -3.73188e-05
     -6.5298e-05    -8.17356e-05
     -0.00132305     -0.00136615
    -0.000694835    -0.000729987
     -8.5509e-05    -0.000100591
     -1.0281e-05    -1.63997e-05
    -0.000281326    -0.000314333
     -1.2168e-05    -1.77286e-05
      -2.724e-05    -3.32217e-05
    -0.000438215     -0.00050709
     -2.1978e-05    -2.66575e-05
     -0.00145954     -0.00154992
    -0.000440955    -0.000462987
      -8.522e-06    -1.22139e-05
    -0.000106304    -0.000137405
     -3.9373e-05    -4.54976e-05
    -0.000284948    -0.000281939
     -1.7005e-05    -2.20107e-05
    -0.000218977    -0.000231597
     -2.2636e-05    -2.39386e-05
    -0.000803184    -0.000816455
     -4.2605e-05    -5.15202e-05
     -0.00024528    -0.000301446
    -0.000753071    -0.000764708
    -0.000255669    -0.000304197
      -0.0011128     -0.00105615
     -0.00025349    -0.000276929
    -0.000797878     -0.00080155
     -0.00162519     -0.00154925
     -5.0479e-05    -5.80458e-05
     -1.3087e-05    -1.78038e-05
     -1.6245e-05    -2.47652e-05
     -6.2836e-05    -7.09364e-05
      -2.913e-05    -4.21103e-05
    -0.000748152    -0.000722882
    -0.000509944    -0.000480403
     -1.8534e-05    -2.18325e-05
    -0.000285463     -0.00032814
    -0.000116306    -0.000139029
    -0.000618692    -0.000644146
     -7.1061e-05    -8.54536e-05
    -0.000317805    -0.000367387
     -3.3369e-05    -4.34733e-05
     -0.00023489    -0.000262595
    -0.000399811    -0.000375231
      -8.029e-05    -9.17141e-05
    -0.000128424    -0.000136801
    -0.000559064    -0.000609672
     -0.00141626     -0.00132293
     -2.8672e-05    -3.90051e-05
    -0.000155009    -0.000162173
     -0.00121437     -0.00126431
     -0.00020405    -0.000223532
    -0.000390226    -0.000434712
    -0.000140031    -0.000160556
    -0.000506647    -0.000528951
     -0.00017123    -0.000190867
     -2.4557e-05    -3.90655e-05
     -8.1457e-05    -0.000102175
     -4.8223e-05    -6.35699e-05
     -7.1356e-05    -8.33163e-05
    -0.000402792     -0.00044322
     -0.00150226     -0.00140562
      -1.138e-05    -2.10573e-05
     -0.00158705     -0.00154995
    -0.000435122     -0.00044734
     -0.00111433     -0.00112035
     -2.1983e-05    -2.76108e-05
    -0.000954188    -0.000990084
    -0.000229688    -0.000272399
