QM Energy	FF Energy
    -0.000231033    -0.000338563
    -0.000669931    -0.000733323
    -0.000279498    -0.000259927
    -0.000613292    -0.000628015
    -0.000521999    -0.000455343
    -0.000796421     -0.00099008
    -0.000300129    -0.000291068
    -0.000613098    -0.000613174
    -0.000425806    -0.000426901
    -0.000190269    -0.000202536
    -0.000947379     -0.00106232
    -0.000285675    -0.000341566
     -0.00132228     -0.00121853
    -0.000207226    -0.000207047
    -0.000641888    -0.000681816
    -0.000407083    -0.000504635
     -2.9402e-05    -3.10981e-05
    -0.000244017    -0.000367905
    -0.000183474    -0.000172317
    -0.000351119    -0.000311213
     -0.00014415    -0.000147825
     -7.2242e-05    -0.000129123
    -0.000219527    -0.000221461
    -0.000463829    -0.000493823
    -0.000645694    -0.000658819
     -3.3431e-05    -3.54022e-05
    -0.000249568    -0.000237022
     -0.00095087    -0.000894377
    -0.000137538    -0.000126731
     -9.3151e-05    -9.35315e-05
     -6.9083e-05    -7.02058e-05
      -0.0011572     -0.00129326
    -0.000111457    -0.000120062
     -4.1501e-05    -4.51094e-05
    -0.000234903    -0.000243444
     -7.8066e-05    -7.21881e-05
     -8.4011e-05    -7.41628e-05
    -0.000955133    -0.000963511
     -0.00092634     -0.00101451
    -0.000193668    -0.000231416
     -0.00135886     -0.00145502
    -0.000196161    -0.000232514
    -0.000353712    -0.000325507
     -8.9463e-05    -8.23586e-05
     -0.00174267     -0.00176067
    -0.000183737    -0.000184965
    -0.000147425    -0.000157854
    -0.000101273    -9.57195e-05
    -0.000184904     -0.00016785
      -5.128e-05    -4.71302e-05
    -0.000237404    -0.000279535
     -8.9071e-05    -0.000101277
    -0.000120114    -0.000110584
    -0.000221827    -0.000217761
    -0.000234419    -0.000315564
      -5.865e-05    -5.74526e-05
     -8.9278e-05    -9.40149e-05
    -0.000230182    -0.000217922
     -8.6124e-05    -7.97749e-05
    -0.000332251    -0.000463456
     -2.9697e-05    -3.09592e-05
     -9.3667e-05    -8.96684e-05
    -0.000112476    -0.000106243
     -0.00011862    -9.03774e-05
    -0.000248677    -0.000237116
    -0.000236263    -0.000244128
    -0.000569514     -0.00063708
    -0.000283657    -0.000349787
     -0.00059101    -0.000606137
      -6.552e-05    -7.15368e-05
    -0.000259351    -0.000279569
    -0.000646329    -0.000663172
    -0.000105085    -9.87499e-05
    -0.000329745     -0.00032133
     -0.00116011     -0.00101698
     -9.5654e-05    -8.47242e-05
    -0.000240381    -0.000263072
    -0.000169507    -0.000225702
     -6.2421e-05     -6.3253e-05
     -3.9348e-05    -4.02155e-05
    -0.000631945    -0.000651128
    -0.000319485     -0.00035656
    -0.000119131    -0.000138332
    -0.000465904     -0.00056305
    -0.000110648    -0.000156006
    -0.000303548    -0.000282537
    -0.000689242     -0.00070008
    -0.000147208    -0.000136741
    -0.000141319    -0.000147304
     -0.00022117    -0.000218367
    -0.000753663    -0.000728407
    -0.000102251    -9.49838e-05
     -3.0643e-05    -3.94477e-05
     -6.6694e-05    -7.48498e-05
     -5.5055e-05    -5.77594e-05
    -0.000163095    -0.000184231
    -0.000135797    -0.000132927
    -0.000150711     -0.00014379
    -0.000857395    -0.000793435
     -0.00116657     -0.00139959
     -5.2537e-05    -6.02681e-05
     -0.00113516     -0.00109226
    -0.000101317    -0.000126743
    -0.000214959     -0.00023526
    -0.000347373    -0.000365348
     -0.00102196    -0.000934563
    -0.000623212    -0.000685983
     -9.7688e-05    -9.61898e-05
     -0.00057618    -0.000688183
     -6.9411e-05    -8.97664e-05
    -0.000277178    -0.000330009
     -4.9764e-05    -5.11728e-05
    -0.000322649    -0.000354621
     -2.0004e-05    -2.05429e-05
      -0.0011762     -0.00120507
    -0.000236744    -0.000286185
     -9.2376e-05    -7.92402e-05
    -0.000406415    -0.000462163
    -0.000142885    -0.000160319
     -8.4864e-05    -0.000114267
    -0.000312409     -0.00026246
    -0.000551996    -0.000648123
    -0.000100838    -0.000122791
    -0.000162262    -0.000208492
    -0.000735476    -0.000748895
    -0.000140213    -0.000120239
       -2.96e-05    -3.33828e-05
    -0.000139612    -0.000151914
     -5.7424e-05     -6.4317e-05
    -0.000132163    -0.000141488
      -7.067e-05    -8.15521e-05
    -0.000348948    -0.000425065
    -0.000141866    -0.000137401
     -6.8729e-05    -7.67614e-05
    -0.000239568     -0.00022222
     -3.1594e-05    -3.37111e-05
    -0.000105626    -0.000103628
    -0.000147255    -0.000166377
    -0.000100979    -9.19491e-05
    -0.000110322    -0.000102739
     -9.7129e-05    -9.35089e-05
       -7.18e-05    -6.70664e-05
    -0.000135875    -0.000149541
     -8.2707e-05    -0.000107738
    -0.000297021     -0.00030707
     -4.6383e-05    -7.72034e-05
      -8.523e-05    -0.000112764
    -0.000332427    -0.000320771
    -0.000747957    -0.000908289
     -9.5164e-05    -0.000103542
    -0.000195613    -0.000192827
     -5.3596e-05    -5.71875e-05
     -0.00018325    -0.000210042
    -0.000332412    -0.000349898
    -0.000914943    -0.000943633
     -7.4661e-05    -8.80434e-05
    -0.000114951    -0.000107558
     -5.0761e-05    -7.65009e-05
     -4.0864e-05     -4.1911e-05
     -7.4834e-05     -0.00010356
     -2.6527e-05    -2.54807e-05
    -0.000142502    -0.000154279
    -0.000734568    -0.000701757
    -0.000122731     -0.00012218
    -0.000150635    -0.000141709
    -0.000441029    -0.000446484
     -7.9656e-05    -7.24085e-05
     -6.9269e-05    -7.80903e-05
    -0.000483626    -0.000461697
    -0.000463656    -0.000478479
    -0.000706647    -0.000865469
    -0.000473142    -0.000471798
     -7.4029e-05    -0.000101173
    -0.000160701    -0.000191244
    -0.000568649    -0.000646661
    -0.000534275    -0.000588797
     -7.4921e-05    -7.69345e-05
     -2.6749e-05    -2.75809e-05
    -0.000304276    -0.000349081
    -0.000289313    -0.000308032
     -6.9795e-05    -7.08598e-05
    -0.000738072     -0.00083265
    -0.000351782    -0.000395154
    -0.000471536    -0.000592851
     -0.00022838    -0.000240506
    -0.000305529    -0.000324254
    -0.000430668    -0.000542719
    -0.000443417    -0.000476098
    -0.000308134    -0.000303796
    -0.000416874    -0.000426374
     -1.9228e-05    -2.17218e-05
    -0.000363981    -0.000351323
    -0.000178071    -0.000194758
    -0.000372357    -0.000417054
    -0.000127602    -0.000125403
     -5.6714e-05    -5.34046e-05
    -0.000136775    -0.000208539
    -0.000167393     -0.00016328
     -0.00023069    -0.000362802
     -3.3266e-05    -5.61831e-05
    -0.000125329    -0.000113321
     -7.0575e-05    -7.54871e-05
    -0.000383272    -0.000441767
    -0.000669931    -0.000806896
     -4.3545e-05     -4.5032e-05
    -0.000129388    -0.000111804
     -8.0207e-05    -0.000138944
    -0.000582756    -0.000651906
     -5.2614e-05    -5.34571e-05
     -0.00299579     -0.00219203
    -0.000795111    -0.000717442
    -0.000550557    -0.000588395
     -3.1508e-05    -3.03552e-05
    -0.000296746    -0.000319481
    -0.000685785    -0.000677575
      -0.0011393     -0.00116948
    -0.000170001    -0.000162504
     -6.7128e-05    -6.28684e-05
    -0.000220634    -0.000248887
     -0.00065372    -0.000640717
     -5.6737e-05    -6.78344e-05
