QM Energy	FF Energy
    -0.000816898    -0.000694072
     -0.00109572    -0.000867409
    -0.000134148    -0.000129364
    -0.000728484    -0.000628745
     -0.00104598     -0.00099146
    -0.000798454    -0.000734892
    -0.000612661    -0.000610894
     -0.00143132     -0.00129653
    -0.000970835    -0.000880213
     -8.1473e-05    -0.000111612
     -0.00150457     -0.00141725
    -0.000374197    -0.000404359
     -0.00193142     -0.00179759
     -9.2307e-05    -9.62435e-05
    -0.000953019     -0.00102208
    -0.000570111    -0.000569966
     -1.3874e-05    -1.68767e-05
    -0.000924498    -0.000715978
     -7.7981e-05    -7.30419e-05
     -4.2614e-05    -5.09098e-05
     -8.2017e-05    -0.000102855
    -0.000228295    -0.000229474
    -0.000110036    -0.000133258
    -0.000491601    -0.000505463
    -0.000775652    -0.000665321
     -1.5937e-05    -2.07817e-05
     -7.9898e-05    -8.08789e-05
     -0.00188705     -0.00177979
    -0.000238678    -0.000245055
    -0.000102158     -0.00013643
     -3.2292e-05    -3.64027e-05
      -0.0018854      -0.0020007
    -0.000179556    -0.000199278
     -5.9789e-05      -6.663e-05
     -0.00010446    -0.000133781
     -1.0266e-05    -1.27241e-05
     -1.1383e-05    -1.28624e-05
     -0.00104032     -0.00116532
     -0.00142103     -0.00138532
    -0.000452881    -0.000456139
     -0.00154703      -0.0018708
    -0.000215318    -0.000286112
    -0.000727733    -0.000703578
      -8.343e-06    -1.07451e-05
     -0.00227099     -0.00273243
    -0.000105319    -0.000141731
    -0.000220557    -0.000258439
     -2.5003e-05    -3.10246e-05
      -8.075e-05    -6.92659e-05
     -4.4339e-05    -5.53702e-05
    -0.000376927    -0.000408491
    -0.000151562    -0.000170824
     -3.8903e-05    -4.19137e-05
     -9.9407e-05    -0.000102668
    -0.000433496    -0.000435452
     -6.8866e-05    -8.22844e-05
     -3.8698e-05    -5.48156e-05
     -7.1831e-05    -8.15912e-05
      -2.435e-05    -2.50513e-05
      -0.0010941      -0.0010042
     -3.6986e-05    -4.11526e-05
     -3.1942e-05    -3.83551e-05
     -3.3895e-05    -3.74039e-05
      -1.699e-06    -7.41837e-06
     -0.00010375    -0.000101741
    -0.000135522    -0.000134325
    -0.000938009    -0.000775336
     -0.00073976    -0.000664874
     -0.00050966    -0.000556483
     -4.1485e-05    -5.63655e-05
    -0.000253417    -0.000230812
    -0.000837456    -0.000917243
     -2.0764e-05    -2.27243e-05
    -0.000453976     -0.00053152
     -0.00194411      -0.0018372
     -1.6443e-05    -1.52217e-05
    -0.000291599    -0.000281821
    -0.000468489    -0.000441694
     -4.3433e-05    -5.23956e-05
     -2.1828e-05    -3.05114e-05
    -0.000951634    -0.000926739
    -0.000299558    -0.000276941
    -0.000197055    -0.000212739
     -0.00122211      -0.0010616
    -0.000282408    -0.000295488
    -0.000180547    -0.000148094
    -0.000544621    -0.000649855
     -4.5473e-05    -4.31008e-05
    -0.000128094    -0.000150735
    -0.000118787    -0.000111043
     -0.00106328    -0.000859922
     -1.4154e-05    -1.90966e-05
     -4.2231e-05     -4.6315e-05
     -7.2638e-05    -8.05846e-05
     -3.5133e-05    -4.10087e-05
     -0.00014014    -0.000171289
     -5.1929e-05    -6.38075e-05
    -0.000212487    -0.000238751
    -0.000991561     -0.00087691
     -0.00145328     -0.00156199
     -5.5487e-05    -7.57654e-05
     -0.00136889     -0.00135105
    -0.000137414    -0.000154331
    -0.000133082    -0.000177612
    -0.000305001    -0.000296988
     -0.00186683     -0.00190675
    -0.000442967    -0.000507564
     -4.2175e-05    -5.28671e-05
     -0.00109206     -0.00109339
     -9.1362e-05    -0.000102155
    -0.000251837    -0.000291845
     -5.6854e-05    -6.91993e-05
    -0.000568653    -0.000594244
     -2.0602e-05    -2.35427e-05
     -0.00199717      -0.0018503
    -0.000263892    -0.000264142
       -7.29e-06     -1.4907e-05
    -0.000445324    -0.000527686
