QM Energy	FF Energy
    -0.000231033    -0.000380426
    -0.000669931    -0.000696199
    -0.000279498    -0.000205413
    -0.000613292    -0.000557924
    -0.000521999    -0.000484268
    -0.000796421    -0.000788412
    -0.000300129    -0.000300928
    -0.000613098    -0.000672924
    -0.000425806    -0.000447237
    -0.000190269    -0.000167998
    -0.000947379     -0.00103633
    -0.000285675     -0.00032035
     -0.00132228      -0.0011894
    -0.000207226    -0.000169347
    -0.000641888    -0.000641596
    -0.000407083    -0.000468271
     -2.9402e-05    -2.97708e-05
    -0.000244017     -0.00039225
    -0.000183474    -0.000132818
    -0.000351119    -0.000213149
     -0.00014415    -0.000127722
     -7.2242e-05    -0.000149188
    -0.000219527    -0.000196892
    -0.000463829    -0.000462578
    -0.000645694    -0.000585775
     -3.3431e-05     -3.3906e-05
    -0.000249568     -0.00017799
     -0.00095087    -0.000934588
    -0.000137538    -0.000127531
     -9.3151e-05    -8.78862e-05
     -6.9083e-05    -6.20749e-05
      -0.0011572     -0.00130754
    -0.000111457    -0.000122815
     -4.1501e-05    -4.72353e-05
    -0.000234903    -0.000205284
     -7.8066e-05     -5.5225e-05
     -8.4011e-05    -5.77879e-05
    -0.000955133    -0.000877579
     -0.00092634    -0.000963837
    -0.000193668    -0.000263166
     -0.00135886     -0.00142776
    -0.000196161     -0.00023568
    -0.000353712    -0.000366517
     -8.9463e-05    -6.01751e-05
     -0.00174267     -0.00181052
    -0.000183737    -0.000160889
    -0.000147425    -0.000159444
    -0.000101273    -7.79439e-05
    -0.000184904    -0.000133957
      -5.128e-05     -4.3519e-05
    -0.000237404    -0.000276928
     -8.9071e-05    -0.000103017
    -0.000120114    -8.80179e-05
    -0.000221827    -0.000173794
    -0.000234419    -0.000308722
      -5.865e-05    -5.89568e-05
     -8.9278e-05    -8.85464e-05
    -0.000230182    -0.000183515
     -8.6124e-05    -6.96722e-05
    -0.000332251    -0.000500967
     -2.9697e-05    -3.25704e-05
     -9.3667e-05    -7.67968e-05
    -0.000112476    -9.10761e-05
     -0.00011862    -7.23095e-05
    -0.000248677    -0.000188714
    -0.000236263    -0.000210327
    -0.000569514    -0.000602949
    -0.000283657    -0.000370701
     -0.00059101    -0.000539653
      -6.552e-05    -6.67309e-05
    -0.000259351    -0.000252586
    -0.000646329    -0.000630187
    -0.000105085    -7.57122e-05
    -0.000329745    -0.000313419
     -0.00116011     -0.00103869
     -9.5654e-05    -6.08372e-05
    -0.000240381    -0.000255701
    -0.000169507    -0.000250418
     -6.2421e-05    -5.61523e-05
     -3.9348e-05    -3.91475e-05
    -0.000631945    -0.000607372
    -0.000319485    -0.000309484
    -0.000119131    -0.000148096
    -0.000465904    -0.000601707
    -0.000110648    -0.000173265
    -0.000303548     -0.00021673
    -0.000689242    -0.000595757
    -0.000147208    -0.000105943
    -0.000141319    -0.000140439
     -0.00022117    -0.000172766
    -0.000753663    -0.000671554
    -0.000102251    -7.11384e-05
     -3.0643e-05    -4.06608e-05
     -6.6694e-05    -7.11407e-05
     -5.5055e-05    -5.84926e-05
    -0.000163095    -0.000177939
    -0.000135797    -0.000114719
    -0.000150711    -0.000140473
    -0.000857395    -0.000713389
     -0.00116657     -0.00126523
     -5.2537e-05    -6.19062e-05
     -0.00113516     -0.00097534
    -0.000101317    -0.000126771
    -0.000214959    -0.000206253
    -0.000347373    -0.000316927
     -0.00102196     -0.00100473
    -0.000623212    -0.000567099
     -9.7688e-05    -8.14933e-05
     -0.00057618    -0.000684084
     -6.9411e-05    -9.18775e-05
    -0.000277178    -0.000296409
     -4.9764e-05    -5.52126e-05
    -0.000322649    -0.000341073
     -2.0004e-05    -2.04562e-05
      -0.0011762     -0.00121148
    -0.000236744    -0.000271437
     -9.2376e-05    -6.49643e-05
    -0.000406415    -0.000430636
    -0.000142885      -0.0001597
     -8.4864e-05    -0.000128472
    -0.000312409    -0.000185247
    -0.000551996    -0.000616379
    -0.000100838    -0.000137404
    -0.000162262    -0.000222504
    -0.000735476    -0.000671154
    -0.000140213    -9.52197e-05
       -2.96e-05    -3.50099e-05
    -0.000139612    -0.000140588
     -5.7424e-05     -6.4918e-05
    -0.000132163    -0.000126366
      -7.067e-05    -7.95382e-05
    -0.000348948    -0.000403001
    -0.000141866    -0.000120801
     -6.8729e-05    -8.50735e-05
    -0.000239568    -0.000172895
     -3.1594e-05    -3.13438e-05
    -0.000105626    -0.000108185
    -0.000147255    -0.000151236
    -0.000100979    -7.53176e-05
    -0.000110322    -8.40651e-05
     -9.7129e-05     -7.2398e-05
       -7.18e-05    -5.37928e-05
    -0.000135875    -0.000138622
     -8.2707e-05    -0.000120958
    -0.000297021     -0.00027178
     -4.6383e-05    -8.76963e-05
      -8.523e-05    -0.000117137
    -0.000332427    -0.000271902
    -0.000747957    -0.000695668
     -9.5164e-05    -0.000101729
    -0.000195613    -0.000158939
     -5.3596e-05    -5.27134e-05
     -0.00018325    -0.000192514
    -0.000332412    -0.000293707
    -0.000914943    -0.000781306
     -7.4661e-05    -8.73565e-05
    -0.000114951    -0.000112334
     -5.0761e-05    -8.16765e-05
     -4.0864e-05    -4.03565e-05
     -7.4834e-05    -0.000107142
     -2.6527e-05     -2.2907e-05
    -0.000142502    -0.000143307
    -0.000734568    -0.000738299
    -0.000122731    -0.000102409
    -0.000150635    -0.000113676
    -0.000441029    -0.000382047
     -7.9656e-05    -6.16485e-05
     -6.9269e-05    -8.02617e-05
    -0.000483626    -0.000461288
    -0.000463656    -0.000428708
    -0.000706647    -0.000724136
    -0.000473142    -0.000436032
     -7.4029e-05    -0.000109705
    -0.000160701    -0.000193892
    -0.000568649    -0.000604731
    -0.000534275    -0.000459745
     -7.4921e-05    -6.52098e-05
     -2.6749e-05    -2.82956e-05
    -0.000304276    -0.000329071
    -0.000289313    -0.000310365
     -6.9795e-05    -7.65558e-05
    -0.000738072    -0.000806401
    -0.000351782    -0.000357418
    -0.000471536    -0.000598046
     -0.00022838    -0.000256013
    -0.000305529    -0.000277214
    -0.000430668     -0.00057639
    -0.000443417     -0.00049661
    -0.000308134     -0.00024151
    -0.000416874    -0.000376567
     -1.9228e-05    -2.55035e-05
    -0.000363981    -0.000282518
    -0.000178071    -0.000174987
    -0.000372357    -0.000394043
    -0.000127602    -0.000101098
     -5.6714e-05    -4.39857e-05
    -0.000136775    -0.000219246
    -0.000167393    -0.000131615
     -0.00023069    -0.000391063
     -3.3266e-05    -6.71165e-05
    -0.000125329    -8.50991e-05
     -7.0575e-05    -7.57235e-05
    -0.000383272    -0.000415826
    -0.000669931    -0.000610233
     -4.3545e-05    -4.36282e-05
    -0.000129388    -8.39708e-05
     -8.0207e-05    -0.000155427
    -0.000582756    -0.000528837
     -5.2614e-05    -5.01127e-05
     -0.00299579     -0.00211385
    -0.000795111     -0.00067262
    -0.000550557    -0.000569392
     -3.1508e-05     -2.9224e-05
    -0.000296746    -0.000302541
    -0.000685785    -0.000642642
      -0.0011393     -0.00112529
    -0.000170001    -0.000136975
     -6.7128e-05    -5.60325e-05
    -0.000220634    -0.000244442
     -0.00065372    -0.000542927
     -5.6737e-05    -6.32642e-05
      -4.103e-05    -4.43849e-05
     -5.5701e-05    -4.64792e-05
    -0.000132549    -0.000155945
    -0.000340476     -0.00039127
     -5.4352e-05    -4.25305e-05
    -0.000445235    -0.000445755
    -0.000138577    -0.000112817
    -0.000177311    -0.000152891
     -0.00134431     -0.00132116
     -6.1938e-05    -6.77847e-05
     -6.6157e-05    -0.000127198
     -3.4432e-05    -3.57655e-05
     -4.6549e-05    -4.20406e-05
    -0.000322217    -0.000353361
    -0.000771613    -0.000956217
    -0.000149499    -0.000164257
     -4.9948e-05    -5.53003e-05
     -0.00110848    -0.000923749
     -8.2981e-05    -6.43716e-05
    -0.000128325    -8.33296e-05
     -5.8406e-05    -6.23676e-05
    -0.000980509    -0.000923319
    -0.000350143    -0.000434182
     -5.1375e-05    -6.57399e-05
     -2.1301e-05    -2.33762e-05
    -0.000142009    -0.000175342
     -3.3309e-05    -2.89818e-05
     -0.00012687    -9.13746e-05
    -0.000384001    -0.000418627
    -0.000119908    -8.42791e-05
     -0.00130813     -0.00132274
     -0.00010209    -0.000222463
     -5.1935e-05    -4.18038e-05
     -7.5129e-05    -0.000101793
    -0.000132616    -9.77242e-05
    -0.000226252    -0.000258366
     -8.4957e-05    -6.01406e-05
    -0.000502793    -0.000412351
     -8.0165e-05    -5.73789e-05
    -0.000765771    -0.000800857
    -0.000115384    -9.81994e-05
    -0.000454496    -0.000379149
    -0.000397437    -0.000491669
    -0.000233677    -0.000223535
    -0.000581383     -0.00052002
     -8.6307e-05    -0.000160077
    -0.000420708     -0.00042916
     -0.00106072     -0.00106378
    -0.000165792    -0.000125445
     -9.4462e-05    -6.62461e-05
     -4.0216e-05    -3.95695e-05
     -2.5025e-05    -5.00801e-05
     -3.1134e-05    -3.86694e-05
    -0.000254967    -0.000376237
     -0.00067083     -0.00063955
    -0.000106121    -7.10136e-05
    -0.000182396    -0.000232156
    -0.000117485    -0.000128126
    -0.000359866    -0.000383222
    -0.000205676    -0.000149197
    -0.000327021    -0.000310073
      -3.397e-05    -3.38309e-05
     -8.0416e-05    -0.000160048
    -0.000415289    -0.000344521
      -3.294e-05    -5.84264e-05
    -0.000239868    -0.000188803
    -0.000297636    -0.000356052
    -0.000819319    -0.000824258
     -4.2348e-05    -3.87236e-05
    -0.000157062    -0.000171474
    -0.000893314    -0.000863958
    -0.000300402    -0.000263519
    -0.000251078    -0.000265771
    -0.000101736    -0.000105551
    -0.000486949    -0.000456452
    -0.000199671     -0.00018966
     -7.3185e-05    -6.31852e-05
     -7.4697e-05     -6.7166e-05
     -5.1605e-05    -4.61325e-05
     -5.2077e-05    -5.68862e-05
    -0.000424521    -0.000438339
     -0.00111735     -0.00112437
     -8.2929e-05    -5.86082e-05
    -0.000795437    -0.000991796
    -0.000197912    -0.000219147
    -0.000636386    -0.000647518
     -3.2072e-05    -3.04154e-05
    -0.000840087    -0.000746389
    -0.000251064    -0.000239517
    -0.000123225    -0.000116903
    -0.000121751     -0.00011557
    -0.000312351    -0.000431399
    -0.000762589    -0.000750415
    -0.000655896    -0.000715786
    -0.000521618     -0.00062252
    -0.000198671     -0.00018877
    -0.000366676    -0.000528719
     -4.2489e-05    -4.76858e-05
     -6.7906e-05    -7.18816e-05
    -0.000602498    -0.000552717
     -0.00047804    -0.000546301
    -0.000108962    -6.95779e-05
     -7.4326e-05    -7.39667e-05
    -0.000436401    -0.000419404
    -0.000486426    -0.000471015
     -0.00155504      -0.0017965
    -0.000128513    -9.11186e-05
     -3.8662e-05    -3.26499e-05
    -0.000581369    -0.000537387
     -7.4225e-05    -6.90031e-05
    -0.000133389    -0.000125911
    -0.000192203    -0.000154623
    -0.000531105    -0.000499738
    -0.000147953    -0.000152805
    -0.000206058    -0.000213011
    -0.000456731    -0.000522538
    -0.000190357    -0.000179283
    -0.000121249    -0.000244155
    -0.000103174    -0.000106356
     -0.00060348    -0.000680067
    -0.000385148     -0.00032529
     -0.00146867     -0.00144701
    -0.000139518    -0.000156382
      -8.847e-05    -6.81136e-05
    -0.000218919    -0.000283548
    -0.000185539    -0.000131795
    -0.000212382    -0.000171827
     -6.9302e-05    -5.39228e-05
    -0.000269256    -0.000298495
    -0.000107009    -8.76987e-05
    -0.000133412    -9.84796e-05
     -8.0124e-05    -5.56963e-05
    -0.000270186    -0.000235277
    -0.000133486    -9.30508e-05
     -2.8066e-05    -3.42233e-05
     -0.00167349     -0.00160569
     -6.1207e-05    -0.000108933
    -0.000311607    -0.000344688
    -0.000670292    -0.000731565
     -5.1134e-05    -4.46704e-05
    -0.000462699    -0.000450869
    -0.000101716    -0.000109295
      -4.296e-05    -5.21061e-05
    -0.000744718     -0.00070636
     -4.5048e-05    -4.90794e-05
     -7.4416e-05    -6.76433e-05
      -4.823e-05    -4.38967e-05
      -0.0011515     -0.00114193
    -0.000716506    -0.000676539
     -0.00072212    -0.000731226
     -2.6889e-05    -3.49151e-05
    -0.000295321    -0.000436422
    -0.000537711    -0.000743636
    -0.000132519     -0.00012551
    -0.000363796    -0.000494347
    -0.000202576    -0.000211623
    -0.000119567    -0.000108762
    -0.000376929    -0.000246603
     -0.00127139     -0.00144827
    -0.000233268    -0.000203953
    -0.000176036    -0.000139347
     -9.6186e-05    -6.71199e-05
     -4.3664e-05     -7.7199e-05
    -0.000212621    -0.000173703
     -0.00131991     -0.00134264
    -0.000306421    -0.000415325
    -0.000381546    -0.000402652
      -7.729e-05    -6.15824e-05
     -1.9997e-05     -2.3345e-05
    -0.000241525    -0.000222394
    -0.000401104    -0.000352137
    -0.000373945    -0.000454292
    -0.000244865    -0.000209555
    -0.000121106    -7.85753e-05
     -0.00120767     -0.00124611
     -3.2546e-05    -3.09765e-05
    -0.000900854     -0.00094995
     -7.4968e-05    -0.000144324
     -5.4922e-05    -5.30371e-05
     -0.00129684     -0.00131417
     -7.0818e-05    -5.75205e-05
    -0.000296658    -0.000255676
    -0.000205805    -0.000363234
    -0.000518989    -0.000493604
    -0.000283699    -0.000336673
    -0.000584702    -0.000652214
    -0.000552054    -0.000538355
    -0.000125527    -9.31527e-05
     -9.6098e-05    -7.19258e-05
    -0.000654371    -0.000756619
    -0.000205453    -0.000243108
    -0.000158034    -0.000120238
    -0.000392417    -0.000382721
    -0.000442055    -0.000414639
    -0.000370514    -0.000505163
    -0.000403551    -0.000370596
     -6.0867e-05    -7.80596e-05
    -0.000173424     -0.00022567
    -0.000916161    -0.000822369
     -0.00109531     -0.00114692
    -0.000167039    -0.000118147
    -0.000934596     -0.00103031
     -5.9294e-05    -7.71524e-05
    -0.000296313    -0.000264982
     -0.00043917    -0.000391804
    -0.000329831    -0.000277872
    -0.000134961    -9.41304e-05
     -0.00102669    -0.000995467
     -3.7203e-05    -5.98357e-05
    -0.000115369    -9.76791e-05
    -0.000222359    -0.000200349
    -0.000112748    -0.000146229
    -0.000490322    -0.000551804
    -0.000525806    -0.000485649
    -0.000809073     -0.00084412
     -3.7182e-05    -4.17161e-05
     -3.4141e-05    -3.63286e-05
    -0.000855277    -0.000804576
    -0.000110165    -0.000134196
     -6.4689e-05    -7.98336e-05
     -0.00022894    -0.000274984
    -0.000108887    -7.65927e-05
    -0.000432561    -0.000376222
    -0.000102573    -0.000174953
    -0.000231112    -0.000244678
    -0.000329031     -0.00047421
     -6.0833e-05    -6.08857e-05
    -0.000255531    -0.000264616
     -0.00017591    -0.000149252
     -9.9964e-05    -0.000171609
     -9.1947e-05    -6.45588e-05
     -9.3801e-05    -9.90685e-05
    -0.000433017     -0.00032513
    -0.000252015    -0.000370011
     -7.8194e-05    -6.54506e-05
    -0.000295906    -0.000274736
    -0.000490147    -0.000451529
     -7.4395e-05    -9.40216e-05
     -1.8159e-05    -2.23759e-05
    -0.000288843    -0.000319709
    -0.000417406     -0.00046035
     -0.00129912     -0.00131911
     -4.5421e-05    -3.54141e-05
      -8.942e-05    -9.34739e-05
     -9.4538e-05     -0.00011756
     -2.7739e-05     -2.9554e-05
    -0.000138467    -0.000113221
     -0.00011595    -0.000111524
     -0.00104752    -0.000996737
    -0.000246224     -0.00028752
    -0.000703233    -0.000709371
    -0.000113114    -0.000109777
     -4.4651e-05    -4.61482e-05
    -0.000263295    -0.000363231
    -0.000300686    -0.000445879
     -0.00033101    -0.000345925
     -9.5728e-05    -0.000135134
    -0.000498517    -0.000492988
    -0.000265928    -0.000393639
    -0.000339412    -0.000425504
     -0.00020789     -0.00015044
    -0.000252306    -0.000348145
     -6.1465e-05    -4.75846e-05
    -0.000311679     -0.00033505
    -0.000281911    -0.000217846
     -3.8187e-05    -4.12899e-05
     -5.3879e-05    -4.53214e-05
     -7.8872e-05    -8.77423e-05
    -0.000116248    -8.94453e-05
    -0.000111761    -7.16013e-05
    -0.000120287    -8.41627e-05
     -0.00105196     -0.00107507
     -4.8151e-05    -5.08866e-05
      -0.0010623     -0.00100783
     -5.5382e-05    -0.000100567
     -8.1564e-05    -5.27934e-05
     -0.00117494     -0.00141074
    -0.000953179    -0.000974773
    -0.000438019    -0.000438155
    -0.000341104    -0.000323248
     -5.3727e-05    -6.06437e-05
    -0.000197508    -0.000165251
     -8.5279e-05    -6.19684e-05
    -0.000597725    -0.000544458
    -0.000274582    -0.000255415
     -3.6185e-05    -4.64481e-05
     -0.00122207     -0.00119642
    -0.000214841    -0.000173027
     -4.8217e-05    -3.85725e-05
    -0.000621628    -0.000575861
    -0.000125503    -0.000120111
     -6.9588e-05    -0.000133858
     -6.5299e-05    -5.91231e-05
     -6.2445e-05    -7.09359e-05
     -6.5594e-05    -6.39648e-05
    -0.000151423    -0.000107561
    -0.000542434    -0.000534108
    -0.000130253     -9.7704e-05
    -0.000209402    -0.000172884
     -7.8834e-05    -5.64547e-05
    -0.000273172    -0.000180185
     -0.00140878      -0.0014011
    -0.000443324    -0.000459963
     -0.00048651    -0.000468888
     -0.00075981    -0.000788871
     -2.5394e-05    -2.33494e-05
    -0.000156977    -0.000112438
     -0.00030797    -0.000322207
    -0.000246863    -0.000203451
    -0.000168666    -0.000112997
    -0.000289772    -0.000226375
     -7.6721e-05    -0.000112947
     -6.4444e-05    -8.58362e-05
    -0.000305789    -0.000271015
     -5.1479e-05    -5.50788e-05
      -4.202e-05     -4.9178e-05
     -9.6915e-05    -0.000137619
    -0.000461629    -0.000567387
     -6.9971e-05    -6.43318e-05
     -0.00129386     -0.00134262
     -9.0622e-05    -0.000151187
     -7.9212e-05    -8.11685e-05
    -0.000542785     -0.00046579
     -7.7306e-05     -9.6918e-05
    -0.000217827    -0.000184198
    -0.000143068    -0.000115863
    -0.000250103    -0.000258983
      -0.0010481    -0.000942742
     -3.1284e-05     -2.7359e-05
     -0.00026352    -0.000191678
     -4.1749e-05    -0.000104553
    -0.000366547    -0.000313696
    -0.000329883    -0.000467768
    -0.000110448    -7.63113e-05
    -0.000365458    -0.000363762
    -0.000437664    -0.000491624
     -8.0348e-05    -9.71376e-05
     -5.3797e-05     -5.4527e-05
    -0.000243717    -0.000337892
    -0.000286355    -0.000230982
    -0.000944122    -0.000986774
     -4.3067e-05    -3.03926e-05
     -0.00100885     -0.00102968
    -0.000703936    -0.000595667
     -6.4499e-05    -9.24724e-05
     -0.00063495    -0.000573182
     -9.9685e-05     -7.8912e-05
     -0.00148759     -0.00140653
     -0.00141858     -0.00146633
    -0.000232808    -0.000312045
     -8.7177e-05    -0.000154143
      -0.0010103     -0.00106624
    -0.000109967    -7.56358e-05
    -0.000504885     -0.00056954
     -5.7685e-05    -5.11539e-05
    -0.000389084     -0.00044553
     -0.00011319    -8.28596e-05
     -0.00013595    -0.000121895
     -4.0512e-05     -7.1794e-05
     -7.6556e-05    -6.73965e-05
    -0.000564055     -0.00064396
     -3.0747e-05    -3.23749e-05
    -0.000204398    -0.000182315
     -9.3982e-05    -6.48701e-05
     -0.00122158     -0.00107046
     -0.00026491    -0.000296871
    -0.000290076    -0.000234637
    -0.000191312    -0.000117097
     -0.00133334     -0.00109779
     -0.00012608    -0.000140558
    -0.000265061     -0.00023062
     -8.9017e-05    -0.000134874
     -0.00118418     -0.00112034
     -0.00136854     -0.00130665
     -3.4134e-05    -4.03692e-05
    -0.000115211    -0.000100543
