QM Energy	FF Energy
     -1.5829e-05    -2.20123e-05
     -3.6717e-05    -4.92045e-05
     -8.2198e-05    -0.000104963
     -0.00120484     -0.00112385
    -0.000391362    -0.000445791
     -3.5188e-05    -4.59829e-05
     -0.00126854     -0.00118965
     -5.9489e-05    -7.93689e-05
    -0.000430579    -0.000441901
    -0.000100449    -0.000119663
    -0.000116357    -0.000129145
    -0.000270544    -0.000305706
    -0.000121884    -0.000133363
     -0.00012053    -0.000145866
    -0.000298686    -0.000313191
     -1.8587e-05    -2.45679e-05
     -3.8709e-05    -5.07218e-05
     -6.1149e-05    -7.66261e-05
     -1.2897e-05    -1.77656e-05
     -0.00121529     -0.00121046
    -0.000314436    -0.000333406
      -0.0007301    -0.000785684
    -0.000813501     -0.00078258
    -0.000201884    -0.000225977
    -0.000401528    -0.000409581
     -0.00102556     -0.00105832
     -7.3034e-05    -8.95674e-05
     -3.1429e-05    -4.60302e-05
     -0.00019981    -0.000226761
    -0.000116761    -0.000148228
     -3.5953e-05    -4.73291e-05
     -6.9429e-05     -8.6697e-05
    -0.000604347    -0.000634152
     -0.00274594     -0.00319351
      -0.0010696     -0.00103753
    -0.000367132    -0.000387054
    -0.000170314    -0.000196269
      -3.354e-05     -4.0669e-05
    -0.000284779    -0.000336857
     -3.9992e-05    -5.25905e-05
    -0.000415367    -0.000451415
     -2.2214e-05    -3.06277e-05
     -0.00142297     -0.00140893
    -0.000507398     -0.00050977
     -0.00034374    -0.000353252
    -0.000821891    -0.000804221
    -0.000524837     -0.00053449
     -7.1467e-05    -8.72883e-05
     -0.00199325     -0.00213104
     -0.00108162     -0.00110789
     -1.3792e-05     -2.0277e-05
    -0.000983393    -0.000985673
    -0.000136857    -0.000154559
     -6.6763e-05    -9.10841e-05
    -0.000583502    -0.000584601
    -0.000695709    -0.000717107
    -0.000409076     -0.00042379
    -0.000133088    -0.000165268
    -0.000459367    -0.000478653
     -0.00178336     -0.00169453
      -2.826e-05    -4.15223e-05
     -0.00102562     -0.00103927
     -5.8338e-05    -8.15102e-05
       -0.001434     -0.00143677
    -0.000449677    -0.000455456
    -0.000322545    -0.000342712
     -0.00155416     -0.00146689
    -0.000246978     -0.00028299
     -3.2027e-05    -4.05901e-05
    -0.000604627    -0.000701706
     -6.7091e-05    -8.45596e-05
    -0.000704227    -0.000695412
     -0.00122749     -0.00111956
    -0.000686303    -0.000677948
    -0.000116049    -0.000138381
     -0.00053239    -0.000552457
     -3.2766e-05    -4.36851e-05
    -0.000658032    -0.000644303
     -9.4091e-05    -0.000123031
     -5.0286e-05    -7.74386e-05
    -0.000381627    -0.000401579
     -4.3605e-05    -5.82455e-05
    -0.000176006    -0.000228028
     -3.3227e-05    -4.20682e-05
    -0.000311746    -0.000330519
     -3.3977e-05    -4.71065e-05
     -0.00049147     -0.00049029
     -0.00106782     -0.00103562
    -0.000878112    -0.000887555
     -0.00105262     -0.00100305
    -0.000288788    -0.000334688
     -2.5789e-05    -3.95069e-05
     -5.7452e-05     -7.1259e-05
    -0.000919316    -0.000889968
    -0.000625228    -0.000618342
    -0.000253288    -0.000294496
     -0.00115308     -0.00123151
    -0.000677561    -0.000671672
     -4.0993e-05    -5.16875e-05
    -0.000127994    -0.000151466
    -0.000623388    -0.000582631
     -2.6369e-05    -3.64954e-05
     -2.5633e-05     -3.9338e-05
     -0.00106587     -0.00101274
    -0.000109523     -0.00012668
     -0.00120493     -0.00114478
     -3.7843e-05    -5.04292e-05
    -0.000626381    -0.000730409
    -0.000244937    -0.000284793
     -8.9116e-05    -0.000102528
    -0.000338216    -0.000365772
      -9.922e-05    -0.000120204
     -4.0353e-05    -5.49434e-05
     -1.1986e-05    -1.81739e-05
     -6.5668e-05    -8.10009e-05
     -0.00153538     -0.00144801
     -0.00152242     -0.00163598
     -8.9324e-05    -0.000108908
     -2.6172e-05    -4.32001e-05
    -0.000134159    -0.000179025
    -0.000152597    -0.000172749
     -0.00080287     -0.00084065
      -2.691e-05    -3.78275e-05
    -0.000510048     -0.00050026
     -1.7037e-05    -2.49442e-05
    -0.000264808     -0.00029455
     -2.4412e-05    -3.46594e-05
     -2.2183e-05    -2.82125e-05
       -0.000216    -0.000220122
    -0.000159298    -0.000190958
      -6.363e-05     -7.8965e-05
    -0.000238645    -0.000266971
     -3.6286e-05    -5.10142e-05
     -6.2518e-05    -7.80019e-05
    -0.000296653    -0.000336689
    -0.000170088    -0.000192858
     -1.4389e-05      -2.046e-05
     -0.00117599     -0.00115488
      -0.0002248    -0.000258904
     -1.3804e-05    -1.87535e-05
     -0.00122164     -0.00116093
     -4.7046e-05    -6.62542e-05
     -9.9556e-05    -0.000125817
     -4.3228e-05    -6.12352e-05
      -0.0012481     -0.00121118
    -0.000192989    -0.000205226
     -7.9685e-05    -9.33126e-05
    -0.000132874    -0.000162238
     -0.00010021    -0.000116463
     -2.7281e-05    -3.80173e-05
    -0.000696441    -0.000699464
     -2.0326e-05    -2.91399e-05
     -3.0501e-05    -4.33129e-05
     -0.00081375    -0.000862549
    -0.000328342    -0.000382385
     -2.6711e-05    -4.00404e-05
     -2.9315e-05    -4.10594e-05
    -0.000199191    -0.000218664
     -0.00117111     -0.00113296
    -0.000374616    -0.000416803
     -2.2784e-05    -3.14416e-05
    -0.000657417     -0.00065807
     -3.7195e-05    -4.96907e-05
     -0.00086389     -0.00093005
    -0.000211453    -0.000236058
     -1.9657e-05    -3.09146e-05
     -7.6014e-05    -9.84652e-05
     -6.1591e-05     -7.9886e-05
     -0.00143163     -0.00142072
      -0.0016424     -0.00155234
     -4.5991e-05    -6.41731e-05
     -6.6133e-05    -8.21185e-05
    -0.000630399    -0.000638504
    -0.000403701    -0.000408047
     -0.00174224     -0.00178013
     -9.6004e-05    -0.000114578
      -2.359e-05    -3.62194e-05
    -0.000329799     -0.00035955
    -0.000201508    -0.000241523
     -5.5016e-05     -7.0071e-05
     -0.00167029     -0.00161037
       -9.53e-05    -0.000119095
     -0.00031478    -0.000340964
    -0.000829723    -0.000806848
     -0.00136768     -0.00122951
    -0.000713509    -0.000623187
     -0.00234094     -0.00225327
    -0.000156665    -0.000179577
    -0.000406259    -0.000418953
     -0.00088398    -0.000948424
