QM Energy	FF Energy
      -5.148e-06    -9.08189e-06
      -1.139e-05    -1.99782e-05
     -2.5143e-05    -4.41183e-05
    -0.000438212    -0.000515273
     -0.00013181    -0.000186754
     -1.4171e-05    -1.92757e-05
    -0.000546884    -0.000523974
     -2.3008e-05    -3.04998e-05
    -0.000118959    -0.000193613
     -3.7996e-05     -4.8237e-05
     -3.7926e-05    -5.81732e-05
     -7.1605e-05    -0.000120799
     -2.9705e-05    -6.30167e-05
     -3.8594e-05     -6.4585e-05
    -0.000112017    -0.000131708
      -6.665e-06      -1.106e-05
     -1.3456e-05    -2.05038e-05
     -2.2889e-05    -3.12431e-05
       -4.08e-06    -8.75202e-06
    -0.000409257    -0.000583152
    -0.000115885    -0.000131437
    -0.000244708    -0.000349037
     -0.00024694    -0.000347913
     -8.4762e-05    -8.83105e-05
    -0.000120618    -0.000179657
    -0.000412158    -0.000477297
     -3.4276e-05    -3.35729e-05
     -1.1919e-05    -1.84113e-05
     -6.6683e-05    -8.94949e-05
     -4.1131e-05    -5.89359e-05
     -1.6157e-05     -1.8467e-05
     -3.4467e-05    -3.28149e-05
    -0.000190806    -0.000261696
      -0.0022601     -0.00169915
    -0.000460225    -0.000420857
     -0.00011577    -0.000153549
     -8.2439e-05    -7.44238e-05
     -1.0028e-05    -2.08787e-05
     -9.2723e-05    -0.000135601
     -2.2125e-05    -2.03479e-05
    -0.000136507     -0.00020291
     -1.1234e-05    -1.18137e-05
    -0.000691723    -0.000642648
    -0.000171838    -0.000209142
     -6.4334e-05    -0.000167054
    -0.000315925     -0.00034905
    -0.000204843    -0.000208508
     -2.8554e-05    -3.55245e-05
     -0.00101859      -0.0010008
    -0.000416938    -0.000456776
      -5.614e-06    -1.07289e-05
    -0.000282949    -0.000450829
     -3.6118e-05    -6.48836e-05
     -2.4492e-05    -3.54945e-05
    -0.000272432    -0.000228134
    -0.000241828    -0.000325051
    -0.000154805    -0.000176709
     -3.8129e-05    -7.26584e-05
    -0.000150529    -0.000194425
    -0.000884827    -0.000889879
     -1.1922e-05    -1.60479e-05
    -0.000393615    -0.000468547
     -2.1222e-05    -3.26117e-05
    -0.000640544    -0.000634858
    -0.000134499    -0.000190351
    -0.000110528    -0.000149489
    -0.000708095    -0.000668556
     -8.1936e-05    -0.000118929
     -1.1685e-05     -1.8232e-05
    -0.000183144    -0.000306465
