QM Energy	FF Energy
     -1.5829e-05    -2.20109e-05
     -3.6717e-05    -4.92256e-05
     -8.2198e-05    -0.000104978
     -0.00120484     -0.00112385
    -0.000391362    -0.000445775
     -3.5188e-05    -4.59813e-05
     -0.00126854     -0.00118968
     -5.9489e-05    -7.94059e-05
    -0.000430579    -0.000441932
    -0.000100449    -0.000119665
    -0.000116357     -0.00012913
    -0.000270544    -0.000305688
    -0.000121884     -0.00013337
     -0.00012053    -0.000145839
    -0.000298686     -0.00031307
     -1.8587e-05    -2.45872e-05
     -3.8709e-05    -5.07386e-05
     -6.1149e-05    -7.66214e-05
     -1.2897e-05    -1.78099e-05
     -0.00121529     -0.00121048
    -0.000314436    -0.000333402
      -0.0007301     -0.00078566
    -0.000813501     -0.00078242
    -0.000201884    -0.000225976
    -0.000401528    -0.000409628
     -0.00102556     -0.00105834
     -7.3034e-05    -8.95662e-05
     -3.1429e-05    -4.60198e-05
     -0.00019981    -0.000226788
    -0.000116761    -0.000148228
     -3.5953e-05    -4.73272e-05
     -6.9429e-05      -8.666e-05
    -0.000604347    -0.000634139
     -0.00274594     -0.00319348
      -0.0010696     -0.00103763
    -0.000367132     -0.00038705
    -0.000170314    -0.000196283
      -3.354e-05    -4.07111e-05
    -0.000284779    -0.000336882
     -3.9992e-05    -5.26131e-05
    -0.000415367    -0.000451403
     -2.2214e-05    -3.06362e-05
     -0.00142297     -0.00140891
    -0.000507398    -0.000509734
     -0.00034374    -0.000353233
    -0.000821891    -0.000804229
    -0.000524837    -0.000534503
     -7.1467e-05    -8.73182e-05
     -0.00199325     -0.00213108
     -0.00108162     -0.00110789
     -1.3792e-05    -2.02915e-05
    -0.000983393    -0.000985636
    -0.000136857     -0.00015457
     -6.6763e-05    -9.10707e-05
    -0.000583502    -0.000584612
    -0.000695709    -0.000717155
    -0.000409076    -0.000423855
    -0.000133088    -0.000165271
    -0.000459367    -0.000478585
     -0.00178336     -0.00169454
      -2.826e-05    -4.15245e-05
     -0.00102562     -0.00103936
     -5.8338e-05    -8.15053e-05
       -0.001434     -0.00143678
    -0.000449677     -0.00045548
    -0.000322545    -0.000342714
     -0.00155416     -0.00146686
    -0.000246978    -0.000283005
     -3.2027e-05    -4.06665e-05
    -0.000604627    -0.000701703
     -6.7091e-05    -8.45611e-05
    -0.000704227    -0.000695432
     -0.00122749     -0.00111958
    -0.000686303    -0.000677955
    -0.000116049    -0.000138357
     -0.00053239     -0.00055249
     -3.2766e-05    -4.37006e-05
    -0.000658032    -0.000644289
     -9.4091e-05    -0.000123023
     -5.0286e-05    -7.74474e-05
    -0.000381627    -0.000401623
     -4.3605e-05    -5.82423e-05
    -0.000176006    -0.000228037
     -3.3227e-05    -4.20808e-05
    -0.000311746    -0.000330519
     -3.3977e-05    -4.70857e-05
     -0.00049147    -0.000490686
     -0.00106782     -0.00103561
    -0.000878112    -0.000887516
     -0.00105262     -0.00100305
    -0.000288788    -0.000334694
     -2.5789e-05    -3.95116e-05
     -5.7452e-05    -7.12939e-05
    -0.000919316    -0.000890002
    -0.000625228    -0.000618327
    -0.000253288    -0.000294472
     -0.00115308     -0.00123146
    -0.000677561    -0.000671692
     -4.0993e-05    -5.16834e-05
    -0.000127994    -0.000151476
    -0.000623388     -0.00058246
     -2.6369e-05    -3.64589e-05
     -2.5633e-05    -3.93159e-05
     -0.00106587      -0.0010126
    -0.000109523    -0.000126686
     -0.00120493     -0.00114483
     -3.7843e-05    -5.04325e-05
    -0.000626381    -0.000730419
