QM Energy	FF Energy
      -5.148e-06    -9.08434e-06
      -1.139e-05    -1.99797e-05
     -2.5143e-05    -4.41131e-05
    -0.000438212    -0.000515271
     -0.00013181    -0.000186752
     -1.4171e-05    -1.92754e-05
    -0.000546884     -0.00052397
     -2.3008e-05    -3.04999e-05
    -0.000118959    -0.000193631
     -3.7996e-05    -4.82369e-05
     -3.7926e-05     -5.8161e-05
     -7.1605e-05    -0.000120805
     -2.9705e-05    -6.30166e-05
     -3.8594e-05    -6.45751e-05
    -0.000112017    -0.000131708
      -6.665e-06    -1.10592e-05
     -1.3456e-05    -2.05041e-05
     -2.2889e-05    -3.12418e-05
       -4.08e-06    -8.75177e-06
    -0.000409257    -0.000583074
    -0.000115885    -0.000131436
    -0.000244708    -0.000349037
     -0.00024694     -0.00034787
     -8.4762e-05     -8.8313e-05
    -0.000120618    -0.000179657
    -0.000412158     -0.00047729
     -3.4276e-05    -3.35753e-05
     -1.1919e-05    -1.84109e-05
     -6.6683e-05    -8.94913e-05
     -4.1131e-05    -5.89366e-05
     -1.6157e-05     -1.8477e-05
     -3.4467e-05    -3.28077e-05
    -0.000190806    -0.000261688
      -0.0022601     -0.00169912
    -0.000460225    -0.000420873
     -0.00011577    -0.000153551
     -8.2439e-05    -7.44207e-05
     -1.0028e-05    -2.08774e-05
     -9.2723e-05    -0.000135616
     -2.2125e-05    -2.03471e-05
    -0.000136507     -0.00020291
     -1.1234e-05    -1.18132e-05
    -0.000691723    -0.000642641
    -0.000171838    -0.000209141
     -6.4334e-05     -0.00016705
    -0.000315925    -0.000349045
    -0.000204843    -0.000208508
     -2.8554e-05    -3.55319e-05
     -0.00101859     -0.00100076
    -0.000416938    -0.000456776
      -5.614e-06    -1.07285e-05
    -0.000282949     -0.00045082
     -3.6118e-05    -6.48863e-05
     -2.4492e-05    -3.54946e-05
    -0.000272432    -0.000228131
    -0.000241828    -0.000325047
    -0.000154805    -0.000176703
     -3.8129e-05    -7.26593e-05
    -0.000150529    -0.000194425
    -0.000884827     -0.00088987
     -1.1922e-05    -1.60363e-05
    -0.000393615    -0.000468552
     -2.1222e-05    -3.26129e-05
    -0.000640544    -0.000634854
    -0.000134499    -0.000190356
    -0.000110528    -0.000149496
    -0.000708095    -0.000668554
     -8.1936e-05    -0.000118938
     -1.1685e-05    -1.82327e-05
    -0.000183144    -0.000306465
     -2.1351e-05    -3.50198e-05
    -0.000297079    -0.000270554
    -0.000496306    -0.000488437
    -0.000280737    -0.000264835
     -5.6576e-05    -5.25263e-05
    -0.000181938    -0.000231564
     -1.4392e-05    -1.66294e-05
    -0.000277491    -0.000256158
     -2.6228e-05    -5.50195e-05
     -1.8774e-05     -3.1173e-05
    -0.000117729    -0.000169208
     -2.0713e-05    -2.20452e-05
     -5.8464e-05    -9.30709e-05
      -9.655e-06    -1.90523e-05
    -0.000119177    -0.000132622
     -1.2855e-05    -2.10491e-05
    -0.000199336    -0.000199222
    -0.000504981    -0.000415387
    -0.000346145    -0.000399325
      -0.0005013    -0.000397753
      -9.717e-05    -0.000140733
      -9.772e-06    -1.62789e-05
     -1.9717e-05    -2.74818e-05
    -0.000412853    -0.000354234
     -0.00025872    -0.000243627
     -7.4529e-05    -0.000125544
    -0.000438078    -0.000568253
    -0.000273347     -0.00027115
      -8.204e-06    -2.50566e-05
     -6.7501e-05    -5.77051e-05
    -0.000151254    -0.000293557
     -1.1922e-05    -1.38515e-05
      -9.174e-06    -1.54357e-05
    -0.000323844    -0.000476491
     -2.9275e-05    -5.41282e-05
    -0.000604586    -0.000462303
     -1.4275e-05    -1.92334e-05
    -0.000204475    -0.000309244
     -8.2562e-05    -0.000123325
     -2.2389e-05     -4.6741e-05
    -0.000115895    -0.000161095
     -3.2804e-05    -4.72693e-05
     -1.5528e-05    -2.11174e-05
      -3.743e-06    -7.63647e-06
     -1.7214e-05    -3.52169e-05
    -0.000611497    -0.000696671
     -0.00060293    -0.000736345
     -3.3219e-05    -4.46591e-05
      -9.145e-06    -1.73418e-05
     -5.1727e-05    -7.24621e-05
     -4.1689e-05    -7.07413e-05
     -0.00031304    -0.000333125
      -9.327e-06    -1.48464e-05
     -0.00011591    -0.000248205
      -6.172e-06    -1.00121e-05
     -6.1725e-05    -0.000122715
      -9.087e-06    -1.33955e-05
      -8.599e-06    -1.44397e-05
     -5.9388e-05    -0.000104917
     -7.2401e-05    -7.37138e-05
      -2.381e-05    -3.10656e-05
     -6.3802e-05    -0.000114549
     -1.2034e-05    -2.28273e-05
      -2.966e-05    -2.91543e-05
     -0.00010913    -0.000141078
     -3.7405e-05    -8.13385e-05
      -4.159e-06     -8.7331e-06
    -0.000412626    -0.000550356
     -6.4855e-05    -0.000115249
      -5.766e-06    -8.63101e-06
    -0.000489112    -0.000499362
     -1.8561e-05    -2.59872e-05
     -3.9675e-05     -4.9575e-05
     -1.1688e-05    -2.56969e-05
    -0.000528256    -0.000521553
     -6.3669e-05     -9.0415e-05
     -3.1007e-05    -3.94738e-05
     -3.4175e-05     -7.3998e-05
     -3.2845e-05    -4.78889e-05
     -1.1248e-05    -1.48724e-05
    -0.000306655     -0.00028171
      -7.443e-06    -1.41609e-05
     -1.1838e-05    -1.86199e-05
    -0.000327256     -0.00035594
    -0.000115115    -0.000158189
     -1.1317e-05    -1.57006e-05
       -9.61e-06    -1.75205e-05
     -3.7468e-05    -9.72406e-05
    -0.000441588    -0.000494365
    -0.000132305    -0.000170398
     -1.0098e-05    -1.17913e-05
    -0.000172014    -0.000288046
       -1.08e-05    -2.13868e-05
    -0.000374506    -0.000388612
      -5.126e-05    -9.70425e-05
