QM Energy	FF Energy
     -1.5829e-05    -2.19855e-05
     -3.6717e-05    -4.92281e-05
     -8.2198e-05    -0.000104973
     -0.00120484     -0.00112385
    -0.000391362    -0.000445777
     -3.5188e-05    -4.59837e-05
     -0.00126854     -0.00118966
     -5.9489e-05    -7.94219e-05
    -0.000430579    -0.000441956
    -0.000100449    -0.000119656
    -0.000116357    -0.000129138
    -0.000270544      -0.0003057
    -0.000121884     -0.00013335
     -0.00012053    -0.000145835
    -0.000298686    -0.000313167
     -1.8587e-05    -2.45832e-05
     -3.8709e-05    -5.06852e-05
     -6.1149e-05    -7.66149e-05
     -1.2897e-05    -1.77994e-05
     -0.00121529     -0.00121046
    -0.000314436    -0.000333264
      -0.0007301    -0.000785677
    -0.000813501    -0.000782473
    -0.000201884    -0.000225981
    -0.000401528    -0.000409581
     -0.00102556     -0.00105831
     -7.3034e-05    -8.95653e-05
     -3.1429e-05    -4.60261e-05
     -0.00019981    -0.000226745
    -0.000116761    -0.000148226
     -3.5953e-05    -4.73259e-05
     -6.9429e-05    -8.67086e-05
    -0.000604347    -0.000634072
     -0.00274594     -0.00319349
      -0.0010696     -0.00103755
    -0.000367132    -0.000387039
    -0.000170314    -0.000196248
      -3.354e-05    -4.06985e-05
    -0.000284779    -0.000336882
     -3.9992e-05    -5.26111e-05
    -0.000415367    -0.000451401
     -2.2214e-05    -3.06322e-05
     -0.00142297     -0.00140882
    -0.000507398    -0.000509803
     -0.00034374      -0.0003533
    -0.000821891    -0.000804218
    -0.000524837    -0.000534397
     -7.1467e-05    -8.73182e-05
     -0.00199325     -0.00213105
     -0.00108162      -0.0011079
     -1.3792e-05     -2.0272e-05
    -0.000983393    -0.000985632
    -0.000136857     -0.00015458
     -6.6763e-05    -9.10864e-05
    -0.000583502    -0.000584593
    -0.000695709    -0.000717146
    -0.000409076    -0.000423843
    -0.000133088    -0.000165286
    -0.000459367    -0.000478643
     -0.00178336     -0.00169451
      -2.826e-05    -4.15041e-05
     -0.00102562     -0.00103929
     -5.8338e-05    -8.14773e-05
       -0.001434     -0.00143671
    -0.000449677    -0.000455434
    -0.000322545    -0.000342706
     -0.00155416     -0.00146688
    -0.000246978    -0.000283003
     -3.2027e-05    -4.06463e-05
    -0.000604627    -0.000701753
     -6.7091e-05    -8.45611e-05
    -0.000704227    -0.000695435
     -0.00122749     -0.00111952
    -0.000686303     -0.00067794
    -0.000116049    -0.000138379
     -0.00053239    -0.000552456
     -3.2766e-05      -4.368e-05
    -0.000658032    -0.000644304
     -9.4091e-05     -0.00012303
     -5.0286e-05    -7.74471e-05
    -0.000381627     -0.00040162
     -4.3605e-05    -5.82517e-05
    -0.000176006    -0.000227994
     -3.3227e-05    -4.20829e-05
    -0.000311746    -0.000330507
     -3.3977e-05    -4.70967e-05
     -0.00049147     -0.00049068
     -0.00106782     -0.00103562
    -0.000878112    -0.000887474
     -0.00105262     -0.00100305
    -0.000288788    -0.000334692
     -2.5789e-05    -3.95042e-05
     -5.7452e-05    -7.12976e-05
    -0.000919316    -0.000890016
    -0.000625228    -0.000618331
    -0.000253288    -0.000294488
     -0.00115308     -0.00123148
    -0.000677561    -0.000671666
     -4.0993e-05    -5.16912e-05
    -0.000127994    -0.000151461
    -0.000623388      -0.0005826
     -2.6369e-05    -3.64824e-05
     -2.5633e-05    -3.92834e-05
     -0.00106587     -0.00101272
    -0.000109523     -0.00012668
     -0.00120493      -0.0011449
     -3.7843e-05    -5.04276e-05
    -0.000626381    -0.000730404
    -0.000244937    -0.000284796
     -8.9116e-05    -0.000102527
    -0.000338216    -0.000365729
      -9.922e-05    -0.000120234
     -4.0353e-05    -5.49245e-05
     -1.1986e-05    -1.81405e-05
     -6.5668e-05    -8.10486e-05
     -0.00153538     -0.00144801
     -0.00152242     -0.00163597
     -8.9324e-05    -0.000108901
     -2.6172e-05    -4.31302e-05
    -0.000134159    -0.000179028
    -0.000152597    -0.000172758
     -0.00080287    -0.000840632
      -2.691e-05    -3.78557e-05
    -0.000510048    -0.000500266
     -1.7037e-05    -2.49566e-05
    -0.000264808     -0.00029453
     -2.4412e-05    -3.46666e-05
     -2.2183e-05    -2.82148e-05
       -0.000216    -0.000220127
    -0.000159298    -0.000190978
      -6.363e-05     -7.8958e-05
    -0.000238645    -0.000266981
     -3.6286e-05    -5.10121e-05
     -6.2518e-05     -7.7966e-05
    -0.000296653    -0.000336671
    -0.000170088     -0.00019285
     -1.4389e-05    -2.04465e-05
     -0.00117599     -0.00115487
      -0.0002248    -0.000258876
     -1.3804e-05    -1.87517e-05
     -0.00122164     -0.00116094
     -4.7046e-05    -6.62393e-05
     -9.9556e-05    -0.000125817
     -4.3228e-05    -6.12406e-05
      -0.0012481     -0.00121119
    -0.000192989    -0.000205217
     -7.9685e-05    -9.33312e-05
    -0.000132874    -0.000162251
     -0.00010021    -0.000116441
     -2.7281e-05    -3.80245e-05
    -0.000696441    -0.000699466
     -2.0326e-05    -2.91454e-05
     -3.0501e-05    -4.33448e-05
     -0.00081375     -0.00086254
    -0.000328342    -0.000382418
     -2.6711e-05    -4.00453e-05
     -2.9315e-05    -4.10543e-05
    -0.000199191    -0.000218647
     -0.00117111     -0.00113297
    -0.000374616    -0.000416793
     -2.2784e-05     -3.1402e-05
    -0.000657417    -0.000658052
     -3.7195e-05    -4.96888e-05
