QM Energy	FF Energy
     -9.6248e-05    -8.26288e-05
    -0.000227992    -0.000224038
    -0.000471836     -0.00044702
     -0.00543676     -0.00505943
     -0.00177988     -0.00188689
    -0.000211214    -0.000204318
     -0.00607892     -0.00564337
     -0.00025937    -0.000285574
     -0.00220611     -0.00219089
    -0.000497245    -0.000475921
    -0.000621992     -0.00062111
     -0.00114264     -0.00105397
    -0.000687527    -0.000650167
     -0.00066722    -0.000699296
     -0.00125415     -0.00125332
    -0.000114786    -0.000107178
    -0.000212743     -0.00018912
    -0.000304647    -0.000295077
     -8.6102e-05    -8.42636e-05
     -0.00757532     -0.00668369
     -0.00128852     -0.00121756
     -0.00382988      -0.0040261
     -0.00360938     -0.00334031
    -0.000745622    -0.000753546
     -0.00197958     -0.00198171
     -0.00484778      -0.0054697
    -0.000178112    -0.000182264
    -0.000162031    -0.000177916
    -0.000815862    -0.000805719
    -0.000483831    -0.000497505
    -0.000140454    -0.000134766
    -0.000164023    -0.000180718
     -0.00271211     -0.00265211
      -0.0216237      -0.0214084
     -0.00419125     -0.00405176
     -0.00147602     -0.00137914
     -0.00047749    -0.000525543
    -0.000218637    -0.000217256
     -0.00126419     -0.00133849
     -8.4081e-05     -9.7319e-05
     -0.00208138     -0.00230112
     -7.2117e-05    -7.32814e-05
     -0.00660721     -0.00698314
     -0.00227594     -0.00217247
     -0.00188243      -0.0016413
     -0.00345987     -0.00339786
     -0.00189471     -0.00187021
     -0.00032976    -0.000328422
      -0.0111296      -0.0115667
     -0.00448328     -0.00453788
     -0.00011092    -0.000117415
     -0.00495652     -0.00472662
    -0.000578848    -0.000520125
    -0.000323702    -0.000361966
     -0.00165857     -0.00176698
     -0.00343329      -0.0036717
     -0.00173559     -0.00174071
    -0.000704404    -0.000743947
     -0.00217318     -0.00201564
      -0.0104382      -0.0110251
    -0.000118491    -0.000130006
     -0.00493222     -0.00517837
    -0.000265342    -0.000283378
     -0.00742501     -0.00723078
     -0.00224313     -0.00207876
     -0.00160274     -0.00166669
     -0.00757964     -0.00697035
     -0.00121476     -0.00129604
    -0.000205612    -0.000192991
     -0.00323414     -0.00351614
    -0.000275993    -0.000262119
     -0.00246983     -0.00242713
     -0.00541568     -0.00521033
     -0.00231748     -0.00225563
    -0.000324636    -0.000353447
     -0.00232716     -0.00227554
    -0.000104127     -0.00010584
     -0.00220667     -0.00224344
    -0.000547563    -0.000535287
    -0.000263946    -0.000325073
     -0.00190103     -0.00175268
    -0.000150638    -0.000161886
    -0.000914713    -0.000987387
     -0.00022044    -0.000201303
     -0.00122297     -0.00118222
    -0.000204906      -0.0002204
     -0.00180317     -0.00183326
     -0.00340182     -0.00359534
     -0.00411966     -0.00455495
     -0.00317511     -0.00328417
     -0.00130251     -0.00137229
     -0.00016319     -0.00018671
    -0.000287713    -0.000266675
     -0.00320747     -0.00325297
     -0.00199685     -0.00197169
     -0.00124505     -0.00127271
     -0.00661305     -0.00685092
     -0.00263113     -0.00262338
    -0.000245593    -0.000210509
    -0.000277575    -0.000322767
     -0.00323015     -0.00320391
      -0.0001172    -0.000112468
    -0.000119851    -0.000139296
     -0.00561092     -0.00509133
    -0.000621752    -0.000545098
     -0.00345552     -0.00384124
    -0.000193633    -0.000184231
     -0.00318746     -0.00334564
     -0.00124732     -0.00136967
    -0.000510824    -0.000449349
     -0.00165442     -0.00177007
    -0.000493287    -0.000467151
    -0.000219495    -0.000216445
     -8.6823e-05    -8.39537e-05
    -0.000349357    -0.000327603
     -0.00684713     -0.00716425
      -0.0073312     -0.00796265
    -0.000438247    -0.000435491
    -0.000146434    -0.000174407
    -0.000615852    -0.000682923
    -0.000628797    -0.000567238
     -0.00287248     -0.00298982
    -0.000130661    -0.000139532
     -0.00278742     -0.00280794
    -0.000123653    -0.000114105
     -0.00127978     -0.00123912
    -0.000155197    -0.000137165
    -0.000158029    -0.000164972
     -0.00100692    -0.000964597
    -0.000513345    -0.000581394
     -0.00029805    -0.000286688
     -0.00107019     -0.00103046
    -0.000198679    -0.000193787
    -0.000174473    -0.000181428
     -0.00117874     -0.00122497
    -0.000930526    -0.000825877
     -8.2246e-05    -6.90445e-05
     -0.00604945     -0.00627913
     -0.00118369     -0.00120758
    -0.000108158    -0.000105027
     -0.00591065     -0.00525268
    -0.000239033    -0.000263522
    -0.000374693    -0.000378261
    -0.000227947    -0.000241772
     -0.00612735     -0.00548723
    -0.000933839     -0.00094599
    -0.000384222    -0.000392799
    -0.000744445    -0.000720084
    -0.000547998     -0.00050852
    -0.000106544    -0.000108213
     -0.00231913      -0.0024291
    -0.000128229    -0.000128314
    -0.000204544    -0.000217476
     -0.00315913     -0.00349231
     -0.00153246     -0.00157681
    -0.000133795    -0.000155093
    -0.000210152    -0.000207394
