QM Energy	FF Energy
      -5.148e-06     -9.0784e-06
      -1.139e-05    -1.99776e-05
     -2.5143e-05    -4.41183e-05
    -0.000438212     -0.00051527
     -0.00013181    -0.000186753
     -1.4171e-05    -1.92753e-05
    -0.000546884    -0.000523975
     -2.3008e-05    -3.04998e-05
    -0.000118959    -0.000193548
     -3.7996e-05    -4.82372e-05
     -3.7926e-05    -5.81433e-05
     -7.1605e-05    -0.000120807
     -2.9705e-05    -6.30121e-05
     -3.8594e-05    -6.45845e-05
    -0.000112017    -0.000131705
      -6.665e-06    -1.10596e-05
     -1.3456e-05    -2.04993e-05
     -2.2889e-05    -3.12439e-05
       -4.08e-06    -8.74862e-06
    -0.000409257    -0.000583239
    -0.000115885    -0.000131432
    -0.000244708    -0.000349035
     -0.00024694    -0.000347918
     -8.4762e-05    -8.83133e-05
    -0.000120618    -0.000179658
    -0.000412158    -0.000477296
     -3.4276e-05    -3.35754e-05
     -1.1919e-05    -1.84098e-05
     -6.6683e-05    -8.94955e-05
     -4.1131e-05    -5.89369e-05
     -1.6157e-05    -1.84775e-05
     -3.4467e-05    -3.28141e-05
    -0.000190806    -0.000261687
      -0.0022601      -0.0016992
    -0.000460225    -0.000420861
     -0.00011577    -0.000153551
     -8.2439e-05    -7.44229e-05
     -1.0028e-05    -2.08778e-05
     -9.2723e-05    -0.000135618
     -2.2125e-05    -2.03462e-05
    -0.000136507    -0.000202909
     -1.1234e-05    -1.18138e-05
    -0.000691723    -0.000642647
    -0.000171838    -0.000209141
     -6.4334e-05     -0.00016705
    -0.000315925     -0.00034905
    -0.000204843    -0.000208508
     -2.8554e-05    -3.55269e-05
     -0.00101859     -0.00100084
    -0.000416938    -0.000456775
      -5.614e-06     -1.0729e-05
    -0.000282949    -0.000450827
     -3.6118e-05    -6.48852e-05
     -2.4492e-05    -3.54947e-05
    -0.000272432    -0.000228133
    -0.000241828    -0.000325055
    -0.000154805    -0.000176706
     -3.8129e-05    -7.26627e-05
    -0.000150529    -0.000194426
    -0.000884827    -0.000889881
     -1.1922e-05     -1.6048e-05
    -0.000393615    -0.000468553
     -2.1222e-05    -3.26129e-05
    -0.000640544     -0.00063486
    -0.000134499    -0.000190356
