# Eelst 		 Emultipole 
     -0.00009625      -0.00000375
     -0.00022799      -0.00003249
     -0.00047184      -0.00002047
     -0.00543676       0.00008106
     -0.00177988       0.00002133
     -0.00021121      -0.00004370
     -0.00607892      -0.00025667
     -0.00025937      -0.00000874
     -0.00220611      -0.00012146
     -0.00049725      -0.00004181
     -0.00062199      -0.00010512
     -0.00114264       0.00015388
     -0.00068753      -0.00005794
     -0.00066722      -0.00006046
     -0.00125415      -0.00007432
     -0.00011479      -0.00001759
     -0.00021274      -0.00000633
     -0.00030465      -0.00002345
     -0.00008610      -0.00001078
     -0.00757532      -0.00004979
     -0.00128852      -0.00004667
     -0.00382988      -0.00011298
     -0.00360938       0.00025139
     -0.00074562       0.00000239
     -0.00197958      -0.00011770
     -0.00484778      -0.00024060
     -0.00017811       0.00007458
     -0.00016203      -0.00000825
     -0.00081586       0.00003822
     -0.00048383       0.00006049
     -0.00014045       0.00001453
     -0.00016402       0.00006648
     -0.00271211       0.00008911
     -0.02162367       0.00011896
     -0.00419125      -0.00000793
     -0.00147602       0.00006195
     -0.00047749       0.00004293
     -0.00021864      -0.00004226
     -0.00126419       0.00005647
     -0.00008408       0.00004531
     -0.00208138      -0.00013537
     -0.00007212       0.00001522
     -0.00660721      -0.00015503
     -0.00227594      -0.00015826
     -0.00188243       0.00015227
     -0.00345987       0.00006044
     -0.00189471      -0.00000256
     -0.00032976      -0.00002960
     -0.01112963       0.00009801
     -0.00448328       0.00012319
     -0.00011092      -0.00002864
     -0.00495652       0.00034663
     -0.00057885       0.00009164
     -0.00032370      -0.00002698
     -0.00165857       0.00005580
     -0.00343329      -0.00012159
     -0.00173559      -0.00006592
     -0.00070440      -0.00001271
     -0.00217318      -0.00009081
     -0.01043824      -0.00026448
     -0.00011849       0.00001512
     -0.00493222      -0.00006964
     -0.00026534       0.00003486
     -0.00742501      -0.00017918
     -0.00224313      -0.00013161
     -0.00160274      -0.00014667
     -0.00757964      -0.00013559
     -0.00121476      -0.00010991
     -0.00020561      -0.00004221
     -0.00323414      -0.00000646
     -0.00027599       0.00006752
     -0.00246983      -0.00003498
     -0.00541568      -0.00032016
     -0.00231748       0.00010041
     -0.00032464       0.00004687
     -0.00232716       0.00005139
     -0.00010413       0.00002852
     -0.00220667      -0.00002957
     -0.00054756       0.00003496
     -0.00026395      -0.00000848
     -0.00190103      -0.00007751
     -0.00015064       0.00001364
     -0.00091471      -0.00002405
     -0.00022044      -0.00003551
     -0.00122297      -0.00000252
     -0.00020491      -0.00003327
     -0.00180317      -0.00009069
     -0.00340182       0.00008897
     -0.00411966      -0.00020959
     -0.00317511       0.00013360
     -0.00130251       0.00002387
     -0.00016319      -0.00003206
     -0.00028771      -0.00002537
     -0.00320747      -0.00008923
     -0.00199685       0.00013838
     -0.00124505       0.00002948
     -0.00661305      -0.00013367
     -0.00263113      -0.00008371
     -0.00024559       0.00002433
     -0.00027758       0.00009069
     -0.00323015       0.00002686
     -0.00011720       0.00000065
     -0.00011985       0.00000850
     -0.00561092       0.00018669
     -0.00062175      -0.00003773
     -0.00345552       0.00013796
     -0.00019363      -0.00000984
     -0.00318746      -0.00000094
     -0.00124732      -0.00011178
     -0.00051082      -0.00001849
     -0.00165442      -0.00011591
     -0.00049329      -0.00002742
     -0.00021949      -0.00002743
     -0.00008682      -0.00001238
     -0.00034936       0.00001479
     -0.00684713       0.00017023
     -0.00733120       0.00031179
     -0.00043825      -0.00002285
     -0.00014643       0.00000265
     -0.00061585       0.00002028
     -0.00062880       0.00009658
     -0.00287248       0.00021495
     -0.00013066      -0.00000315
     -0.00278742      -0.00002984
     -0.00012365      -0.00002347
     -0.00127978       0.00007844
     -0.00015520      -0.00001566
     -0.00015803      -0.00005160
     -0.00100692       0.00001965
     -0.00051335       0.00002788
     -0.00029805      -0.00001756
     -0.00107019       0.00013349
     -0.00019868       0.00002238
     -0.00017447       0.00004163
     -0.00117874       0.00012338
     -0.00093053       0.00000015
     -0.00008225       0.00001038
     -0.00604945       0.00000279
     -0.00118369      -0.00003220
     -0.00010816      -0.00003824
     -0.00591065      -0.00016497
     -0.00023903      -0.00002532
     -0.00037469       0.00006188
     -0.00022795       0.00002106
     -0.00612735      -0.00016928
     -0.00093384      -0.00012633
     -0.00038422      -0.00006396
     -0.00074445       0.00004294
     -0.00054800      -0.00008136
     -0.00010654       0.00001712
     -0.00231913       0.00004540
     -0.00012823      -0.00000400
     -0.00020454      -0.00004868
     -0.00315913       0.00011943
     -0.00153246       0.00000599
     -0.00013380      -0.00001428
     -0.00021015      -0.00003937
     -0.00113500       0.00000524
     -0.00548215       0.00005664
     -0.00149899       0.00009045
     -0.00011456      -0.00001103
     -0.00355574      -0.00008284
     -0.00025217      -0.00001825
     -0.00293072       0.00024526
     -0.00102368       0.00007687
     -0.00011309      -0.00002097
     -0.00021008       0.00005286
     -0.00017466       0.00003552
     -0.00688238       0.00018246
     -0.00714249       0.00002781
