QM Energy	FF Energy
      -5.148e-06     -8.8424e-06
      -1.139e-05    -2.11646e-05
     -2.5143e-05     -4.3915e-05
    -0.000438212    -0.000484904
     -0.00013181    -0.000194493
     -1.4171e-05    -1.83207e-05
    -0.000546884    -0.000520838
     -2.3008e-05    -3.26689e-05
    -0.000118959    -0.000201502
     -3.7996e-05    -4.87785e-05
     -3.7926e-05    -5.33431e-05
     -7.1605e-05    -0.000125182
     -2.9705e-05    -5.71158e-05
     -3.8594e-05    -6.55224e-05
    -0.000112017    -0.000126406
      -6.665e-06    -9.89879e-06
     -1.3456e-05    -2.04537e-05
     -2.2889e-05     -3.0501e-05
       -4.08e-06    -7.60824e-06
    -0.000409257    -0.000556548
    -0.000115885    -0.000131921
    -0.000244708    -0.000364775
     -0.00024694    -0.000335464
     -8.4762e-05    -8.91881e-05
    -0.000120618    -0.000185016
    -0.000412158    -0.000511815
     -3.4276e-05    -3.37175e-05
     -1.1919e-05    -1.96069e-05
     -6.6683e-05    -9.25891e-05
     -4.1131e-05    -6.15883e-05
     -1.6157e-05    -1.84627e-05
     -3.4467e-05    -3.25945e-05
    -0.000190806    -0.000271775
      -0.0022601     -0.00167689
    -0.000460225    -0.000425325
     -0.00011577    -0.000155624
     -8.2439e-05    -7.38984e-05
     -1.0028e-05    -1.72961e-05
     -9.2723e-05    -0.000143725
     -2.2125e-05    -1.94889e-05
    -0.000136507    -0.000213015
     -1.1234e-05    -1.16096e-05
    -0.000691723    -0.000667635
    -0.000171838    -0.000209602
     -6.4334e-05    -0.000156071
    -0.000315925    -0.000347126
    -0.000204843    -0.000211552
     -2.8554e-05    -3.45909e-05
     -0.00101859     -0.00104508
    -0.000416938    -0.000471453
      -5.614e-06    -9.07754e-06
    -0.000282949    -0.000442749
     -3.6118e-05    -6.29313e-05
     -2.4492e-05    -3.82745e-05
    -0.000272432    -0.000224491
    -0.000241828    -0.000338607
    -0.000154805    -0.000179074
     -3.8129e-05    -7.29741e-05
    -0.000150529    -0.000198889
    -0.000884827    -0.000919046
     -1.1922e-05    -1.72174e-05
    -0.000393615    -0.000481547
     -2.1222e-05    -3.46794e-05
    -0.000640544    -0.000656023
    -0.000134499    -0.000195295
    -0.000110528    -0.000155112
    -0.000708095    -0.000645563
     -8.1936e-05    -0.000123852
     -1.1685e-05     -1.6404e-05
    -0.000183144    -0.000327072
     -2.1351e-05     -3.4993e-05
    -0.000297079    -0.000274828
    -0.000496306    -0.000481171
    -0.000280737    -0.000268346
     -5.6576e-05    -5.21247e-05
    -0.000181938    -0.000234025
     -1.4392e-05    -1.68155e-05
    -0.000277491    -0.000253664
     -2.6228e-05    -5.39987e-05
     -1.8774e-05    -3.44738e-05
    -0.000117729    -0.000168286
     -2.0713e-05    -2.23093e-05
     -5.8464e-05    -9.88516e-05
      -9.655e-06    -1.72853e-05
    -0.000119177    -0.000132505
     -1.2855e-05    -2.04328e-05
    -0.000199336    -0.000195079
    -0.000504981    -0.000415494
    -0.000346145    -0.000424461
      -0.0005013    -0.000397456
      -9.717e-05    -0.000145367
      -9.772e-06     -1.7728e-05
     -1.9717e-05    -2.80128e-05
    -0.000412853    -0.000356285
     -0.00025872    -0.000242987
     -7.4529e-05     -0.00012839
    -0.000438078    -0.000589326
    -0.000273347    -0.000274966
      -8.204e-06    -2.20674e-05
     -6.7501e-05    -5.63153e-05
    -0.000151254    -0.000274284
     -1.1922e-05    -1.41855e-05
      -9.174e-06    -1.70342e-05
    -0.000323844    -0.000454689
     -2.9275e-05    -5.23118e-05
    -0.000604586    -0.000459441
     -1.4275e-05    -2.04691e-05
    -0.000204475    -0.000321759
     -8.2562e-05    -0.000129455
     -2.2389e-05    -4.28582e-05
    -0.000115895    -0.000166258
     -3.2804e-05    -4.86683e-05
     -1.5528e-05    -2.22156e-05
      -3.743e-06    -8.07333e-06
     -1.7214e-05    -3.47069e-05
    -0.000611497    -0.000672974
     -0.00060293     -0.00075762
     -3.3219e-05    -4.58824e-05
      -9.145e-06    -1.93491e-05
     -5.1727e-05    -7.58664e-05
     -4.1689e-05    -6.96608e-05
     -0.00031304    -0.000343885
      -9.327e-06    -1.57979e-05
     -0.00011591    -0.000242594
      -6.172e-06    -1.04646e-05
     -6.1725e-05    -0.000128521
      -9.087e-06    -1.40244e-05
      -8.599e-06    -1.17712e-05
     -5.9388e-05    -9.42326e-05
     -7.2401e-05    -7.42489e-05
      -2.381e-05    -3.12659e-05
     -6.3802e-05    -0.000114713
     -1.2034e-05    -2.21085e-05
      -2.966e-05    -2.93199e-05
     -0.00010913    -0.000139138
     -3.7405e-05    -8.20286e-05
      -4.159e-06    -8.63852e-06
    -0.000412626    -0.000567498
     -6.4855e-05    -0.000113748
      -5.766e-06    -7.54255e-06
    -0.000489112    -0.000495108
     -1.8561e-05    -2.77453e-05
     -3.9675e-05    -5.02668e-05
     -1.1688e-05    -2.75195e-05
    -0.000528256     -0.00051626
     -6.3669e-05     -8.4629e-05
     -3.1007e-05     -3.7181e-05
     -3.4175e-05    -7.09347e-05
     -3.2845e-05    -4.65817e-05
     -1.1248e-05    -1.50023e-05
    -0.000306655     -0.00028162
      -7.443e-06      -1.264e-05
     -1.1838e-05    -1.89933e-05
    -0.000327256    -0.000369644
    -0.000115115    -0.000162413
     -1.1317e-05    -1.69612e-05
       -9.61e-06    -1.81472e-05
     -3.7468e-05    -9.33954e-05
    -0.000441588    -0.000493378
    -0.000132305    -0.000172552
     -1.0098e-05    -1.21207e-05
    -0.000172014    -0.000293708
       -1.08e-05    -2.13944e-05
