QM Energy	FF Energy
     -1.5829e-05     -2.1996e-05
     -3.6717e-05    -4.92146e-05
     -8.2198e-05     -0.00010498
     -0.00120484     -0.00112387
    -0.000391362    -0.000445797
     -3.5188e-05    -4.59775e-05
     -0.00126854     -0.00118964
     -5.9489e-05    -7.94126e-05
    -0.000430579    -0.000441834
    -0.000100449    -0.000119631
    -0.000116357    -0.000129127
    -0.000270544    -0.000305722
    -0.000121884    -0.000133366
     -0.00012053    -0.000145863
    -0.000298686    -0.000313183
     -1.8587e-05    -2.45614e-05
     -3.8709e-05    -5.07431e-05
     -6.1149e-05    -7.66315e-05
     -1.2897e-05    -1.77896e-05
     -0.00121529     -0.00121045
    -0.000314436    -0.000333427
      -0.0007301    -0.000785681
    -0.000813501    -0.000782583
    -0.000201884    -0.000225946
    -0.000401528    -0.000409632
     -0.00102556     -0.00105825
     -7.3034e-05    -8.95719e-05
     -3.1429e-05    -4.59923e-05
     -0.00019981    -0.000226787
    -0.000116761    -0.000148225
     -3.5953e-05    -4.73341e-05
     -6.9429e-05    -8.66922e-05
    -0.000604347    -0.000634155
     -0.00274594     -0.00319342
      -0.0010696     -0.00103762
    -0.000367132    -0.000387028
    -0.000170314     -0.00019627
      -3.354e-05    -4.07088e-05
    -0.000284779    -0.000336881
     -3.9992e-05    -5.26058e-05
    -0.000415367    -0.000451412
     -2.2214e-05    -3.06078e-05
     -0.00142297     -0.00140886
    -0.000507398    -0.000509832
     -0.00034374    -0.000353233
    -0.000821891     -0.00080423
    -0.000524837    -0.000534477
     -7.1467e-05     -8.7316e-05
     -0.00199325     -0.00213106
     -0.00108162     -0.00110791
     -1.3792e-05    -2.02252e-05
    -0.000983393    -0.000985289
    -0.000136857    -0.000154572
     -6.6763e-05    -9.10977e-05
    -0.000583502    -0.000584604
    -0.000695709    -0.000717162
    -0.000409076    -0.000423844
    -0.000133088    -0.000165241
    -0.000459367    -0.000478518
     -0.00178336     -0.00169454
      -2.826e-05    -4.14923e-05
     -0.00102562     -0.00103927
     -5.8338e-05    -8.15004e-05
       -0.001434      -0.0014368
    -0.000449677     -0.00045548
    -0.000322545    -0.000342705
     -0.00155416     -0.00146689
    -0.000246978       -0.000283
     -3.2027e-05    -4.06654e-05
    -0.000604627    -0.000701791
     -6.7091e-05     -8.4556e-05
    -0.000704227    -0.000695361
     -0.00122749     -0.00111951
    -0.000686303    -0.000677949
    -0.000116049    -0.000138386
     -0.00053239    -0.000552425
     -3.2766e-05    -4.36857e-05
    -0.000658032    -0.000644285
     -9.4091e-05    -0.000122957
     -5.0286e-05    -7.74323e-05
    -0.000381627    -0.000401632
     -4.3605e-05    -5.82136e-05
    -0.000176006     -0.00022803
     -3.3227e-05     -4.2094e-05
    -0.000311746    -0.000330505
     -3.3977e-05    -4.70677e-05
     -0.00049147    -0.000490691
     -0.00106782     -0.00103557
    -0.000878112    -0.000887538
     -0.00105262     -0.00100302
    -0.000288788    -0.000334679
     -2.5789e-05    -3.95071e-05
     -5.7452e-05    -7.12726e-05
    -0.000919316    -0.000890037
    -0.000625228    -0.000618354
    -0.000253288    -0.000294499
     -0.00115308     -0.00123142
    -0.000677561    -0.000671704
     -4.0993e-05    -5.16887e-05
    -0.000127994    -0.000151461
    -0.000623388    -0.000582618
     -2.6369e-05    -3.64219e-05
     -2.5633e-05    -3.93421e-05
     -0.00106587     -0.00101242
    -0.000109523    -0.000126664
     -0.00120493     -0.00114485
     -3.7843e-05    -5.04321e-05
    -0.000626381    -0.000730424
    -0.000244937    -0.000284829
     -8.9116e-05    -0.000102532
    -0.000338216    -0.000365759
      -9.922e-05     -0.00012022
     -4.0353e-05    -5.49398e-05
     -1.1986e-05    -1.81622e-05
     -6.5668e-05    -8.09993e-05
     -0.00153538     -0.00144802
     -0.00152242     -0.00163604
     -8.9324e-05    -0.000108921
     -2.6172e-05    -4.31917e-05
    -0.000134159    -0.000179033
    -0.000152597    -0.000172733
     -0.00080287    -0.000840667
      -2.691e-05    -3.78428e-05
    -0.000510048    -0.000500252
     -1.7037e-05    -2.49654e-05
    -0.000264808    -0.000294472
     -2.4412e-05    -3.46017e-05
     -2.2183e-05    -2.81953e-05
       -0.000216    -0.000220156
    -0.000159298    -0.000190967
      -6.363e-05    -7.89384e-05
    -0.000238645    -0.000266981
     -3.6286e-05    -5.10092e-05
     -6.2518e-05    -7.80011e-05
    -0.000296653     -0.00033669
    -0.000170088    -0.000192807
     -1.4389e-05    -2.04258e-05
     -0.00117599     -0.00115488
      -0.0002248    -0.000258904
     -1.3804e-05    -1.87551e-05
     -0.00122164     -0.00116084
     -4.7046e-05    -6.62666e-05
     -9.9556e-05    -0.000125852
     -4.3228e-05    -6.12664e-05
      -0.0012481     -0.00121125
    -0.000192989    -0.000205223
     -7.9685e-05    -9.33382e-05
    -0.000132874    -0.000162258
     -0.00010021    -0.000116422
     -2.7281e-05    -3.79794e-05
    -0.000696441    -0.000699454
     -2.0326e-05    -2.91505e-05
     -3.0501e-05     -4.3337e-05
     -0.00081375    -0.000862516
    -0.000328342     -0.00038244
     -2.6711e-05    -4.00476e-05
     -2.9315e-05    -4.10324e-05
    -0.000199191    -0.000218651
     -0.00117111     -0.00113298
    -0.000374616    -0.000416715
     -2.2784e-05    -3.13904e-05
    -0.000657417    -0.000658087
     -3.7195e-05    -4.97267e-05
     -0.00086389    -0.000930073
    -0.000211453    -0.000236047
     -1.9657e-05    -3.08516e-05
     -7.6014e-05    -9.84332e-05
     -6.1591e-05    -7.98672e-05
     -0.00143163     -0.00142075
      -0.0016424     -0.00155223
