QM Energy	FF Energy
      -5.148e-06    -9.08423e-06
      -1.139e-05    -1.99783e-05
     -2.5143e-05    -4.41194e-05
    -0.000438212    -0.000515264
     -0.00013181    -0.000186752
     -1.4171e-05    -1.92734e-05
    -0.000546884    -0.000523914
     -2.3008e-05    -3.04997e-05
    -0.000118959    -0.000193567
     -3.7996e-05    -4.82365e-05
     -3.7926e-05     -5.8172e-05
     -7.1605e-05    -0.000120807
     -2.9705e-05    -6.30145e-05
     -3.8594e-05    -6.45877e-05
    -0.000112017    -0.000131707
      -6.665e-06    -1.10583e-05
     -1.3456e-05    -2.05036e-05
     -2.2889e-05    -3.12457e-05
       -4.08e-06     -8.7507e-06
    -0.000409257    -0.000583135
    -0.000115885    -0.000131437
    -0.000244708    -0.000349032
     -0.00024694    -0.000347927
     -8.4762e-05    -8.83127e-05
    -0.000120618    -0.000179653
    -0.000412158    -0.000477277
     -3.4276e-05    -3.35757e-05
     -1.1919e-05    -1.84031e-05
     -6.6683e-05    -8.94955e-05
     -4.1131e-05    -5.89358e-05
     -1.6157e-05     -1.8478e-05
     -3.4467e-05    -3.28149e-05
    -0.000190806    -0.000261691
      -0.0022601     -0.00169915
    -0.000460225    -0.000420862
     -0.00011577    -0.000153547
     -8.2439e-05    -7.44247e-05
     -1.0028e-05    -2.08788e-05
     -9.2723e-05    -0.000135616
     -2.2125e-05    -2.03475e-05
    -0.000136507    -0.000202907
     -1.1234e-05    -1.18098e-05
    -0.000691723    -0.000642636
    -0.000171838     -0.00020914
     -6.4334e-05    -0.000167048
    -0.000315925    -0.000349046
    -0.000204843    -0.000208507
     -2.8554e-05    -3.55312e-05
     -0.00101859      -0.0010008
    -0.000416938    -0.000456773
      -5.614e-06     -1.0705e-05
    -0.000282949    -0.000450799
     -3.6118e-05    -6.48863e-05
     -2.4492e-05    -3.54951e-05
    -0.000272432    -0.000228133
    -0.000241828    -0.000325026
    -0.000154805    -0.000176696
     -3.8129e-05    -7.26602e-05
    -0.000150529    -0.000194424
    -0.000884827    -0.000889851
     -1.1922e-05    -1.60423e-05
    -0.000393615    -0.000468545
     -2.1222e-05    -3.26117e-05
    -0.000640544    -0.000634848
    -0.000134499    -0.000190354
    -0.000110528    -0.000149491
    -0.000708095    -0.000668548
     -8.1936e-05    -0.000118939
     -1.1685e-05    -1.82328e-05
    -0.000183144    -0.000306463
     -2.1351e-05    -3.50199e-05
    -0.000297079    -0.000270544
    -0.000496306    -0.000488451
    -0.000280737    -0.000264836
     -5.6576e-05    -5.25258e-05
    -0.000181938    -0.000231568
     -1.4392e-05    -1.66298e-05
    -0.000277491    -0.000256162
     -2.6228e-05    -5.50774e-05
     -1.8774e-05    -3.12218e-05
    -0.000117729    -0.000169207
     -2.0713e-05    -2.20422e-05
     -5.8464e-05    -9.30704e-05
      -9.655e-06    -1.90516e-05
    -0.000119177    -0.000132621
     -1.2855e-05     -2.1043e-05
    -0.000199336    -0.000199224
    -0.000504981    -0.000415391
    -0.000346145    -0.000399328
      -0.0005013    -0.000397754
      -9.717e-05    -0.000140731
      -9.772e-06    -1.62787e-05
     -1.9717e-05    -2.75052e-05
    -0.000412853    -0.000354237
     -0.00025872    -0.000243627
     -7.4529e-05    -0.000125543
    -0.000438078    -0.000568269
    -0.000273347     -0.00027115
      -8.204e-06    -2.50544e-05
     -6.7501e-05    -5.77036e-05
    -0.000151254    -0.000293562
     -1.1922e-05    -1.38468e-05
      -9.174e-06    -1.54403e-05
    -0.000323844    -0.000476559
     -2.9275e-05    -5.41227e-05
    -0.000604586    -0.000462305
     -1.4275e-05    -1.92434e-05
    -0.000204475    -0.000309242
     -8.2562e-05    -0.000123323
     -2.2389e-05    -4.67384e-05
    -0.000115895    -0.000161089
     -3.2804e-05    -4.72704e-05
     -1.5528e-05    -2.11172e-05
      -3.743e-06    -7.63551e-06
     -1.7214e-05    -3.52159e-05
    -0.000611497    -0.000696667
     -0.00060293    -0.000736347
     -3.3219e-05    -4.46562e-05
