QM Energy	FF Energy
    -0.000555903     -0.00063155
    -0.000308114    -0.000329259
     -3.1958e-05     -4.5354e-05
    -0.000516351    -0.000517487
     -2.5258e-05     -3.5654e-05
     -2.9517e-05    -2.78385e-05
     -5.2945e-05    -6.06968e-05
     -1.2241e-05    -2.05747e-05
    -0.000871203    -0.000907128
     -8.7691e-05    -0.000114324
    -0.000276975    -0.000293113
    -0.000167014    -0.000184492
      -9.297e-05    -0.000107307
    -0.000140291    -0.000167801
     -7.8099e-05    -0.000101482
    -0.000340946     -0.00041539
    -0.000787405    -0.000816367
    -0.000264753    -0.000266378
    -0.000138877    -0.000173304
    -0.000271188    -0.000256388
     -1.6817e-05    -2.55649e-05
     -0.00124889     -0.00122384
     -2.4764e-05    -3.83666e-05
    -0.000564646    -0.000612058
      -0.0002131    -0.000250628
     -0.00145678     -0.00126524
     -0.00047545    -0.000486971
     -3.7308e-05    -4.55038e-05
     -1.2883e-05    -1.94797e-05
    -0.000727922    -0.000729977
    -0.000143959    -0.000168965
    -0.000352995     -0.00036633
     -0.00212508     -0.00221278
      -0.0014158     -0.00124634
    -0.000500627    -0.000539964
    -0.000330575    -0.000449836
      -0.0002262    -0.000254778
     -3.0991e-05    -3.86881e-05
    -0.000116141    -0.000155199
     -0.00025764    -0.000254064
     -5.0343e-05    -5.94269e-05
    -0.000100059    -0.000151971
    -0.000512361    -0.000494962
     -0.00123241     -0.00122216
     -1.8603e-05    -2.56561e-05
     -2.8561e-05    -3.81542e-05
    -0.000201664    -0.000204452
    -0.000206575    -0.000180893
     -0.00091902    -0.000897969
     -3.8171e-05      -5.227e-05
    -0.000628844    -0.000615209
     -7.1061e-05    -8.82722e-05
     -4.0003e-05    -5.42715e-05
     -0.00112707     -0.00107361
    -0.000769002    -0.000645549
     -0.00107996     -0.00105637
    -0.000688609    -0.000750344
    -0.000584401    -0.000613628
     -0.00106604     -0.00102341
     -9.8415e-05    -0.000131853
     -3.2843e-05    -4.69681e-05
    -0.000342483    -0.000353756
     -0.00123669     -0.00128003
     -1.3145e-05    -1.77215e-05
     -8.3145e-05    -0.000105016
     -2.2956e-05    -2.94215e-05
     -4.1835e-05    -5.00064e-05
     -3.5673e-05    -5.05293e-05
    -0.000177517    -0.000198036
     -0.00204024      -0.0018699
    -0.000372107    -0.000432519
     -3.4983e-05    -5.53798e-05
    -0.000161376    -0.000178212
    -0.000221209    -0.000258368
    -0.000548921    -0.000560301
     -3.1336e-05    -4.75694e-05
    -0.000252627    -0.000299083
    -0.000542653    -0.000599868
     -1.4497e-05    -2.03065e-05
    -0.000864208    -0.000943584
     -8.4117e-05    -0.000111406
    -0.000165088    -0.000220442
    -0.000260084    -0.000266002
     -2.2542e-05    -3.63607e-05
     -0.00132717     -0.00118335
     -3.5868e-05    -4.27066e-05
    -0.000748931    -0.000734796
     -5.6673e-05    -7.69151e-05
    -0.000238428    -0.000277427
     -6.3868e-05    -8.82351e-05
     -7.8599e-05    -0.000103428
     -0.00112539     -0.00105333
     -3.6322e-05    -4.55251e-05
     -8.0143e-05    -8.65177e-05
     -9.7915e-05    -0.000137248
     -8.2318e-05    -0.000111231
     -0.00109968     -0.00111138
     -1.1437e-05    -2.59566e-05
    -0.000609617    -0.000479705
     -1.1739e-05    -1.79689e-05
      -8.573e-06    -1.24941e-05
    -0.000558953    -0.000558285
    -0.000126975    -0.000150804
    -0.000106919    -0.000137745
     -2.9005e-05    -3.66682e-05
     -4.5709e-05    -5.85947e-05
      -0.0001919    -0.000194737
    -0.000347686    -0.000373096
    -0.000137878    -0.000159356
    -0.000561752    -0.000654125
     -1.7969e-05    -2.56938e-05
     -6.2207e-05    -7.33973e-05
     -0.00173607     -0.00176918
     -4.2942e-05    -6.21858e-05
    -0.000497213    -0.000515166
     -2.9615e-05     -3.3611e-05
     -9.5738e-05    -0.000105657
     -0.00180259      -0.0023166
     -2.9457e-05    -3.85374e-05
     -0.00131113     -0.00122389
     -5.3101e-05    -7.34977e-05
    -0.000625019    -0.000672647
    -0.000714293    -0.000639938
     -0.00046603    -0.000488934
    -0.000395136    -0.000447022
     -1.7123e-05    -2.85551e-05
     -0.00102338     -0.00096167
     -1.4383e-05     -2.4212e-05
    -0.000422029    -0.000443004
    -0.000134458    -0.000131034
      -0.0011074      -0.0010884
    -0.000845346    -0.000831197
      -6.515e-06    -1.17531e-05
    -0.000103757    -0.000130919
    -0.000190901    -0.000211982
     -2.0029e-05     -3.2616e-05
     -8.3792e-05    -0.000117634
     -0.00115621     -0.00111578
      -3.102e-05    -4.50348e-05
    -0.000849586    -0.000800527
       -6.64e-05    -9.80039e-05
     -0.00124459     -0.00127605
     -0.00031752    -0.000399215
     -1.5964e-05    -2.18044e-05
    -0.000270109    -0.000309978
    -0.000264644    -0.000294774
    -0.000199171    -0.000263345
     -4.7416e-05    -6.31073e-05
    -0.000241341    -0.000314846
     -0.00132237     -0.00143503
     -0.00045669    -0.000510674
    -0.000100493     -0.00012632
     -2.0187e-05    -3.27635e-05
    -0.000397105    -0.000458426
     -0.00122153     -0.00121775
     -5.4993e-05    -6.97146e-05
     -6.6948e-05    -9.09641e-05
     -0.00129994     -0.00150537
    -0.000160555    -0.000207446
     -3.9285e-05    -4.06524e-05
    -0.000477999      -0.0005355
     -5.9417e-05    -8.08816e-05
     -0.00196369     -0.00188663
     -3.3905e-05    -5.00489e-05
     -4.8724e-05     -6.5326e-05
    -0.000161388    -0.000210089
    -0.000484601    -0.000497403
     -0.00154009     -0.00164098
     -0.00011483    -0.000128649
     -0.00118457     -0.00118269
     -6.5922e-05    -8.32422e-05
     -5.5388e-05     -5.7394e-05
      -3.916e-05    -5.88244e-05
     -3.4853e-05    -5.08253e-05
     -0.00186862     -0.00169879
    -0.000184293    -0.000205926
    -0.000134688    -0.000125293
     -1.7389e-05    -2.62461e-05
      -3.456e-06    -7.69303e-06
     -9.7819e-05    -0.000140741
     -0.00116191     -0.00109511
    -0.000662779    -0.000686101
     -3.0151e-05    -4.34017e-05
     -0.00184045     -0.00179054
     -0.00137535      -0.0013575
     -2.1495e-05    -2.83212e-05
     -2.3415e-05    -1.98335e-05
    -0.000739125    -0.000799895
     -2.4816e-05    -4.00916e-05
    -0.000491277    -0.000486126
    -0.000328609    -0.000344301
      -4.733e-05    -6.56909e-05
    -0.000115556    -0.000132264
     -8.7981e-05    -0.000102341
    -0.000181516    -0.000193204
