# Eelst 		 Emultipole 
     -0.00565567      -0.00313892
     -0.00200015      -0.00110641
     -0.00067339      -0.00030356
     -0.00403256      -0.00131987
      0.00037161       0.00061144
     -0.00156813      -0.00132542
     -0.00089725      -0.00092024
      0.00118851       0.00160621
     -0.00456069      -0.00022165
     -0.00003551       0.00024362
     -0.00190009      -0.00030841
      0.00007339       0.00153412
     -0.00068627      -0.00054919
     -0.00264704      -0.00230950
     -0.00051709      -0.00013425
     -0.00247124      -0.00041593
     -0.00522983      -0.00069541
     -0.00201687      -0.00045055
      0.00117312       0.00187406
     -0.00213757      -0.00055296
     -0.00004880       0.00009350
     -0.00357669       0.00102550
     -0.00086423      -0.00100549
     -0.00263700      -0.00033976
     -0.00084848       0.00046110
     -0.00872118       0.00113649
     -0.00155029       0.00028560
     -0.00060044      -0.00034238
     -0.00023532      -0.00037126
     -0.00396007      -0.00115796
     -0.00169364      -0.00067700
     -0.00041571       0.00065875
     -0.01294364      -0.00093074
     -0.00749013       0.00275002
     -0.00196076      -0.00022409
      0.00091671       0.00225226
     -0.00139448       0.00077449
     -0.00044975      -0.00036728
     -0.00087997      -0.00034475
     -0.00472333      -0.00368152
     -0.00059537      -0.00036874
      0.00090204       0.00061552
     -0.00242791       0.00085145
     -0.00524484      -0.00022425
      0.00011512       0.00046630
     -0.00027827       0.00003069
     -0.00190413      -0.00100235
      0.00235079       0.00405632
     -0.00485696      -0.00046019
      0.00026318       0.00047347
     -0.00267934       0.00050060
     -0.00043223       0.00002956
     -0.00057789      -0.00061848
     -0.00897288      -0.00539291
     -0.00515707      -0.00127981
     -0.00418066      -0.00025527
      0.00042407       0.00424099
     -0.00268414      -0.00005426
     -0.00875717      -0.00154109
      0.00078624       0.00138421
     -0.00064272      -0.00066665
     -0.00150088      -0.00087861
     -0.00947495      -0.00182349
     -0.00016428      -0.00010847
     -0.00021393       0.00107650
      0.00014235       0.00032813
      0.00000334       0.00061036
     -0.00044451      -0.00049479
     -0.00084851       0.00006112
     -0.01303310      -0.00072017
     -0.00085271       0.00004144
      0.00066284       0.00082476
      0.00182001       0.00279512
     -0.00163750      -0.00054687
     -0.00336161      -0.00004660
      0.00010869       0.00042105
     -0.00221277      -0.00218753
     -0.00248057       0.00017986
     -0.00046483      -0.00042413
     -0.00591397      -0.00077417
     -0.00069715      -0.00065332
     -0.00065138       0.00024421
     -0.00459626      -0.00346611
      0.00052099       0.00077628
     -0.01041034      -0.00387887
      0.00013014       0.00036955
     -0.00318069       0.00072998
