QM Energy	FF Energy
    -0.000555903    -0.000636628
    -0.000308114    -0.000318538
     -3.1958e-05    -4.34298e-05
    -0.000516351    -0.000499927
     -2.5258e-05    -3.41245e-05
     -2.9517e-05    -2.62975e-05
     -5.2945e-05    -5.40068e-05
     -1.2241e-05    -1.72623e-05
    -0.000871203     -0.00088067
     -8.7691e-05     -8.6493e-05
    -0.000276975    -0.000311057
    -0.000167014     -0.00018021
      -9.297e-05    -0.000101305
    -0.000140291    -0.000160735
     -7.8099e-05    -0.000108066
    -0.000340946    -0.000381613
    -0.000787405    -0.000810045
    -0.000264753    -0.000260506
    -0.000138877    -0.000189043
    -0.000271188    -0.000248152
     -1.6817e-05    -2.40076e-05
     -0.00124889     -0.00111904
     -2.4764e-05    -3.70511e-05
    -0.000564646    -0.000596057
      -0.0002131    -0.000245917
     -0.00145678     -0.00129835
     -0.00047545    -0.000480644
     -3.7308e-05    -4.13193e-05
     -1.2883e-05    -1.48939e-05
    -0.000727922    -0.000761105
    -0.000143959    -0.000167408
    -0.000352995    -0.000349833
     -0.00212508     -0.00210688
      -0.0014158     -0.00102632
    -0.000500627    -0.000515862
    -0.000330575    -0.000364798
      -0.0002262    -0.000242884
     -3.0991e-05    -3.84783e-05
    -0.000116141    -0.000148248
     -0.00025764    -0.000229069
     -5.0343e-05    -6.70689e-05
    -0.000100059    -0.000116059
    -0.000512361     -0.00052025
     -0.00123241     -0.00130492
     -1.8603e-05    -2.00551e-05
     -2.8561e-05    -3.56122e-05
    -0.000201664    -0.000180368
    -0.000206575    -0.000141539
     -0.00091902    -0.000863318
     -3.8171e-05    -5.39058e-05
    -0.000628844     -0.00064523
     -7.1061e-05    -9.39422e-05
     -4.0003e-05    -5.41557e-05
     -0.00112707    -0.000898652
    -0.000769002    -0.000656945
     -0.00107996     -0.00104708
    -0.000688609    -0.000889575
    -0.000584401     -0.00059166
     -0.00106604    -0.000991365
     -9.8415e-05    -0.000121636
     -3.2843e-05    -4.37091e-05
    -0.000342483    -0.000336183
     -0.00123669     -0.00126798
     -1.3145e-05    -1.32699e-05
     -8.3145e-05    -9.50715e-05
     -2.2956e-05    -2.81143e-05
     -4.1835e-05    -5.31859e-05
     -3.5673e-05    -4.77645e-05
    -0.000177517    -0.000192849
     -0.00204024     -0.00194706
    -0.000372107    -0.000424055
     -3.4983e-05    -5.35315e-05
    -0.000161376     -0.00015224
    -0.000221209    -0.000234051
    -0.000548921    -0.000546915
     -3.1336e-05    -4.49469e-05
    -0.000252627    -0.000257196
    -0.000542653    -0.000583216
     -1.4497e-05     -1.8394e-05
    -0.000864208    -0.000941064
     -8.4117e-05    -9.66997e-05
    -0.000165088    -0.000210246
    -0.000260084    -0.000207464
     -2.2542e-05    -3.44023e-05
     -0.00132717    -0.000961863
     -3.5868e-05    -3.77053e-05
    -0.000748931    -0.000778596
     -5.6673e-05    -6.99461e-05
    -0.000238428    -0.000263089
     -6.3868e-05    -8.26225e-05
     -7.8599e-05    -0.000109479
     -0.00112539     -0.00112882
     -3.6322e-05    -3.95288e-05
     -8.0143e-05    -7.70642e-05
