QM Energy	FF Energy
    -0.000555903    -0.000636632
    -0.000308114    -0.000318528
     -3.1958e-05    -4.34517e-05
    -0.000516351    -0.000499927
     -2.5258e-05    -3.41241e-05
     -2.9517e-05    -2.62896e-05
     -5.2945e-05    -5.39992e-05
     -1.2241e-05    -1.72396e-05
    -0.000871203    -0.000880674
     -8.7691e-05    -8.64897e-05
    -0.000276975    -0.000311061
    -0.000167014    -0.000180213
      -9.297e-05    -0.000101304
    -0.000140291    -0.000160718
     -7.8099e-05    -0.000108062
    -0.000340946    -0.000381662
    -0.000787405    -0.000810032
    -0.000264753    -0.000260511
    -0.000138877    -0.000189042
    -0.000271188    -0.000248131
     -1.6817e-05    -2.40102e-05
     -0.00124889     -0.00111904
     -2.4764e-05    -3.70506e-05
    -0.000564646    -0.000596056
      -0.0002131    -0.000245875
     -0.00145678     -0.00129822
     -0.00047545     -0.00048063
     -3.7308e-05    -4.13158e-05
     -1.2883e-05    -1.48913e-05
    -0.000727922    -0.000761103
    -0.000143959    -0.000167413
    -0.000352995    -0.000349801
     -0.00212508     -0.00210687
      -0.0014158     -0.00102632
    -0.000500627    -0.000515875
    -0.000330575    -0.000364786
      -0.0002262    -0.000242881
     -3.0991e-05     -3.8474e-05
    -0.000116141    -0.000148249
     -0.00025764    -0.000229069
     -5.0343e-05    -6.70682e-05
    -0.000100059     -0.00011606
    -0.000512361    -0.000520235
     -0.00123241      -0.0013049
     -1.8603e-05    -2.00578e-05
     -2.8561e-05    -3.56121e-05
    -0.000201664    -0.000180373
    -0.000206575     -0.00014153
     -0.00091902    -0.000863438
     -3.8171e-05    -5.39051e-05
    -0.000628844    -0.000645264
     -7.1061e-05    -9.39444e-05
     -4.0003e-05    -5.41551e-05
     -0.00112707    -0.000898657
    -0.000769002    -0.000656947
     -0.00107996     -0.00104707
    -0.000688609    -0.000889576
    -0.000584401    -0.000591669
     -0.00106604    -0.000991362
     -9.8415e-05    -0.000121636
     -3.2843e-05    -4.37048e-05
    -0.000342483    -0.000336189
     -0.00123669     -0.00126799
     -1.3145e-05    -1.32679e-05
     -8.3145e-05    -9.50822e-05
     -2.2956e-05    -2.80852e-05
     -4.1835e-05    -5.31758e-05
     -3.5673e-05    -4.77618e-05
    -0.000177517    -0.000192849
     -0.00204024     -0.00194707
    -0.000372107    -0.000424047
     -3.4983e-05    -5.35274e-05
    -0.000161376    -0.000152252
    -0.000221209    -0.000233988
    -0.000548921    -0.000546959
     -3.1336e-05    -4.49442e-05
    -0.000252627    -0.000257205
    -0.000542653    -0.000583213
     -1.4497e-05    -1.83932e-05
    -0.000864208     -0.00094106
     -8.4117e-05    -9.67015e-05
    -0.000165088     -0.00021025
    -0.000260084    -0.000207486
     -2.2542e-05    -3.44016e-05
     -0.00132717    -0.000961858
     -3.5868e-05    -3.77126e-05
    -0.000748931    -0.000778591
     -5.6673e-05    -6.99498e-05
    -0.000238428    -0.000263089
     -6.3868e-05     -8.2626e-05
     -7.8599e-05    -0.000109478
     -0.00112539     -0.00112879
     -3.6322e-05    -3.95235e-05
     -8.0143e-05     -7.7059e-05
     -9.7915e-05    -0.000128905
     -8.2318e-05    -0.000107941
     -0.00109968     -0.00115912
     -1.1437e-05    -2.06694e-05
    -0.000609617    -0.000412085
     -1.1739e-05    -1.56473e-05
      -8.573e-06    -1.24676e-05
    -0.000558953    -0.000592685
    -0.000126975    -0.000141367
    -0.000106919     -0.00012378
     -2.9005e-05    -3.34289e-05
     -4.5709e-05    -4.82205e-05
      -0.0001919    -0.000175384
    -0.000347686    -0.000341395
    -0.000137878    -0.000152522
    -0.000561752    -0.000627539
     -1.7969e-05    -2.40781e-05
     -6.2207e-05    -6.37156e-05
     -0.00173607     -0.00165301
     -4.2942e-05    -5.71921e-05
    -0.000497213    -0.000536989
     -2.9615e-05    -3.35874e-05
     -9.5738e-05    -0.000104859
     -0.00180259     -0.00230867
     -2.9457e-05    -3.67799e-05
     -0.00131113     -0.00120404
     -5.3101e-05    -7.10272e-05
    -0.000625019    -0.000655383
    -0.000714293    -0.000609801
     -0.00046603    -0.000474536
    -0.000395136    -0.000473947
     -1.7123e-05    -2.83334e-05
     -0.00102338    -0.000905329
     -1.4383e-05    -2.23676e-05
    -0.000422029    -0.000442389
    -0.000134458    -0.000121516
      -0.0011074    -0.000981335
    -0.000845346    -0.000952639
      -6.515e-06     -1.0248e-05
    -0.000103757    -0.000120273
    -0.000190901    -0.000186216
     -2.0029e-05    -2.92763e-05
     -8.3792e-05     -0.00011556
     -0.00115621      -0.0010729
      -3.102e-05    -4.12374e-05
    -0.000849586    -0.000785474
