QM Energy	FF Energy
      -0.0058401     -0.00584142
     -0.00342457     -0.00348422
     -0.00165806     -0.00162139
     -0.00494671     -0.00487543
     -0.00114487     -0.00109951
     -0.00126805     -0.00113642
     -0.00149947     -0.00141299
     -0.00143196     -0.00141169
      -0.0058326     -0.00603171
     -0.00150525     -0.00141606
     -0.00355517     -0.00358255
     -0.00284091     -0.00279224
     -0.00214622     -0.00205447
     -0.00261643     -0.00257368
     -0.00158541      -0.0015373
     -0.00492721     -0.00504849
     -0.00627187     -0.00643428
     -0.00357342     -0.00354585
     -0.00290777     -0.00292568
     -0.00295653     -0.00291865
     -0.00104064     -0.00102678
     -0.00818694     -0.00812437
     -0.00132765     -0.00132572
     -0.00576885     -0.00595884
     -0.00409536     -0.00415098
       -0.010584      -0.0104964
     -0.00471048     -0.00463263
     -0.00103653    -0.000977575
    -0.000817594    -0.000752888
     -0.00575871      -0.0058185
     -0.00262843     -0.00255361
     -0.00303534     -0.00296174
      -0.0122617      -0.0123195
     -0.00847957     -0.00833015
     -0.00501168     -0.00520453
     -0.00415749      -0.0042081
     -0.00327608     -0.00334428
     -0.00132555     -0.00125004
     -0.00247962     -0.00260136
     -0.00286451     -0.00281877
     -0.00140628     -0.00132328
     -0.00243439     -0.00240518
     -0.00453271     -0.00446823
     -0.00882464     -0.00897152
     -0.00140883     -0.00134619
     -0.00146376     -0.00142393
     -0.00270578     -0.00262093
      -0.0037146     -0.00364891
     -0.00552493     -0.00562656
     -0.00129827      -0.0012512
     -0.00504786     -0.00499867
     -0.00206283     -0.00202718
     -0.00187454     -0.00184112
     -0.00530911     -0.00546374
     -0.00567216     -0.00565164
     -0.00689367     -0.00696367
     -0.00726903     -0.00749728
     -0.00598343     -0.00621946
     -0.00692581     -0.00694434
     -0.00319261     -0.00321469
     -0.00136923     -0.00138697
     -0.00276509     -0.00268135
     -0.00863605     -0.00866804
    -0.000719253    -0.000641963
      -0.0028318     -0.00281063
     -0.00126367     -0.00121222
     -0.00142735      -0.0013517
     -0.00103816     -0.00100474
     -0.00292944     -0.00301239
      -0.0105179      -0.0103233
     -0.00336822     -0.00339855
     -0.00164411     -0.00167137
      -0.0036307     -0.00361303
     -0.00334733     -0.00339764
      -0.0056749     -0.00580116
     -0.00150528     -0.00153723
      -0.0036718     -0.00359228
      -0.0064125     -0.00654306
    -0.000959292    -0.000889143
     -0.00869806     -0.00882821
     -0.00210252     -0.00208786
     -0.00314502     -0.00331708
     -0.00315931     -0.00304697
     -0.00106695     -0.00109406
     -0.00755288     -0.00767625
     -0.00199945     -0.00188149
      -0.0047464     -0.00472167
     -0.00160541     -0.00161997
     -0.00372918     -0.00378475
     -0.00211255     -0.00213071
     -0.00236452     -0.00230594
     -0.00617789     -0.00613823
     -0.00149163     -0.00149271
     -0.00177498     -0.00172034
     -0.00272822     -0.00279098
     -0.00229613     -0.00240014
     -0.00792434      -0.0080965
     -0.00140149     -0.00130966
      -0.0055001     -0.00544884
     -0.00108839     -0.00104377
    -0.000837427    -0.000755319
     -0.00573017     -0.00583072
     -0.00250929     -0.00254033
     -0.00254288     -0.00257412
     -0.00144894     -0.00138816
     -0.00132328       -0.001244
     -0.00209178     -0.00202955
      -0.0036193     -0.00367081
     -0.00219903     -0.00215522
      -0.0065273     -0.00674314
     -0.00106694     -0.00101022
     -0.00154141     -0.00150858
     -0.00792777      -0.0078864
     -0.00211226     -0.00203506
     -0.00425817     -0.00429901
      -0.0012299     -0.00114413
     -0.00237228     -0.00232606
      -0.0137477      -0.0138244
      -0.0014175     -0.00138941
      -0.0074914     -0.00728538
     -0.00175608     -0.00181114
     -0.00621781      -0.0065412
     -0.00380993     -0.00342927
     -0.00413831     -0.00416542
     -0.00310077      -0.0031062
     -0.00107733       -0.001067
     -0.00465029     -0.00463266
    -0.000890821      -0.0008842
     -0.00512414     -0.00518754
     -0.00219137      -0.0021214
     -0.00718803     -0.00736314
     -0.00630395     -0.00666785
    -0.000791506    -0.000779818
     -0.00275025      -0.0027415
     -0.00243876     -0.00243841
     -0.00124064     -0.00123929
     -0.00258683     -0.00264584
     -0.00827562     -0.00813101
     -0.00161091     -0.00163531
      -0.0064492     -0.00664647
     -0.00277659     -0.00285758
      -0.0107569      -0.0110385
     -0.00444351     -0.00454252
    -0.000877852    -0.000793902
      -0.0038839     -0.00379261
     -0.00433752     -0.00431721
     -0.00385823     -0.00392928
     -0.00194539     -0.00189463
      -0.0050322       -0.005237
      -0.0080448     -0.00820088
     -0.00409072     -0.00413302
     -0.00217421     -0.00210139
     -0.00121611     -0.00122837
     -0.00445849     -0.00456033
     -0.00785941     -0.00789083
     -0.00129049     -0.00119373
     -0.00184059     -0.00183064
      -0.0102507      -0.0103091
     -0.00267846     -0.00273594
     -0.00143084      -0.0012933
     -0.00464299     -0.00472023
     -0.00146038     -0.00148169
      -0.0122591      -0.0120594
     -0.00119836     -0.00114513
     -0.00194256     -0.00190677
     -0.00356639     -0.00369059
     -0.00436715     -0.00445403
      -0.0102999      -0.0102555
     -0.00227882      -0.0022879
     -0.00875377     -0.00903097
     -0.00145005     -0.00136454
     -0.00125248     -0.00112402
     -0.00178068     -0.00179426
     -0.00150307     -0.00147572
     -0.00629441     -0.00611791
     -0.00264169     -0.00263634
     -0.00227635     -0.00211753
      -0.0011677     -0.00110794
     -0.00146499      -0.0014277
     -0.00257499     -0.00259746
     -0.00509151     -0.00508386
     -0.00455729     -0.00447626
     -0.00151847     -0.00148924
     -0.00926773     -0.00908546
      -0.0102477      -0.0103291
    -0.000868669    -0.000761601
    -0.000883962    -0.000755569
     -0.00835005     -0.00861079
     -0.00154138     -0.00150999
     -0.00389398     -0.00388021
     -0.00370544     -0.00370721
     -0.00147335     -0.00136308
     -0.00202831     -0.00196829
     -0.00156209     -0.00148747
     -0.00211864     -0.00206173
     -0.00789358     -0.00783697
     -0.00262144     -0.00276874
     -0.00314313     -0.00293747
      -0.0025109     -0.00252687
     -0.00726929     -0.00731535
      -0.0126887      -0.0128666
     -0.00437448     -0.00448217
     -0.00914219     -0.00921541
    -0.000998579    -0.000898168
      -0.0026612     -0.00267596
     -0.00387548     -0.00397999
    -0.000716542    -0.000658658
     -0.00349117     -0.00351124
     -0.00165827     -0.00162211
      -0.0107459      -0.0107071
     -0.00401669      -0.0040595
     -0.00129761      -0.0012027
     -0.00589874     -0.00585185
     -0.00298053     -0.00294463
