QM Energy	FF Energy
    -0.000768004    -0.000722694
    -0.000229664    -0.000233248
    -0.000129247    -0.000108008
    -0.000568548     -0.00063438
     -5.3616e-05    -5.30366e-05
    -0.000167768    -0.000107659
    -0.000131605    -0.000125759
    -0.000130488    -0.000126295
    -0.000898447     -0.00101084
    -0.000248501    -0.000247703
    -0.000276856    -0.000263837
    -0.000233783    -0.000216441
    -0.000317204    -0.000291853
    -0.000207667    -0.000187943
    -0.000148645    -0.000150521
     -0.00045248    -0.000555898
    -0.000681733    -0.000731366
    -0.000245627    -0.000284484
    -0.000310653    -0.000294364
    -0.000436747    -0.000408604
     -3.2175e-05    -3.34063e-05
      -0.0010493     -0.00108253
     -7.0499e-05    -6.76146e-05
    -0.000214859    -0.000262958
    -0.000238856    -0.000294886
    -0.000939662     -0.00137449
    -0.000346664    -0.000305205
      -0.0001304    -0.000124272
     -9.8364e-05    -9.70165e-05
    -0.000740021    -0.000794403
    -0.000369476    -0.000323982
    -0.000266564    -0.000225263
     -0.00160193     -0.00179536
    -0.000894839     -0.00163138
    -0.000276382    -0.000267554
     -0.00100476    -0.000731758
    -0.000336276    -0.000316045
    -0.000119444    -0.000117129
     -6.8945e-05    -8.35904e-05
    -0.000573064    -0.000392632
    -0.000222689    -0.000161992
    -0.000304035    -0.000302725
    -0.000435803    -0.000492611
     -0.00103218     -0.00111041
    -0.000224989    -0.000209094
     -7.7912e-05    -7.23836e-05
    -0.000272405      -0.0002784
    -0.000510771    -0.000580777
    -0.000800987    -0.000934359
    -0.000119119    -0.000112772
     -0.00054672    -0.000695535
     -0.00013071    -0.000122241
    -0.000100277    -9.63426e-05
     -0.00156234     -0.00105093
    -0.000797833    -0.000868426
     -0.00065944    -0.000625062
     -0.00100938    -0.000903187
    -0.000277518    -0.000321884
     -0.00152021      -0.0013223
     -0.00029545    -0.000275206
     -4.8424e-05    -4.91336e-05
    -0.000231247     -0.00018153
    -0.000867219     -0.00104263
     -9.2041e-05    -9.01585e-05
    -0.000268406    -0.000264695
    -0.000115341    -0.000125253
    -0.000122521    -0.000115314
     -4.5902e-05    -4.08008e-05
    -0.000108352    -0.000125143
     -0.00184445     -0.00208603
    -0.000602244    -0.000653377
     -8.2454e-05    -8.28196e-05
    -0.000431873    -0.000453158
    -0.000347495    -0.000422837
    -0.000584392    -0.000719003
     -3.6699e-05    -3.94316e-05
     -0.00064129    -0.000554321
    -0.000398341    -0.000413474
    -0.000104126    -0.000101807
    -0.000566374    -0.000797357
    -0.000262906    -0.000266437
    -0.000131727    -0.000145087
    -0.000651145     -0.00042947
     -4.2176e-05    -4.26031e-05
     -0.00183224     -0.00113754
    -0.000200661    -0.000178131
    -0.000631531    -0.000656013
     -0.00018517    -0.000202935
    -0.000131769    -0.000152642
     -6.5427e-05    -6.81324e-05
    -0.000216533    -0.000190542
     -0.00107637     -0.00105089
    -0.000162441    -0.000162033
    -0.000177559    -0.000158641
    -0.000198981    -0.000204898
    -0.000115082    -0.000130604
     -0.00151589     -0.00143821
    -0.000185389    -0.000139392
    -0.000910967     -0.00132874
     -8.1499e-05    -8.34423e-05
     -8.0583e-05    -6.99894e-05
    -0.000996318    -0.000836705
    -0.000149264    -0.000153018
    -0.000272966    -0.000313478
    -0.000125525    -0.000120358
    -0.000150078    -0.000147077
    -0.000545205    -0.000328695
    -0.000583276     -0.00061185
    -0.000140568    -0.000132983
     -0.00052371    -0.000646757
     -9.4743e-05    -9.94855e-05
    -0.000159954    -0.000155392
     -0.00124739     -0.00144221
    -0.000288182    -0.000272436
    -0.000707257    -0.000668034
      -9.688e-05    -9.26829e-05
    -0.000141457    -0.000147418
     -0.00173984     -0.00192629
    -0.000104235    -9.32305e-05
    -0.000748296    -0.000612684
     -9.1079e-05    -0.000101447
    -0.000251962    -0.000315826
    -0.000423959     -0.00030863
